सेब	jabuka
रो	rho
रो	plače
पुस्तकालयों	biblioteka
चौकी	ispostava
बहनों	sestre
आपात	vanredna
नामीबिया	namibije
स्त्रियाँ	žene
एनी	eni
मामा	mama
मामा	amidže
मामा	ujka
मामा	amidža
रूपांतर	varijanta
नगरीय	urban
नगरीय	urbani
नगरीय	urbano
नगरीय	urbana
नगरीय	urbane
जैकी	džeki
जैकी	jackie
जैकी	jacky
क्रोधित	gnjevni
तात्कालिक	hitna
कमांड	komande
कमांड	komanduje
कमांड	naredba
कमांड	komandu
कमांड	komanda
कोबेन	cobain
बुराई	zlo
टाइपिंग	typing
उत्तेजक	provokativan
उत्तेजक	stimulans
दशमलव	decimalna
काई	kaj
काई	kai
क्रूर	brutalnih
क्रूर	brutalnog
क्रूर	brutalni
क्रूर	brutalno
क्रूर	brutalna
जोनाथन	jonathan
गढ़ी	garhi
फ्लाइट	leta
फ्लाइट	let
निकटता	blizina
सैर	promenade
सैर	hod
चिकनी	glatki
चिकनी	glatka
चिकनी	glatke
चिकनी	masnog
कैनेडी	kenedi
कैनेडी	kennedy
टाई	tie
विदेशियों	strancima
विदेशियों	stranaca
अनुवादित	prevedene
अनुवादित	preveden
अनुवादित	prevedena
इंजीनियरों	inženjera
इंजीनियरों	inženjeri
गा	pjevaju
गा	sing
सर्पिल	spiralna
गवाही	svjedočiti
गवाही	svjedočim
गवाही	svjedočenje
वॉकर	walker
लेआउट	raspored
कैदियों	zarobljenike
कैदियों	zatvorenici
फिजी	fidži
हुक	kuka
रिटर्न	povratka
रिटर्न	povratak
प्लैटिनम	platina
फिल	phil
फिलीपींस	filipini
दीवारें	zidova
दीवारें	zidine
दीवारें	zidovi
दीवारें	zidinama
दीवारें	zidovima
सपाट	ravan
सपाट	ravne
नक़ल	kopija
नक़ल	copy
नक़ल	kopiju
नक़ल	kopija
नक़ल	kopije
फ्रेमवर्क	framework
फ्रेमवर्क	okvir
देशभक्ति	patriotizam
केन्या	kenija
बर्बाद	otpad
कस्टम	carina
कस्टम	carinska
कस्टम	običaj
अकादमिक	akademik
अकादमिक	akademska
अकादमिक	akademske
शेन	shane
असीम	asim
एकजुट	ujedini
कोलेस्ट्रॉल	holesterol
दांते	dante
सीबीआई	cbi
बगीचे	bašti
बगीचे	bašte
बगीचे	bašta
बगीचे	džennet
मुराद	murad
मुराद	murat
ईमान	vjera
भट्टी	peć
पोटैशियम	kalij
केली	kelly
लोकगीत	folklora
लोकगीत	folklor
सर्बिया	srbija
स्प्रिंगस्टीन	springsteen
धर्मनिरपेक्ष	sekularnog
धर्मनिरपेक्ष	sekularna
दृष्टिगोचर	vidljiv
दृष्टिगोचर	vidljiva
दृष्टिगोचर	vidljivi
दृष्टिगोचर	vidljivo
तोप	top
दूरभाष	telefon
जस्ता	cink
उड़	mušica
उड़	lete
गुजरता	prolazi
गुजरता	prođe
माली	maldivi
माली	mali
परियोजनाएं	projekti
परियोजनाएं	projekata
सिएटल	seattle
टायर	gume
टायर	guma
सुधारक	reformista
अठारह	osamnaest
