και	oraz
από	from
από	od
που	które
που	która
που	który
για	na
για	dla
για	za
κατηγορία	kategoria
κατηγορία	kategorii
τους	je
τους	ich
τους	im
ήταν	była
ήταν	był
ήταν	było
ένα	jeden
ένα	jedna
ότι	że
μια	jeden
μια	jedna
έχει	posiada
έχει	ma
θα	will
θα	willa
θα	będzie
αλλά	ale
μετά	wtedy
μετά	after
μετά	po
επίσης	także
επίσης	też
επίσης	również
όπως	jak
όπως	like
είχε	mial
είχε	miałem
είχε	miała
είχε	miał
ενώ	podczas
δύο	dwie
δύο	dwóch
δύο	dwa
αυτό	tym
αυτό	że
αυτή	ona
όπου	gdziekolwiek
όπου	gdzie
όταν	gdy
όταν	kiedy
μία	jeden
μία	jedna
μπορεί	można
μπορεί	can
ομάδα	oddział
ομάδα	grupie
ομάδα	grupy
ομάδα	grupa
ομάδα	ekipa
ομάδα	team
ομάδα	drużyny
ομάδα	drużyna
ομάδα	zespół
θέση	położenie
θέση	stanowisko
θέση	pozycja
μεταξύ	między
μεταξύ	pomiędzy
χρόνια	przewlekłe
χρόνια	przewlekłą
χρόνια	lat
χρόνια	lata
πρώτη	pierwszy
πρώτη	pierwsze
πρώτη	najpierw
πρώτη	pierwsza
πιο	more
πιο	bardziej
πιο	więcej
ένας	jeden
ένας	jedna
πόλη	town
πόλη	miasta
πόλη	miejscowość
πόλη	miasto
πόλη	city
πόλη	miejscowość
πόλη	miasta
πόλη	miasto
σύνδεσμοι	linków
σύνδεσμοι	łącza
σύνδεσμοι	linki
σύνδεσμοι	odnośniki
μόνο	tylko
έγινε	zrobione
πολύ	bardzo
κάθε	każda
κάθε	każdy
κάθε	każda
κάθε	każdy
περιοχή	region
περιοχή	regionie
περιοχή	regiony
περιοχή	regionu
περιοχή	teren
περιοχή	powierzchnia
περιοχή	obszarze
περιοχή	obszar
αιώνα	wieku
αιώνα	wiek
αθήνα	atenach
αθήνα	aten
αθήνα	ateny
περίοδο	okres
τότε	wtedy
όνομα	nazwisko
όνομα	imię
όνομα	nazwa
ελλάδα	grecji
ελλάδα	grecja
μέρος	część
μέρος	częściowo
μέρος	miejsce
σήμερα	dzisiaj
σήμερα	today
σήμερα	dziś
μέσα	wewnątrz
πως	jak
μαζί	razem
μαζί	wspólnie
ιστορία	historia
ιστορία	story
ιστορία	opowieść
ιστορία	zdarzenie
ιστορία	opowiadanie
ιστορία	historia
ιστορία	historii
ιστορία	historię
πρωτάθλημα	league
πρωτάθλημα	liga
πρωτάθλημα	lidze
πρωτάθλημα	ligi
πρωτάθλημα	mistrzostwa
πρωτάθλημα	championship
πρωτάθλημα	mistrzostw
πρωτάθλημα	mistrzostwo
αργότερα	pozniej
αργότερα	później
νέα	nowości
νέα	nowe
νέα	nowość
νέα	nowy
νέα	nowa
νέα	aktualności
νέα	wieści
νέα	nowości
νέα	wiadomości
νέα	news
περίπου	około
αυτά	tych
αυτά	te
πριν	zanim
πριν	przed
πριν	wcześniej
χωρίς	bez
εθνική	krajowa
εθνική	krajowe
εθνική	national
εθνική	narodowy
εθνική	krajowy
εθνική	krajowych
συζήτηση	rozmowę
συζήτηση	rozmowy
συζήτηση	rozmowa
συζήτηση	konwersacji
συζήτηση	dyskusja
συζήτηση	omówienie
συζήτηση	dyskusji
συζήτηση	dyskusje
συζήτηση	dyskusję
συζήτηση	debata
συζήτηση	debaty
αρχείο	archiwa
αρχείο	archiwum
αρχείο	plik
αρχείο	pliku
πρέπει	musi
πρέπει	muszą
φορά	czasu
φορά	czas
έλληνες	grecy
έλληνες	greków
ομάδες	grup
ομάδες	grupy
ομάδες	grupach
ομάδες	zespoły
ομάδες	zespołów
ομάδες	drużyny
ομάδες	ekipy
πρώτο	pierwszy
πρώτο	pierwsze
πρώτο	najpierw
πρώτο	pierwsza
έργο	projekt
έργο	project
έργο	pracuj
έργο	prace
έργο	pracy
έργο	praca
έργο	roboty
κυρίως	głownie
κυρίως	głównie
κυρίως	najczęściej
κυρίως	przeważnie
κυρίως	głównie
όχι	nie
ελληνική	grecki
ελληνική	grecka
ελληνική	grecja
ελληνική	greckie
μεγάλη	duża
μεγάλη	duże
μεγάλη	big
μεγάλη	wielka
μεγάλη	duży
μεγάλη	wielki
υπό	pod
ποδοσφαιριστές	piłkarzy
ταινία	filmu
ταινία	film
ταινία	taśmy
ταινία	taśma
ταινία	filmy
ταινία	folia
ταινία	film
άλλα	innych
άλλα	inne
άλλα	pozostałe
άλλα	inny
άλλα	inne
άλλα	pozostałe
άλλα	inni
τμήμα	wydział
τμήμα	departament
τμήμα	dział
τμήμα	sekcję
τμήμα	sekcji
τμήμα	dział
τμήμα	sekcja
σαν	jak
σαν	like
εκεί	tam
ωστόσο	jakkolwiek
ωστόσο	jednak
ωστόσο	jednakże
άλλες	innych
άλλες	inne
άλλες	pozostałe
άλλες	inny
τέλος	wreszcie
τέλος	nareszcie
τέλος	koniec
τέλος	end
σειρά	szeregi
σειρά	serie
σειρά	series
σειρά	seria
σειρά	serii
σειρά	porządek
σειρά	zamówienie
σειρά	kolejność
σειρά	rząd
σειρά	wiersz
σειρά	row
στοιχεία	elementy
στοιχεία	pierwiastki
στοιχεία	dane
στοιχεία	data
συνέχεια	ciągłości
συνέχεια	ciągłość
συνέχεια	kontynuować
συνέχεια	kontynuacja
συνέχεια	kontynuował
συνέχεια	dalszy
κάτω	dół
κάτω	niższy
κάτω	niżej
κάτω	lower
κάτω	niższa
κάτω	dolna
κάτω	niżej
κάτω	poniżej
πολλές	wielu
πολλές	wiele
όλα	wszystko
όλα	wszystkie
όλα	wszystko
όλα	all
όλα	wszyscy
σύστημα	układ
σύστημα	systemu
σύστημα	system
σύστημα	systemowe
ακόμα	nadal
ακόμα	wciąż
ακόμα	jeszcze
φορές	razy
φορές	times
φορές	czasy
ίδια	identyczne
ίδια	identyczny
ίδια	identyczna
ιουλίου	lipca
ιουλίου	lipiec
χώρα	ojczyzna
χώρα	kraje
χώρα	kraju
χώρα	kraj
χώρα	państwo
αποτέλεσμα	rezultat
αποτέλεσμα	wynik
αποτέλεσμα	rezultat
αποτέλεσμα	efekt
