dhe	ve
një	biri
një	bir
nga	from
për	icin
për	için
edhe	bile
edhe	hatta
tij	onunki
tij	onun
nuk	olmaz
nuk	değil
shumë	cok
shumë	çok
por	ama
por	fakat
pas	sonrası
pas	ardından
pas	sonrasında
pas	sonra
pas	takip
këtë	bu
këtë	bunu
parë	görüldü
parë	görülen
tyre	onların
tyre	onlarin
tyre	onlar
tyre	onları
mund	can
gjatë	uzun
gjatë	long
disa	bazı
disa	bazıları
disa	bazılarını
disa	kimisi
lidhje	bağlantılar
lidhje	bağlar
lidhje	bağlantıları
lidhje	ilişki
lidhje	ilişkisi
lidhje	bağ
lidhje	bağlantı
lidhje	bağ
lidhje	link
lidhje	bağlantı
kjo	bu
kjo	bunu
kjo	bu
kjo	bunu
mbi	üzeri
mbi	bitti
mbi	yukarıdaki
mbi	yukarıda
mbi	üzeri
mbi	üstünde
mbi	üstü
mbi	yukarda
jashtme	harici
saj	onun
saj	onu
kishte	vardı
vetëm	yalnız
vetëm	yalnızca
vetëm	sadece
vetëm	sadece
vetëm	just
ata	onlar
ata	onları
ata	bunlar
ata	şunlar
ata	onlar
tjera	diğer
tjera	diğeri
tjera	öteki
tjera	diger
pjesë	parçalar
pjesë	parçaları
pjesë	kısım
pjesë	parçası
pjesë	bölüm
pjesë	part
pjesë	kısmen
atë	onu
shqiptare	arnavut
shqiptare	arnavutluk
shqiptare	arnavutça
madhe	big
madhe	buyuk
madhe	büyük
madhe	kocaman
rreth	hakkında
rreth	yaklaşık
rreth	çevresinde
rreth	çevrede
rreth	etrafta
rreth	etrafında
para	para
para	nakit
para	önceki
para	önceden
para	önce
para	öncesi
para	öncesinde
per	hakkında
per	yaklaşık
per	icin
per	için
këto	bunlar
këto	bunları
këto	şunlar
banorë	sakinleri
komuna	belediyeler
komuna	belediye
komuna	belediyesi
komuna	belediyeye
cila	hangi
cila	hangisi
nje	biri
nje	bir
kundër	tezgah
kundër	karşı
kundër	karsi
kundër	aleyhinde
kundër	karşı
lista	liste
lista	listesi
lista	listeyi
lista	liste
lista	listeleri
lista	listeler
kantoni	canton
gjithashtu	ayrica
gjithashtu	ayrıca
cilat	hangi
cilat	hangisi
ndryshme	farklı
ndryshme	farkli
ndryshme	değişik
ndryshme	uyumsuz
etj	vb
duhet	ihtiyaç
duhet	lazım
duhet	ihtiyacım
duhet	gerek
sipërfaqe	yüzey
sipërfaqe	yüzeyleri
sipërfaqe	yüzeyi
sipërfaqe	yüzey
ato	onlar
ato	onları
ato	onlar
ato	bunlar
ato	şunlar
përgjithshëm	genel
përgjithshëm	general
tjetër	diğer
tjetër	diğeri
tjetër	öteki
tjetër	diger
tjetër	sonraki
tjetër	sırada
tjetër	sıradaki
njohur	tanıdık
njohur	aşina
njohur	tanıdı
njohur	tanınan
njohur	tanınan
njohur	bilinir
njohur	bilinen
shqiptar	arnavut
shqiptar	arnavutluk
shqiptar	arnavutça
shqiptar	shqiptar
style	tarz
style	stil
style	tarzı
style	biçim
dytë	ikinci
dytë	ikincisi
mirë	güzel
mirë	iyi
fundit	sonuncusu
fundit	last
fundit	sonuncu
fundit	son
pasi	sonrası
pasi	ardından
pasi	sonrasında
pasi	sonra
shiko	gör
shiko	görün
shiko	görmek
shiko	bak
nën	aşağıda
nën	aşağı
nën	aşağıya
nën	aşağıdan
nën	alt
nën	denizaltı
nën	altında
nën	altinda
nën	altına
jpg	jpg
herë	katla
herë	kat
herë	kez
herë	times
herë	zamanlar
viti	yıl
viti	yılı
viti	sene
sot	bugün
sot	bugünde
sot	bügün
sot	bugun
çdo	her
çdo	herhangi
lartë	high
lartë	yükseklerde
lartë	çak
lartë	yükseğe
lartë	yüksek
popullsi	nüfusu
popullsi	nüfus
kosovës	kosova
komunë	belediye
komunë	belediyesi
komunë	belediyeye
jetë	life
jetë	hayat
jetë	yaşam
jetë	ömür
president	başkan
president	cumhurbaşkanı
president	baskan
bërë	bitti
bërë	yapıldı
mes	ortası
mes	orta
mes	ortası
mes	orta
mes	arasında
mes	arasına
mes	arası
mes	arasındaki
vonë	gec
vonë	geç
vend	ülke
vend	vatan
vend	mekanı
vend	mekan
vend	yer
vend	mekân
vend	yer
