die	the
van	čvor
van	prezime
van	od
het	imam
het	got
het	dobio
het	dobila
het	ima
wat	što
wat	toga
word	postati
word	postanu
word	postale
word	postao
met	sa
was	bio
was	bili
vir	za
nie	nisu
dit	ove
deur	vrata
ook	također
ook	takođe
dat	toga
hulle	ih
suid	jug
uit	iz
uit	out
jaar	godina
eerste	prvo
eerste	prvi
maar	ali
kan	može
hierdie	ove
ander	ostala
ander	ostale
ander	drugim
ander	drugi
soos	kao
soos	like
afrika	afrika
afrika	afrički
afrika	afričke
afrika	afričkih
afrika	afrička
oor	oko
oor	uho
oor	preostali
oor	preostalih
oor	preostala
oor	preostale
een	jedan
een	jedna
gebruik	upotreba
gebruik	koristimo
gebruik	upotreba
gebruik	iskoristi
gebruik	koristi
gebruik	koriste
afrikaanse	afrički
afrikaanse	afričke
afrikaanse	afričkih
afrikaanse	afrička
groot	velikih
meer	jezero
meer	više
onder	ispod
onder	dno
twee	dva
kerk	crkva
tussen	između
gemeente	skupština
baie	veoma
baie	vrlo
baie	mnoge
baie	mnogi
begin	početak
begin	start
begin	početka
hul	njihov
hul	njihovi
hul	njihovo
hul	njihova
hul	njihove
lêer	ledger
waar	gdje
waar	gde
waar	istina
waar	tačna
dié	ove
eeu	vijek
haar	njen
haar	njena
haar	joj
eksterne	vanjska
eksterne	vanjski
sien	vidi
sien	jie
sien	vide
sien	vidjeti
sien	see
sien	vidimo
nuwe	novi
leë	prazan
leë	prazna
leë	prazna
hom	ga
hom	njega
voor	ispred
voor	front
voor	pre
voor	prije
stad	grad
land	zemlja
skakels	veza
later	kasnije
nog	nogai
nog	više
net	samo
net	samo
tydens	tokom
sou	bi
naam	ime
deel	podijeli
deel	dio
drie	tri
egter	međutim
grootste	najveći
pous	papa
sal	will
sal	će
sal	ce
kon	može
ons	naše
ons	naša
ons	naš
mense	narod
bestaan	postoje
bestaan	postoji
svg	svg
nasionale	nacionalni
nasionale	nacionalna
maak	make
maak	načiniti
kom	dođu
kom	dolaze
kom	dolazi
kom	doći
noord	sjever
jpg	jpg
gebied	teritorije
gebied	teritorija
vanaf	od
laat	kasni
laat	kasno
saam	zajedno
style	stilova
terwyl	dok
veral	posebno
veral	naročito
moet	moraju
moet	mora
weer	opet
weer	ponovo
weer	vremenska
werk	rad
werk	posao
klein	male
klein	mali
klein	manja
oos	istok
hier	tu
hier	ovde
hier	ovdje
tyd	vrijeme
geword	postati
geword	postanu
geword	postale
geword	postao
geword	postala
geword	postao
geword	postali
geword	postalo
vlag	zastava
verskeie	različite
verskeie	različita
verskeie	razni
verskeie	razne
verskeie	raznim
verskeie	raznih
verskeie	razni
verenigde	ujedinjene
verenigde	united
verenigde	ujedinjena
verenigde	ujedinjeni
mei	maj
wes	zapadu
wes	zapad
vorm	oblik
vorm	formi
staan	stoji
staan	stajanje
staan	stand
isbn	isbn
genoem	spomenut
genoem	spominje
genoem	spomenuo
genoem	pomenuo
genoem	spomenuta
dan	potom
dan	onda
dan	tada
dan	zatim
bevolking	populacija
gemaak	made
gemaak	napravio
gemaak	napravljena
gemaak	napravljen
gemaak	napravila
gebou	zgrada
jare	godina
januarie	januar
januarie	uputstvo
januarie	priručnik
junie	jun
junie	juni
amerikaanse	američki
amerikaanse	amerikanac
slegs	samo
slegs	samo
nadat	nakon
april	april
lank	visoka
lank	visok
lank	visoki
lank	dugi
lank	dug
lank	dugu
lank	long
lank	dugo
gestig	osnovana
gestig	osnovan
gestig	utemeljena
gestig	osnovano
oktober	oktobar
julie	jula
julie	juli
sedert	pokrenula
sedert	pokrenut
sedert	lansirana
sedert	pokrenuta
reeds	već
kaapstad	barcelona
september	septembar
engels	engleski
party	stranka
party	partija
desember	decembar
maart	mart
alle	all
alle	svi
alle	sve
augustus	august
gevolg	praćen
gevolg	slijede
gevolg	slijedili
februarie	februar
nou	sada
nou	now
nou	sad
meeste	većina
gebore	born
gebore	rođen
gebore	rođena
gebore	rođeni
provinsie	pokrajina
provinsie	županija
provinsie	okrug
provinsie	država
universiteit	univerzitet
beskou	smatraju
lewe	život
vier	četiri
vier	slavio
vier	slavila
vier	slavi
vier	slave
november	novembar
franse	francuski
dood	smrt
dood	mrtva
dood	mrtvi
dood	mrtvo
dood	mrtav
amptelike	zvanična
amptelike	zvaničnik
amptelike	zvanične
amptelike	zvanični
amptelike	službeni
koning	king
koning	kralj
der	der
moes	imao
dieselfde	ista
dieselfde	isti
dieselfde	isto
wêreld	world
wêreld	svjetski
wêreld	svijet
volgende	sljedeći
volgende	narednu
volgende	sledeći
volgende	slijedeći
geleë	lociran
miljoen	milion
aantal	veličina
aantal	kvantitet
plaaslike	lokalnom
plaaslike	lokalni
regs	pravo
regs	desno
dikwels	često
internasionale	međunarodno
internasionale	međunarodni
internasionale	international
eie	own
eie	vlastiti
eie	sopstvenog
eie	sopstvene
eie	sopstveni
eie	posjeduju
voëls	ptice
eers	prvo
eers	prvi
pretoria	pretoria
steeds	ipak
groep	grupa
stel	setu
stel	set
stel	postavio
stel	postavljeni
sluit	zatvori
sluit	blizu
sluit	bliskoj
sluit	bliski
sluit	blizak
sluit	bliska
frankryk	francuska
naby	blizu
naby	obližnje
hoofstad	kapital
verwys	naveo
verwys	naveli
verwys	navela
state	države
state	država
water	voda
einde	završiti
einde	kraj
duitsland	njemačka
regering	vlast
elke	svaki
kaap	rt
dae	dana
wanneer	kada
oorlog	rat
oorlog	ratu
laaste	last
laaste	poslednji
laaste	poslednja
laaste	posljednja
laaste	zadnja
laaste	posljednji
politieke	politička
politieke	politički
besluit	odlučuje
besluit	odlukom
besluit	odluka
besluit	odlučili
besluit	odlučilo
besluit	odlučila
besluit	odlučio
besluit	odlučiti
besluit	odluče
ryk	carstvo
ryk	bogata
ryk	bogato
ryk	bogati
ryk	bogatim
ryk	bogat
sommige	neki
gewoonlik	obično
gewoonlik	obično
geskiedenis	historija
vis	ribe
plaas	farma
plaas	post
wikipedia	wikipedia
wetenskaplike	naučnik
wetenskaplike	naučna
wetenskaplike	naučne
wetenskaplike	naučno
ontwikkel	razvijao
ontwikkel	razvijene
ontwikkel	razvio
lande	zemljama
lande	zemlje
seun	boy
seun	dječak
seun	dečak
seun	sin
algemene	general
verskillende	drugačija
verskillende	drugačije
verskillende	različita
verskillende	različito
verskillende	različiti
verskillende	različitih
europa	evropa
stadion	stadion
belangrike	važnom
belangrike	važna
belangrike	važno
belangrike	bitan
belangrike	važnih
belangrike	bitno
kinders	deca
kinders	djeca
kinders	djece
kinders	djecu
kinders	djeca
gedurende	tokom
neem	preuzeti
neem	uzeti
neem	take
neem	preuzme
munisipaliteit	borough
munisipaliteit	općina
tans	sada
tans	now
tans	sad
tans	trenutno
tans	prisutan
republiek	republika
kort	kratko
verder	dalje
verder	daljnje
mens	čovjek
plek	mjesto
ongeveer	približno
binne	unutrašnjost
binne	unutar
swart	crni
swart	crna
europese	evropljanin
europese	evropski
moontlik	mogući
moontlik	moguće
selfs	čak
enige	bilo
tydperk	trajanja
tydperk	trajanje
maande	meseci
maande	mjesecima
skool	škola
per	po
vroeë	ranim
familie	porodica
familie	porodično
voorkom	spriječiti
voorkom	spriječi
voorkom	spriječili
mag	maj
geneem	odveden
geneem	uzeo
geneem	donesena
hoe	kako
eiland	ostrvo
volg	track
volg	stazi
volg	povode
volg	slijede
volg	slijedi
soms	ponekad
engeland	engleska
johannes	johannes
johannes	john
vyf	pet
sonder	bez
johannesburg	johannesburgu
ontwerp	dizajn
aarde	zemlja
gee	daj
gee	dati
gee	dajte
kry	get
paar	par
paar	nekoliko
rol	uloga
rol	roll
vrou	žena
vrou	supruga
vrou	žena
gebiede	teritorije
gebiede	teritorija
gebiede	područja
gebiede	oblasti
derde	treći
derde	treća
derde	treće
dag	dan
john	john
moderne	moderna
moderne	savremena
moderne	savremen
woord	riječ
groter	veće
groter	veću
groter	veća
groter	veće
groter	veći
president	predsjednik
koninkryk	kraljevina
koninkryk	kraljevstvo
tale	jezici
tale	jezike
ontvang	primaju
ontvang	primio
ontvang	dobio
ontvang	dobila
ontvang	prima
ontvang	primanje
bly	ostala
bly	ostati
bly	ostanu
bly	boravka
amerika	amerika
hoewel	iako
webwerf	web
staat	država
weens	zbog
vandag	danas
daardie	oni
daardie	one
ekonomiese	ekonomske
ekonomiese	ekonomska
ekonomiese	ekonomski
aanvaar	prihvatio
aanvaar	prihvaćena
aanvaar	primljeni
aanvaar	primljen
aanvaar	prihvatili
aanvaar	prihvatiti
aanvaar	prihvate
aanvaar	prihvati
hou	hold
hou	održati
hou	drže
hou	zadrži
hou	keep
geskryf	pisani
geskryf	napisano
geskryf	zapisano
geskryf	napisao
geskryf	pisan
geskryf	pisao
geskryf	spaljeno
geskryf	spaljena
hele	cijela
hele	čitave
hele	cijela
hele	čitava
bevat	sadrži
skrywer	pisac
skrywer	autor
see	see
see	moru
see	more
verander	promjene
verander	promjena
verander	izmjena
verander	promjene
verander	promjeni
verander	promene
verander	promena
bereik	dostići
bereik	postigli
bereik	postignutim
russiese	ruski
weg	away
weg	daleko
inwoners	stanovništvo
beteken	znači
beteken	mean
man	muž
man	muškarac
huis	dom
huis	home
huis	kuća
besoek	utisak
besoek	posjetu
besoek	posjeta
besoek	posjetili
besoek	posjetila
besoek	posjetio
administratiewe	upravna
bekende	poznati
bekende	poznata
bekende	poznat
bekende	poznate
bekende	slavni
gespeel	igrala
gespeel	odigrana
gespeel	igrao
gespeel	svirao
gespeel	odigrano
gespeel	odigrali
beste	najbolji
beste	best
rusland	rusija
kerke	crkava
rooi	crvena
skryf	pisu
skryf	napiši
skryf	pišu
skryf	burn
wie	ko
wie	koji
visse	ribe
suidelike	južni
romeinse	rimski
romeinse	rimsko
romeinse	roman
alhoewel	iako
gekry	našla
gekry	pronađen
gekry	pronađena
gekry	pronašli
gekry	pronašao
gekry	utvrdila
gekom	putovali
gekom	otputovao
verskyn	pojaviti
hoë	visoko
hoë	visoki
sterk	jaka
sterk	jaki
africa	afrika
londen	london
reeks	serija
reeks	seriji
hoofsaaklik	primarno
hoofsaaklik	prevashodno
eilande	ostrva
belangrikste	primarna
belangrikste	primarni
speel	play
speel	igrati
speel	igraju
speel	puštanje
speel	sviranje
speel	igraju
speel	playing
wel	pa
bou	izgradnji
bou	gradi
bou	grade
bou	graditi
bou	sagraditi
wil	žele
minder	manje
gelei	vodio
gelei	vodili
gelei	predvodio
gelei	predvodi
stigting	osnivački
stigting	osnivanja
stigting	formiranje
stigting	formiranja
stigting	formacija
gegee	dat
beskryf	opisati
beskryf	opisivanje
streek	regija
streek	regionalni
streek	regionalna
gesien	vidjeli
gesien	viđena
gesien	vidio
gesien	viđen
rivier	rijeka
mees	većina
jan	jan
ses	šest
grond	tlo
grond	tlu
grond	land
grond	kopnena
grond	zemlja
grond	terenu
grond	tlo
grond	kopnena
grond	tlu
grond	ground
spesies	vrsta
beroep	profesiji
beroep	struke
beroep	profesije
png	png
verklaar	proglašeno
verklaar	proglašeni
verklaar	proglasile
verklaar	proglasio
gedoen	uradio
gedoen	urađen
gedoen	završeno
gedoen	urađeno
lede	članovi
george	george
iii	iii
