par	za
gada	godišnje
gada	godišnje
gada	godišnja
gada	godišnji
arī	također
arī	takođe
bija	imao
bija	imali
bija	imala
bija	bio
bija	bila
kas	što
kas	sta
kas	šta
kas	tko
kas	ko
kas	koji
kas	koja
kas	koje
kas	koja
kas	koji
tika	bio
tika	bila
pēc	nakon
pēc	poslije
līdz	dok
bet	ali
latvijas	latvijski
var	svibanj
var	may
var	svibnja
var	može
var	mogu
var	moze
saites	kravate
saites	poveznice
laikā	tijekom
tas	ovo
tas	to
dzimis	rođeni
dzimis	rođen
dzimis	rođena
valsts	zemlja
valsts	država
valsts	domovina
valsts	stanje
valsts	država
valsts	stanja
valsts	stanju
nav	nijedan
nav	nijedna
tās	oni
atrodas	smješten
gan	oboje
tikai	samo
tikai	jedino
tikai	samo
latviešu	latvijski
viņa	njegovo
viņa	njegov
viņa	njegova
viņa	ona
asv	usa
kad	kada
kad	kad
gadu	godine
gadu	godina
pilsētas	gradove
pilsētas	gradovi
pilsētas	gradove
pilsētas	gradova
pilsētas	gradovi
pilsētas	urbana
kur	gdje
vieta	mjesto
vieta	mesto
vieta	lokacija
vieta	lokaciju
vieta	site
vieta	sajt
kļuva	postao
kļuva	postala
kļuva	postalo
kara	rat
kara	rata
iela	street
iela	ulica
iela	ulicu
jau	već
jau	vec
miris	preminuli
miris	preminuo
miris	pokojni
miris	mrtav
novada	otpušten
kopā	ukupno
kopā	zajedno
krievijas	ruska
krievijas	rus
krievijas	ruski
krievijas	rusko
attēls	sliku
attēls	slika
attēls	sliku
attēls	slika
attēls	figura
starp	izmedju
starp	između
pilsēta	town
pilsēta	grad
pilsēta	grad
pilsēta	gradom
vēlāk	kasnije
viens	jedan
viens	jedna
pret	protiv
eiropas	europski
eiropas	europska
eiropas	europske
eiropas	europsko
taču	ali
utc	utc
tomēr	međutim
kuru	čije
kuru	ciji
ļoti	vrlo
vācu	njemački
vācu	nijemac
vācu	njemacki
vēl	ipak
viena	jedan
viena	jedna
pagasts	parish
pagasts	župi
pagasts	župe
vairāk	više
daļa	dijelom
daļa	dio
daļa	podijeli
jpg	jpg
rīgā	rigi
tad	onda
kuras	koje
kuras	koja
kuras	koji
tie	oni
pirms	prije
zemes	zemlja
zemes	zemlja
zemes	kopno
zemes	land
zemes	zemljište
zemes	tlo
šaha	šah
kura	čije
kura	ciji
kura	koje
kura	koja
kura	koji
pirmā	prvo
pirmā	prvi
centrs	centar
centrs	centar
centrs	središte
centrs	sredina
psrs	sssr
kurš	tko
kurš	ko
kurš	koji
kurš	koja
trīs	tri
viņu	njihova
viņu	njihovo
viņu	njihov
viņu	mu
viņu	njega
viņu	njemu
viņu	ga
parasti	općenito
parasti	generalno
parasti	obično
parasti	uobičajeno
pat	čak
pat	pat
jūras	marine
jūras	marinac
http	http
pirmais	prvo
pirmais	prvi
spēles	utakmice
spēles	igre
spēles	igrice
nosaukums	naziv
nosaukums	ime
team	ekipa
team	momčad
team	reprezentacija
team	tim
sezonas	sezonski
sezonas	sezone
sezonas	sezona
visu	sve
visu	sve
visu	svi
grupas	grupa
grupas	grupe
vienu	jedan
vienu	jedna
rīga	rigi
ieguva	nabavio
ieguva	stekao
ieguva	osvojio
ieguva	pobijedio
ieguva	pobjedio
laika	vrijeme
laika	vreme
laika	vrijeme
lielākā	najveći
lielākā	najveće
gads	godine
gads	godina
skatīt	vidi
centra	centar
centra	središte
centra	sredina
bijis	bio
otrā	drugi
otrā	drugo
otrā	druga
padomju	sovjetski
padomju	sovjetska
padomju	daske
krievu	ruska
krievu	rus
krievu	ruski
krievu	rusko
krievu	russo
score	rezultat
score	ocjena
angļu	englezi
angļu	engleski
angļu	english
profils	profil
vācijas	njemački
vācijas	nijemac
vācijas	njemacki
vācijas	njemačka
vācijas	njemačkoj
bez	bez
tautas	popularni
tautas	popularna
tautas	popularan
tautas	popularne
tautas	popularno
tautas	folk
tautas	narodi
apmēram	otprilike
apmēram	približno
garums	duljina
garums	dužina
garums	dužine
daudz	mnoge
daudz	mnogi
daudz	puno
daudz	mnogo
divas	dva
komandas	naredbe
komandas	timovi
komandas	ekipe
komandas	momčadi
jānis	jānis
pils	castle
pils	dvorac
pils	zamak
pils	diss
pils	palači
pils	palača
pils	palace
vietas	spot
vietas	lokacije
vietas	mesta
vietas	mjesta
valodas	jezike
valodas	jezicima
valodas	jezici
pašlaik	trenutačno
pašlaik	trenutno
romas	rim
sezonā	sezone
sezonā	sezona
novads	općina
novads	općine
grupa	grupa
piedalījās	sudjelovalo
piedalījās	sudjelovao
piedalījās	sudjelovala
piedalījās	sudjelovali
šis	ovo
valodā	autentično
ūdens	vode
ūdens	voda
bieži	zajednički
bieži	zajedničko
bieži	zajednička
šīs	ovi
šīs	ove
tiesības	privilegije
tiesības	povlastice
tiesības	privilegija
tiesības	desno
tiesības	pravo
tiesības	prava
valoda	jezik
polijas	poljska
polijas	poljski
polijas	poljska
fon	von
janvārī	siječanj
janvārī	siječnja
sugas	vrsta
sugas	vrste
pasaulē	world
pasaulē	svijeta
pasaulē	svijet
jūlijā	srpnja
jūlijā	juli
jūlijā	srpanj
jūlijā	jula
ciems	selu
ciems	selo
citas	drugi
citas	drugo
citas	druga
citas	ostali
citas	drugi
citas	druge
skaits	računati
skaits	grof
skaits	broji
skaits	broj
ziemeļu	sjeverno
ziemeļu	sjeverna
ziemeļu	sjever
ziemeļu	nordijska
ziemeļu	sjeverni
ziemeļu	sjevernom
ziemeļu	sjeverna
suga	vrsta
suga	vrste
spēlē	sviraj
spēlē	igraj
spēlē	igramo
spēlē	igranje
aptuveni	cca
aptuveni	otprilike
aptuveni	približno
mūzikas	glazbeni
mūzikas	mjuzikl
apriņķis	županije
apriņķis	okrugu
apriņķis	okrug
apriņķis	županija
apriņķis	kotar
upes	rijeke
upes	river
upes	rijeci
upes	rijeka
upes	rijeke
upes	reke
upes	rivers
komanda	naredba
komanda	ekipa
