年	jaar
月	maan
月	maande
月	maand
日	dag
和	en
村	village
村	dorpie
人	man
人	mense
小行星	asteroids
小行星	asteroïde
重	swaar
重	swaarder
一	een
定向	oriëntasie
但	maar
也	ook
拉	trek
後	na
後	nadat
後	ná
留言	boodskap
市	stad
市	munisipaliteit
克	gram
新	nuut
新	nuwe
站	stasie
站	staan
州	staat
州	deelstaat
州	provinsie
州	toestand
州	spasie
研究	studeer
研究	bestudeer
研究	studie
研究	studeer
研究	studies
研究	navorsing
日本	japan
日本	japannees
三	drie
前	voor
前	before
家	tuis
家	huistoe
家	tuisblad
家	huis
近	naby
米	rys
米	meter
多	nog
多	meer
使用	gebruik
使用	gebruik
基	kei
王	heer
王	king
王	koning
王	wang
林	lin
公司	corporate
公司	korporatiewe
公司	maatskappy
公司	maatskappye
公司	companies
李	lee
一個	een
西	wes
省	provinsie
省	governorate
度	grade
度	graad
卡	kaarte
卡	kaarte
二	twee
小	small
小	klein
小	bietjie
小	klein
小	tiny
相似	soortgelyke
區	sone
區	distrik
區	omgewing
區	gebied
區	oppervlakte
區	area
人口	demografie
人口	demografiese
人口	bevolking
人口	populasie
四	vier
政府	regerings
政府	regering
道	dao
將	sal
高	hoë
高	hoog
高	tall
高	lank
高	hoog
高	gao
美國	amerika
集	gestel
集	instel
集	stel
集	episode
布	broek
世界	wêreld
南	nan
南	suid
南	nam
路	pad
路	road
五	vyf
本	ben
金	jin
金	goud
金	kim
林肯	lincoln
人民	mense
包括	ingesluit
包括	insluit
包括	ingesluit
包括	insluitende
包括	insluitend
峰	toppunt
峰	rylaan
峰	peak
峰	pieke
位於	geleë
其他	ander
塔	pagoda
塔	tower
塔	toring
縣	provinsie
縣	county
縣	canton
第一	eerste
第一	eers
任	ren
時間	tyd
時間	tydstip
比	ratio
比	verhouding
元	meta
元	yuan
元	dollar
元	gewen
中國	china
中國	sjina
六	sesde
六	ses
主要	major
主要	majoor
主要	hoofvak
主要	hoof
城	stad
城	kasteel
法	metode
中心	sentrums
中心	sentreer
中心	gesentreer
中心	sentreer
線	lyn
線	reëls
線	draad
第二	sekondes
第二	sekonde
山	berg
山	mount
山	monteer
山	heuwel
山	hill
山	mountains
山	berge
太空	spasie
自己	myself
張	chang
內	innerlike
主	here
雷	bestraling
雷	ray
管理	bestuur
管理	bestuur
成為	word
成為	geword
建	bou
性	seksuele
性	seks
性	geslag
性	sex
成	sung
代表	verteenwoordigers
代表	verteenwoordiger
代表	delegeer
那	then
那	dan
公里	kilometer
公里	kilometer
公里	kilometer
公里	kilometers
海	see
海	oseaan
這	dit
這	hierdie
這	dié
大學	universiteite
大學	universiteit
大學	kollege
版	uitgawe
從	van
從	vanuit
從	vanaf
羅	luo
原	oorspronklik
原	oorspronklike
原	hara
工作	werk
工作	job
工作	werkie
工作	werk
工作	jobs
工作	werksgeleenthede
工作	werke
工作	betrekkings
工作	poste
工作	werksaam
北	kita
北	noorde
北	noord
政治	politiek
政治	politieke
星	ster
星	star
星	sterre
她	sy
陳	chen
陳	chan
河	rivier
文化	kultuur
文化	kulture
條目	inskrywings
馬	perde
馬	horse
馬	perd
氏	clan
更	nog
更	meer
曼	mann
電影	fliek
電影	rolprent
電影	cinema
電影	rolprent
電影	flieks
電影	rolprente
電影	movies
季	seisoen
季	seisoene
龍	dragons
龍	long
龍	draak
龍	dragon
女	vrou
女	vroulik
女	wyfie
正式	formele
正式	formal
外	buite
明	ming
美	mooi
美	skoonheid
字	woord
字	woorde
因為	want
北京	beijing
北京	peking
不同	verskillende
不同	anders
足球	sokker
足球	voetbal
目前	tans
所有	alle
所有	alles
所有	all
所有	almal
所有	al
所有	als
部分	gedeeltelik
部分	gedeeltelike
部分	gedeeltelik
中央	sentrale
中央	sentraal
森	sen
森	sep
森	mori
郡	provinsie
郡	county
國家	provinsies
國家	deelstate
國家	state
國家	country
國家	land
國家	staat
國家	deelstaat
國家	provinsie
國家	toestand
國家	spasie
國家	nasionale
國家	national
國家	nasionaal
國家	lande
球	bal
生	rou
但是	maar
街	straat
提供	verskaf
提供	voorsien
提供	verskaf
城市	stad
城市	stede
一些	sommige
長	lank
水	water
軍	weermag
軍	leër
軍	army
加入	aangesluit
加入	accession
英	ying
上海	shanghai
史	shi
第三	derde
屬	genus
魚	vis
魚	visvang
波	waai
波	golf
回	rug
回	agterkant
回	terug
無	beweeg
無	reflekteer
你	julle
你	jy
方	fan
話	dialek
東	oos
東	dong
英國	engeland
英國	england
周	week
周	vakansie
周	weke
周	zhou
石	shi
石	klip
事件	voorval
事件	insident
事件	insidente
事件	gebeure
事件	aktiwiteite
事件	geleenthede
事件	aktiwiteite
事件	geleentheid
建立	skepping
建立	vestiging
建立	bou
生活	leef
生活	tuiste
生活	lewe
派	doodeenvoudig
教育	opvoedkundige
教育	opvoeding
教育	opvoedkunde
教育	onderwys
教育	opleiding
教育	onderrig
車站	stasie
之後	na
之後	nadat
之後	ná
萬	wan
國際	internasionaal
國際	internasionale
獎	toekennings
獎	toekenings
獎	prys
獎	toekenning
完成	klaar
完成	afgehandel
完成	einde
完成	voltooi
完成	voltooi
完成	gedoen
完成	klaar
完成	voltooi
完成	afgehandel
白	white
白	bai
音樂	musiek
音樂	musical
沙	sand
沙	shah
可能	moontlik
分布	verspreiding
分布	verspreide
地區	gebiede
地區	distrik
地區	omgewing
地區	gebied
地區	oppervlakte
地區	area
車	kar
車	motor
車	motorvoertuig
車	motors
車	karre
車	cars
官	beampte
梅	may
梅	mei
梅	mag
中文	sjinese
