புரி	puri
அமோனியா	ammoniak
அமோனியா	ammonium
தத்	dutt
அய்யா	sir
அய்யா	herr
அல்பிரட்	alfred
உயரும்	steigen
உயரும்	erheben
உயரும்	anstieg
உயரும்	aufstieg
நிர்ணய	gründung
நிர்ணய	errichtung
நிர்ணய	einrichtung
நிர்ணய	niederlassung
இரைப்பை	bauch
இரைப்பை	magen
கோபேன்	cobain
பூட்டோ	bhutto
விசிறி	fächer
விசிறி	lüfter
விசிறி	ventilatoren
விசிறி	fan
விசிறி	gebläse
மூடப்பட்டது	abgeschlossen
மூடப்பட்டது	geschlossene
மூடப்பட்டது	geschlossen
ஈஸ்டர்	ostern
உணர்வுகளை	gefühle
உணர்வுகளை	gefühlen
வெளியேறு	verlassen
வெளியேறு	hinterlassen
வெளியேறு	weggehen
வெளியேறு	ausfahrt
வெளியேறு	beenden
வெளியேறு	ausgang
வெளியேறு	verlassen
வெளியேறு	abfahrt
வெளியேறு	abwerfen
வெளியேறு	auswerfen
பிரேசிலிய	brasilianischer
பிரேசிலிய	brasilianische
பிரேசிலிய	brasilianischen
பிரேசிலிய	brasilianer
போராடிய	gekämpft
போராடிய	kämpften
போராடிய	kämpfte
தக்காளி	tomate
தக்காளி	tomaten
தக்காளி	tomate
தக்காளி	tomaten
குடை	schirm
குடை	regenschirm
குடை	sonnenschirm
போல்ட்	bolzen
போல்ட்	bolt
போல்ட்	schraube
கிரான்ட்	gewähren
கிரான்ட்	zuschuss
கிரான்ட்	grant
தொப்புள்	nabel
துரிதமாக	rasch
துரிதமாக	schnell
பழம்பெரும்	legendäre
பழம்பெரும்	legendären
பழம்பெரும்	legendär
பதினோரு	eleven
பதினோரு	elf
வெடிகுண்டு	bombe
வெடிகுண்டு	atombombe
வெடிகுண்டு	bombardieren
வெடிகுண்டு	bomben
கிளைவ்	clive
கட்டடக்கலை	architektur
அளக்க	maßnahme
அளக்க	messen
அளக்க	maß
அளக்க	massnahme
உதவியாளர்	assistentin
உதவியாளர்	assistenz
உதவியாளர்	assistent
உதவியாளர்	assistenten
உதவியாளர்	helfer
உதவியாளர்	hilfsprogramm
நீயே	selber
நீயே	selbst
வல்லுனர்	fachmann
வல்லுனர்	experten
வல்லுனர்	experte
வல்லுனர்	sachverständiger
வல்லுனர்	sachverständige
சுவாசம்	atem
சுவாசம்	atmung
சுவாசம்	atmen
சுவாசம்	atemzug
நீங்களே	selber
நீங்களே	selbst
வறட்சி	dürren
வறட்சி	dürre
வறட்சி	trockenheit
மக்களே	leute
மக்களே	menschen
மக்களே	personen
சிறுபான்மையினர்	minderheiten
சிறுபான்மையினர்	minderheit
எமிலி	emily
இருமல்	husten
மேசை	tisch
மேசை	tabelle
மேசை	schreibtisch
மேசை	bildschirm
