serena	serena
declarada	déclarées
declarada	déclarée
declarada	déclaré
declarada	déclarés
unam	unam
salsa	salsa
salsa	sauce
salsa	sauce
salvaje	wild
salvaje	sauvage
salvaje	sauvages
salvaje	sauvage
salvaje	savage
bryan	bryan
alfabeto	alphabet
manuscrito	manuscrit
manuscrito	manuscrits
petersburgo	pétersbourg
petersburgo	petersbourg
gosse	gosse
visitó	visités
visitó	visitée
visitó	visité
horizontal	horizontales
horizontal	horizontaux
horizontal	horizontal
horizontal	horizontalement
horizontal	horizontale
vestido	habillé
vestido	habillée
vestido	habillées
vestido	vêtue
vestido	habillés
vestido	robe
especializada	spécialisé
especializada	spécialisée
especializada	spécialisées
especializada	spécialisés
especializada	spécialisé
especializada	spécialisée
especializada	spécialisées
especializada	spécialisés
octavo	eighth
octavo	huitième
palestina	palestine
palestina	palestinienne
palestina	palestinien
palestina	palestinienne
palestina	palestinien
palestina	palestiniens
ampliar	agrandissement
ampliar	agrandir
ampliar	agrandis
ampliar	élargir
ampliar	agrandir
ampliar	zoom
ampliar	zoomer
ampliar	étendre
ampliar	agrandir
ampliar	développez
ampliar	élargir
cartel	poster
cartel	affiches
cartel	affiche
cartel	panneau
cartel	entente
cartel	cartels
cartel	cartel
maryland	maryland
arm	bras
arm	arm
granja	ferme
granja	fermes
granja	ferme
patas	cuisses
patas	jambes
patas	pattes
patas	pattes
vanguardia	vanguard
presentada	présentés
presentada	présentées
presentada	présentée
presentada	présenté
presentada	soumise
presentada	soumises
presentada	présenté
presentada	soumis
masters	masters
masters	capitaines
masters	maîtres
préstamo	emprunt
préstamo	prêt
estatuto	statuts
estatuto	statut
estatuto	statuts
dream	reve
dream	rêves
dream	dream
dream	rêver
dream	rêve
liderazgo	leadership
mostrando	montrant
mostrando	affichant
space	espace
célula	cell
célula	cellules
célula	cellule
lineal	linéaires
lineal	linéaire
franquicia	franchise
franquicia	franchises
franquicia	franchisé
franquicia	franchisés
tervuren	tervuren
adquirir	achats
adquirir	acheter
adquirir	achat
adquirir	achetez
adquirir	acquérir
adquirir	acquérir
expulsión	expulsion
expulsión	expulsions
expulsión	expulsion
expulsión	déportations
expulsión	déportation
linda	linda
linda	cute
linda	mignons
linda	mignon
linda	mignonne
linda	sympa
linda	gentil
linda	joli
linda	jolie
linda	nice
genes	gènes
genes	gènes
genes	gène
genes	gene
plana	plats
plana	plat
nicolas	nicolas
perón	perón
observaciones	remarques
observaciones	observations
observaciones	observations
observaciones	commentaires
