और	un
से	no
है	hai
एक	viens
एक	viena
एक	vienu
श्रेणी	kategoriju
श्रेणी	kategorija
श्रेणी	kategorijā
श्रेणी	sērija
श्रेणी	sērijas
श्रेणी	kategorijās
श्रेणी	kategorijām
श्रेणी	kategorijas
भी	pat
भी	arī
भी	pārāk
यह	šī
यह	šo
यह	šis
यह	tas
किया	did
किया	paveikts
किया	darīts
किया	izdarīts
इस	šī
इस	šo
इस	šis
इस	tas
हैं	ir
कि	ka
कि	tas
भारत	indija
भारत	indijā
भारत	indijas
जो	džo
जो	kas
जो	pvo
जो	kurš
ही	hee
रूप	forma
रूप	izskats
कर	nodokļi
कर	nodoklis
कर	nodokļi
नहीं	nav
नहीं	ne
नहीं	nē
गया	aizgāja
गया	devās
गया	gāja
साथ	gar
साथ	ar
साथ	kopā
पूर्व	austrumos
पूर्व	austrumu
पूर्व	austrumi
पूर्व	bijusī
पूर्व	bijušie
पूर्व	bijušais
होता	būtu
बाद	vēlāk
बाद	vēlākā
बाद	pēc
तक	līdz
तक	tak
अपने	paša
अपने	pašu
अपने	tavas
अपने	tavu
अपने	tavs
अपने	jūsu
अपने	tava
जिले	apgabali
जिले	rajoni
था	bija
था	bija
था	tika
राज्य	valstis
राज्य	valsts
राज्य	štats
बाहरी	āra
बाहरी	sportot
बाहरी	ārējais
बाहरी	ārējā
बाहरी	ārējais
बाहरी	ārējs
बाहरी	ārējā
कुछ	dažas
कुछ	dažiem
कुछ	daži
कुछ	kautkas
ईसा	jēzus
गाँव	ciema
गाँव	ciemata
गाँव	ciems
गाँव	ciematu
गाँव	ciemu
गाँव	ciemats
सरकार	biedējoši
सरकार	valdība
सरकार	valdības
कड़ियाँ	ķēdēm
कड़ियाँ	ķēdes
कड़ियाँ	ķēdēs
कड़ियाँ	saites
कड़ियाँ	links
प्रदेश	reģions
इसके	tās
दिया	dots
दिया	dota
दिया	dotas
दिया	iedeva
अन्य	pārējie
अन्य	citi
अन्य	cits
अन्य	citādi
अन्य	citas
अन्य	citas
अन्य	citi
अन्य	pārējie
वर्ष	gadus
वर्ष	gadi
वर्ष	gadiem
वर्ष	gadu
वर्ष	gads
समय	laiks
समय	laika
नाम	vārds
नाम	nosaukums
वे	viņi
वे	tie
वे	tās
प्रकार	tips
प्रकार	veids
प्रकार	tipi
प्रकार	veidi
भारतीय	indiešu
भारतीय	indijas
किसी	kāds
किसी	kādam
क्षेत्र	teritorija
क्षेत्र	platība
क्षेत्र	apgabals
क्षेत्र	laukums
क्षेत्र	reģions
क्षेत्र	jomas
क्षेत्र	apgabali
क्षेत्र	teritorijas
क्षेत्र	platības
अधिक	vairāk
अधिक	vairak
कई	daudziem
कई	daudz
कई	daudzi
कई	daudzus
कई	daudzas
कई	vairākas
कई	vairāki
स्थित	atrodas
मण्डल	zona
आधिकारिक	amatpersona
आधिकारिक	ierēdnis
कारण	iemesli
कारण	pamatojums
कारण	iemesls
कारण	cēlonis
कारण	izraisīt
कारण	cēloņi
कारण	iemesli
कारण	cēloņus
होने	tiek
जैसे	patīk
जैसे	like
उनके	viņu
उनके	viņiem
सबसे	vairums
सबसे	visvairāk
हिन्दी	hindi
बहुत	ļoti
बहुत	loti
पहले	pirms
पहले	agrāk
पहले	pirmais
पहले	pirmā
पहले	pirmās
पहले	pirmie
पहले	pirma
पहले	vispirms
अपनी	paša
अपनी	pašu
दो	divas
दो	divus
दो	divi
जिला	rajons
जिला	apgabals
जब	kad
उन्होंने	viņi
उन्होंने	tie
उन्होंने	tās
उन्होंने	ēģiptieši
जन्म	dzimuši
जन्म	dzimis
जन्म	dzimusi
जन्म	dzimšanas
जन्म	dzemdības
कोई	jebkuru
कोई	jebkura
कोई	jebkurš
इन	snn
इन	inn
लेकिन	bet
लेकिन	taču
ये	šī
ये	šo
ये	šis
ये	tas
ये	šīs
ये	šie
कम	zema
कम	zemā
कम	mazs
कम	zems
कम	mazāk
कहा	teica
कहा	pateikts
लोग	cilveki
लोग	cilvēki
लोग	tauta
लोग	cilvēkiem
आदि	etc
आदि	utt
आदि	vairāk
आदि	vairak
आदि	adi
उसके	viņa
उसके	viņai
उसके	viņas
प्राचीन	primitīvi
प्राचीन	senas
प्राचीन	senā
प्राचीन	senās
प्राचीन	senie
देखें	skatīties
देखें	pulkstenis
देखें	skaties
देखें	redz
देखें	skatīt
देखें	skats
देखें	apskatīt
उत्तर	atbildēt
उत्तर	atbildi
उत्तर	atbilde
उत्तर	ziemeļi
उत्तर	ziemeļos
उत्तर	ziemeļu
उत्तर	atbildes
भाषा	valodas
भाषा	valoda
लिये	par
लिये	priekš
लिये	for
सभी	visiem
सभी	visu
सभी	visas
सभी	visi
सभी	visa
प्राप्त	iegūtie
प्राप्त	iegūti
प्राप्त	iegūta
प्राप्त	iegūts
प्राप्त	iegūtā
प्राप्त	saņemts
प्राप्त	saņemtas
प्राप्त	saņemtās
प्राप्त	saņemti
प्राप्त	saņēma
प्राप्त	saņemt
प्राप्त	saņem
इसका	tās
प्रयोग	eksperimentos
प्रयोग	izmēģinājumi
प्रयोग	eksperimenti
प्रयोग	lietošana
प्रयोग	izmantošana
प्रयोग	lietojums
प्रयोग	izmēģinājums
प्रयोग	eksperimentu
