மற்றும்	và
ஒரு	xả
ஒரு	một
ஒரு	one
இந்த	này
இந்த	những
ஆம்	vâng
ஆம்	dạ
இது	này
மக்கள்	người
என்ற	the
ஆண்டு	năm
என்று	thế
என்று	rằng
என்று	điều
என்று	mà
என்று	vn
தமிழ்	tamil
இருந்து	khỏi
இருந்து	từ
பல	nhiều
பல	nhiều
முதல்	khỏi
முதல்	từ
முதல்	trước
முதல்	đầu
மேலும்	thêm
சில	vài
சில	cầy
உள்ளது	rảnh
அவர்	her
அவர்	cổ
வெளி	outsourcing
அமைந்துள்ளது	nằm
மூலம்	nguồn
மூலம்	gốc
மூலம்	tác
வரை	vẽ
பின்னர்	rồi
பின்னர்	sau
ஆனால்	nhưng
வேண்டும்	cần
வேண்டும்	muon
வேண்டும்	muốn
வேண்டும்	nên
கொண்டு	mang
கொண்டு	với
கொண்டு	bằng
பட்டியல்	kê
பட்டியல்	list
பட்டியல்	danh
அமைந்துள்ள	nằm
அதன்	its
பெண்கள்	nữ
பெண்கள்	girls
பெண்கள்	gái
கொண்டுள்ளது	đã
கொண்டுள்ளது	chứa
போது	khi
இணைப்புகள்	xích
இணைப்புகள்	links
இரண்டு	hai
இரண்டு	two
தகவல்	info
மாவட்ட	huyện
மொத்த	tổng
வளர்ச்சி	gai
மாவட்டம்	huyện
அந்த	thế
அந்த	rằng
அந்த	điều
அந்த	mà
அந்த	vn
மிகவும்	cực
மிகவும்	rất
திட்டம்	plan
தேசிய	gạt
கலந்து	dự
இலங்கை	srilanka
இலங்கை	ceylon
இலங்கை	srilankan
இங்கு	đây
கி	kyi
அமெரிக்க	american
அமெரிக்க	mỹ
அடிப்படை	base
பெயர்	tên
பெயர்	thẻ
பெயர்	nhãn
மூன்று	tre
மூன்று	ba
மூன்று	three
ஆண்கள்	nam
ஆண்கள்	hãm
ஒன்று	thu
ஒன்று	men
ஒன்று	thà
ஒன்று	chùm
ஒன்று	xả
ஒன்று	một
ஒன்று	one
ஐக்கிய	united
ஐக்கிய	hoa
புதிய	new
புதிய	mới
புதிய	sâm
புதிய	tươi
அவரது	ngành
அவரது	her
அவரது	cổ
மொத்தம்	tổng
இவை	những
சிறந்த	tuyệt
சிறந்த	nhất
சிறந்த	đan
அரசு	phủ
பெரிய	tuyệt
பெரிய	lớn
பெரிய	to
பெரிய	đúc
பெரிய	đại
பெரிய	big
பெரிய	lớn
ஊரக	rural
நாள்	ngày
நாள்	day
பிறப்பு	generic
பிறப்பு	sinh
பிறப்பு	sinh
பிறப்பு	hatch
இருந்தது	aw
இருந்தது	bị
முக்கிய	chính
முக்கிய	main
முக்கிய	trọng
திரைப்படங்கள்	phim
பிற	khác
அவர்கள்	them
அவர்கள்	cói
அவர்கள்	chúng
அவர்கள்	họ
அவர்கள்	quất
அவர்கள்	những
அவர்கள்	chúng
அவர்கள்	họ
மொழி	ngữ
கோயில்	đền
கோயில்	chùa
பொதுவாக	tướng
பொதுவாக	chung
அக்டோபர்	oct
தன்	ngành
தொடர்ந்து	giữ
இரண்டாம்	giây
சென்னை	chennai
வரும்	đến
வரும்	tới
மே	may
ஒவ்வொரு	mỗi
ஒவ்வொரு	hằng
ஒவ்வொரு	mỗi
மட்டுமே	chỉ
மட்டுமே	duy
பகுதியில்	loạt
பகுதியில்	vực
பகுதியில்	vùng
நூல்கள்	sách
பின்	ghim
பின்	pin
பின்	theo
பின்	sau
இல்லை	không
இல்லை	ko
அதிக	cao
மிக	cực
மிக	rất
நான்கு	bốn
பிறகு	rồi
பிறகு	sau
பிறகு	theo
பிறகு	sau
பகுதி	loạt
பகுதி	vực
பகுதி	vùng
பகுதி	loạt
பகுதி	tần
பகுதி	vùng
பகுதி	saga
பகுதி	part
பகுதி	phần
பகுதி	đoạn
பற்றி	khoảng
பற்றி	về
பற்றி	ban
ஆறு	six
ஆறு	sáu
ஆறு	sông
மீண்டும்	lại
காலம்	mùa
காலம்	season
காலம்	gian
காலம்	thời
நிலை	bang
நிலை	mức
நிலை	tầng
நிலை	cấp
ஒரே	cùng
போர்	tranh
போர்	chiến
பொருள்	nguyên
அறிவியல்	khoa
பேச்சு	nói
இதனால்	với
இதனால்	bằng
அனைத்து	hết
ஏப்ரல்	apr
உலக	giới
கே	gay
கீழ்	down
கீழ்	xuống
கீழ்	hạ
கீழ்	dưới
கீழ்	under
கீழ்	dưới
கீழ்	bậc
கீழ்	đáy
கீழ்	bottom
இடம்	nơi
இடம்	chỗ
பேர்	khác
பெரும்	tuyệt
சி	chi
தொகுதி	album
தொகுதி	albums
தொகுதி	hệ
தொகுதி	modul
தொகுதி	môđun
தொகுதி	module
தொகுதி	đun
கிழக்கு	đông
கிழக்கு	orient
அமைப்பு	setup
அமைப்பு	hệ
அளவு	phóng
அளவு	cỡ
அளவு	size
நகர்	nagar
மற்ற	khác
இந்து	hindu
இந்து	hinđu
இவற்றையும்	những
தற்போது	giờ
தற்போது	ngay
பாடல்	song
உண்டு	rảnh
உண்டு	có
உண்டு	đã
வாழும்	sống
வாழும்	living
இருக்கிறது	rảnh
நிறுவனம்	ty
நபர்கள்	người
காலனி	khu
மேற்கு	tây
மேற்கு	tây
தலைவர்	leader
முதலில்	trước
முதலில்	đầu
சார்ந்த	dựa
மேல்	nắp
மேல்	top
மேல்	đỉnh
நாடு	quốc
மட்டும்	chỉ
மட்டும்	duy
எண்	đếm
எண்	số
குறிப்பிட்ட	chất
செய்ய	pha
சிறிய	nhỏ
சிறிய	nhỏ
சிறிய	tiểu
வேறு	khác
மார்ச்	march
நிலையில்	tiêm
நிலையில்	trạng
நிலையில்	stage
பெண்	girl
பெண்	gái
பெண்	nữ
பெண்	nữ
வெற்றி	thắng
வெற்றி	winning
வெற்றி	thắng
வெற்றி	won
வெற்றி	thắng
வெற்றி	thang
வெற்றி	win
வெற்றி	thắng
இணைப்பு	hã
இணைப்பு	link
திரைப்படம்	phim
திரைப்படம்	phim
திரைப்படம்	film
வகை	loại
வகை	kiểu
வகை	gõ
வகை	loại
ஐந்து	năm
அதே	cùng
சிறப்பு	chê
சிறப்பு	cống
விட	hơn
சுமார்	khoảng
சுமார்	về
சுமார்	ban
படி	đọc
படி	bước
மனித	human
பெரும்பாலும்	sắp
பெரும்பாலும்	gần
பெரும்பாலும்	hầu
கட்சி	đảng
கட்சி	party
கட்சி	tiệc
பொது	chung
பொது	công
பொது	tướng
பொது	chung
இசை	nhạc
நாட்டின்	quốc
மத்திய	trung
மத்திய	central
மில்லியன்	triệu
மில்லியன்	triệu
நகரம்	phố
நகரம்	by
எந்த	any
எந்த	mà
எனப்படும்	goi
நீர்	nước
செய்யும்	làm
விக்கிப்பீடியா	wikipedia
பார்க்க	xem
அணி	tạo
அணி	đội
அணி	lớp
அணி	team
எழுதிய	viết
நிலையம்	trạm
நிலையம்	ga
தொடர்பான	related
மீட்டர்	mét
மீட்டர்	mét
மீட்டர்	mét
இடத்தில்	nơi
இடத்தில்	chỗ
கோவில்	đền
கோவில்	chùa
மாதம்	tháng
மதுரை	madurai
ஆய்வு	học
ஆய்வு	bê
வட	bắc
குறைந்த	lesser
குறைந்த	low
குறைந்த	thấp
குறைந்த	bớt
