mercur	меркур
tun	топ
tun	топот
tun	tun
păr	влакна
păr	коса
cresc	расте
cresc	растат
concluzie	заклучок
admis	примена
astrofizică	астрофизика
egalitate	еднаквост
egalitate	рамноправност
domnit	владеел
identificare	идентификација
astronomic	астрономски
demonstrează	демонстрираат
demonstrează	демонстрира
ideal	идеално
ideal	идеален
ideal	идеална
ideal	идеални
ideal	идеал
găsită	нашол
găsită	пронајдени
găsită	најдено
găsită	пронајдено
găsită	пронајдена
găsită	најден
haine	алишта
haine	облека
structurii	структура
repetat	повтори
repetat	повторен
repetat	повторено
tinere	младите
tinere	млад
tinere	јанг
tinere	young
tinere	млади
tinere	млада
gros	дебела
gros	густи
gros	дебели
gros	дебело
gros	дебел
calendar	календар
patrimoniu	наследство
vocale	самогласки
vocale	гласни
vocale	вокал
vocale	гласен
donat	донирани
donat	донираше
donat	донирал
dakota	дакота
valle	вале
susan	сузан
holt	холт
federală	федерално
federală	федерални
federală	сојузниот
pont	понт
pont	совет
pont	бакшиш
înlocuirea	замена
apple	епл
apple	јаболко
apple	apple
dame	дама
dame	даме
strasbourg	стразбур
sportivi	спортисти
sportivi	атлетичари
sportivi	спортистите
tulburări	пореметувања
apostoli	апостоли
château	шато
adăugarea	додаток
adăugarea	додавање
adăugarea	додавајќи
bois	bois
formularul	форма
grupate	групирани
crimă	убиство
crimă	злосторство
crimă	криминал
gotic	готски
tre	тре
tre	tre
roz	пинк
roz	розово
roz	розево
roz	розова
roz	розе
ahmed	ахмед
latine	латинска
latine	латино
latine	латиница
latine	латински
frunzele	листови
frunzele	лисјата
frunzele	остава
frunzele	лисја
exprima	express
exprima	експрес
compoziții	композиции
moscovei	москва
moscovei	московски
kashmir	кашмир
belgian	белгиски
belgian	белгискиот
wikimapia	викимапија
orange	портокалова
orange	портокалов
orange	портокал
orange	портокалово
pierderile	загуби
naviga	пловат
echipament	опрема
includerea	вклучување
simona	симона
joachim	јоаким
formal	формално
formal	формално
formal	формални
formal	формална
formal	формален
austin	остин
filozofia	филозофија
implicarea	вклученост
implicarea	вмешаност
explica	објасни
wall	ѕид
harald	харалд
autonome	автономни
autonome	автономен
autonome	автономна
village	село
village	селски
răspândirea	шири
răspândirea	ширење
răspândirea	ширеше
răspândirea	шират
răspândirea	шири
răspândirea	рашири
răspândirea	ширењето
intensă	интензивна
intensă	интензивни
intensă	интензивен
intensă	интензивно
mutată	преместена
strâmtoarea	проток
strâmtoarea	теснец
refugiat	бегалец
ungară	унгарскиот
ungară	унгарски
ungară	унгарска
