katsuura	勝浦
pivo	ビール
pivo	ビール
vrtec	幼稚園
vrtec	幼稚園
vrtec	保育
hercegovine	ヘルツェゴヴィナ
absorbira	吸収
znamenja	マークス
znamenja	サイン
bratranec	従姉妹
bratranec	従兄弟
bratranec	いとこ
organe	臓器
organe	機関
lepote	美容
lauda	ラウダ
zakonodajo	立法
caroline	キャロライン
soares	ソアレス
raznolikost	品種
raznolikost	バラエティ
raznolikost	変種
romantike	ロマンス
nogo	フィート
lamborghini	ランボルギーニ
sporna	申し立て
skladišče	倉庫
skladišče	ストレージ
računalniška	コンピューター
računalniška	コンピュータ
thomson	トムソン
planete	惑星
vega	ベガ
posvečeno	専用
kotu	コーナー
profile	プロフィール
profile	プロファイル
basel	バーゼル
gif	gif
ogrodje	フレーム
prizore	シーン
prizore	場面
izrecno	明示
augustus	オーガスタス
augustus	アウグストゥス
klubi	クラブ
kalijev	カリウム
toledo	トレド
potrditev	確認
potrditev	確認
potrditev	検証
rezidenca	住居
rezidenca	居所
avstralijo	オーストラリア
portugalsko	ポルトガル
strop	天井
hartmann	ハルトマン
izdano	発行
označi	タグ
označi	マーク
označi	マルク
spori	紛争
spori	コンフリクト
spori	紛争
grace	恩寵
grace	グレース
grace	グレイス
digitalna	デジタル
serra	セッラ
iowa	アイオワ
pearl	真珠
centimetrov	センチメートル
centimetrov	インチ
aaron	アロン
aaron	アーロン
razdeljeni	分散
bere	読み込み
normandiji	ノルマンディー
vest	良心
amy	エミー
grič	ヒル
sekretarja	秘書
koreji	朝鮮
koreji	韓国
clay	クレイ
clay	粘土
prvaki	チャンピオンズ
prvaki	チャンピオン
živec	神経
fiat	フィアット
sirije	シリア
bdo	bdo
plastike	プラスチック
plastike	合成樹脂
omejene	限定
omejene	limited
duet	デュエット
duet	デュオ
slovaški	スロバキア
afriški	アフリカ
risbe	図面
vita	ヴィータ
fazah	舞台
fazah	ステージ
rolf	ロルフ
devica	処女
devica	ヴァージン
negativen	ネガティブ
negativen	マイナス
negativen	ネガ
poceni	安価
poceni	安い
poceni	安い
bariton	バリトン
pan	パン
samostanov	修道院
samostanov	僧院
ploščice	タイル
ploščice	タイル
glock	グロック
scena	現場
scena	シーン
scena	場面
dietrich	ディートリヒ
zadetek	ビンゴ
zadetek	備後
zadetek	スコア
zadetek	得点
zadetek	hit
zadetek	ヒット
fanta	boys
fanta	男の子
magic	magic
magic	魔法
magic	マジック
ogromne	巨大
albrecht	アルブレヒト
muslimanov	イスラム教
muslimanov	ムスリム
maine	メイン
dos	sdd
dos	ドス
dos	dos
lindsay	リンジー
papi	パピ
protitelesa	抗体
protitelesa	抗体
mehanika	力学
mehanika	メカニック
narejeni	made
mate	マテ
mate	メイト
osborne	オズボーン
junakov	ヒーローズ
junakov	heroes
ozek	狭い
žalosti	悲しみ
težava	問題
emily	エミリー
trdnost	体力
trdnost	強度
izhod	アウトプット
izhod	出力
izhod	終了
izhod	exit
izhod	出口
oslo	オスロ
sled	トレイル
sled	ニシン
sled	トレース
sklop	クラスタ
sklop	アセンブリ
sklop	集会
sklop	組み立て
jun	jun
jun	じゅん
sok	ジュース
sok	ソク
krovu	ボード
tps	tps
alge	藻類
kovina	メタル
kovina	金属
teka	食欲
kilogramov	キログラム
kilogramov	ポンド
peru	ペルー
izdaj	エディション
izdaj	問題
miško	ねずみ
miško	マウス
pričakovanja	期待
pričakovanja	期待
lidija	リュディア
lidija	リディア
apple	リンゴ
apple	りんご
apple	アップル
apple	林檎
dubrovnik	ドゥブロヴニク
odgovori	回答
odgovori	答え
odgovori	答弁
odgovori	返信
odgovori	回答
odgovori	返信
kroglo	オーブ
pesniki	詩人
pravilna	正解
pravilna	正しい
ustrezna	関連
začetno	イニシャル
začetno	頭文字
maščevanje	復讐
maščevanje	報復
maščevanje	復讐
maščevanje	リベンジ
maščevanje	報復
železov	アイロン
sierra	シエラ
občutljivost	感度
občutljivost	感受性
ribolov	釣り
ribolov	魚釣り
blata	汚泥
blata	マッド
vatikan	バチカン
kong	コング
enterprise	エンタープライズ
enterprise	企業
tomo	トモ
prepovedana	禁止
zadovoljen	満足
oglaševanje	広告
torre	トッレ
jabolko	リンゴ
jabolko	りんご
jabolko	アップル
jabolko	林檎
kal	カル
dosledno	一貫性
izračun	計算
izračun	算定
odmerek	線量
odmerek	一服
digitalno	デジタル
kandidati	候補者
kandidati	志願者
gmbh	gmbh
novica	news
novica	ニュース
aretirali	逮捕
aplikacije	アプリケーション
aplikacije	アプリ
steza	トラック
pepel	ash
podlage	ライナー
litva	リトアニア
kult	カルト
nemec	ドイツ語
latvija	ラトビア
frekvence	周波数
parametre	パラメータ
parametre	パラメーター
okrožij	ディストリクト
obdelava	処理
obdelava	加工
obdelava	トリートメント
obdelava	待遇
obdelava	治療
jeklo	スチール
jeklo	鋼鉄
žarek	ビーム
klic	通話
klic	コール
viadukt	高架橋
viadukt	橋梁
budimpešti	ブダペスト
sesalci	哺乳類
predmestju	郊外
predmestju	郊外
bivanje	住居
bivanje	居所
rogers	ロジャース
terapije	治療
terapije	セラピー
atlantic	アトランティック
atlantic	大西洋
youthyears	youthyears
standarde	基準
standarde	規格
warner	ワーナー
maščob	脂肪
cesare	チェーザレ
kosi	切り傷
odstotek	割合
odstotek	パーセンテージ
odstotek	パーセント
odstotek	割合
odstotek	パーセント
miss	ミス
šaha	チェス
avril	アブリル
konstante	定数
mara	マーラ
ist	ist
izvoz	輸出
izvoz	エクスポート
izvoz	輸出
izvoz	エクスポート
katerokoli	any
strel	ショット
prevodnost	伝導
montrealu	モントリオール
express	エクスプレス
express	急行
nadomesti	差し替え
nadomesti	上書き
nadomesti	置換
slikanje	絵画
slikanje	イメージング
petdeset	fifty
men	男性
men	メン
naklonjenost	愛着
naklonjenost	愛情
gnus	嫌悪
izvolitev	選任
izvolitev	選挙
fleming	フレミング
udarci	吹く
sveže	フレッシュ
templjev	寺院
butler	バトラー
mešanje	ミキシング
regina	レジーナ
stavki	ストライキ
stavki	ストライク
stavki	フレーズ
fontana	噴水
mačke	キャッツ
mačke	ネコ
relikvije	遺物
salvador	サルバドール
kap	ストローク
ras	ラス
trajanje	期間
innsbrucku	インスブルック
magdalena	マグダレーナ
magdalena	マグダレナ
magdalena	マグダレーナ
riga	リガ
serijsko	シリアル
jerry	ジェリー
prijateljica	友人
prijateljica	友だち
prijateljica	フレンド
prijateljica	友達
weiss	ヴァイス
starše	両親
starše	保護者
volumen	音量
volumen	ボリューム
volumen	体積
tel	tel
izvršni	エグゼクティブ
lado	lado
afganistanu	アフガニスタン
koristno	役に立つ
koristno	役立つ
nadaljevalo	続き
nadaljevalo	継続
renato	レナート
kmetijsko	農業
sončno	晴れ
sončno	サニー
sončno	ソーラー
sprosti	リラックス
štirideset	四十
tkiv	ティッシュ
pero	フェザー
pero	羽根
pero	羽毛
pero	ペロペロ
pero	pen
pero	ペン
partner	パートナー
kolidž	カレッジ
kolidž	大学
brest	ブレスト
znamk	ブランド
črn	黒い
črn	ブラック
naključno	ランダム
saab	サーブ
sedeži	座席
toulouse	トゥールーズ
hranil	栄養素
hranil	栄養素
balkan	バルカン
kapitala	資本
kapitala	首都
kapitala	キャピタル
izjava	ステートメント
izjava	声明
izjava	布告
izjava	宣言
izjava	申告
meshid	meshid
gorsko	マウンテン
opazovalec	オブザーバー
opazovalec	オブザーバ
sirijo	シリア
ustanovni	創設
obiskovalce	ビジター
authorlink	authorlink
nino	ニーナ
nino	ニノ
emanuel	エマニュエル
plesa	ダンス
plesa	ダンシング
plesa	踊り
plesa	踊る
suhe	辛口
suhe	ドライ
suhe	乾燥
realizem	リアリズム
priseljenci	移民
sredozemsko	地中海
izraelski	イスラエル
izgine	消える
obtok	循環
sands	サンズ
natalija	ナタリア
frekvenca	周波数
frekvenca	頻度
ipa	ipa
vejo	支店
vejo	支社
vejo	ブランチ
vejo	支部
dob	生年月日
violina	ヴァイオリン
violina	バイオリン
nemščina	ドイツ語
fry	フライ
willy	ウィリー
klarinet	クラリネット
vesela	ハッピー
vesela	幸せ
luksemburg	ルクセンブルク
peska	砂塵
kardinali	カージナルス
učinkoviti	効率
učinkoviti	実効
lase	ヘアー
lase	髪の毛
lase	ヘア
lase	毛髪
romane	小説
roža	flower
roža	フラワー
poslopja	建物
poslopja	建築物
natančnost	精度
natančnost	正確性
natančnost	精度
carmen	カルメン
evro	ユーロ
zavarovanje	担保
zavarovanje	保険
susan	スーザン
alois	アロイス
tropskih	トロピカル
tropskih	熱帯
atomsko	アトミック
atomsko	原子
koncerte	コンサート
bauer	バウアー
nicole	ニコル
podgorica	ポドゴリツァ
seattle	シアトル
vmesni	中間
vmesni	中級
spopadi	紛争
spopadi	コンフリクト
uradniki	クラークス
orla	ワシ
orla	イーグル
cca	cca
upravitelj	店長
upravitelj	支配人
upravitelj	マネージャー
upravitelj	マネージャ
upravitelj	管理者
upravitelj	管理人
uprizoritev	演出
ponovitev	リプレイ
berkeley	バークリー
pen	pen
pen	ペン
računalniki	コンピューター
računalniki	コンピュータ
debelo	厚い
debelo	太い
argentino	アルゼンチン
soncem	太陽
soncem	sun
parco	パルコ
logo	ロゴ
gline	クレイ
gline	粘土
izvidniški	偵察
moder	英明
derivati	デリバティブ
umetna	人工
dokumente	ドキュメント
dokumente	書類
dokumente	文書
meteorit	隕石
vnetja	炎症
gred	シャフト
letne	季節
letne	シーズン
letne	年次
asp	asp
strela	ライトニング
objava	ポスト
objava	投稿
objava	出版物
objava	出版
objava	公表
istanbul	イスタンブール
bennett	ベネット
sodnikov	裁判官
skladišča	倉庫
puško	小銃
puško	ライフル
resničnost	リアリティ
resničnost	現実
mat	マット
padavine	降雨量
padavine	降雨
padavine	降水
padavine	沈殿
kud	宮藤
cameron	キャメロン
break	休憩
break	ブレーク
break	区切り
mozart	モーツァルト
mississippi	ミシシッピ
ujeti	キャッチ
ujeti	キャッチボール
hrt	グレイハウンド
generator	ジェネレータ
monika	モニカ
monika	モニカ
jem	ジェム
najdaljša	最長
omar	オマール
skrajni	エクストリーム
protiteles	抗体
protiteles	抗体
kopno	ランド
kopno	土地
kopno	本土
faktorji	要因
neuradno	非公式
bledu	ブレッド
kovanec	硬貨
kovanec	コイン
shaw	ショー
shaw	ショウ
toplo	あったかい
toplo	暖かい
toplo	温かい
petelin	コック
petelin	雄鶏
block	ブロック
titan	チタン
izgnanstvu	exile
izgnanstvu	流罪
izgnanstvu	亡命
izboljšave	改良
izboljšave	改善
greg	グレッグ
generacijo	世代
generacijo	ジェネレーション
niger	ニジェール
luknja	ホール
mehaniki	力学
selitev	引越し
selitev	移動
selitev	移行
trening	トレーニング
trening	講習
trening	修行
trening	訓練
trening	研修
trening	練習
princese	皇女
princese	プリンセス
združujejo	組み合わせ
darwin	ダーウィン
jetra	レバー
jetra	肝臓
doc	doc
doc	ドク
sidney	シドニー
hawk	ホーク
hawk	タカ
aristotel	アリストテレス
domneve	予想
scorea	scorea
bond	結合
bond	ボンド
neo	ネオ
prevlado	支配
podnevi	昼間
lavigne	lavigne
nfpa	nfpa
situacija	状況
situacija	シチュエーション
suh	スキニー
fasade	façade
gostje	ゲスト
reed	リード
poškodovan	怪我
delavnica	ガレージ
delavnica	車庫
delavnica	ワークショップ
delavnica	作業場
slovesnosti	セレモニー
slovesnosti	儀式
slovesnosti	式典
palica	スティック
sirija	シリア
trans	トランス
igrišča	遊び場
enrique	エンリケ
demi	デミ
avtocesta	ハイウェイ
avtocesta	公道
taras	タラス
barnes	バーンズ
dolar	ドル
dolar	yen
priljubljene	お気に入り
priljubljene	人気
priljubljene	ポピュラー
priljubljene	お気に入り
priljubljene	好み
računalništvo	コンピューティング
kosa	ピース
osebkov	標本
laver	レーバー
dreyfus	ドレイファス
ptič	鳥類
ptič	バード
kino	キノ
kino	映画
kino	映画
kino	シネマ
krožni	円形
palazzo	パラッツォ
atlanti	アトランタ
petit	プチ
paša	パシャ
paša	放牧
interval	間隔
interval	音程
interval	インターバル
interval	区間
komentarji	解説
komentarji	コメント
peš	ウォーキング
peš	歩行
peš	歩く
peš	歩き
peš	ウォーク
peš	歩行
peš	歩く
peš	徒歩
sas	sas
laser	レーザー
daniela	ダニエル
stdinchikey	stdinchikey
zaprte	閉店
discogs	discogs
bush	ブッシュ
vernikov	信者
edo	江戸
jin	jin
jin	ジン
miren	平和
holland	オランダ
najmlajša	最年少
podeljena	付与
shakespeare	シェイクスピア
shakespeare	シェークスピア
premog	石炭
živ	アライブ
kmetiji	農場
kmetiji	ファーム
povečan	高架
stdinchi	stdinchi
rože	お花
raztopina	ソリューション
raztopina	溶液
ekološko	生態学
ekološko	有機
duke	公爵
duke	デューク
govorcev	話者
pika	ドット
pika	dot
jutri	明日
jutri	あした
skorja	クラスト
hale	ヘール
zaplete	合併症
ekologija	エコロジー
ekologija	生態学
sms	sms
premagati	克服
vogel	ヴォーゲル
pošta	郵便
pošta	メール
osprey	ミサゴ
jessica	ジェシカ
cepiva	ワクチン
cepiva	ワクチン
plavalec	競泳
plavalec	水泳
kompleksna	コンプレックス
kompleksna	錯体
kompleksna	複雑
komponenta	コンポーネント
trojica	三位一体
dragi	dear
dragi	ディア
tekmovalci	レーサー
zasebna	非公開
zasebna	プライベート
keller	ケラー
maščobe	脂肪
sladkor	砂糖
poudariti	ハイライト
poudariti	下線
plezanje	登山
plezanje	クライミング
priseljencev	移民
veselo	陽気
kruha	パン
kruha	ブレッド
nadstropje	フロア
mladiči	パップ
mladiči	カブス
priporočljivo	おすすめ
priporočljivo	推奨
skala	ロック
ptiči	鳥類
peroralno	口頭
peroralno	口頭
baltimore	ボルチモア
jos	ヨス
avtobusi	バス
robovi	余白
robovi	エッジ
obvestilo	告知
obvestilo	アナウンス
obvestilo	発表
obvestilo	公表
obvestilo	お知らせ
obvestilo	告示
obvestilo	通知
obvestilo	告知
obvestilo	通知
obvestilo	届出
obvestilo	お知らせ
tekmovalec	競合
oddaljenost	距離
oddaljenost	範囲
oddaljenost	レンジ
pau	pau
križišča	十字路
bazen	プール
licence	ライセンス
yorka	ヨーク
trte	つる
enakost	パリティ
enakost	パリティビット
enakost	平等
granat	ガーネット
krvavitev	出血
krvavitev	出血
razglasitev	布告
zapiski	注記
zapiski	メモ
zapiski	備考
zapiski	ノート
avtomobili	カーズ
jihlava	イフラヴァ
stirling	スターリング
pokol	虐殺
pokol	屠殺
repa	カブ
zagon	宣伝
zagon	起動
zagon	運動量
zagon	勢い
pravočasno	タイムリー
marion	マリオン
pogum	勇気
pogum	勇気
pogum	勇気
ravnovesje	残高
ravnovesje	バランス
ravnovesje	平衡
ravnovesje	均衡
izjeme	例外
izjeme	例外
izjeme	免除
izjeme	免責
jacobs	ジェイコブス
forbes	フォーブス
teta	おばさん
teta	叔母
teta	おば
sokol	ファルコン
sokol	ホーク
sokol	タカ
udeležbo	関与
udeležbo	参加
mila	石鹸
mila	石けん
mila	石鹸
mila	ソープ
mila	soap
richards	リチャーズ
ilustrator	イラストレーター
žirija	陪審制
žirija	陪審員
dovoli	許可
dovoli	許可証
dovoli	許可
terminal	端末
terminal	ターミナル
kanado	カナダ
razdelek	師団
razdelek	ディビジョン
razdelek	セクション
novost	ノベルティ
plesalka	ダンサー
letnica	イヤー
preverjanje	チェック
preverjanje	検証
preverjanje	認証
propada	崩壊
propada	たたむ
zakonodaja	立法
floto	艦隊
floto	フリート
sedi	座る
sedi	sit
črpalke	パンプス
črpalke	ポンプ
spremenljivka	変数
spremenljivka	可変
infrastrukturo	インフラストラクチャー
ren	ren
začetna	イニシャル
začetna	頭文字
priljubljeni	人気
priljubljeni	ポピュラー
priljubljeni	お気に入り
coppa	コッパ
razredi	クラス
voznik	運転手
voznik	ドライバ
voznik	ドライバー
osvoboditve	解放
prenovo	リフォーム
organski	有機
ribič	漁師
ribič	アンコウ
zapletov	合併症
jagode	イチゴ
jagode	いちご
jagode	ベリー
ležeče	イタリック
pristopi	アプローチ
pristopi	進入
pristopi	アプローチ
pristopi	参道
rubin	ルービン
rubin	ルビ
rubin	ルビー
ledvice	腎臓
oporišče	塩基
oporišče	base
oporišče	ベース
globoka	ディープ
globoka	深い
maroko	モロッコ
baba	ババ
baba	馬場
zaznavanje	検知
zaznavanje	検出
zaznavanje	知覚
deklice	ガールズ
cohen	コーヘン
cohen	コーエン
strauss	シュトラウス
škotsko	スコットランド
izkoriščanje	搾取
globok	ディープ
globok	深い
srede	水曜
srede	水曜日
srede	水曜
misije	ミッション
baroni	男爵
nominacijo	指名
rdeč	赤い
rdeč	赤色
rdeč	レッド
posoda	容器
posoda	コンテナ
posoda	船舶
križarka	巡洋艦
križarka	クルーザー
cveti	開花
zlitine	合金
zlitine	合金
polo	ポロ
rupert	ルパート
izdelovalec	メーカー
izdelovalec	製造業者
izdelovalec	メーカー
teren	地形
liberty	リバティ
liberty	自由
bralec	読者
bralec	リーダー
ujema	マッチ
ujema	一致
standardno	基準
standardno	スタンダード
standardno	標準
potomec	子孫
potomec	子孫
položaji	ポジション
skopje	スコピエ
utrujenost	疲労
utrujenost	疲労
casno	casno
postava	ラインナップ
postava	体格
sort	品種
dax	ダックス
kilometer	キロメートル
kilometer	キロメートル
neodvisen	独立
neodvisen	インディペンデント
sira	チーズ
piloti	パイロット
pravosodje	正義
pravosodje	司法
junkers	ユンカース
linearna	リニア
linearna	線形
strežnik	サーバ
strežnik	サーバー
jochen	ヨッヘン
miška	ねずみ
miška	マウス
povedel	led
vratarja	ゴールキーパー
uničevanje	破壊
nadzornik	警視
nadzornik	コントローラ
nadzornik	コントローラー
poslovanje	営業
poslovanje	事業
poslovanje	ビジネス
naročilo	オーダー
naročilo	注文
naročilo	契約
svetovanje	勧告
svetovanje	コンサルティング
svetovanje	カウンセリング
svetovanje	助言
svetovanje	アドバイス
svetovanje	コンサルタント
svetovanje	カウンセリング
prekinitev	中断
prekinitev	中断
prekinitev	中止
prekinitev	休止
prekinitev	サスペンション
shirley	シャーリー
pravljico	おとぎ話
jed	ディッシュ
pijače	飲み物
pijače	飲物
pijače	飲み物
pijače	ドリンク
sanchez	サンチェス
odcepi	切り離す
odcepi	取り外す
linearno	リニア
linearno	線形
bloke	ブロック
avtobusna	バス
patty	パティ
porsche	ポルシェ
starodavni	古代
zagovornik	サポーター
parkov	公園
poplav	洪水
poplav	洪水
popoldne	午後
krivuljo	カーブ
krivuljo	曲線
nha	ニャ
bdp	gdp
ogrevanje	暖房
preizkus	テスト
tucker	タッカー
neznani	不明
pik	ドット
enačbi	方程式
poglavar	チーフ
kvadratov	正方形
java	java
spušča	降順
dvojčka	ツイン
dvojčka	双生児
dvojčka	双子
dvojčka	双子
primarna	メイン
primarna	プライマリ
orlando	オーランドー
orlando	オーランド
orlando	オルランド
nezadovoljstvo	不満
nezadovoljstvo	不満
predstavljeni	注目
predstavljeni	提示
naravoslovec	博物学
bernarda	ベルナール
bernarda	ベルナルド
kup	パイル
kup	スタック
cher	シェール
sodniki	裁判官
sodniki	refs
sodniki	審判員
štipendijo	フェローシップ
živino	家畜
zemljišče	ランド
zemljišče	土地
sredina	真ん中
sredina	ミドル
razgled	表示
razgled	見る
razgled	ビュー
reginald	レジナルド
skromno	謙虚
fizični	フィジカル
fizični	物理
hlajenje	冷却
hlajenje	カッコイイ
izvajalec	オペレーター
izvajalec	請負人
izvajalec	パフォーマー
izvajalec	演奏者
izvajalec	芸術家
izvajalec	アーティスト
mutacije	突然変異
svetniki	聖徒
svetniki	セインツ
kartice	カード
streha	屋上
streha	屋根
trave	grass
trave	雑草
elisabeth	エリザベート
bojišče	戦場
bojišče	戦場
bueno	ブエノ
nevarni	危険
tedensko	毎週
tedensko	週間
tedensko	週刊
tedensko	ウィークリー
emi	emi
emi	えみ
izgubljena	ロスト
enakovredno	同等
cesarji	皇帝
leče	レンズ
avs	avs
artur	アーサー
fundacija	財団
fundacija	ファンデーション
fundacija	ファウンデーション
ogromen	巨大
ogromen	巨人
ogromen	ジャイアント
ogromen	巨大
gianni	ジャンニ
beguncev	難民
laura	ローラ
truman	トルーマン
claudio	クラウディオ
akutni	急性
akutni	アキュート
zrna	穀物
maxwell	マックスウェル
maxwell	マクスウェル
potiska	推力
pripomočki	アクセサリ
pripomočki	アクセサリー
pripomočki	デバイス
pripomočki	機器
pripomočki	エイズ
mojzes	モーゼ
mojzes	モーゼス
akutna	急性
akutna	アキュート
optični	光学
federacija	連邦
normalna	普通
normalna	ノーマル
playstation	playstation
met	met
met	投げる
met	ピッチ
sprožilo	アクチュエータ
mcdonald	マクドナルド
potrdi	認証
potrdi	検証
potrdi	検証
potrdi	validate
potrdi	確認
giro	ジャイロ
levica	左側
kvalifikacij	資格
izloči	除外
stanovanja	アパート
usmeritev	方向
usmeritev	向き
usmeritev	オリエンテーション
luknjo	ホール
sds	sds
mrak	トワイライト
mrak	たそがれ
mrak	夕暮れ
stopi	溶ける
pištolo	ガン
kronična	慢性
kronična	持病
dominikanski	ドミニカ
optično	光学
atmosfero	大気
atmosfero	大気圏
atmosfero	雰囲気
mehanizmi	メカニズム
vlaki	電車
vlaki	列車
newcastle	ニューカッスル
pravilnik	規制
strategija	戦略
alpha	alpha
alpha	アルファ
skladiščenje	ストレージ
ocenjena	推定
prenovljena	リフォーム
hlist	hlist
pravilen	正解
pravilen	正しい
kopenskih	地上波
izginil	失踪
idealno	理想
poškodovanih	怪我
proteini	タンパク質
proteini	たんぱく質
ovce	ヒツジ
celini	大陸
zaslon	画面
zaslon	スクリーン
členi	記事
členi	冠詞
žveplo	硫黄
žveplo	硫黄
béla	ベーラ
strip	コミック
ideal	理想
ccc	ccc
vsakič	毎回
hrsg	hrsg
amr	アムル
arabska	アラブ
otvoritev	発足
otvoritev	開く
otvoritev	オープニング
elektrike	電力
elektrike	電気
spremenjen	変更された
melo	メロ
državljan	市民
baterija	電池
baterija	バッテリー
baterija	バッテリ
šibko	弱い
lun	lun
vojvodinja	公爵夫人
skulpture	彫刻
chapman	チャップマン
iranski	イラン
gojenje	栽培
gojenje	成長
gojenje	農業
gojenje	栽培
kvantno	量子
razvrščanje	ソート
razvrščanje	分類
razvrščanje	格付
strasbourg	ストラスブール
srečna	ハッピー
srečna	幸せ
barrett	バレット
arturo	アルトゥーロ
konstantno	常時
konstantno	絶えず
skriti	隠し
hodnik	廊下
hodnik	ホール
hodnik	回廊
hodnik	廊下
letenje	飛ぶ
letenje	フライング
dojke	乳房
dojke	母乳
enakovreden	同等
madonna	マドンナ
freska	壁画
bolnike	患者
trdna	固体
brate	兄弟
brate	ブラザーズ
gospodinje	主婦
narejeno	made
vrvi	ロープ
vrvi	ロープ
gnu	gnu
boje	ブイ
hampshire	ハンプシャー
mitsubishi	三菱
panorama	パノラマ
izjave	ステートメント
bit	ビット
mavzolej	霊廟
mavzolej	陵墓
islandija	アイスランド
dialog	台詞
profesorji	教員
profesorji	教師
archibald	アーチボルド
brooks	ブルックス
namestitev	インストール
namestitev	設置
namestitev	インストール
namestitev	宿泊
prepoznavanje	認識
prepoznavanje	認定
plača	給料
plača	俸給
plača	給与
plača	支払う
plača	支払い
oman	オマーン
pokopališča	墓地
izumrla	絶滅
brani	擁護
trpljenja	苦しみ
sprejemanje	承諾
sprejemanje	受入れ
sprejemanje	承認
sprejemanje	受付
avtonomijo	自治
moravske	モラヴィア
melville	メルヴィル
prelaz	パス
starodavno	古代
pričakovana	期待
khan	ハーン
khan	カーン
varjenje	溶接
kiss	キス
kiss	kiss
kiss	接吻
francesca	フランチェスカ
nastavitev	構成
nastavitev	設定
nastavitev	configure
nastavitev	設定
nastavitev	セットアップ
nastavitev	設定
nastavitev	セッティング
nastavitev	調整
nastavitev	調節
bosco	ボスコ
korena	root
korena	ルート
hrast	オーク
enotna	unified
enotna	ユニフォーム
enotna	制服
chang	チャン
metro	地下鉄
metro	メトロ
receptor	コンシェルジュ
roosevelt	ルーズベルト
očala	ゴーグル
očala	メガネ
očala	めがね
očala	眼鏡
pištole	拳銃
arkansas	アーカンソー
abel	アーベル
abel	アベル
iskra	スパーク
melbourne	メルボルン
ledenik	氷河
pisarna	事務局
pisarna	事務所
pisarna	オフィス
mercury	水星
mercury	マーキュリー
mercury	水銀
cezarja	シーザー
primarne	メイン
primarne	プライマリ
zora	明け方
zora	夜明け
zora	ドーン
upodobitve	描写
izgubljeni	ロスト
klavdij	クラウディウス
okoliščin	状況
okoliščin	事情
okoliščin	情状
lea	レオ
lea	leo
ritter	リッター
terapijo	治療
terapijo	セラピー
sedanjost	現在
sedanjost	present
sedanjost	プレゼント
obleka	服装
obleka	衣装
obleka	ドレス
obleka	スーツ
obleka	背広
boyd	ボイド
trenja	摩擦
kodeks	コデックス
hop	ホップ
vic	ビック
neprekinjeno	連続
streljanje	射撃
streljanje	銃声
gladko	スムーズ
gladko	スムース
gladko	滑らか
civilna	文官
modena	モデナ
christine	クリスティン
resnična	real
resnična	本物
resnična	リアル
resnična	トゥルー
resnična	true
resnična	本当
juda	ユダ
fosilnih	化石
ruth	ルース
izumrli	絶滅
obtožbe	告発
miami	マイアミ
lakota	飢饉
lakota	飢え
lakota	空腹
pooblastil	支持
imperial	インペリアル
izognili	忌避
civilni	文官
floyd	フロイド
reformo	改革
reformo	革新
reformo	リフォーム
alta	アルタ
znižanje	減らす
etnične	民族
poletna	summer
poletna	サマー
bremen	ブレーメン
ustno	口頭
emedicinesubj	emedicinesubj
ars	adr
bordeaux	ボルドー
plaza	プラザ
izmenično	交互
izmenično	交代
izmenično	交互
iris	アイリス
matilda	マチルダ
matilda	マチルダ
estonija	エストニア
meglica	星雲
meglica	ぼかし
kozak	コサック
kozak	カザフ
kozak	コザック
mehmed	メフメト
mehmed	メフメト
davke	税金
galeb	かもめ
preveriti	チェック
larsen	ラーセン
sony	sony
sony	ソニー
obstanek	サバイバル
mojstri	マスターズ
mojstri	職人
grm	ブッシュ
grm	低木
onkraj	ビヨンド
dvig	上昇
discovery	ディスカバリー
discovery	発見
churchill	チャーチル
gobe	キノコ
gobe	きのこ
gobe	マッシュルーム
gobe	キノコ
gobe	マッシュルーム
auvergne	オーヴェルニュ
maščobnih	ふとっちょ
kovinsko	メタル
kovinsko	金属
homo	ホモ
hepatitis	肝炎
amsterdamu	アムステルダム
litrov	リットル
čarovnice	魔女
europa	エウロパ
raj	ラジ
raj	パラダイス
raj	楽園
cia	cia
afriške	アフリカ
pospešek	加速度
pospešek	加速
okras	装飾
okras	デコレーション
okras	付け合せ
karate	空手
berg	ベルク
identiteta	アイデンティティー
identiteta	アイデンティティ
varuh	キーパー
varuh	ガーディアン
varuh	後見人
delavnico	ワークショップ
delavnico	作業場
ozvezdje	星座
načrtovano	予定
načrtovano	予定
načrtovano	計画
storm	ストーム
bizanc	ビザンチウム
matic	matic
salon	サロン
ibm	ibm
zürichu	チューリッヒ
zürichu	チューリッヒ
zaupanja	自信
zaupanja	信頼
zaupanja	トラスト
zaupanja	trust
