min	min
pessetes	lekëshe
herbes	barërat
herbes	barëra
habitat	banuar
conveni	konventa
conveni	konventën
conveni	kuvend
cicles	ciklet
cicles	cikle
llana	leshi
llana	lesh
madison	madison
presidencial	presidenciale
presidencial	presidencial
luxe	luksoze
luxe	luksi
luxe	luks
interessat	interesuar
gandia	gandia
potter	potter
potter	poter
oxidació	oksidimi
filtre	filter
filtre	filtër
filtre	filtri
wild	wild
wild	eger
wild	egra
wild	egër
nominat	propozohet
nominat	propozoi
presidencials	presidenciale
presidencials	presidencial
introdueix	fut
introdueix	hyni
alvèrnia	auvergne
assumpció	supozim
assumpció	supozimin
intervencions	ndërhyrje
intervencions	ndërhyrjet
cooperativa	bashkëpunues
cooperativa	bashkëpunuese
insecta	insecta
crèdit	kredia
crèdit	credit
crèdit	krediti
crèdit	kredit
crèdit	kredi
étienne	étienne
lluitant	lufton
lluitant	luftimi
lluitant	luftimet
lluitant	luftime
française	française
diario	diario
maons	tulla
assoleix	arrinë
assoleix	arrin
urani	uranium
urani	uraniumit
derivades	derivateve
barry	barry
barry	beri
barry	berri
vinyes	vreshta
àguila	shqiponja
àguila	eagle
àguila	shqiponje
àguila	shqiponjë
nassau	nassau
llums	dritat
llums	drita
disposat	dashtë
massacre	masakra
massacre	masakër
lliurament	dërgesa
lliurament	delivery
lliurament	dorëzim
lliurament	dërgimi
lliurament	dorëzimi
llotja	ankand
place	vend
place	vendi
place	place
place	vendë
vázquez	vázquez
sever	severus
existien	egzistonte
existien	ekzistuar
existien	ekzistonte
existien	ekzistonin
automàtica	auto
automàtica	automatike
automàtica	automatik
moçambic	mozambik
descobriments	zbulime
descobriments	zbulimet
jurídic	juridike
jurídic	ligjore
jurídic	legale
jurídic	legal
jurídic	ligjor
ampliat	shty
ampliat	shtyhet
ampliat	zgjatet
ampliat	zgjatur
ampliat	zgjeruar
ampliat	shpalosur
absorció	përthithjen
embassament	rezervuar
artur	artur
château	château
núvol	reje
núvol	re
núvol	renë
pèls	qime
pèls	qimet
sacrifici	sakrificë
sacrifici	sakrifica
hèrcules	hercules
hèrcules	herkuli
atleta	atlet
atleta	atletja
atleta	atletë
sanitat	shëndetësore
sanitat	shëndeti
sanitat	shëndet
sanitat	shendeti
