rousseau	rousseau
meyer	meyer
stable	mirno
stable	stabilna
stable	stabilan
stable	stabilno
symphonique	simfonija
symphonique	simfonijske
fonctionnaire	službeno
fonctionnaire	službeni
fonctionnaire	zvanično
catholicisme	katoličanstvo
rayons	zrake
rayons	žbice
silva	silva
linéaire	linearno
commandé	naručio
commandé	naredio
commandé	naređeno
commandé	zapovijedio
commandé	zapovijedao
bretonne	brittany
bretonne	breton
brevet	patent
mémorial	spomen
engagée	unajmljeni
engagée	zaposlili
engagée	unajmio
engagée	unajmljen
engagée	zaručeni
engagée	zaručen
engagée	počinjen
engagée	počinio
engagée	predan
propulsion	pogon
mythe	mitu
mythe	mit
mythe	mitovi
faso	faso
manger	jedemo
manger	jede
manger	jedi
bouches	bouches
bouches	usta
mohammed	muhamed
mohammed	mohammed
prochaine	sljedeća
léonard	léonard
léonard	leonardo
léonard	leonarda
léonard	leonard
degrés	stupnjeva
degrés	diplome
extérieure	vanjski
extérieure	vanjska
extérieure	vanjski
extérieure	vanjska
philosophique	filozofski
philosophique	filozofija
philosophique	filozofiju
philosophique	filozofije
styles	stilova
europa	evropa
europa	europa
nazis	nacist
nazis	nacisti
nazis	nacistički
nazis	nacisti
guyane	gvajana
rappeler	opoziv
esprits	duhovi
esprits	umovi
talk	pričaj
elisabeth	elizabeta
elisabeth	elisabeth
aude	aude
alexandra	alexandra
alexandra	aleksandra
caméra	kameru
caméra	fotoaparat
caméra	kamera
caméra	kamere
assiste	asistencija
assiste	pohađa
andreas	andreas
régulier	redovito
régulier	redovna
régulier	redovno
contiennent	sadržavati
contiennent	sadrže
mix	mix
mix	miks
grandeur	magnitude
sound	zvuk
sound	sound
immigration	imigracije
werner	werner
airlines	airlines
pollution	zagađenje
garcia	garcia
marocain	marokanski
accessibles	dostupna
attribuée	pripisao
hôte	domaćin
hôte	voditelj
revers	backhand
sergio	sergio
organe	body
organe	telo
organe	tijelo
organe	organa
organe	orgulje
organe	organ
signification	značenje
signification	značaj
todd	todd
duel	dvoboj
panama	panama
panama	panami
poétique	poetski
enregistrements	records
enregistrements	ploče
enregistrements	zapisi
enregistrements	registracije
épaisseur	debljina
globale	sveukupno
globale	ukupno
hunter	lovac
hunter	hunter
heureux	sretno
heureux	sretan
alaska	aljaske
alaska	aljaska
perdues	izgubljeni
perdues	izgubljena
perdues	izgubljeno
perdues	izgubljen
bébé	beba
bébé	dušo
bébé	mala
bébé	babe
entré	ušlo
entré	ušao
entré	unijeli
entré	ušli
moments	trenutci
moments	trenutaka
moments	momenti
moments	trenuci
moments	trenutke
illustrateur	ilustrator
dépendant	ovisni
perse	perzijski
