din	from
care	qui
care	who
care	qual
fost	estat
mai	mai
mai	més
pentru	per
lui	lui
sunt	són
după	after
după	després
ale	ale
ale	alé
lea	lea
prin	mitjançant
regiunea	regió
mare	gran
mare	mar
anul	any
comună	comunes
comună	comú
comună	comuns
are	té
externe	externs
externe	extern
externe	externa
locuitori	habitants
locuitori	residents
legături	enllaços
legături	connexions
vezi	veure
dar	però
cod	codi
cod	bacallà
populație	població
bucurești	dosrius
bucurești	bucarest
bucurești	bucureşti
fiind	essent
fiind	being
românia	romania
jpg	jpg
lista	llista
ucraina	ucraïna
nume	munawar
nume	nom
nume	denominació
ani	ani
ani	anys
avea	havien
între	entre
până	fins
comuna	municipi
comuna	comunes
comuna	comú
comuna	comuns
poate	potser
două	dos
două	dues
rege	king
rege	rei
sub	arres
alte	altres
când	quan
regiune	regió
anii	anys
parte	part
județul	comtat
centura	cinturó
dinastia	dinastia
septembrie	setembre
timp	temps
timp	time
despre	about
unde	on
majoritatea	majoria
densitate	densitat
limbă	llengua
limbă	idioma
limbă	llenguatge
limbă	llengua
iunie	juny
multe	moltes
multe	molts
prima	primer
prima	primera
prima	primers
octombrie	octubre
august	agost
sat	poble
sat	aldea
sat	sat
martie	març
martie	march
biserica	església
fișier	arxiu
fișier	fitxer
decembrie	desembre
toate	tots
toate	totes
ianuarie	gener
latns	latns
latd	latd
longd	longd
adresă	adreça
noiembrie	novembre
imagine	imatge
statul	estat
avut	havien
familia	família
familia	familia
numele	nom
numele	denominació
timpul	temps
timpul	time
nord	nord
principală	main
principală	principals
principală	principal
sud	sud
aprilie	abril
erau	eren
loc	lloc
loc	place
primul	primer
primul	primera
primul	primers
iulie	juliol
doar	només
doar	només
editura	editorial
asteroid	asteroide
februarie	febrer
recensământului	cens
listă	llista
trei	valldoreix
trei	tres
asteroizi	asteroides
limba	llengua
limba	idioma
limba	llenguatge
limba	llengua
longm	longm
latm	latm
discuție	debat
discuție	discussió
franța	frança
partea	part
fără	sense
departamentul	departament
foarte	molt
data	data
data	dades
departament	departament
unul	one
apoi	aleshores
apoi	llavors
grup	grup
locul	lloc
locul	place
oraș	ciutat
pot	can
camp	campament
camp	camp
germania	alemanya
face	make
satul	poble
satul	aldea
național	national
național	nacional
note	notes
perioada	període
minoritate	minoria
ucraineană	ucraïnès
general	general
război	guerra
română	romanès
află	aprèn
află	aprendre
află	apreneu
început	començat
început	iniciat
iii	iii
duce	duke
duce	duc
duce	duce
român	romanès
provincia	província
existând	existent
existând	existents
vedere	vista
vedere	visualitza
vedere	visualització
wikipedia	viquipèdia
specie	espècies
specie	espècie
punct	dot
punct	punt
stat	estat
file	tabulacions
file	pestanyes
atunci	aleshores
atunci	llavors
aceste	aquestes
aceste	aquests
secolul	segle
una	one
aceasta	això
aceasta	aquesta
aceasta	aquest
life	vida
life	life
reședință	residència
orașul	ciutat
tot	tots
tot	totes
tot	encara
chiar	inclús
făcut	fetes
făcut	feta
cunoscute	conegut
film	film
perioadă	període
