категорија	category
година	year
како	how
како	like
што	what
дека	that
бил	bill
кои	who
кои	which
кој	who
тоа	that
други	other
други	others
која	which
има	has
била	was
македонија	macedonia
додека	while
кога	when
страна	side
биле	were
дел	part
дел	del
дел	dell
околу	about
околу	around
време	time
век	century
под	underneath
под	under
може	could
може	can
неговата	his
еден	one
врски	ties
врски	links
исто	same
надворешни	external
повеќе	more
податоци	data
каде	where
многу	very
многу	much
многу	lot
објекти	facilities
објекти	objects
години	years
календар	calendar
сите	all
сите	everyone
една	one
меѓу	among
меѓу	between
било	any
пред	before
ова	this
јазик	tongue
јазик	language
само	only
само	just
каталог	catalogue
каталог	catalog
таа	she
број	number
овој	this
градот	city
беше	was
општ	generic
кон	towards
односно	respectively
кај	bei
оваа	this
тие	those
тие	they
нов	new
селото	sapporo
времето	weather
времето	time
некои	some
претставува	represents
претставува	poses
место	spot
место	place
место	venue
овие	these
општина	municipality
започнува	begins
започнува	starts
светот	world
преку	via
преку	through
македонски	macedonian
неколку	few
неколку	several
земјата	earth
две	two
небо	sky
небо	skies
уште	still
уште	more
список	list
неговиот	his
септември	september
споменува	mentions
кое	which
сјај	glitter
сјај	glow
град	town
град	city
агол	corner
агол	angle
село	selo
село	village
информации	info
информации	information
германија	germania
германија	germany
помеѓу	between
црква	church
подоцна	later
познати	known
познати	famous
жители	inhabitants
жители	residents
бидејќи	because
треба	need
својата	its
мини	mini
мини	mines
мини	minnie
против	against
голем	large
голем	big
период	period
луѓе	men
луѓе	people
војна	war
сад	usa
скопје	skopje
република	republic
три	three
без	without
помош	assistance
помош	help
помош	mayday
поделба	division
поделба	partition
поделба	divide
космос	cosmos
космос	kosmos
освен	except
над	above
неговите	his
иако	although
иако	though
низ	through
низ	trough
села	villages
почетокот	kickoff
пример	example
јазици	languages
потоа	then
денес	today
начин	way
два	two
точка	dot
точка	point
заедно	together
литература	literature
пак	again
пак	pac
него	him
сепак	still
сепак	yet
смета	considers
постојат	exist
своите	its
објект	object
јануари	january
систем	system
име	name
десно	right
основни	essential
основни	basic
сателитот	satellite
можат	can
користи	use
нив	them
класификација	classification
група	group
истражувања	surveys
истражувања	research
европа	europe
прв	first
држави	states
држави	countries
откриен	detected
откриен	revealed
проучување	studying
проучување	study
пат	pat
пат	road
галаксии	galaxies
август	august
вклучен	involved
вклучен	engaged
предмет	item
предмет	object
предмет	subject
астрономски	astronomical
соѕвездие	constellation
набљудување	observation
мај	may
истражувачи	explorers
истражувачи	researchers
критериуми	criteria
март	march
користена	used
ѕвезди	stars
голема	large
голема	big
секој	anyone
секој	every
цел	goal
поделби	divisions
оние	those
јули	july
америка	america
америка	americas
цар	tsar
цар	emperor
цар	czar
често	frequently
често	often
поправени	fixed
поправени	repaired
припаѓа	belongs
истражување	survey
истражување	research
работи	things
работи	works
работи	working
