ve	oraz
bir	jeden
bir	jedna
bu	tym
bu	że
de	powiedz
için	na
için	dla
için	za
en	ulubione
en	ulubionych
daha	more
daha	bardziej
daha	więcej
sonra	wtedy
sonra	after
sonra	po
sonra	pozniej
sonra	później
ilk	pierwszy
ilk	pierwsze
ilk	najpierw
ilk	pierwsza
utc	utc
çok	bardzo
çok	much
çok	wiele
çok	dużo
yer	miejsce
yer	miejsce
yer	lokalizacja
yer	położenie
gibi	jak
gibi	like
dış	zewnętrzne
dış	zewnętrzna
dış	dis
büyük	duża
büyük	duży
büyük	dużych
büyük	duże
büyük	duża
büyük	duże
büyük	big
büyük	wielka
büyük	duży
büyük	wielki
büyük	ogromny
büyük	ogromna
büyük	ogromne
bağlantılar	znajomości
bağlantılar	powiązania
bağlantılar	połączenia
bağlantılar	linków
bağlantılar	łącza
bağlantılar	linki
bağlantılar	odnośniki
bağlantılar	kontakty
türkiye	turcja
türkiye	indyk
türkiye	turcji
iki	iki
iki	dwie
iki	dwóch
iki	dwa
ancak	jakkolwiek
ancak	jednak
ancak	jednakże
center	środek
center	centrum
center	center
center	ośrodek
arasında	wśród
arasında	pośród
arasında	między
arasında	pomiędzy
ayrıca	także
ayrıca	też
ayrıca	również
ayrıca	ponadto
ayrıca	poza
istanbul	stambule
türk	turka
türk	turk
türk	turecka
türk	tureckie
türk	turecki
diğer	innych
diğer	inne
diğer	pozostałe
diğer	inny
yeni	nowości
yeni	nowe
yeni	nowość
yeni	nowy
yeni	nowa
un	mąka
un	mąki
her	każda
her	każdy
kulüp	club
kulüp	klub
kulüp	klubie
bağlı	dołączony
bağlı	załączony
bağlı	dołączone
bağlı	związany
bağlı	związani
bağlı	związana
bağlı	związany
bağlı	związana
bağlı	zależy
bağlı	zalezy
bağlı	podłączone
bağlı	powiązane
bağlı	połączony
bağlı	połączone
bağlı	związane
bağlı	połączone
bağlı	powiązane
iyi	dobre
iyi	dobrze
ne	jakie
ne	co
ilgili	istotne
ilgili	istotna
ilgili	stosowne
ilgili	odpowiednich
ilgili	zainteresowanych
ilgili	zainteresowane
ilgili	zainteresowani
ilgili	zainteresowana
ilgili	zainteresowany
ilgili	powiązany
ilgili	powiązanych
ilgili	powiązane
ilgili	pokrewne
son	ostatnio
son	ostatnie
son	last
son	ostatni
son	ostatnia
son	koniec
son	end
alan	dziedzina
alan	pole
alan	boisko
alan	pola
alan	field
alan	domena
alan	dziedzina
alan	domeny
alan	alana
alan	alan
alan	teren
alan	powierzchnia
alan	obszarze
alan	obszar
dünya	świat
dünya	swiat
dünya	świata
dünya	świecie
dünya	world
dünya	earth
dünya	ziemi
dünya	ziemia
abd	stany
abd	ameryka
abd	usa
birlikte	razem
birlikte	wspólnie
bulunan	zlokalizowany
bulunan	położony
bulunan	zlokalizowane
eski	stare
eski	stary
eski	old
eski	stara
önemli	podkreśla
önemli	ważne
önemli	wazne
önemli	ważny
önemli	ważna
önemli	znaczne
önemli	znaczące
önemli	znaczny
önemli	znacząca
önemli	znaczący
madde	substancje
madde	substancji
madde	substancja
madde	klauzula
madde	surowiec
madde	tworzywo
madde	materiał
madde	materiały
madde	materia
madde	materii
madde	artykułu
madde	artykul
madde	artykuł
sağlık	wellness
sağlık	medyczna
sağlık	medyczny
sağlık	medyczne
sağlık	zdrowie
sağlık	zdrowia
genel	ogólny
genel	ogólna
genel	ogólne
genel	ogólnie
genel	ogólnej
genel	generał
genel	ogólny
genel	ogólnie
genel	ogólna
genel	ogólne
mart	mart
mart	marzec
mart	marca
mart	marsz
adı	nazwisko
adı	imię
adı	nazwa
film	folie
film	filmy
film	filmu
film	film
film	filmy
film	folia
film	film
film	filmy
haziran	czerwca
haziran	june
haziran	czerwiec
mayıs	majowe
mayıs	maja
mayıs	może
mayıs	majowy
mayıs	maj
dosya	pliki
dosya	plików
dosya	plik
dosya	pliku
ocak	jan
ocak	styczeń
ocak	stycznia
ocak	styczniu
ocak	kuchenka
ocak	kuchenki
ocak	piec
ocak	kuchenka
ocak	kuchenki
yıl	roku
yıl	rok
dan	dan
kasım	listopada
kasım	listopadzie
kasım	listopad
kasım	listopada
kasım	listopad
avrupa	europa
avrupa	europejska
avrupa	europejski
avrupa	europejskiej
avrupa	europejskie
avrupa	european
ama	ale
karşı	licznik
karşı	przeciwko
karşı	przeciw
toplam	sum
toplam	sumę
toplam	sumy
toplam	kwota
toplam	suma
toplam	całkowita
toplam	ogółem
toplam	suma
toplam	łącznie
toplam	ogólnie
toplam	ogólnej
jpg	jpg
ikinci	druga
ikinci	drugi
ikinci	drugie
eylül	wrzesień
eylül	września
ağustos	sierpnia
ağustos	augusta
ağustos	august
ağustos	sierpień
içinde	wewnątrz
temmuz	lipca
temmuz	lipiec
önce	zanim
önce	przed
önce	wcześniej
önce	pierwszy
önce	pierwsze
önce	najpierw
önce	pierwsza
tüm	całość
tüm	cały
tüm	cała
tüm	całe
den	den
nisan	kwietnia
nisan	april
nisan	kwiecień
resim	rysunek
resim	obrazek
resim	obraz
resim	zdjęcie
resim	zdjecie
resim	obrazek
resim	obraz
resim	wizerunek
resim	obraz
resim	malarstwo
resim	malowanie
resim	rysunek
resim	losowanie
üniversitesi	uniwersytety
üniversitesi	uniwersytetu
üniversitesi	university
üniversitesi	uczelnia
üniversitesi	uniwersytet
ye	jedz
ye	jeść
ekim	październik
ekim	października
ekim	październik
şehir	town
şehir	miasta
şehir	miejscowość
şehir	miasto
şehir	city
şehir	miejscowość
şehir	miasta
şehir	miasto
şehir	urban
şehir	miejskie
şehir	miejski
şehir	miejskich
şehir	miejska
ptt	ptt
zaman	czasu
zaman	czas
bazı	niektóre
bazı	niektórzy
bazı	trochę
aralık	grudzień
aralık	grudnia
aralık	grudniu
aralık	grudzień
aralık	dec
aralık	odstęp
aralık	przerwa
aralık	przedział
köy	wiosce
köy	wioska
köy	village
köy	wioski
köy	wieś
yüksek	wysoka
yüksek	wysokie
yüksek	high
yüksek	wysoki
yüksek	wysoko
yüksek	wyżej
yüksek	wyższe
yüksek	wyższy
yüksek	wyższa
birçok	wielu
birçok	wiele
şubat	luty
şubat	lutego
şubat	luty
şubat	lutego
sadece	tylko
sadece	tylko
yol	ścieżki
yol	ścieżkę
yol	ścieżka
yol	drogę
yol	drodze
yol	szlak
yol	trasy
yol	trasa
yol	way
yol	sposób
yol	drogowy
yol	drogi
yol	drodze
yol	droga
yol	road
fakat	ale
grup	band
grup	pasmo
grup	zespołu
grup	zespół
grup	grupie
grup	grupy
grup	grupa
takım	oddział
takım	ekipa
takım	team
takım	drużyny
takım	drużyna
takım	zespół
kendi	własne
kendi	własny
kendi	własna
şekilde	way
şekilde	sposób
tek	singles
tek	single
tek	jedynki
tek	jednolitego
tek	single
tek	pojedynczy
tek	singiel
tek	pojedyncze
bilgi	info
bilgi	informacje
bilgi	informacja
bilgi	informacje
bilgi	informacja
bilgi	wiedzy
bilgi	wiedza
bilgi	znajomość
bilgi	wiedzę
kez	razy
kez	times
kez	czasy
osmanlı	osmańskiego
devlet	stan
devlet	state
devlet	państwo
devlet	rządowe
devlet	rząd
devlet	rządowy
ankara	ankara
colspan	colspan
üç	trzy
tarihi	termin
tarihi	randka
tarihi	data
tarihi	historyczne
tarihi	historyczny
tarihi	historyczna
tarihi	historia
tarihi	historii
tarihi	historię
başladı	rozpoczęte
başladı	rozpoczęto
başladı	rozpoczęty
başladı	zaczął
küçük	małych
küçük	mały
küçük	małe
küçük	niewielkie
küçük	mała
küçük	male
küçük	lil
küçük	małe
küçük	little
küçük	mało
küçük	mały
küçük	mała
müzik	muzyka
müzik	music
müzik	muzyki
gelen	przychodzące
resmi	formalne
resmi	formalny
resmi	formalnie
resmi	rysunek
resmi	obrazek
resmi	obraz
resmi	zdjęcie
resmi	zdjecie
resmi	oficjalne
resmi	oficjalna
resmi	urzędnik
resmi	urzędowym
resmi	oficjalnie
resmi	oficjalny
kabul	uzgodnione
kabul	zgoda
kabul	akceptacja
kabul	przyjęcia
kabul	akceptację
kabul	akceptuje
kabul	przyjmuje
kabul	zaakceptować
kabul	akceptuje
kabul	akceptuję
kabul	przyjmij
kabul	przyjęta
kabul	przyjęty
kabul	zaakceptowane
kabul	akceptowane
kabul	przyjęte
devam	kontynuować
devam	zachowaj
kupası	puchar
kupası	kubek
kupası	kielich
kupası	cup
fazla	nadmiar
fazla	nadwyżka
okulu	szkoły
okulu	szkoła
aldı	zrobione
aldı	podjęte
aldı	zabrał
aldı	wzięła
aldı	wziął
aldı	otrzymała
aldı	otrzymana
aldı	otrzymano
aldı	otrzymany
aldı	otrzymane
sahip	sahib
farklı	inna
farklı	różne
farklı	inny
farklı	różnych
futbol	football
futbol	futbol
ileti	komunikat
ileti	wiadomość
ileti	wiadomości
doğru	dokładne
doğru	dokładna
doğru	dokładny
doğru	prawo
doğru	prawda
doğru	prawdziwe
doğru	true
doğru	poprawna
doğru	prawidłowo
