membrane	膜
coleman	coleman
homeland	故鄉
homeland	家園
homeland	祖國
homeland	國土
dental	牙科
dental	牙醫
dental	牙齒
christine	christine
curious	好奇
evolutionary	演化
evolutionary	進化
responsibilities	責任
viscount	子爵
communists	共產黨
pavilion	館
pavilion	pavilion
loans	借款
loans	貸款
joey	joey
moss	moss
parody	嘲諷
parody	模仿
yield	當量
yield	產量
yield	屈服
sizes	大小
sizes	尺碼
sizes	尺寸
armored	裝甲
neighbourhood	鄰里
cheap	廉價
cheap	便宜
dialects	方言
backup	備用
backup	後援
backup	支援
backup	備份
backup	後備
forbidden	禁
forbidden	禁止
forbidden	違禁
forbidden	禁忌
sanskrit	梵語
councillor	議員
knife	刀
knife	刀子
knife	小刀
wade	wade
humanities	人文
yesterday	昨天
yesterday	昨日
percy	percy
transform	轉換
transform	變換
transform	轉變
transform	變形
vegetation	植被
tickets	票
tickets	門票
tickets	車票
tickets	票券
dams	堤壩
dams	水壩
adopt	領養
adopt	收養
plural	多元
plural	複數
zip	拉鍊
zip	zip
updates	更新
restriction	限制
lin	lin
lin	林
siblings	兄妹
measurements	測量
measurements	計量
courthouse	法院
tide	潮流
tide	潮
tide	浪潮
tide	潮汐
tide	潮水
charitable	慈善
feast	宴會
feast	盛宴
poker	撲克牌
poker	撲克
trevor	trevor
reprinted	重印
attractive	吸引力
holidays	假期
holidays	假日
holidays	節假日
holidays	節日
initiatives	倡議
comfortable	舒服
comfortable	舒適
fletcher	fletcher
snail	蝸牛
saga	佐賀
kingdoms	王國
violating	違反
fossils	化石
buying	購買
buying	買
smoking	吸煙
leather	皮革
leather	皮
def	def
patch	修補
patch	補丁
valencia	valencia
subfamily	subfamily
tracy	tracy
breakfast	早餐
breakfast	早飯
mercy	慈悲
mercy	憐憫
mercy	仁慈
peaks	峰
ore	礦石
bottle	瓶子
bottle	瓶
tunisia	突尼西亞
angola	安哥拉
humanitarian	人道主義
decorations	裝飾
slide	滑
slide	滑動
slide	幻燈片
invalid	無效
generating	產生
generating	生成
rao	rao
rao	饒
telescope	望遠鏡
dense	稠密
dense	密集
satisfied	滿意
coral	珊瑚
obituary	訃告
helena	helena
rowing	划船
anatomy	解剖
anatomy	解剖學
merchants	商人
merchants	商家
wound	傷口
conviction	判罪
conviction	信念
conviction	定罪
kuwait	科威特
ridiculous	可笑
suffer	受苦
nsw	nsw
nord	nord
caves	洞穴
caves	山洞
regent	攝政
riverside	河濱
shane	shane
balanced	平衡
balanced	均衡
fitzgerald	fitzgerald
highlight	突顯
highlight	凸顯
payments	付款
payments	支付
tendency	傾向
belle	belle
belle	貝勒
davidson	davidson
clue	線索
rockets	火箭
cure	治癒
slope	坡
slope	斜坡
boyd	boyd
organisms	有機體
organisms	生物
paraguay	巴拉圭
import	進口
dock	船塢
dock	碼頭
penguin	企鵝
rapids	激流
rapids	急流
shed	棚
challenging	挑戰
anthem	國歌
supervision	監督
supervision	監管
supervision	督導
ming	阿明
ming	明
lease	租借
lease	租約
lease	租賃
toys	玩具
buck	降壓
dell	dell
irving	歐文
bells	鐘聲
tibet	西藏
composite	復合
composite	合成
salary	薪水
salary	工資
salary	薪資
salary	薪金
fragments	片段
fragments	碎片
objectives	目標
caesar	凱撒
tragedy	慘案
tragedy	悲劇
tragedy	慘劇
macedonian	馬其頓
cameroon	喀麥隆
carson	carson
slot	槽
rams	公羊
sophie	sophie
granite	花崗岩
jenny	珍妮
jenny	jenny
comparative	比較
apostolic	使徒
pirate	海盜
accompanying	伴隨
seasonal	季節
delegation	代表團
combining	結合
machinery	機械
miners	礦工
embedded	嵌入
embedded	嵌入式
gandhi	甘地
fiscal	財政
testimony	證言
testimony	證詞
reflection	反射
reflection	反省
reflection	思考
booth	攤位
booth	booth
userpage	userpage
courage	勇氣
riots	暴動
riots	暴亂
riots	騷亂
pier	碼頭
formatting	格式
formatting	格式化
auction	拍賣
cbc	cbc
specifications	規格
sutton	sutton
ups	ups
repairs	維修
repairs	修繕
repairs	修理
bypass	繞道
slopes	山坡
slopes	斜坡
phantom	幻影
alps	阿爾卑斯山
cet	cet
investments	投資
flame	火焰
din	din
kay	凱
rent	房租
rent	租
rent	租金
highlands	高地
induced	誘導
induced	誘發
verses	經文
verses	詩句
