amb	함께
més	기타
seu	본부
seu	본사
era	era
era	시대
text	텍스트
text	문자
text	문구
també	또한
anys	수년
any	year
any	연도
població	인구순
població	인구
però	그런데
però	그러나
però	근데
però	하지만
aquest	이거
altres	기타
altres	다른
altres	기타
estat	상태
estat	국가
des	des
aquesta	이거
persones	국민
persones	사람
persones	명인
persones	사람들
from	출신
part	부분
part	부품
part	파트
cap	없음
sobre	봉투
enllaços	링크
dos	두두
dos	두분
externs	외부
família	가족
família	가족과
família	패밀리
ciutat	도시
ciutat	시티
quan	언제쯤
quan	언제
habitatges	주택
qual	어느
molt	아주
molt	매우
nord	북부
nord	북쪽
nord	노스
barcelona	바르셀로나
dones	여자들
dones	여자
dones	여성
res	아무것도
primer	우선
primer	퍼스트
primer	처음
primer	먼저
segle	세기
nom	이름
sud	남부
sud	사우스
sud	남쪽
lloc	장소
nova	노바
homes	멘트
homes	남성
homes	남자
primera	우선
primera	퍼스트
primera	처음
primera	먼저
dues	두두
dues	두분
guerra	전쟁
següent	다음
següent	넥스트
sense	without
això	이거
general	장군
general	일반
general	일반인
catalunya	카탈루냐
forma	형태
forma	모양
forma	형식
forma	형태
forma	양식
mateix	같은
mateix	동일
mateix	똑같이
fet	완료
han	한한
encara	아직도
encara	여전히
mort	죽음
mort	사망
mort	데스
dades	자료
dades	데이터
només	단발
només	오직
només	단지
només	그냥
regió	지방
regió	지역
temps	시간
temps	타임
temps	time
empreses	회사
troba	찾기
grup	그룹
grup	집단
admin	운영자
admin	관리자
famílies	가족
frança	프랑스
poblacions	인구
fills	아동
fills	어린이들
fills	자녀
fills	어린이
fills	아이들
francès	프랑스
francès	프랑스어
francès	프렌치
francès	프랑스인
mentre	동안
nombre	숫자
nombre	번호
tots	모두
tots	전체
edició	편집
edició	수정
edició	게시
edició	출판
renda	임대료
renda	월세
renda	임대
renda	렌트
partit	party
partit	파티
alguns	일부
fill	아들
març	행진
març	행진곡
setembre	구월
principal	메인
color	색상
color	컬러
color	색상
color	컬러
món	월드
món	세상
món	세계
empresa	회사
empresa	컴퍼니
empresa	기업
abans	이전
abans	전에
edat	연령
edat	나이에
edat	나이
web	웹툰
jpg	jpeg
jpg	jpg
dins	인사이드
dins	내부
església	교회
casa	하우스
història	이야기
història	스토리
història	소식
història	역사
història	내역
història	히스토리
història	기록
país	나라
país	국가
país	시골
país	컨트리
segona	둘째
segona	두번째
joan	조앤
final	종료
final	끝내기
govern	정부
est	동부
est	이스트
est	동쪽
est	est
vida	생명
vida	생활
vida	라이프
vida	인생
poder	파워
poder	전력
poder	권력
totes	모두
totes	전체
gener	일월
tipus	형식
tipus	타입
tipus	종류
tipus	유형
habitatge	주택
habitatge	숙소
