политехнический	politehnični
закрыто	zaprto
закрыто	zaprt
закрыто	zaprte
закрыто	zaprti
закрыто	zaprta
мельница	mlin
механик	mehanik
механик	mehanika
склад	skladišče
склад	skladiščenje
склад	skladišče
склад	shranjevanje
публично	javno
джейсон	jason
чрезвычайный	izredna
чрезвычайный	izredni
чрезвычайный	izredno
критическое	kritični
критическое	kritična
критическое	kritičen
критическое	kritične
критическое	kritično
используемые	uporabljen
используемые	uporabljena
используемые	uporabljeno
используемые	uporabljene
используемые	uporabljeni
прощения	odpuščanja
прощения	odpuščanje
райан	ryan
особняк	dvorcu
особняк	dvorec
хлеб	kruh
хлеб	kruha
ближайшее	najbližji
ближайшее	najbližja
ближайшее	najbližje
избрана	izvoljeni
избрана	izvoljen
избрана	izvoljena
сады	sadovnjaki
сады	vrtovi
сады	vrtovih
сады	vrtov
сады	vrtove
слоя	plast
слоя	sloj
слоя	plasti
движок	motorja
движок	motor
девочки	punce
девочки	dekleta
девочки	punci
девочки	deklice
освободить	izpust
освободить	izpusti
освободить	sproščanje
освободить	sprostitev
гипотезы	hipoteze
медицинская	medicinski
медицинская	medicinsko
логично	logično
логично	logični
логично	logičen
логично	logično
выпускников	diplomantov
жаль	usmiljenje
жаль	usmiljenja
жаль	škoda
месяцы	meseci
месяцы	meseca
месяцы	mesece
месяцы	mesecev
стремится	prizadeva
индонезия	indonezije
индонезия	indonezija
дизайнер	oblikovalec
стол	preglednica
стол	razpredelnica
стол	miza
стол	tabela
стол	miza
луиджи	luigi
исчезли	izginil
исчезли	izginila
могилы	grobov
могилы	graves
могилы	grobove
томми	tomi
томми	tommy
королевская	kraljevi
королевская	kraljevsko
королевская	royal
королевская	kraljevo
белков	beljakovin
белков	proteini
белков	beljakovine
способствовало	prispeval
чан	chang
чан	chan
чан	jang
улицах	ulice
улицах	ceste
казнь	usmrtitev
казнь	izvršitev
казнь	izvedba
казнь	izvrševanje
тольятти	togliatti
морис	maurice
самцы	samci
убедить	prepričajte
убедить	prepričajte
технику	tehnika
технику	tehniko
частного	zasebno
частного	privat
частного	zasebna
частного	zasebnega
частного	zasebni
оригинальные	prvotna
оригинальные	izvirnik
оригинальные	izvirno
оригинальные	prvotni
оригинальные	original
цветы	rožice
цветы	cvetje
цветы	cvetovi
цветы	rože
рыцарь	vitez
прокат	izposoja
прокат	najem
прокат	najemnino
прокат	najem
литве	litva
литве	litvi
литве	litvo
родригес	rodriguez
родригес	rodrigues
родригес	rodríguez
дам	jez
наблюдать	opazuj
наблюдать	opazovati
кама	kama
печатных	tiskani
печатных	tiskane
печатных	natisnjeno
печатных	tiskano
северное	severna
северное	severno
северное	severni
северное	severne
ценностей	vrednosti
ценностей	vrednote
квадратный	kvadratnih
квадратный	kvadrat
малайзии	malezija
малайзии	malezije
малайзии	malezijski
одежда	obleke
одежда	oblačil
одежда	oblačila
одежда	obleke
одежда	oblačila
промышленные	industrijsko
промышленные	industrijska
промышленные	industrijske
промышленные	industrijski
тяжёлая	težka
тяжёлая	težki
тяжёлая	težke
тяжёлая	težko
мкс	iss
мкс	irc
мкс	cie
оппонентов	nasprotniki
оппонентов	nasprotnike
оппонентов	nasprotnikov
вдова	vdovo
вдова	vdove
вдова	vdova
грибы	gobe
грибы	gobice
грибы	glive
грибы	glivice
грибы	goba
грибы	gobe
идеологии	ideologije
идеологии	ideologije
разрешить	dovoli
разрешить	dovoljenje
разрешить	dovoli
барбара	barbara
признали	priznana
признали	priznan
признали	priznani
признали	priznan
признали	priznana
признали	priznano
признали	priznane
признали	priznan
признали	prepoznal
признали	priznana
признали	priznano
верфи	ladjedelnica
псевдонимы	vzdevki
псевдонимы	vzdevke
законодательство	zakonodaja
законодательство	zakonodajo
ганс	hans
сзади	iza
сзади	zadaj
иллинойс	illinois
тон	tona
тон	ton
тон	tone
планете	planet
планете	planeta
леви	levi
леви	dajatev
потомков	potomci
потомков	potomci
регистр	registrira
регистр	register
регистр	evidenca
регистр	register
регистр	registra
прототип	prototip
творческий	ustvarjalna
творческий	ustvarjalno
творческий	ustvarjalni
творческий	kreativno
геологии	geologija
химический	kemikalija
химический	kemična
химический	kemijsko
химический	kemično
ближайший	najbližji
ближайший	najbližja
ближайший	najbližje
ближайший	najbliže
ближайший	najbližji
ближайший	najbližja
ближайший	najbližje
астрономы	astronomi
нижние	spodnji
нижние	nižja
нижние	nižje
нижние	spodnja
чистой	cist
чистой	čist
украинцы	ukrajinci
украинцы	ukrajinski
продолжая	nadaljevanje
коды	kode
коды	šifre
среду	srede
среду	sredo
среду	sreda
уголовное	kriminalno
уголовное	kazensko
уголовное	kriminalec
уголовное	kazenskih
капитал	kapitala
капитал	prestolnica
капитал	kapital
монография	monografija
росс	rossa
росс	ross
гвинеи	gvineji
гвинеи	gvineja
гвинеи	gvinejo
гвинеи	gvinejski
вкус	okus
вкус	okusi
вкус	okus
племя	pleme
дама	gospa
дама	dama
дама	lady
дама	dama
атлетика	atletika
трудящихся	delavcev
трудящихся	delavci
трудящихся	delavce
ставки	stave
ставки	stave
ставки	stavil
ставки	stopnje
люблю	ljubezni
люблю	love
люблю	ljubezen
подруга	dekle
подруга	punco
подруга	punca
подруга	prijatelj
подруга	prijateljica
подруга	prijateljico
сицилии	sicilija
клиентов	stranka
клиентов	odjemalec
клиентов	kupci
клиентов	strank
клиентов	stranke
клиентов	klienti
клиентов	strank
клиентов	stranke
выпускник	diplomiral
возникновение	nastanek
возникновение	pojav
успенский	uspenski
остановка	zaustavitev
остановка	ustavitev
гвинея	gvineji
гвинея	gvineja
гвинея	gvinejo
реформа	reforme
реформа	reformo
реформа	reforma
войти	prijava
войти	vstop
войти	vstopi
скрипки	violine
дева	device
дева	devica
дева	devica
дева	dekliško
