jego	jo
tym	šio
dyskusja	diskusijos
dyskusja	aptarimas
dyskusja	diskusija
jak	kaip
jak	lyg
jak	kaip
miejsce	vieta
linki	nuorodos
zewnętrzne	išorinis
cet	cet
team	komanda
ale	bet
jednak	tačiau
brak	trūksta
ich	jais
ich	jas
ich	joms
ich	jiems
ich	jomis
ich	juos
ich	ich
miejscowość	vietovė
miejscowość	vietovėje
gdzie	kur
wieku	amžiaus
wieku	amžius
tylko	tik
tylko	tik
tylko	tiesiog
maja	maja
miasta	miestus
miasta	miestai
miasta	miestai
gmina	palenkės
gmina	savivaldybė
nad	nad
już	jau
marca	marc
może	gal
może	galbūt
wieś	kaimo
wieś	kaime
wieś	jonava
wieś	kaimas
kwietnia	balandis
listopada	nov
czerwca	birželis
czerwca	birželio
lutego	vasaris
wojny	karas
wojny	karo
wojny	karui
wojny	karai
dwa	du
część	dalies
część	dalis
bardzo	labai
śmierci	mirtis
śmierci	mirties
między	inter
między	eurus
skład	sudėtis
jeszcze	dar
udział	dalyvavo
udział	dalyvavimas
udział	akcija
udział	dalintis
udział	dalyvavimas
zespół	komanda
tych	šių
isbn	isbn
dwóch	du
wynik	balu
nim	nim
mistrzostw	čempionatas
mistrzostw	čempionato
bgcolor	bgcolor
rodziny	šeimų
rodziny	šeima
rodziny	šeimos
rodziny	šeimyna
amerykański	amerikos
medal	medaliu
wielu	daug
opis	antraštė
opis	apibūdinimas
pracy	darbas
pracy	darbas
sezonie	sezonas
miejscowości	miestus
miejscowości	miestai
czas	laiko
czas	laikas
ang	ang
wiele	daug
wiele	daug
kilka	keletą
historii	istorijos
historii	istorija
mapy	žemėlapiai
piłkarz	futbolininkas
film	filmas
film	filmai
film	video
film	filmas
film	plėvelė
plik	failas
armii	armijos
armii	kariuomenė
armii	armija
gęstość	tankio
gęstość	tankis
dzięki	dėkui
dzięki	ačiū
kariera	karjera
kariera	karjeros
kariera	karjerai
kariera	karjera
kariera	karjeros
rady	patarimų
rady	patarimai
życia	gyvenimo
życia	gyvybės
życia	gyvybė
życia	gyvenimas
prawa	įstatymai
miejsca	vietose
miejsca	vietovės
miejsca	vieta
mistrzostwa	čempionatas
mistrzostwa	čempionato
często	bendras
często	dažni
commons	commons
sposób	metodas
sposób	būdu
sposób	būdas
będzie	bus
dwie	du
jednostka	subjektas
pozycji	elementų
xix	xix
pomiędzy	eurus
linii	linija
linii	eilutės
linii	linijos
com	com
celu	tikslas
celu	paskirtis
wojska	karinė
wojska	karinis
wojska	karinės
wojska	kariai
wojska	armijos
wojska	kariuomenė
wojska	armija
ffe	ffe
polityk	politikas
lip	lūpų
szkoły	mokykla
szkoły	mokykla
szkoły	mokyklos
parafia	parapija
piechoty	pėstininkų
trener	treneris
trener	treneris
trener	trenerio
bardziej	daugiau
klub	klubas
muzeum	muziejus
muzeum	muziejų
gatunek	rūšis
gatunek	rūšių
gatunek	rūšys
zjednoczonych	jungtinės
zjednoczonych	jungtinė
stadion	stadion
stadion	stadionas
dzieci	vaikai
stanisław	stanislovas
style	parengtus
style	stilius
olimpijskich	žaidynėse
język	liežuvio
język	liežuvį
język	liežuvis
język	kalbos
język	kalba
czasu	laiko
czasu	laikas
historia	istorijos
historia	pasakojimas
historia	istorija
historia	istorijos
historia	istorija
zsrr	tsrs
metrów	metrų
metrów	metrai
metrów	metrų
pracował	dirbau
pracował	dirbo
gru	edvardsas
król	karalius
andrzej	endriu
lis	lapė
prowincji	provincija
puchar	taurė
tys	tūkst
wydawnictwo	leidyba
wydawnictwo	leidybos
sezon	sezonas
uniwersytetu	universitetas
ona	ji
ona	jai
nazwy	vardai
życie	gyvenimo
życie	gyvybės
życie	gyvybė
życie	gyvenimas
nowe	nove
parafii	parapija
drużyna	komanda
ligi	lygos
ligi	lyga
kultury	kultūra
kultury	kultūros
kultury	kultūrų
króla	karalius
wtedy	tada
aktor	aktorė
aktor	aktorius
syn	sūnus
studia	koledžas
studia	kolegijos
studia	kolegija
studia	koledžo
studia	tyrimai
studia	studijoje
studia	studija
studia	studio
studia	studijos
gry	žaidimas
gry	žaidimų
gry	žaidimai
karierę	karjera
karierę	karjeros
produkcji	gamyba
produkcji	gamybos
turnieju	turnyras
turnieju	turnyro
długości	ilguma
długości	ilgis
kobiet	moterys
gitara	gitara
józef	joseph
józef	josef
józef	juozapas
stacja	stotis
stacja	stoties
więcej	daugiau
sztuki	meno
sztuki	menas
sztuki	menų
gra	žaidimas
gra	žaidžia
jerzy	jerzy
maj	maja
nagrody	apdovanojimai
nagrody	prizų
nagrody	prizo
nagrody	prizas
nagrody	prizą
nagrody	premija
klasyfikacji	klasifikavimas
klasyfikacji	klasifikacija
klasyfikacji	rūšiavimas
organizacji	įstaiga
serii	serija
serii	serijos
kraków	krokuva
kraków	krokuvos
park	park
park	parkas
długość	ilguma
długość	ilgis
hasło	slaptažodis
hasło	slaptažodžio
hasło	slaptažodį
kluby	klubai
informacje	info
informacje	informacija
domu	namas
ostatecznie	galiausiai
stan	stan
powiat	apskritis
powiat	rajonas
mężczyzn	patinai
anglii	anglija
anglii	anglijos
