dhe	et
një	un
një	une
një	one
nga	du
nga	de
nga	depuis
për	pour
edhe	meme
edhe	même
tij	sa
tij	his
tij	ses
tij	son
nuk	not
nuk	non
nuk	pas
ishte	fut
ishte	etait
ishte	était
janë	sont
duke	ayant
duke	avoir
shumë	très
shumë	tres
shumë	trés
por	mais
pas	apres
pas	after
pas	après
pas	aprés
pas	suivantes
pas	suivant
këtë	ceci
këtë	cet
këtë	cette
këtë	cela
këtë	ce
parë	vu
parë	vus
tyre	leur
tyre	leurs
tyre	eux
mund	pourrais
mund	pouvait
mund	pourrait
mund	pourraient
mund	peuvent
mund	pouvez
mund	peux
mund	peut
gjatë	longues
gjatë	longs
gjatë	longue
gjatë	longtemps
gjatë	long
disa	certains
disa	certaines
disa	quelques
lidhje	liens
lidhje	relation
lidhje	branchement
lidhje	raccordement
lidhje	connexion
lidhje	lien
kjo	ceci
kjo	cet
kjo	cette
kjo	cela
kjo	ce
kjo	que
kjo	cela
kur	lorsque
kur	quand
jashtme	externe
jashtme	extérieurs
jashtme	extérieur
jashtme	extérieure
jashtme	externes
jashtme	extérieurs
jashtme	extérieur
jashtme	extérieures
jashtme	exterieur
jashtme	extérieure
saj	sa
saj	ses
saj	son
saj	her
kishte	avait
kishte	avaient
kishte	avais
ajo	she
ajo	elle
vetëm	seul
vetëm	seuls
vetëm	seule
vetëm	seul
vetëm	uniquement
vetëm	seulement
vetëm	seule
vetëm	just
vetëm	simplement
vetëm	juste
ata	eux
ata	ceux
ata	elles
ata	ils
ata	eux
tjera	autre
tjera	autres
pjesë	pièces
pjesë	parties
pjesë	partie
atë	lui
shqiptare	albanaise
shqiptare	albanais
madhe	gros
madhe	grosse
madhe	grande
madhe	big
madhe	grand
rreth	autour
rreth	alentour
para	monnaie
para	argent
para	argent
para	comptant
para	liquidités
para	auparavant
para	avant
ishin	étaient
per	pour
këto	ces
banorë	habitants
banorë	résidants
banorë	habitants
banorë	résidents
komuna	communes
komuna	municipalités
komuna	municipalité
cila	lesquels
cila	laquelle
cila	lequel
nje	un
nje	une
nje	one
kundër	compteur
kundër	comptoir
kundër	contre
kundër	against
madh	immense
madh	immenses
lista	liste
lista	listes
lista	listes
kantoni	canton
gjithashtu	également
gjithashtu	aussi
gjithashtu	egalement
cilat	lesquels
cilat	laquelle
cilat	lequel
ndryshme	différentes
ndryshme	différente
ndryshme	différents
ndryshme	différent
ndryshme	divergentes
ndryshme	divergente
ndryshme	divergent
etj	etc
duhet	nécessité
duhet	besoins
duhet	besoin
duhet	doit
duhet	moût
duhet	doivent
duhet	devez
sipërfaqe	surfaces
sipërfaqe	surface
ato	eux
ato	elles
ato	ils
ato	eux
ato	ceux
përgjithshëm	généraux
përgjithshëm	généralités
përgjithshëm	générale
përgjithshëm	général
tjetër	autre
tjetër	autres
tjetër	prochain
tjetër	suivante
tjetër	suivant
tjetër	prochaine
tjetër	next
njohur	familières
njohur	familière
njohur	familier
njohur	familiers
njohur	reconnu
njohur	reconnues
njohur	reconnue
njohur	reconnus
