массачусетс	massachusetts
лавка	bench
стрічці	feed
настає	nabasag
настає	break
настає	breaks
оцінкою	rating
зазначає	nakalista
зазначає	inilista
венесуели	venezuela
шанс	pagkakataon
шанс	chance
арнольд	arnold
підпілля	underground
навчальному	pinakamadaling
евакуації	lumikas
виправлення	pagwawasto
гар	gard
збільшує	tataas
гаїті	hayti
гаїті	haiti
заборона	forbidden
заборона	ipinagbabawal
заборона	pagbabawal
пакистан	pakistan
легіон	legion
полотна	canvas
позначають	ipahiwatig
механік	mekaniko
хронологія	chronology
хронологія	timeline
вступили	milagro
галицька	galician
вебер	weber
стилів	styles
стилів	istilo
стилів	estilo
консультант	consultant
консультант	pagsangguni
консультант	pagkonsulta
жер	gers
багатих	yaman
багатих	mayayamang
здатністю	mumurahing
фінанси	pinansyal
фінанси	financial
фінанси	pananalapi
сталь	bakal
сталь	steel
сталь	asero
шахи	ahedres
шахи	chess
темні	madilim
темні	maitim
темні	dilim
темні	darker
інженери	technicians
інженери	inhinyero
вюртемберг	württemberg
вивести	output
стандартна	pamantayan
стандартна	karaniwang
стандартна	standard
ізраїлі	israel
куба	cuba
соціологія	sosyolohiya
читає	nagbabasa
флоренція	florence
шкіра	leather
шкіра	balat
життєпис	timeline
записано	isinulat
записано	nakasulat
записано	sinulat
записано	naisulat
записано	recorded
записано	naitala
визначений	tinukoy
поклоніння	pagsamba
комети	buntala
щоденник	journal
щоденник	talaarawan
щоденник	diary
делі	delhi
договорів	trato
договорів	deal
сочі	sochi
римляни	romans
римляни	roma
промислова	industrial
промислова	industriyal
вимогою	kinakailangan
вимогою	requirement
міллер	miller
спільна	dugtong
спільна	pinagsamang
бідності	kahirapan
центрами	centers
правова	legal
феномен	kababalaghan
турецький	imperyong
турецький	turko
союзники	allies
моріс	maurice
сіра	spinner
сіра	grey
симптоми	sintomas
індіанці	indians
присвоєння	assignment
присвоєння	pagtatalaga
необхідне	kinakailangan
необхідне	kailangan
галактик	galaxies
власна	self
власна	sarili
любителів	pagpapahalaga
вінніпег	winnipeg
попов	popov
вікон	windows
хребетних	soolohiya
рівно	steady
старша	elder
старша	older
стани	states
стани	estado
стани	unidos
розряд	singles
розряд	puke
казав	sabi
казав	sinabi
казав	sinabihan
штурм	sturm
фестивалів	festivals
замінили	pinagpalit
замінили	pinalitan
роберто	roberto
шари	layers
кадри	frame
цех	guild
цех	kapisanan
максимальний	pinakamataas
нижніх	pinagbabatayan
площ	tingi
площ	retail
легкі	madali
легкі	madaling
легкі	easy
діалект	dialect
афганістан	afghanistan
хіп	hip
хіп	balakang
блог	blog
термінології	terminolohiya
проголосували	ibinoto
роджер	roger
інструкції	tagubilin
атлетика	athletics
фантастика	fantastic
фантастика	fictional
фантастика	fiction
сорти	variety
зникла	gone
зникла	mawala
виконавці	mapagkukunan
виконавці	yaman
виконавці	kayamanan
бульвар	boulevard
євангеліє	ebanghelyo
борець	wrestler
профспілок	unyon
польську	polish
спадкоємець	tagapagmana
негативні	negatibong
негативні	negatibo
негативні	negative
сіро	ciro
луцій	lucio
заряд	singil
заряд	charge
загроза	banta
духовна	theological
перегони	lahi
перегони	racing
перегони	karera
глосарій	talahulugan
молодим	bata
регулярні	periodical
ходи	moves
ходи	gumagalaw
монету	barya
монету	coin
кімната	silid
кімната	kuwarto
кімната	kwarto
альянс	alyansa
корпорація	corporation
корпорація	korporasyon
штук	mapagmataas
кінь	kabayo
сенат	senado
батьківщина	fatherland
коробка	box
коробка	kahon
твердість	tigas
ланка	lanka
запалення	pamamaga
гази	gaza
оцінювання	scoring
оцінювання	pagsusuri
важливість	kahalagahan
важливість	kalubhaan
виживання	matira
дизель	diesel
написала	sinulat
написала	wrote
написала	nagsulat
багатство	yaman
винограду	ubas
судану	sudan
загреб	zagreb
сидить	nakaupo
сидить	upo
персонал	kawani
персонал	staff
обмежені	limitado
обмежені	limitadong
обмежені	limited
мухаммед	mohammad
мухаммед	muhammad
мухаммед	mohammed
мухаммед	muhammed
вищому	premier
обрані	itinatampok
обрані	itinampok
обрані	napili
обрані	pinili
обрані	piling
нафта	langis
нафта	oil
нафта	petroleum
розділити	tinidor
розділити	paghahati
розділити	split
розділити	hatiin
сибір	siberia
міркувань	pangangatwiran
міссісіпі	mississippi
конрад	konrad
конрад	conrad
род	rod
арсенал	arsenal
абсолютна	absolute
абсолютна	lubusang
маргарет	margaret
сицилії	sicilia
сицилії	sicily
технічно	technically
попередня	prev
попередня	dating
попередня	nakaraang
адм	adm
спереду	harapan
спереду	harap
розбив	eskandalo
кандидатуру	pagkakandidato
інженерних	inhinyeriyang
інженерних	engineering
крус	cruz
поховали	ilibing
подолати	nagtagumpay
подолати	overcome
проведених	helm
пілотів	pilots
ратуша	hall
міра	myra
міра	mira
міра	sukatin
міра	masukat
військах	pwersa
військах	sandatahan
виробляють	gumawa
виробляють	makagawa
виробляють	magkaanak
впевнений	sure
математичні	matematikal
математичні	math
числення	calculus
луїза	louisa
луїза	luisa
луїза	louise
залишатися	mananatiling
залишатися	manatili
залишатися	manatiling
залишатися	stay
броні	armor
найвищих	matataas
запитів	hiling
зник	gone
зник	mawala
зник	naglaho
зник	naglaho
відповідними	kani
механічний	makina
кераміка	palayok
кераміка	ware
кераміка	paninda
дербі	darby
дербі	derby
прапором	bandila
прапором	watawat
зерно	butil
студій	araling
студій	aral
ставка	rate
всюди	globally
всюди	saanman
всюди	dako
найвище	matataas
підтримання	mapanatili
підтримання	maintain
підтримання	magpanatili
гідності	dangal
відповідну	naaangkop
відповідну	angkop
реалізацію	pagpapatupad
проза	tuluyan
вираження	expressing
виграли	nanalo
виграли	panalo
путівник	patnubay
