اتھاہ	diep
اب	nou
اب	now
اب	tans
اب	vader
اِبا	weiering
ابّا	vader
ابّا	abba
ابّا	pa
اِباحت	toelating
اِباحت	toestemming
اِباحت	vryheid
اِباحت	liberty
اِباحت	lisensie
ابازیر	spices
اباطیل	lies
اُبال	woede
اُبال	woede
اُبال	rage
اِبتدا	oorsprong
اِبتدا	bronne
اِبتدا	bron
اِبتدا	geboorte
اِبتدا	start
اِبتدا	begin
اِبتداع	innovasie
اِبتداع	uitvinding
اِبتداع	skepping
اِبتدائی	aanvanklike
اِبتدائی	voorlopige
اِبتدائی	elementêre
اِبتدائی	primêr
اِبتدائی	primary
اِبتدائی	primêre
اِبتدائی	belangrikste
اِبتدائیات	basiese
اِبتدائیات	fundamentals
اِبتدائیّہ	preface
ابتر	verstrooide
ابتر	bederf
ابتر	confused
ابتر	verward
ابتری	disorder
ابتری	verwarring
ابتری	disorder
ابتری	verwarring
ابتری	agteruitgang
اِبتسام	smile
اِبتسام	glimlag
اِبتغا	begeerte
اِبتغا	aanvraag
اِبتکار	innovasie
اِبتکار	inisiatief
اِبتلا	verhoor
اِبتلا	distress
اِبتلا	temptation
اِبتہاج	geluk
اِبتہاج	gaiety
اِبتہاج	vrolikheid
اُبٹن	meel
ابجد	inception
ابجد	abjad
ابحاث	argumente
ابحار	oseane
ابدُالآباد	eternity
ابداً	verewig
اِبدا	verklaring
اِبداع	innovasie
اِبداع	uitvinding
اِبداع	skepping
اِبدال	veranderings
اِبدال	verander
اِبدال	wysig
اِبدال	ruil
اِبدال	vervanging
اِبدال	plaasvervanging
ابدان	bodies
ابدی	eindelose
ابدی	ewige
ابدیّت	eternity
ابردار	bewolkte
ابردار	bewolk
اِبرا	vrylaat
اِبرا	vrystelling
ابرار	saints
اِبرام	beklemtoning
اِبرام	benadruk
اُبرانا	vrylaat
اُبرانا	vrystelling
ابری	bewolkte
ابری	bewolk
ابریشم	silk
ابس	swak
ابس	ongehoorsaam
ابصار	aansigte
ابصار	kykers
ابصار	lyk
ابصار	verdraagsaamheid
ابصار	begrip
ابطال	heroes
ابطال	helde
ابعاد	dimensies
ابعاد	afstande
ابعد	pa
اِبقا	bewaring
ابکار	virgins
اِبل	kameel
اِبل	camel
ابلا	swak
ابلا	delicate
ابلا	vrou
اِبلاغ	kommunikasie
ابلج	obvious
ابلج	prominent
اُبلنا	opkoms
ابلہ	laf
ابلہ	silly
ابلہ	dom
اِبلیس	lusifer
اِبلیس	lucifer
اِبلیس	satan
اِبلیسیت	satanisme
اِبن	seun
ابنا	mense
ابنا	seuns
ابنا	tribes
اُبنہ	sodomie
ابنیہ	basisse
ابنیہ	foundations
ابُو	vader
ابوالمنصور	dove
ابُّو	vader
ابُّو	papa
ابواب	belastings
ابواب	deure
ابواب	doors
ابواب	chapters
اُبُوّت	vaderskap
اِبہام	onsekerheid
اِبہام	duim
اِبہام	verwarring
اِبہام	onsekerheid
اِبہام	duim
اِبہام	verwarring
اُبّہت	greatness
اُبّہت	superioriteit
ابیّ	vader
ابیّ	pappa
ابیات	verses
ابیض	white
ابیض	helder
اُبھار	swelling
اُبھار	swelsel
اُبھار	opgewondenheid
اُبھار	swelling
اُبھار	swelsel
اُبھار	opgewondenheid
اُبھارا	stimulus
اُبھارا	motivering
اُبھارا	aanmoediging
اُبھارنا	lig
ابھاگا	arme
ابھاؤ	wil
ابھاؤ	uitwissing
ابھاؤ	armoede
