και	और
από	से
από	इससे
με	साथ
που	जिससे
για	लिये
κατηγορία	वर्ग
κατηγορία	श्रेणी
τους	उनसे
τους	उनके
τους	उनको
τους	उन्हें
ήταν	था
ήταν	थी
ένα	एक
ότι	उस
ότι	कि
μια	एक
έχει	रै
θα	करेंगे
θα	होगी
θα	करेगा
θα	करेगी
θα	होगा
αλλά	परन्तु
αλλά	लेकिन
αλλά	लेकीन
αλλά	मगर
αλλά	लकिन
μετά	फिर
μετά	तब
μετά	बाद
επίσης	भी
όπως	like
όπως	जैसे
είχε	था
ενώ	जबकी
ενώ	जबकि
δύο	दो
αυτό	ये
αυτό	यह
αυτό	इस
αυτό	उस
αυτό	कि
αυτή	वो
όπου	कहाँ
όπου	कहां
όπου	जहां
όπου	जहाँ
όταν	कब
όταν	जब
μέχρι	तक
μέχρι	जबतक
μία	एक
ομάδα	दस्ता
ομάδα	दस्ते
ομάδα	स्क्वाड
ομάδα	ग्रुप
ομάδα	समूह
ομάδα	टीम
ομάδα	टोली
θέση	पद
θέση	स्थिति
χρόνια	दीर्घकालिक
χρόνια	सालों
χρόνια	वर्ष
χρόνια	साल
χρόνια	वर्षों
χρόνια	सालो
πρώτη	प्रथम
πρώτη	पहली
πρώτη	पहले
πρώτη	पहला
πιο	ज्यादा
πιο	आदि
πιο	अधिक
ένας	एक
πόλη	बस्ती
πόλη	नगर
πόλη	कस्बा
πόλη	शहर
πόλη	सिटी
πόλη	नगर
σύνδεσμοι	लिंक
σύνδεσμοι	लिंक्स
σύνδεσμοι	कड़ियाँ
σύνδεσμοι	कड़ी
μόνο	सिर्फ
μόνο	केवल
μόνο	तभी
έγινε	सम्पन्न
έγινε	किया
πολύ	बहुत
κάθε	हर
κάθε	प्रत्येक
κάθε	प्रत्येक
περιοχή	क्षेत्र
περιοχή	प्रदेश
περιοχή	क्षेत्र
περιοχή	क्षेत्रफल
αιώνα	शतक
αιώνα	शताब्दी
αιώνα	सदी
αθήνα	एथेंस
περίοδο	अवधि
περίοδο	काल
τότε	फिर
τότε	तब
όνομα	नाम
ελλάδα	यूनानी
ελλάδα	ग्रीस
ελλάδα	यूनान
ελλάδα	यूनानियों
μέρος	हिस्से
μέρος	हिस्सा
μέρος	पार्ट
μέρος	भाग
μέρος	जगह
μέρος	स्थान
μέρος	प्लेस
σήμερα	आज
μέσα	अन्दर
μέσα	भीतर
μέσα	अंदर
πως	केसे
πως	कैसे
πως	कैसा
μαζί	साथ
διάρκεια	अवधि
ιστορία	कहानी
ιστορία	स्टोरी
ιστορία	इतिहास
πρωτάθλημα	लीग
πρωτάθλημα	चैम्पियनशिप
πρωτάθλημα	चैंपियनशिप
αργότερα	बाद
νέα	नया
νέα	नई
νέα	खबर
νέα	समाचार
νέα	न्यूज़
νέα	न्यूज
περίπου	परिचय
περίπου	लगभग
αυτά	ये
πριν	पहले
χωρίς	बिना
χωρίς	बगैर
εθνική	राष्टीय
εθνική	राष्ट्रीय
εθνική	नेशनल
συζήτηση	वार्तालाप
συζήτηση	परिचर्चा
συζήτηση	चर्चा
συζήτηση	बहस
αρχείο	संग्रह
αρχείο	अभिलेखागार
αρχείο	अभिलेख
αρχείο	फाइल
αρχείο	फ़ाइल
αρχείο	संचिका
πρέπει	जरूर
φορά	वक़्त
φορά	वक्त
φορά	समय
έλληνες	यूनानियों
ομάδες	समूहों
ομάδες	समूह
ομάδες	टीम
ομάδες	टीमों
πρώτο	प्रथम
πρώτο	पहली
πρώτο	पहले
πρώτο	पहला
έργο	परियोजना
έργο	प्रोजेक्ट
έργο	कार्यालय
έργο	काम
έργο	कार्य
κυρίως	मुख्यतः
κυρίως	अधिकांशतः
κυρίως	अधिकांश
κυρίως	ज्यादातर
κυρίως	अधिकतर
κυρίως	ज़्यादातर
όχι	नही
όχι	नहीं
ελληνική	ग्रीक
ελληνική	यूनानी
μεγάλη	बड़े
μεγάλη	बड़ा
μεγάλη	बड़ी
μεγάλη	बिग
υπό	तहत
υπό	अधीन
υπό	अंतर्गत
έως	तक
έως	जबतक
ταινία	चलचित्र
ταινία	फ़िल्म
ταινία	मूवी
ταινία	फिल्म
ταινία	टेप
ταινία	फ़िल्म
ταινία	फिल्म
ταινία	फिल्मी
άλλα	अन्य
άλλα	अन्य
τμήμα	विभाग
τμήμα	धारा
τμήμα	खंड
τμήμα	अनुभाग
τμήμα	खण्ड
σαν	like
σαν	जैसे
εκεί	वहाँ
εκεί	वहां
εκεί	वहा
εκεί	वहीँ
άλλες	अन्य
τέλος	आखिरकार
τέλος	अंत
τέλος	समाप्ति
τέλος	समाप्त
σειρά	श्रेणी
σειρά	क्रम
σειρά	ऑर्डर
σειρά	आदेश
σειρά	अनुक्रम
σειρά	पंक्ति
στοιχεία	तत्वों
στοιχεία	तत्व
στοιχεία	आँकड़ा
στοιχεία	डाटा
στοιχεία	डेटा
στοιχεία	आंकड़ा
εκτός	जबतक
εκτός	मगर
συνέχεια	निरंतरता
συνέχεια	जारी
κάτω	नीचे
κάτω	bas
κάτω	निचला
κάτω	निम्नतर
κάτω	नीचे
πολλές	कई
πολλές	अनेक
όλα	सबकुछ
όλα	सभी
όλα	सब
σύστημα	तंत्र
σύστημα	सिस्टम
σύστημα	तन्त्र
σύστημα	प्रणाली
ακόμα	स्टिल
φορές	बार
φορές	टाइम्स
ίδια	एकसमान
ίδια	समान
ίδια	वही
ιουλίου	जुलाई
χώρα	देश
αποτέλεσμα	निष्कर्ष
αποτέλεσμα	रिजल्ट
αποτέλεσμα	परिणाम
αποτέλεσμα	असर
αποτέλεσμα	प्रभाव
οκτωβρίου	अक्टूबर
οκτωβρίου	अक्तूबर
ιανουαρίου	जनवरी
σεπτεμβρίου	सितम्बर
σεπτεμβρίου	सितंबर
νοεμβρίου	नवंबर
νοεμβρίου	नवम्बर
αγώνες	मिलान
αγώνες	गेम्स
αγώνες	गेम
αγώνες	खेल
ταινίες	फिल्में
ταινίες	मूवी
ταινίες	फ़िल्में
ταινίες	फिल्मों
μαρτίου	मार्च
μαρτίου	कूच
γεννήθηκε	जन्म
γεννήθηκε	जन्मे
γεννήθηκε	born
ιουνίου	जून
αυτές	ये
πολλά	कई
πολλά	अनेक
απριλίου	अप्रैल
τρεις	तीन
αυγούστου	अगस्त
έργα	परियोजनाएँ
έργα	परियोजनाएं
έργα	प्रोजेक्ट
δεκεμβρίου	दिसंबर
δεκεμβρίου	दिसम्बर
χρήση	उपयोग
πρόεδρος	प्रदेशाध्यक्ष
πρόεδρος	राष्ट्रपति
πρόεδρος	अध्यक्ष
πολιτική	पॉलिसी
πολιτική	नीति
πολιτική	राजनीति
πολιτική	पॉलिटिक्स
πολιτική	राजनीती
ακόμη	स्टिल
ίδιο	समान
ίδιο	वही
μας	हमारा
μας	हमारे
μας	हमारी
εκλογές	चुनाव
εκλογές	चुनावों
εκλογές	चुनाव
μέλη	सदस्य
μέλη	सदस्यों
τελικά	अंततः
τελικά	आखिरकार
τελικά	आखिरकार
μέλος	सदस्य
εποχή	युग
εποχή	मौसम
εποχή	ऋतु
χωριό	गांव
χωριό	गाँव
αρχικά	आद्याक्षर
περίοδος	अवधि
περίοδος	काल
δήμος	नगरपालिका
κύπελλο	कप
ζωή	जिंदगी
ζωή	ज़िन्दगी
ζωή	ज़िंदगी
ζωή	जिन्दगी
ζωή	जीवन
ζωή	ज़ो
ζωή	zoe
έδρα	मुख्यालय
έδρα	सीट
περιλαμβάνει	शामिल
μεγάλο	बड़े
μεγάλο	बड़ा
μεγάλο	बड़ी
μεγάλο	विशाल
μεγάλο	बड़े
μεγάλο	बड़ा
μεγάλο	बड़ी
μεγάλο	बिग
βάση	बेस
βάση	आधार
βάση	आधार
κέντρο	केन्द्र
κέντρο	केंद्र
κέντρο	मध्य
κέντρο	बीच
κέντρο	केंद्र
κέντρο	केन्द्र
φεβρουαρίου	फरवरी
φεβρουαρίου	फ़रवरी
κάτι	कुछ
κοντά	निकट
κοντά	बन्द
κοντά	करीब
κοντά	बंद
κοντά	निकटवर्ती
κοντά	आसपास
μορφή	फ़ॉर्म
μορφή	प्रपत्र
μορφή	फॉर्म
μορφή	फार्म
μορφή	रूप
μορφή	प्रारूप
μορφή	फ़ॉर्मेट
μορφή	फॉर्मेट
μορφή	फार्मेट
μορφή	स्वरूप
χρόνο	वक़्त
χρόνο	वक्त
χρόνο	समय
ιστοσελίδα	वेबसाइट
ιστοσελίδα	जालस्थल
κόμμα	party
κόμμα	दल
κόμμα	पार्टी
κόμμα	अल्पविराम
κόμμα	विराम
γιατί	क्योंकि
γιατί	क्योकि
γιατί	क्युकी
γιατί	क्यूँ
γιατί	क्यों
ρόλο	भूमिका
άλμπουμ	एलबम
άλμπουμ	अलबम
άλμπουμ	एल्बम
άλμπουμ	एलबम
άλμπουμ	एल्बम
επειδή	क्योंकि
επειδή	क्योकि
επειδή	क्युकी
έκδοση	संस्करण
έκδοση	वर्जन
έκδοση	संस्करण
γκολ	लक्ष्यों
γκολ	लक्ष्य
γκολ	गोल
γκολ	ध्येय
γκολ	लक्ष्य
αρχές	प्राधिकरण
αρχές	प्राधिकार
αρχές	प्राधिकारी
αρχές	अधिकारियों
αρχές	सिद्धांत
αρχές	सिद्धान्त
συνήθως	प्रायः
ονομασία	नाम
ονομασία	नामांकन
κοινότητα	समुदाय
κοινότητα	जातियाँ
τελευταία	अंतिम
τελευταία	आखरी
τελευταία	आखिरी
τελευταία	पिछला
έκανε	किया
έκανε	बनाया
έκανε	बना
ξεκίνησε	शुरू
ξεκίνησε	प्रारंभ
κυβέρνηση	सरकार
κυβέρνηση	सरकारी
πρώτος	प्रथम
πρώτος	पहली
πρώτος	पहले
πρώτος	पहला
κάνει	सम्पन्न
κάνει	किया
ηπα	यूएसए
δεύτερη	दूसरा
δεύτερη	सेकेंड
δεύτερη	द्वितीय
δεύτερη	सेकण्ड
δεύτερη	सेकंड
δεύτερη	दूसरी
γλώσσα	जीभ
γλώσσα	भाषा
γιος	बेटा
γιος	लाडला
γιος	सोन
γιος	पुत्र
γιος	बेटे
μάχη	लड़ाई
μάχη	युद्ध
μάχη	बैटल
μάχη	कॉम्बैट
μάχη	झगडा
μάχη	लड़ाई
μάχη	लड़ो
πανεπιστήμιο	विश्वविद्यालय
πανεπιστήμιο	यूनिवर्सिटी
πανεπιστήμιο	विश्वविद्यालयों
όλες	सभी
όλες	सब
κάποια	कुछ
δείτε	देख
δείτε	देखें
δείτε	देखिए
