veleposlanik	nagykövet
ista	ugyanez
ista	ugyanaz
državljanstvo	állampolgársága
državljanstvo	állampolgárság
državljanstvo	polgárság
državljanstvo	állampolgárság
usta	szád
usta	száj
usta	szájukat
memorial	megemlékezés
memorial	memorial
memorial	emlékmű
uspešnosti	előadás
uspešnosti	teljesítmény
poškodovana	sérültek
poškodovana	sérült
poškodovana	megsérült
poškodovana	sérült
poškodovana	károsodott
poškodovana	megsérült
rolls	tekercs
rolls	tekercsek
rolls	rolls
mas	mas
mas	tömegek
trideset	harminc
trideset	thirty
membrane	membrán
membrane	membránok
meter	méter
meter	méter
meter	mérő
mlado	fiatalok
mlado	fiatal
mlado	fiatalos
vsebinsko	fogalmi
vsebinsko	érdemi
vsebinsko	lényegi
sous	sous
anti	anti
kazalo	index
kazalo	mutató
situacijo	szituáció
situacijo	helyzet
wayne	wayne
lats	lat
osvoboditev	felszabadítási
zasnova	dizájn
zasnova	tervezési
zasnova	design
zasnova	tervezés
pomorsko	tengeri
pomorsko	tengerészeti
howe	howe
pat	pat
zaloge	részvények
zaloge	készletek
zaloge	állományok
zaloge	kellékek
zaloge	ellátmányt
zaloge	ellátás
zaloge	készletek
zaloge	ellátmány
zaloge	részvény
abeceda	ábécé
abeceda	abc
topovi	ágyúk
topovi	ágyúkat
topovi	fegyvereket
topovi	ágyúk
topovi	fegyverek
zasede	csapda
zasede	rajtaütés
mleka	tejjel
mleka	tej
mleka	tejet
mag	mágus
mag	mag
poletni	summer
poletni	nyári
poletni	nyáron
poletni	nyár
uživanje	élvezet
uživanje	élvezi
uživanje	élvezem
molitev	imádkozik
molitev	imádkozni
molitev	ima
molitev	imát
molitev	imádság
molitev	ima
molitev	imádság
prst	ujja
prst	ujját
prst	ujj
prst	uj
prst	lábujj
blato	iszap
blato	iszap
blato	sár
blato	ürülék
blato	széklet
postopno	fokozatosan
postopno	fokozatos
postopno	fokozatosan
postopno	fokozatosan
postopno	fokozatos
postopno	haladó
postopno	progresszív
navdih	inspirált
navdih	ihlet
navdih	inspiráció
tabele	táblák
tabele	asztal
tabele	táblázatok
tabele	táblázat
tabele	asztalok
abd	abd
študente	diákok
študente	hallgatók
študente	tanulók
učbenik	tankönyv
luč	fény
luč	light
luč	fényt
mehiški	mexikói
aluminija	alumínium
gozdni	erdei
gozdni	erdő
gozdni	erdők
bogovi	istenek
kupolo	búra
razširjeno	meghosszabbított
razširjeno	kiterjesztett
razširjeno	kibővített
stopenj	szintek
lambert	lambert
cele	egészben
cele	egész
stavka	sztrájk
stavka	csapás
izziv	kihívás
vrhovno	legfőbb
vrhovno	legfelsőbb
inšpektor	felügyelő
inšpektor	ellenőr
siriji	szíriában
siriji	szíria
gledalci	néző
gledalci	nézők
gledalci	célközönség
gledalci	közönség
gledalci	nézők
primerjalno	összehasonlító
andrews	andrews
keith	keith
garcía	garcía
src	szívek
schneider	schneider
trdo	nehéz
trdo	kemény
čaj	tea
čaj	teát
spartak	spartacus
odpoved	kilép
odpoved	lemondását
odpoved	lemondás
vzorce	minták
vzorce	mintákat
divji	wild
divji	vadon
divji	vadak
divji	vad
beach	beach
beach	part
beach	tengerpart
beach	tengerparton
beach	strand
upokojeni	visszavonult
upokojeni	nyugdíjas
odgovorna	felelősségteljes
odgovorna	felelős
stanovanje	lapos
stanovanje	lakás
stanovanje	sík
stanovanje	lakás
stanovanje	apartman
posode	edények
posode	edényeket
posode	ételek
posode	hajók
posode	konténerek
posode	konténer
posode	tartályok
piero	piero
načrti	tervrajzokat
načrti	tervek
jeff	jeff
baz	bázisok
murphy	murphy
vesel	örülök
vesel	víg
omembe	említ
bezirk	bezirk
dostopen	elérhető
dostopen	hozzáférhető
dostopen	megközelíthető
dostopen	érhető
suhi	szárazon
suhi	száraz
suhi	vékony
suhi	vézna
suhi	sovány
odgovoril	válaszolt
odgovoril	válaszolt
spredaj	front
spredaj	eleje
sašo	grayson
luca	luca
pisem	leveleket
pisem	betűk
pisem	levelek
lepe	gyönyörű
uspehov	sikeres
uspehov	siker
smiles	mosoly
smiles	mosolyog
razdeli	osztott
pozdrav	üdvözlet
pozdrav	köszönés
suverenosti	szuverenitás
isaac	isaac
dem	dem
siva	ősz
siva	gray
siva	szürke
siva	ősz
siva	grey
siva	szürke
izdelava	előállítás
izdelava	gyártás
izdelava	előállítás
izdelava	gyártási
izdelava	gyártás
trenutek	pillanat
oltarja	oltár
obrobju	periféria
gaj	gaius
gaj	caius
bank	bank
sestri	nővérek
sestri	testvérek
prid	szívességet
prid	szívesség
prid	szívesség
delce	részecskék
delce	részecske
kupola	búra
