kolář	kolář
táborů	obozy
táborů	obozach
uvězněn	uwięziony
uvězněn	uwięzione
uvězněn	uwięziona
uvězněn	uwięzieni
uvězněn	uwięziony
uvězněn	uwięziona
uvězněn	uwięzione
tower	wieża
tower	tower
tower	wieży
oprava	naprawy
oprava	naprawa
oprava	remont
oprava	korekty
oprava	poprawka
oprava	korekta
složité	podstępny
složité	złożone
složité	złożona
složité	złożony
složité	kompleks
složité	skomplikowane
složité	skomplikowany
složité	skomplikowana
složité	skomplikowane
matematické	matematyczne
matematické	matematyka
žlutý	żółte
žlutý	żółta
žlutý	żółty
rusi	rus
oleje	oleje
oleje	oleju
oleje	olej
oleje	oliwa
oleje	oleje
přáteli	przyjaciele
přáteli	przyjaciółki
přáteli	znajomi
přáteli	znajomych
přáteli	przyjaciół
dopad	wpływ
dopad	zderzenie
dopad	uderzenie
dopad	uderzenia
dopad	oddziaływanie
grant	dotacja
grant	grant
časy	razy
časy	times
časy	czasy
margaret	margaret
margaret	małgorzata
panna	panny
panna	panna
panna	dziewica
panna	dziewicze
pomocné	pomocniczy
pomocné	pomocnicze
jules	jules
audio	audio
audio	dźwięk
cestoval	podróżował
cestoval	podróżował
winter	winter
winter	zimowy
winter	zimy
winter	zima
winter	zimowe
rick	rick
rick	ricka
turisty	turystów
turisty	turyści
končetiny	kończyny
končetiny	kończyny
končetiny	kończyn
končetiny	kończyny
akademické	akademickich
akademické	akademickie
kaplan	wikarym
kaplan	kapelan
kaplan	kaplan
nárůst	zwiększenie
nárůst	wzrost
poezii	poezji
poezii	poezja
poezii	wiersze
pozor	uwaga
kino	kino
kino	kino
kino	kina
šumperk	šumperk
karviná	karwina
ovlivněn	dotknięty
ovlivněn	dotknięte
sester	sióstr
sester	siostrzyczki
sester	siostrami
sester	siostry
relevantní	znaczenie
relevantní	znaczenia
relevantní	przydatność
relevantní	istotne
relevantní	istotna
relevantní	stosowne
relevantní	odpowiednich
novak	novak
novak	nowak
starosti	zmartwień
starosti	zmartwienia
dorazil	dotarły
dorazil	przybyła
dorazil	przybyli
dorazil	przybył
fin	fin
léčbě	traktowanie
léčbě	traktować
léčbě	traktuj
léčbě	leczyć
poskytnout	zapewnić
poskytnout	zapewniać
masivní	ogromna
masivní	ogromne
masivní	ogromny
zachránil	uratował
zachránil	uratowany
zachránil	uratowani
zachránil	zapisano
zachránil	uratował
zachránil	zapisane
zachránil	zapisany
zachránil	zapisana
zachránil	zapisanych
guvernér	gubernator
autorství	autorstwo
předpokládat	zakładać
předpokládat	zakładaj
demokracii	demokracji
demokracii	demokracja
celoživotní	ustawicznego
řetězce	łańcuchów
řetězce	łańcuchy
řetězce	sznurki
řetězce	strun
řetězce	struny
posádku	ekipa
posádku	załogi
posádku	załoga
posádku	ekipy
china	podbródek
china	broda
china	chin
china	china
úvahu	rozważenie
vložit	wstawić
vložit	wstaw
vložit	pasta
vložit	wklej
věděl	wiedziałem
konečný	skończona
konečný	skończony
konečný	ostateczny
konečný	ostateczna
konečný	finał
konečný	ostateczne
konečný	końcowe
odpoledne	popołudnie
odpoledne	popołudnia
dagmar	dagmar
vědců	naukowcy
vědců	naukowców
subsp	subsp
karta	karcie
karta	karta
karta	kartka
karta	karta
karta	kartę
karta	karty
karta	wizytówka
johan	johan
cooper	coopera
cooper	cooper
stráže	straże
stráže	straż
stráže	strażnicy
afghánistánu	afganistan
afghánistánu	afganistanu
afghánistánu	afganistanie
robot	robot
robot	robocie
robot	robota
via	via
výchozí	domyślną
výchozí	domyślny
výchozí	domyślnie
výchozí	domyślne
kilometr	kilometra
kilometr	kilometr
kilometr	kilometr
provizorní	tymczasowego
provizorní	tymczasowa
provizorní	tymczasowe
provizorní	tymczasowy
provizorní	prowizorycznych
psycholog	psychologiem
psycholog	psycholog
psycholog	psychologa
převzetí	przejęcia
převzetí	przejęcia
převzetí	przejęcie
nález	szukanie
nález	znalezienie
nález	odkrycia
nález	odkrywanie
nález	odkrycie
nález	discovery
tanku	zbiornik
tanku	czołg
tanku	tank
likvidaci	usuwanie
likvidaci	usuwania
likvidaci	likwidacja
likvidaci	likwidację
likvidaci	likwidacji
gen	genu
gen	gene
gen	gen
gen	geny
gen	gen
protest	protest
protest	protestu
protest	protesty
okrsku	komisariat
kvete	kwitnie
pasivní	biernego
fotky	fotografie
fotky	zdjęcia
fotky	zdjęć
fotky	zdjecia
fotky	zdjęcia
fotky	obrazki
fotky	zdjecia
výrobci	producenci
výrobci	producentów
výrobci	producentom
výrobci	wytwórca
výrobci	producent
výrobci	producenta
výrobci	wytwórców
výrobci	producentów
výrobci	wytwórcy
výrobci	producenci
graf	wykres
graf	wykres
graf	graf
jedenáct	eleven
