மற்றும்	dhe
ஒரு	një
ஒரு	njera
ஒரு	nje
ஒரு	one
இந்த	këtë
இந்த	ky
இந்த	kjo
இந்த	kete
இந்த	kto
இந்த	keto
இந்த	këto
இந்த	keta
ஆம்	yes
ஆம்	po
இது	këtë
இது	ky
இது	kjo
இது	kete
மக்கள்	popuj
மக்கள்	popujt
மக்கள்	popull
மக்கள்	njerëz
மக்கள்	njerez
மக்கள்	personat
மக்கள்	njerëzit
மக்கள்	njerzit
என்ற	titulluar
ஆண்டு	viti
ஆண்டு	vit
என்று	që
என்று	qe
என்று	kjo
என்று	se
தமிழ்	tamil
இந்திய	indian
இந்திய	indiane
இருந்து	nga
முதல்	nga
முதல்	first
தொகை	shuma
தொகை	sasia
தொகை	sasi
சில	paktë
சில	disa
உள்ளது	dispozicion
உள்ளது	egziston
உள்ளது	ekziston
அவர்	atij
அவர்	ate
அவர்	atë
அவர்	saj
அவர்	asaj
இருக்கும்	ekzistuese
இருக்கும்	ekzistues
வெளி	ministrise
வெளி	jashtme
வெளி	jashtëm
வெளி	hapësira
வெளி	hapësirë
வெளி	hapsira
அமைந்துள்ளது	vendoset
அமைந்துள்ளது	gjendur
அமைந்துள்ளது	lokalizuar
அமைந்துள்ளது	vendosur
அமைந்துள்ளது	ndodhet
மூலம்	burimi
மூலம்	burim
மூலம்	origjinale
மூலம்	origjinali
மூலம்	origjinal
மூலம்	original
கொண்ட	përmbante
வரை	barazim
வரை	derisa
வரை	deri
பின்னர்	pastaj
பின்னர்	atëherë
பின்னர்	atehere
ஆனால்	por
வேண்டும்	duhen
வேண்டும்	duhet
வேண்டும்	nevoja
வேண்டும்	nevoitet
வேண்டும்	nevojë
வேண்டும்	dëshironi
வேண்டும்	duan
வேண்டும்	duam
வேண்டும்	doni
கொண்டு	sjellë
கொண்டு	solle
கொண்டு	solli
கொண்டு	sille
கொண்டு	sjellë
கொண்டு	sjelli
கொண்டு	sillni
கொண்டு	qet
கொண்டு	me
பட்டியல்	norës
பட்டியல்	lista
பட்டியல்	listë
அமைந்துள்ள	vendoset
அமைந்துள்ள	gjendur
அமைந்துள்ள	lokalizuar
அமைந்துள்ள	vendosur
அமைந்துள்ள	ndodhet
அதன்	saj
அதன்	its
பெண்கள்	femra
பெண்கள்	femrat
பெண்கள்	vajzat
பெண்கள்	vajza
பெண்கள்	grat
பெண்கள்	femrat
பெண்கள்	gratë
பெண்கள்	gra
பெண்கள்	grate
பெண்கள்	femra
கொண்டுள்ளது	ka
கொண்டுள்ளது	përmban
போது	kur
போது	ur
இணைப்புகள்	lidhjet
இணைப்புகள்	bashkëngjitur
இணைப்புகள்	lidhje
இணைப்புகள்	lidhjet
இரண்டு	dy
தகவல்	info
தகவல்	informacione
தகவல்	informacionet
தகவல்	informacion
தகவல்	informacioni
தகவல்	informacione
தகவல்	mesazhi
தகவல்	mesazh
மாவட்ட	distrikti
மாவட்ட	qark
மாவட்ட	rajoni
மொத்த	totale
மொத்த	total
மொத்த	totali
மொத்த	gjithsej
வளர்ச்சி	zhvillimin
வளர்ச்சி	zhvillimi
வளர்ச்சி	zhvillim
வளர்ச்சி	rritje
வளர்ச்சி	rritja
மாவட்டம்	distrikti
மாவட்டம்	qark
மாவட்டம்	rajoni
அந்த	që
அந்த	qe
அந்த	kjo
அந்த	se
மிகவும்	shum
மிகவும்	shumë
மிகவும்	shume
திட்டம்	projekti
திட்டம்	plan
திட்டம்	plani
தேசிய	national
தேசிய	kombëtare
இலங்கை	ceylon
இங்கு	ketu
இங்கு	ktu
இங்கு	ja
இங்கு	këtu
கி	kyi
அமெரிக்க	amerikani
அமெரிக்க	amerikan
அமெரிக்க	american
அமெரிக்க	amerikane
அடிப்படை	baza
அடிப்படை	bazë
அடிப்படை	bazë
பெயர்	emri
பெயர்	emrin
பெயர்	emër
பெயர்	etiketë
பெயர்	etiketa
மூன்று	tri
மூன்று	treshi
மூன்று	tre
ஆண்கள்	meshkuj
ஆண்கள்	meshkujt
ஆண்கள்	mashkuj
ஆண்கள்	mashkujt
ஆண்கள்	bura
ஆண்கள்	men
ஆண்கள்	meshkuj
ஆண்கள்	meshkujt
ஆண்கள்	burrat
ஆண்கள்	burra
ஆண்கள்	mens
ஒன்று	mblidhen
ஒன்று	mblidhuni
ஒன்று	pellumb
ஒன்று	një
ஒன்று	njera
ஒன்று	nje
ஒன்று	one
ஐக்கிய	united
புதிய	re
புதிய	reja
புதிய	ri
புதிய	new
புதிய	fresh
புதிய	freskët
அவரது	vet
அவரது	tij
அவரது	saj
அவரது	asaj
மொத்தம்	totale
மொத்தம்	total
மொத்தம்	totali
மொத்தம்	gjithsej
மொத்தம்	gjithësej
மொத்தம்	totali
இவை	kto
இவை	keto
இவை	këto
இவை	keta
சிறந்த	mrekulli
சிறந்த	mirat
சிறந்த	miren
சிறந்த	miri
சிறந்த	shkëlqyeshëm
அரசு	qeveria
அரசு	qeveri
அரசு	qeveritare
அரசு	informacionet
வசதிகள்	struktura
வசதிகள்	strukturat
வசதிகள்	njësitë
இந்தியா	indi
இந்தியா	india
பெரிய	mrekulli
பெரிய	big
பெரிய	madhe
ஊரக	rural
ஊரக	rurale
நாள்	ditën
நாள்	dite
நாள்	dej
நாள்	dita
நாள்	dit
நாள்	ditë
பிறப்பு	lindur
பிறப்பு	lindë
பிறப்பு	lind
பிறப்பு	lindja
பிறப்பு	lindi
பிறப்பு	linde
பிறப்பு	celin
பிறப்பு	çelur
இருந்தது	ishte
முக்கிய	kryesore
முக்கிய	main
முக்கிய	kryesor
முக்கிய	rëndësishme
பல்வேறு	shumëllojshmëri
பல்வேறு	varietet
பல்வேறு	shumëllojshmëria
பல்வேறு	ndryshëm
இருந்த	ishin
இருந்த	ishim
இருந்த	shim
இருந்த	ishe
திரைப்படங்கள்	filma
திரைப்படங்கள்	filmave
திரைப்படங்கள்	filmat
பிற	tjera
பிற	tjetër
அவர்கள்	to
அவர்கள்	atyre
அவர்கள்	ato
அவர்கள்	tyre
அவர்கள்	ata
அவர்கள்	ato
அவர்கள்	ata
மொழி	gjuhe
மொழி	gjuha
மொழி	gjuhën
மொழி	gjuhë
முறை	metodë
முறை	metoda
முறை	metodën
முறை	metode
முறை	procedurë
முறை	procedura
முறை	procedure
முறை	proçedura
முறை	modalitetin
முறை	modaliteti
கோயில்	tempulli
கோயில்	tempull
விருது	çmim
பொதுவாக	gjeneral
பொதுவாக	gjenerali
பொதுவாக	përgjithshëm
பொதுவாக	general
அக்டோபர்	tetor
அக்டோபர்	tetori
அக்டோபர்	oct
செய்து	kryera
செய்து	kryer
செய்து	kryen
செய்து	kryhen
தன்	vet
தன்	tij
தன்	hedh
தொடர்ந்து	mbaje
தொடர்ந்து	mbaj
தொடர்ந்து	mbani
இரண்டாம்	sekondë
இரண்டாம்	dyte
இரண்டாம்	sekond
இரண்டாம்	dyta
இரண்டாம்	dytë
இரண்டாம்	sekondare
இரண்டாம்	dytësore
இரண்டாம்	sekondar
இரண்டாம்	dytësor
சென்னை	chennai
வரும்	vjen
வரும்	vjen
மே	maji
மே	majin
மே	mej
மே	maj
ஒவ்வொரு	gjdo
ஒவ்வொரு	qdo
ஒவ்வொரு	cdo
ஒவ்வொரு	çdo
ஒவ்வொரு	secili
ஒவ்வொரு	secila
மட்டுமே	vetëm
மட்டுமே	vetem
வரலாறு	historia
வரலாறு	histori
பகுதியில்	zona
பகுதியில்	zonë
நூல்கள்	librat
நூல்கள்	libra
