oli	ws
hän	she
vuonna	tahun
myös	juga
joka	sape
kello	watch
kello	tonton
kello	jam
että	bahawa
ovat	adalah
mutta	tapi
mutta	tetapi
sen	its
kanssa	dgn
kanssa	dengan
hänen	nya
hänen	her
jälkeen	selepas
suomen	finland
vuoden	tahun
kun	bila
kun	apabila
kuin	like
kuin	ibarat
ole	ole
mukaan	dgn
mukaan	dengan
jossa	mana
kuitenkin	namun
kuitenkin	bagaimanapun
voi	may
voi	mei
voi	mampukah
voi	boleh
noin	tentang
noin	perihal
eli	eli
vain	sahaja
vain	hany
vain	cuma
vain	hanya
olivat	were
ollut	been
lisäksi	juga
lisäksi	plus
tavua	byte
tavua	bait
kaksi	dua
hänet	him
tuli	api
tuli	came
yksi	satu
yksi	one
voitti	ditewaskan
voitti	dikalahkan
voitti	defeated
voitti	won
voitti	dimenangi
voitti	menang
tulos	hasil
tulos	keputusan
tulos	result
suomalainen	finland
suomalainen	finn
kuten	like
kuten	ibarat
myöhemmin	later
myöhemmin	kemudiannya
myöhemmin	nanti
toimi	action
toimi	tindakan
toimi	aksi
toimi	laga
toimi	akta
toimi	act
toimi	lakonan
toimi	bertindak
wikipedia	wikipedia
ensimmäinen	pertama
ensimmäinen	first
ensimmäinen	dulu
ensimmäinen	dahulu
ennen	sebelum
tämä	ni
tämän	ni
osa	bahagian
osa	sesetengahnya
osa	sesetengah
tammikuuta	januari
yhteensä	total
yhteensä	jumlah
php	php
syyskuuta	september
vastaan	terhadap
eri	berbeza
eri	emi
keskustelu	perbualan
keskustelu	perbincangan
keskustelu	diskusi
keskustelu	debat
keskustelu	sembang
keskustelu	bual
keskustelu	chat
koska	kerana
koska	sebab
koska	punca
koska	sebab
maaliskuuta	mac
maaliskuuta	march
teki	jayakan
teki	did
teki	cpt
huhtikuuta	apr
huhtikuuta	april
elokuuta	ogos
kesäkuuta	june
kesäkuuta	jun
toukokuuta	may
toukokuuta	mei
joulukuuta	disember
heinäkuuta	julai
helmikuuta	februari
koko	keseluruhan
koko	whole
koko	saiz
koko	ukuran
koko	size
marraskuuta	november
vielä	still
vielä	masih
vielä	pegun
vielä	namun
diff	ber
diff	beza
kaikki	semuanya
kaikki	segalanya
kaikki	semua
kaikki	semuanya
pelasi	dimain
yli	over
helsingin	helsinki
toinen	second
toinen	kedua
toinen	pelamin
kauden	musim
vaikka	sungguhpun
vaikka	walaupun
vaikka	walau
vaikka	though
vaikka	meskipun
vaikka	walaupun
vaikka	walau
nimi	nama
vuotta	tahun
seura	club
seura	kelab
seura	syarikat
hyvin	sangat
sijaitsee	bertempat
sijaitsee	terletak
kolme	tiga
usein	kerap
usein	sering
usein	kerap
kuva	photo
kuva	foto
kuva	imej
kuva	picture
kuva	gambar
mukana	mendampingi
mukana	dgn
mukana	dengan
alus	kapal
alus	wadah
alus	kapal
alus	ship
kautta	via
kautta	melalui
kautta	menerusi
kautta	menerusi
kautta	melalui
alkoi	dimulakan
alkoi	bermula
itse	diri
itse	kendiri
itse	dirinya
itse	diriku
itse	diri
itse	diri
yleensä	kebiasaannya
yleensä	biasanya
yleensä	amnya
yleensä	umumnya
yleensä	kebiasaannya
sitten	barulah
sitten	then
sitten	kemudiannya
sitten	kemudian
suurin	terbesar
suurin	maksimum
suurin	maksima
suurin	terbesar
uusi	new
uusi	baharu
uusi	baru
ajan	waktu
ajan	masa
ajan	time
saa	dapatkan
niiden	their
aloitti	dimulakan
aloitti	bermula
mikä	alahai
mikä	ape
pinta	permukaan
pinta	surface
helsinki	helsinki
venäjän	rusia
venäjän	rusia
venäjän	russia
pohjois	utara
pohjois	north
pohjois	utara
pohjois	northern
useita	beberapa
useita	berbilang
useita	pelbagai
maalit	matlamat
maalit	cat
jpg	jpg
yhdessä	bersama
näyttelijä	pelakon
näyttelijä	pelakon
tulee	comes
tulee	datang
tulee	coming
aina	always
aina	sentiasa
aina	selalu
maan	bumi
maan	country
maan	negara
kerran	sekali
elokuva	movie
elokuva	cereka
elokuva	filem
elokuva	filem
elokuva	pawagam
elokuva	cinema
saksan	jerman
saksan	jerman
kaupunki	bandar
kaupunki	city
kaupunki	bandaraya
kaupunki	bandar
kaupunki	kota
etelä	selatan
etelä	selatan
euroopan	eropah
euroopan	eropah
nyt	sekarang
nyt	skrg
nyt	now
nyt	kini
katso	lihat
katso	watch
katso	tonton
katso	tengok
katso	look
muita	lain
käyttää	menggunakan
käyttää	guna
käyttää	kegunaan
kertaa	times
alussa	awai
muut	lain
muut	lain
yhden	satu
yhden	one
syntyi	lahir
syntyi	dilahirkan
syntyi	born
vuodet	tahun
lopulta	akhirnya
suomi	finland
neljä	empat
neljä	four
alueen	rantau
alueen	wilayah
alueen	kawasan
john	john
yhtye	band
yhtye	kugiran
heidän	their
saanut	diterima
