در	門
رده	階級
رده	類
رده	類別
رده	課堂
رده	班級
از	來自
از	從
که	誰
که	那個
این	這
این	這個
میلادی	十年
یک	一
یک	one
یک	一個
سال	歲月
سال	年份
سال	年度
سال	年份
سال	年
آن	anne
ایران	伊朗
شهرستان	郡
شهرستان	縣
آمریکا	美洲
آمریکا	美國
فهرست	名單
فهرست	清單
فهرست	列表
فهرست	編目
فهرست	名冊
او	她
او	他的
او	她的
تا	may
تا	梅
تا	五月份
تا	五月
تا	直到
وابسته	形容詞
وابسته	依賴
فوتبال	足球
فوتبال	足球
فوتبال	美式足球
فوتبال	橄欖球
ساعت	小時
ساعت	時辰
ساعت	小時
ساعت	鐘
ساعت	鍾
ساعت	時鐘
پایه	基礎
پایه	依據
پایه	基金會
پایه	基地
پایه	基礎
پایه	基數
پایه	地基
پایه	基金會
پایه	基本
نام	名字
نام	名稱
نام	姓名
استان	省
استان	省省
استان	省份
استان	區域
شهر	城鎮
شهر	鎮
شهر	城市
شهر	市
شهر	城
ملی	national
ملی	國家
کشور	國家
تاریخ	日期
تاریخ	約會
تاریخ	歷史
فیلم	電影
فیلم	影片
فیلم	電影
فیلم	膠片
فیلم	影片
فیلم	電影
بخش	部門
بخش	部門
بخش	區
بخش	地區
جمعیت	人群
جمعیت	人群
جمعیت	群眾
جمعیت	人口
دو	兩
دو	兩個
دو	二
اثر	特效
اثر	效果
اثر	效應
پس	那
پس	然後
پس	那麼
یکی	某人
یکی	有人
یکی	一
یکی	one
یکی	一個
بازیکنان	球員
بازیکنان	玩家
آثار	工藝品
آثار	文物
آثار	特效
آثار	效應
آثار	影響
آثار	效果
وی	韋
وی	魏
وی	wii
روستاهای	鄉村
روستاهای	村莊
دیگر	多
دیگر	更多
دیگر	更
دیگر	其他
دیگر	其他
می	may
می	梅
می	五月份
می	五月
می	小美
می	梅
عنوان	標題
پیوند	連結
پیوند	link
پیوند	保證金
پیوند	鍵
پیوند	債券
پیوند	龐德
پیش	以前
پیش	前
پیش	之前
بحث	爭論
بیرون	出局
افراد	人
افراد	人們
افراد	人民
دوره	課程
دوره	紀元
دوره	期間
دهه	幾十年
دهه	十年
متر	公尺
متر	米
متر	公尺
متر	公尺
کاربر	使用者
مناطق	各區
مناطق	各地區
مناطق	地區
هر	每個
هر	每一個
هر	任何
باشگاه	幫會
باشگاه	club
باشگاه	俱樂部
باشگاه	健身房
باشگاه	體育館
باشگاه	fenerbahçe
شهرهای	市政府
شهرهای	市鎮
دانشگاه	大學
دانشگاه	學院
دانشگاه	書院
دانشگاه	大學
مورد	案例
مورد	個案
مورد	案件
سده	世紀
ثبت	伐木
ثبت	日誌
وجود	存在
زبان	語言
زبان	語文
زبان	舌頭
زبان	舌
زبان	語言
زبان	語
زبان	語文
زادگان	後裔
زادگان	後代
مسکونی	住宅
مسکونی	寄宿
شماره	數字
شماره	數
شماره	號碼
شماره	編號
کار	工作
کار	工作
کار	工作
اما	但
اما	不過
اما	但是
بازیگران	拍攝
بازیگران	拍戲
بازیگران	演員
روی	roy
روی	鋅
فرودگاه	機場
صورت	臉
صورت	臉部
مرکز	中央
مرکز	中心
مرکز	中心
زمان	zaman
زمان	時光
زمان	時間
شرکت	公司
شرکت	公司
مقاله	作文
مقاله	論文
مقاله	文章
تیم	tim
تیم	添
تیم	團隊
تیم	球隊
تیم	隊伍
مرد	人
مرد	男人
مرد	man
نظر	評論
نظر	意見
جهانی	國際
جهانی	環球
جهانی	普及
جهانی	普遍
جهانی	全球
جهانی	世界
همچنین	還
همچنین	也
همچنین	太
همچنین	同樣
زندگی	生活
زندگی	生命
زندگی	人生
زندگی	生活
زن	女人
زن	女
زن	女子
زن	女
زن	女性
زن	妻子
زیر	下方
زیر	以下
آنها	她們
آنها	他們
آنها	它們
جوایز	頒獎
جوایز	獎勵
جوایز	獎
جوایز	獎品
روستا	村
روستا	鄉村
روستا	村莊
روستا	村落
روستا	村子
بازی	game
بازی	比賽
بازی	博弈
بازی	遊戲
بازی	games
بازی	遊戲
بازی	玩
بازی	彈
بازی	播放
سرشماری	人口普查
سرشماری	普查
فرانسه	法文
فرانسه	法語
فرانسه	法國
جنگ	戰
جنگ	戰爭
باید	必須
دست	手
دست	雙手
دست	手臂
دست	臂
دست	胳膊
دست	手
شورای	安理會
محل	地方
محل	地點
محل	所在地
محل	位置
محل	地點
توابع	函數
کتاب	圖書
کتاب	書
کتاب	書籍
کتاب	圖書
کتاب	書
کتاب	書籍
آلمان	德文
آلمان	德語
آلمان	德國
سطح	關卡
سطح	表面
سطح	地面
سطح	地表
سطح	層次
سطح	級別
سطح	等級
سطح	三級
سطح	關卡
اصلی	主要
اصلی	原文
اصلی	原件
اصلی	原創
اصلی	原始
اصلی	原
اصلی	初級
ساخت	施工
ساخت	建設
ساخت	建築
ساخت	製造業
ساخت	製造
المپیک	奧林匹克
المپیک	奧運
المپیک	奧運會
المپیک	奧運
اول	首先
اول	第一
سازمان	組織
سازمان	組織
سازمان	代理商
سازمان	機構
سه	三
سه	三個
مرکزی	中央
ایالت	國家
ایالت	州
زنده	活著
فارسی	波斯
بین	豆
انگلستان	英國
انگلستان	英格蘭
دوم	第二
دوم	秒
موسیقی	音樂
گروه	樂團
گروه	樂隊
گروه	群組
گروه	群
جایزه	獎金
جایزه	紅利
جایزه	獎勵
جایزه	獎品
جایزه	獎賞
جایزه	獎
جایزه	授予
جایزه	獎
بیشتر	最多
بیشتر	大部分
بیشتر	多數
بیشتر	大多
بیشتر	大多數
بیشتر	多
بیشتر	更多
بیشتر	更
جنوبی	南方
جنوبی	南部
جنوبی	南
جنوبی	南方
جنوبی	南部
روز	日
روز	一天
روز	白天
روز	day
روز	日間
جمهوری	共和國
جمهوری	共和
مرگ	死亡
مرگ	死神
ولی	但
ولی	不過
ولی	但是
آمریکایی	美式
نقش	作用
نقش	角色
منطقه	區域
منطقه	區
منطقه	區域
منطقه	區
منطقه	地區
منطقه	面積
منطقه	地區
منطقه	區域
منطقه	區
بسیار	非常
بسیار	許多
اسلامی	伊斯蘭
بزرگ	大型
بزرگ	big
بزرگ	大
اروپا	歐洲
روستایی	農村
روستایی	村民
روستایی	農民
آمار	統計數字
فعالیت	動態
فعالیت	活動
اشاره	提示
زاده	生於
زاده	誕生
زاده	出生
زاده	天生
محمد	穆罕默德
بریتانیا	不列顛
بریتانیا	不列顛
مانند	讚
مانند	就像
مانند	像
مانند	喜歡
شمالی	北方
شمالی	北
شمالی	北部
شمالی	北方
شمالی	北部
آب	飲水
آب	水
خورشیدگرفتگی	日蝕
ایرانی	波斯
ایرانی	伊朗
اطلاعات	資訊
ایجاد	創建
ایجاد	創作
ایجاد	創建
ایجاد	創造
ایجاد	建立
ایجاد	創建
ایجاد	構造
ایجاد	建構
مالک	所有者
مالک	業主
مالک	馬力
مالک	malik
نوع	型態
نوع	類型
مردم	人
مردم	人們
مردم	人民
دلیل	理由
دلیل	理性
دلیل	原因
دلیل	原因
روستای	村
روستای	鄉村
روستای	村莊
روستای	村落
روستای	村子
دور	遠
مربوط	相關
مربوط	相關
بار	負載
بار	裝載
بار	負荷
بار	酒吧
بار	bar
دریا	大海
دریا	海上
دریا	海
شما	你
شما	你的
برابر	平等
برابر	等於
تولید	製造業
تولید	製造
تولید	生產
تولید	製作
تولید	產量
تولید	生產
تولید	生成
تپه	希爾
تپه	山
تنها	只
تنها	只有
تنها	孤單
تنها	寂寞
تنها	孤獨
علی	阿里
علی	ali
شرقی	東
شرقی	東部
شرقی	東方
شرقی	東區
شرقی	東方
شرقی	東方
شرقی	東部
برخی	一些
برخی	有些
میان	勉
جهان	世界
جهان	jahan
جام	盃
جام	杯
جام	杯子
ارتفاع	海拔
ارتفاع	高度
ارتفاع	身高
ارتفاع	高度
کد	密碼
کد	編碼
کد	碼
کشف	發現
کشف	探索
کشف	發現
کشف	探索
نشان	徽章
نشان	警徽
حذف	刪除
حذف	刪除
حذف	移除
حذف	刪除
حذف	刪去
تلویزیونی	電視機
تلویزیونی	電視
تلویزیونی	電視台
غربی	西邊
غربی	西
غربی	西方
غربی	西部
غربی	西方
غربی	西部
شامل	包括
شامل	包括
شامل	包括
بهترین	best
بهترین	最好
دولت	國家
دولت	州
دولت	政府
همراه	伴隨
چپ	左側
چپ	左
چپ	左翼
چپ	左邊
ایتالیا	義大利
ایتالیا	義大利文
ایتالیا	義大利
مجلس	國會
مجلس	議會
ویکی	wiki
ویکی	vicky
راه	路徑
کشتی	船隻
کشتی	船舶
کشتی	船
کشتی	船隻
کشتی	艦
کشتی	船舶
کشتی	摔跤
کشتی	摔角
کشتی	船
کشتی	船隻
کشتی	艇
الگو	圖案
الگو	格局
الگو	模式
توجه	注意
توجه	注意力
بن	ben
بن	本
بن	奔
همه	每個人
همه	全部
همه	所有
همه	all
همه	大家
همه	每個人
کوچک	小型
کوچک	小
کوچک	小
کوچک	未成年
ژاپن	日本
رسمی	正規
رسمی	正式
اسلام	伊斯蘭
اسلام	伊斯蘭教
سپتامبر	九月份
سپتامبر	九月
پرونده	案例
پرونده	個案
پرونده	案件
پرونده	文件
پرونده	檔案
ماه	月
ماه	個月
ماه	月份
ماه	月
ماه	月份
ماه	月球
ماه	月亮
ماه	月
اوت	八月
اوت	八月份
اوت	八月
هزار	千
تابستانی	summer
تابستانی	夏日
تابستانی	夏季
تابستانی	暑假
تابستانی	夏天
چون	因為
چون	當
آوریل	四月
آوریل	四月份
تغییر	改變
تغییر	變更
تغییر	修改
تغییر	更改
تغییر	改變
تغییر	更改
تغییر	變更
تغییر	變
مجموعه	收集
مجموعه	收藏
سیاسی	政治
شکل	形狀
شکل	形式
شکل	表格
شکل	圖
مارس	三月
مارس	火星
درخواست	請求
درخواست	要求
کیلومتر	公里
کیلومتر	公里
کیلومتر	公里
جمله	句子
جمله	刑期
جمله	判刑
گردشگری	旅遊
گردشگری	遊客
گردشگری	旅遊
گردشگری	觀光
شهری	市政
شهری	城市
شهری	市
شهری	城
ممکن	可能
لیگ	聯盟
لیگ	同盟
لیگ	聯賽
روسیه	俄語
روسیه	俄文
روسیه	俄
روسیه	俄國
روسیه	俄羅斯
منابع	來源
منابع	資源
نخستین	首先
نخستین	第一
شاه	國王
شاه	king
شاه	王
شاه	沙
شاه	shah
جنوب	南方
جنوب	南部
جنوب	南
جنوب	南方
جنوب	南部
طور	山
طور	tur
تشکیل	編隊
تشکیل	形成
فوت	腳
فوت	英尺
فوت	foote
اکتبر	十月
اکتبر	十月份
ژوئن	六月份
ژوئن	六月
امکان	可能
امکان	可能性
نویسندگان	作者
سر	特區
سر	頭
سر	頭部
حزب	黨
حزب	政黨
حزب	宴會
حزب	派對
حزب	聚會
فرهنگ	文化
خانه	屋
خانه	房屋
خانه	房子
خانه	首頁
خانه	家
خانه	home
خانه	住家
دسامبر	十二月
موارد	項目
موارد	案例
هند	印度
آلبوم	相簿
آلبوم	專輯
آزاد	free
آزاد	自由
آزاد	免費
چاپ	印刷
چاپ	列印
چاپ	印刷
چاپ	列印
علمی	科學
علمی	科學
نوامبر	十一月
نوامبر	十一月
آسیا	亞洲
شمال	北方
شمال	北
شمال	北部
شمال	北方
شمال	北部
پایان	終結
پایان	結尾
پایان	結束
پایان	結局
پایان	結尾
علوم	科學
جان	john
سید	sid
کالیفرنیا	加利福尼亞
کالیفرنیا	加州
قرن	世紀
بازیگر	女主角
بازیگر	女演員
بازیگر	演員
بازیگر	男主角
بازیگر	演員
صنایع	工業
صنایع	產業
صنایع	行業
صنایع	工業
صنایع	產業
صنایع	行業
صنایع	業界
گونه	臉頰
گونه	魚種
گونه	物種
کانادا	加拿大
اسپانیا	西班牙
اسپانیا	西班牙文
اسپانیا	西班牙語
زمین	地球
زمین	大地
رئیس	boss
رئیس	老大
رئیس	老闆
برزیل	巴西
سبک	光線
سبک	光
سبک	燈光
سبک	輕
سبک	光明
سبک	style
سبک	樣式
سبک	風格
بالا	頂
بالا	top
بالا	頂端
بالا	熱門
بالا	最高
بالا	bala
جدید	新
جدید	新的
تصویر	影象
تصویر	影像
تصویر	圖片
حضور	存在
وارد	ward
وارد	病房
عضو	會員
عضو	成員
عضو	捐
عضو	捐贈
عضو	捐款
عضو	捐獻
میراث	傳承
