яно	jana
кевін	kevin
віллі	willy
віллі	willie
віллі	villy
угод	acorduri
угод	acordurile
високе	high
високе	înaltă
високе	inalta
наполеон	napoleon
космічні	cosmice
космічні	cosmică
космічні	cosmic
торф	turbă
марта	marta
марта	martha
розвідка	inteligenta
волокна	fibre
волокна	fibra
волокна	fibră
волокна	fibre
волокна	fibrele
обрана	destinat
обрана	divergente
мез	meuse
мез	mez
перегляд	previzualizare
перегляд	vizualizează
перегляд	vizualizare
перегляд	vedere
ведучий	prezentator
ведучий	prezentatoare
ведучий	plumbul
ведучий	plumb
процедура	procedură
процедура	procedura
гамма	gama
гамма	gamma
воїни	războinici
воїни	razboinici
небагато	puține
небагато	puțini
небагато	putini
важка	greu
важка	tare
щиро	sincer
щиро	sincere
щиро	sincer
дипломатичних	diplomatice
дипломатичних	diplomatic
дипломатичних	diplomatică
композицію	urmări
композицію	pista
композицію	pistă
норма	norma
норма	norma
норма	norm
продажі	vânzările
продажі	vanzari
продажі	vânzări
ввести	introdu
ввести	introduceți
ввести	enter
ввести	intra
ввести	intră
бур	bourg
бур	boer
бур	drill
бур	burghiu
визначив	recunoscute
визначив	recunoscut
визначив	recunoscută
складові	ingrediente
складові	ingredientele
салон	salon
салон	salonul
дівчинка	fată
дівчинка	fata
поступився	creditare
спадок	mostenire
спадок	moștenire
спадок	moștenirea
голландії	olanda
голландії	holland
піски	sands
піски	nisipuri
піски	nisipurile
виготовлено	fabricate
виготовлено	fabricat
виготовлено	fabricată
виготовлено	producator
виготовлено	producător
боєприпасів	muniție
ферма	ferma
ферма	fermă
ферма	fermat
оперативного	operațională
оперативного	operaționale
оперативного	operațional
посиланням	legătura
посиланням	legătură
посиланням	link
посиланням	linkul
таємно	secretă
таємно	secret
таємно	secreta
таємно	secrete
таємно	secretul
незалежна	independent
незалежна	independenta
незалежна	independente
незалежна	independentă
впав	fell
садів	grădini
садів	grădinile
садів	gardens
гектарів	hectare
пауль	paul
пауль	pavel
шведська	suedeza
шведська	suedezi
шведська	suedeză
шведська	suedez
онук	nepotul
онук	nepot
онук	nepoate
кроком	pas
кроком	pasul
точність	precizie
точність	precizia
точність	precizie
точність	precizia
прихильником	suporter
зникає	dispare
гірничо	agh
вірмени	armenii
вірмени	armeni
бангладеш	bangladesh
ворожих	ostil
ворожих	ostili
ворожих	ostilă
ворожих	ostile
сприяти	facilitează
сприяти	facilita
експерименти	experimentele
експерименти	experimente
мікеланджело	michelangelo
поглинання	achizițiile
поглинання	achiziții
поглинання	preluare
поглинання	preluarea
покажчик	indexul
покажчик	index
покажчик	indice
покажчик	indicele
давній	străvechi
давній	antică
давній	antice
давній	antic
спробувати	încercați
спробувати	încearcă
спробувати	incearca
міграції	migrare
міграції	migrație
міграції	migrarea
продажів	vânzările
продажів	vanzari
продажів	vânzări
індійський	indiană
індійський	indian
індійський	indianul
еміль	emile
еміль	emil
еміль	émile
каменів	pietre
каменів	pietrele
вузли	gazdele
вузли	gazde
вузли	noduri
вогези	vosges
літер	scrisori
літер	litere
організована	organizat
