और	og
से	fra
है	hai
है	hal
एक	et
एक	en
एक	én
श्रेणी	kategori
श्रेणी	serier
श्रेणी	serie
श्रेणी	serien
श्रेणी	kategorierne
श्रेणी	kategorier
भी	selv
भी	også
भी	også
यह	dette
यह	denne
किया	gjorde
किया	færdig
किया	udfærdiget
किया	done
किया	udført
किया	gjort
इस	dette
इस	denne
हैं	er
भारत	india
भारत	indien
जो	joe
जो	hvem
ही	hee
रूप	formular
रूप	blanket
रूप	form
रूप	formen
रूप	fremmøde
रूप	udseende
रूप	udseendet
रूप	fremtræden
कर	afgift
कर	skatte
कर	skatter
कर	afgifter
नहीं	ikke
नहीं	not
नहीं	ej
नहीं	nix
उत्तराखण्ड	uttarakhand
गया	gik
साथ	langs
साथ	med
साथ	sammen
पूर्व	east
पूर्व	østpå
पूर्व	øst
पूर्व	tidligere
होता	ville
बाद	senere
बाद	efter
तक	indtil
तक	till
अपने	eje
अपने	egne
अपने	egen
अपने	eget
अपने	din
जिले	distrikterne
जिले	kvarterer
जिले	distrikter
था	havde
था	haft
था	var
था	blev
राज्य	stater
राज्य	staterne
राज्य	stat
राज्य	state
राज्य	delstat
राज्य	tilstand
बाहरी	udendørs
बाहरी	ydre
बाहरी	udendørs
कुछ	nogle
कुछ	noget
ईसा	jesus
गाँव	village
गाँव	landsbyen
गाँव	landsby
सरकार	kryb
सरकार	regering
सरकार	regeringen
कड़ियाँ	lænker
कड़ियाँ	kæder
कड़ियाँ	link
कड़ियाँ	links
प्रदेश	region
इसके	dens
इसके	dets
इसके	its
दिया	givet
दिया	givne
दिया	given
दिया	gav
अन्य	andre
अन्य	andet
अन्य	andre
जा	jaa
वर्ष	år
वर्ष	aars
वर्ष	året
वर्ष	år
समय	timing
समय	tid
समय	tidspunkt
समय	gang
समय	klokkeslæt
समय	tiden
नाम	betegnelse
नाम	navn
वे	de
प्रकार	venlig
प्रकार	indtast
प्रकार	skriv
प्रकार	type
प्रकार	typerne
प्रकार	typer
भारतीय	indianer
भारतीय	indiske
भारतीय	inder
भारतीय	indisk
भारतीय	indian
किसी	nogen
तहसील	tehsil
क्षेत्र	areal
क्षेत्र	område
क्षेत्र	region
क्षेत्र	områder
क्षेत्र	arealer
अधिक	mere
अधिक	flere
कई	mange
कई	adskillige
कई	flere
वाले	wale
स्थित	beliggende
स्थित	lokaliseret
स्थित	placeret
मण्डल	område
मण्डल	zone
आधिकारिक	officielt
आधिकारिक	embedsmand
आधिकारिक	tjenestemand
आधिकारिक	officiel
कारण	grunde
कारण	årsager
कारण	begrundelse
कारण	begrundelser
कारण	grund
कारण	begrundelse
कारण	årsag
कारण	årsag
कारण	årsagen
कारण	årsager
कारण	årsagerne
जैसे	gerne
जैसे	like
करता	bøller
करता	tyranner
करता	gør
उनके	deres
उनके	them
उनके	dem
सबसे	højst
सबसे	mest
हिन्दी	hindi
बहुत	meget
पहले	inden
पहले	før
पहले	tidligere
पहले	første
पहले	først
अपनी	eje
अपनी	egne
अपनी	egen
अपनी	eget
अपनी	kødelig
दो	to
जिला	distriktet
जिला	district
जिला	distrikt
जब	da
जब	når
जब	hvornår
उन्होंने	de
उन्होंने	egyptere
उन्होंने	egypterne
जन्म	born
जन्म	fødte
जन्म	født
जन्म	fødsler
जन्म	fødsel
जन्म	fødslen
कोई	koi
इन	inn
इन	herberg
इन	kro
इन	kroen
लेकिन	men
ये	dette
ये	denne
ये	disse
कम	lav
कम	lavt
कम	lave
कम	low
कम	færre
कम	færre
कम	mindre
कहा	sagde
कहा	said
लोग	mennesker
लोग	personer
लोग	folk
लोग	people
आदि	etc
आदि	mv
आदि	osv
आदि	mere
आदि	flere
आदि	adi
उसके	hans
उसके	hende
उसके	hendes
प्राचीन	primitiv
प्राचीन	primitivt
प्राचीन	primitive
प्राचीन	gammelt
प्राचीन	ældgammel
प्राचीन	prætor
देखें	se
देखें	se
देखें	vis
देखें	udsigt
उत्तर	svar
उत्तर	svaret
उत्तर	nordpå
उत्तर	nordlige
उत्तर	north
उत्तर	nord
उत्तर	svar
भाषा	sprog
भाषा	sprog
भाषा	sproget
लिये	til
लिये	for
सभी	alle
सभी	alt
प्राप्त	opnåede
प्राप्त	opnået
प्राप्त	modtages
प्राप्त	modtagne
प्राप्त	modtog
प्राप्त	modtaget
प्राप्त	modtager
प्राप्त	modtag
प्राप्त	modtage
इसका	dens
इसका	dets
इसका	its
प्रयोग	eksperimenterne
प्रयोग	eksperimenter
प्रयोग	forsøg
प्रयोग	eksperiment
प्रयोग	eksperimentere
प्रयोग	forsøg
प्रयोग	eksperimentet
प्रयोग	eksperimenter
शामिल	involverede
शामिल	involveret
शामिल	omfattet
शामिल	inkluderet
शामिल	omfattede
शामिल	inkluderede
शामिल	medtaget
शामिल	omfatte
उन्हें	them
उन्हें	dem
स्थान	pladser
स्थान	steder
स्थान	mødested
स्थान	placeringer
स्थान	steder
स्थान	lokaliteter
स्थान	stedet
स्थान	place
स्थान	sted
स्थान	plads
स्थान	lokalisering
स्थान	beliggenhed
स्थान	sted
स्थान	placering
स्थान	lokation
प्रमुख	chef
प्रमुख	chief
प्रमुख	høvding
प्रमुख	majoren
प्रमुख	major
प्रमुख	vigtigste
प्रमुख	main
हुई	hui
बीच	stranden
बीच	beach
बीच	strand
बीच	centrum
बीच	midtpunkt
बीच	center
बीच	midten
बीच	centreret
गए	væk
गए	borte
गए	gik
मुख्य	chef
मुख्य	chief
मुख्य	høvding
मुख्य	vigtigste
मुख्य	main
थी	var
थी	blev
बिहार	bihar
उसे	ham
उसे	hende
उसे	hendes
कार्य	opgaver
कार्य	arbejdsopgaver
कार्य	jobbet
कार्य	job
कार्य	arbejder
कार्य	arbejd
कार्य	arbejde
कार्य	arbejdet
कार्य	arbejdspladser
कार्य	job
कार्य	jobs
कार्य	arbejdsopgave
कार्य	opgave
उनकी	deres
आंध्र	andhra
नगर	town
नगर	byen
नगर	by
नगर	city
नगर	byen
नगर	storby
नगर	by
नगर	nagar
उपयोग	brug
उपयोग	anvendelse
उपयोग	anvend
उपयोग	anvendelser
लोगों	mennesker
लोगों	personer
लोगों	folk
लोगों	people
आधार	base
आधार	basen
आधार	basis
आधार	forudsætning
आधार	præmis
आधार	grundlaget
आधार	grundlag
आधार	basis
काम	arbejder
काम	arbejd
काम	arbejde
काम	arbejdet
जीवन	liv
जीवन	livet
जीवन	livstid
जीवन	life
विश्व	world
विश्व	verden
भाग	strækninger
भाग	sektioner
भाग	del
भाग	reservedele
भाग	dele
निर्माण	skabelse
निर्माण	oprettelse
निर्माण	byg
निर्माण	bygge
निर्माण	build
निर्माण	fremstilling
निर्माण	fremstillingsvirksomhed
निर्माण	fabrikation
गई	gik
दोनों	både
दोनों	begge
राष्ट्रीय	nationale
राष्ट्रीय	nationalt
राष्ट्रीय	national
राष्ट्रीय	landsdækkende
जानकारी	info
जानकारी	oplysninger
जानकारी	oplysning
जानकारी	information
जानकारी	oplysninger
जानकारी	underretning
पोर्टल	portal
पोर्टल	portalen
शहर	downtown
शहर	centrum
शहर	city
शहर	byen
शहर	storby
शहर	by
शहर	byerne
शहर	storbyer
शहर	byer
बार	tremmer
बार	stænger
बार	bjælker
बार	barer
बार	bar
बार	tidspunkter
बार	gange
बार	tiderne
बार	tider
बार	times
वाली	wali
लगभग	næsten
फिल्म	movie
फिल्म	film
फिल्म	folie
फिल्म	filme
फिल्म	film
यहाँ	her
प्रसिद्ध	berømt
प्रसिद्ध	berømte
प्रसिद्ध	berømtheder
प्रसिद्ध	kendt
विकास	udviklingen
विकास	udvikling
विकास	vækstrate
विकास	vækst
विकास	væksten
विकास	tilvækst
केवल	kun
देश	landet
देश	land
देश	lande
देश	nations
देश	nationen
देश	nation
देश	landene
देश	lande
वेबसाइट	website
वेबसाइट	hjemmeside
वेबसाइट	webside
वेबसाइट	hjemmesiden
वेबसाइट	websted
अलग	adskilt
अलग	separeret
अलग	forskellige
अलग	forskelligt
अलग	anderledes
अलग	forskellig
अलग	separat
अलग	særskilt
अलग	adskilt
अलग	separate
विशेष	eksklusive
विशेष	eksklusivt
विशेष	eneret
विशेष	eksklusiv
विशेष	særligt
विशेष	særlige
विशेष	speciel
विशेष	specielle
विशेष	særlig
इसकी	dens
इसकी	dets
इसकी	its
कभी	ever
कभी	nogensinde
दी	givet
दी	givne
दी	given
दी	gav
पृष्ठ	siden
पृष्ठ	side
पृष्ठ	page
पृष्ठ	sider
माना	overvejede
माना	overvejes
माना	overvejet
माना	betragtede
माना	mana
माना	angiveligt
माना	påstås
माना	antageligt
शब्द	ord
शब्द	ordet
शब्द	word
शब्द	ord
फिर	derefter
फिर	så
तीन	tre
तीन	three
पुरस्कार	belønninger
पुरस्कार	præmie
पुरस्कार	tilslag
पुरस्कार	award
पुरस्कार	tildeling
पुरस्कार	tildelinger
पुरस्कार	awards
पुरस्कार	præmier
पुरस्कार	belønning
पुरस्कार	dusør
लेख	artikler
लेख	genstande
लेख	artiklerne
लेख	afhandling
लेख	tese
अब	nu
अमेरिका	america
अमेरिका	amerika
अमेरिका	usa
मंदिर	templet
मंदिर	tempel
मंदिर	temple
अलावा	tilføjelse
अलावा	tilsætning
अलावा	bortset
वार्ता	samtalerne
दक्षिण	sydpå
दक्षिण	sydlige
दक्षिण	syd
स्थल	mødested
विभिन्न	forskellige
विभिन्न	diverse
विभिन्न	forskelligt
इतिहास	historik
इतिहास	historie
लिया	indtaget
लिया	udtaget
लिया	taget
फ़िल्म	movie
फ़िल्म	film
फ़िल्म	folie
फ़िल्म	filme
फ़िल्म	film
क्योंकि	fordi
पास	passere
पास	aflevering
पास	bestået
पास	pass
विस्तृत	detaljeret
विस्तृत	udtømmende
विस्तृत	avancerede
विस्तृत	avanceret
