மற்றும்	και
ஒரு	ένας
ஒரு	ενα
ஒரு	μία
ஒரு	ένα
ஒரு	μια
இந்த	αυτο
இந்த	αυτό
இந்த	αυτά
இந்த	αυτές
இந்த	οἱ
இந்த	αυτα
ஆம்	ναι
இது	αυτο
இது	αυτό
மக்கள்	λαών
மக்கள்	λαοί
மக்கள்	ατομα
மக்கள்	ανθρωποι
மக்கள்	άνθρωποι
மக்கள்	κόσμος
மக்கள்	άτομα
மக்கள்	ανθρώπους
என்ற	το
ஆண்டு	ετος
ஆண்டு	έτος
ஆண்டு	χρονιά
ஆண்டு	έτο
என்று	αυτό
என்று	ότι
என்று	that
தமிழ்	ταμίλ
இந்திய	ινδιάνος
இந்திய	ινδικό
இந்திய	ινδός
இந்திய	ινδική
இருந்து	απο
இருந்து	από
பல	πολλά
பல	πολλοι
பல	πολλοί
பல	πολλές
பல	πολλα
பல	πολλαπλές
பல	πολλαπλή
பல	πολλαπλά
முதல்	απο
முதல்	από
முதல்	πρώτο
முதல்	πρώτον
முதல்	πρώτη
முதல்	πρώτα
முதல்	πρώτος
மேலும்	περισσότερο
மேலும்	περισσότεροι
மேலும்	πιο
மேலும்	περισσότερες
மேலும்	περισσότερα
தொகை	ποσό
சில	λίγοι
சில	ελάχιστοι
சில	λίγες
சில	μερικές
சில	κάποια
சில	κάποιοι
சில	μερικοί
சில	μερικά
உள்ளது	διαθέσιμος
உள்ளது	διαθέσιμα
உள்ளது	διατίθεται
உள்ளது	διαθέσιμο
உள்ளது	διαθέσιμη
அவர்	αυτόν
இருக்கும்	υπάρχουσες
இருக்கும்	υπάρχουσα
இருக்கும்	υφιστάμενη
இருக்கும்	υπάρχον
இருக்கும்	υφιστάμενων
இருக்கும்	υφιστάμενες
வெளி	εξωτερική
வெளி	εξωτερικά
வெளி	εξωτερικό
வெளி	εξωτερικός
வெளி	space
வெளி	χώρος
வெளி	χώρο
வெளி	διαστημα
வெளி	διάστημα
அமைந்துள்ளது	εντοπίστηκε
மூலம்	πηγή
மூலம்	πηγη
மூலம்	αυθεντικό
மூலம்	αρχική
மூலம்	πρωτότυπο
மூலம்	αρχικό
மூலம்	αρχικός
வரை	κλήρωση
வரை	σχεδίαση
வரை	επιστήσω
வரை	ισοπαλία
வரை	μεχρι
வரை	μέχρι
வரை	έως
பின்னர்	τότε
பின்னர்	μετά
பின்னர்	αργότερα
பின்னர்	αργοτερα
ஆனால்	αλλά
ஆனால்	αλλα
ஆனால்	μα
வேண்டும்	αναγκη
வேண்டும்	ανάγκη
கொண்டு	έφερε
கொண்டு	φέρτε
கொண்டு	φέρει
கொண்டு	με
பட்டியல்	playlist
பட்டியல்	λίστα
பட்டியல்	κατάλογος
அமைந்துள்ள	εντοπίστηκε
அதன்	its
