ரொனால்டோ	ronaldo
சக்திவாய்ந்த	powerful
சக்திவாய்ந்த	makapangyarihang
திங்கட்கிழமை	lunes
திங்கட்கிழமை	monday
ஆண்குறி	titi
டெர்ரி	terry
படைத்தவர்	gumawa
படைத்தவர்	lumikha
படைத்தவர்	creator
மண்டேலா	mandela
ஹூ	hoo
கொள்கலன்	nilalaman
கொள்கலன்	lalagyan
இப்ராகிம்	ibrahim
கூந்தல்	hair
கூந்தல்	buhok
மறையும்	itago
அருமை	fantastic
அருமை	napakahusay
அருமை	ganda
அருமை	sarap
அருமை	nice
இயங்கியல்	pagpapatakbo
மகனே	anak
மகனே	son
தலையீடு	pamamagitan
கரிய	darker
குழப்பங்கள்	pagsalungat
குழப்பங்கள்	salungat
விருப்பப்படி	custom
உள்ளடக்கங்கள்	nilalaman
இரக்கம்	pagmamalasakit
வானவில்	rainbow
வானவில்	bahaghari
ஓசியானியா	oceania
யாங்	yang
எட்வார்ட்	edward
நகை	jewel
நகை	alahas
கமிஷன்	commission
கமிஷன்	komisyon
ஆலோசனைகள்	mungkahi
சொந்தம்	sarili
சொந்தம்	sariling
தொடும்	hawakan
ஆரோக்கியம்	kalusugan
ருத்ர	rudra
பாஸ்பரஸ்	phosphorus
மாறிகள்	variable
மாறிகள்	variables
நுண்ணோக்கி	mikroskopyo
ஐசக்	isaac
வாழ்வது	buhay
வாழ்வது	tinitirahan
வாழ்வது	pamumuhay
வெற்றிபெற்று	nanalo
வெற்றிபெற்று	panalo
சலாம்	salam
மேலாளராக	namamahala
மேலாளராக	manager
மேலாளராக	tagapamahala
சலுகை	alok
சலுகை	offer
ரசாயன	chemical
ரசாயன	kemikal
ஸ்வீடன்	sweden
ஸ்வீடன்	suwesya
ரிஷி	rishi
லாக்	lock
லாக்	log
கரோலினா	carolina
பார்பரா	barbara
செலுத்தப்பட்டது	binayaran
செலுத்தப்பட்டது	bayad
செலுத்தப்பட்டது	binabayaran
அந்தோனியார்	anthony
ஸ்டாக்ஹோம்	stockholm
புரூணை	brunei
பள்ளிக்கூடம்	paaralan
வர்ணம்	pininturahan
வர்ணம்	pigment
ரோஜாக்கள்	roses
ரோஜாக்கள்	rosas
மாட்	matt
சொத்துகள்	asset
சக்	chuck
பூரி	puri
டொனால்ட்	donald
டிரைவ்	magmaneho
டிரைவ்	drive
ஒதுக்கப்பட்டது	reserved
பேட்ரிக்	patrick
பாடுகிறார்	kumakanta
பாடுகிறார்	kantahan
பாடுகிறார்	pagkanta
பிரிக்ஸ்	brics
ஒப்பனை	makeup
ஒப்பனை	pampaganda
ஒப்பனை	kosmetiko
ஒப்பனை	cosmetics
துரோணர்	drona
தாமிரம்	tanso
கவனத்திற்கு	atensyon
கவனத்திற்கு	pansin
ஆந்தை	owl
பிரபலங்கள்	celebrities
ஜூலியா	julia
நீளமாக	sticky
நிணநீர்	lymph
குச்சி	patpat
குச்சி	stick
இனக்குழு	lahi
டாமன்	damon
கொன்றார்	napatay
கொன்றார்	pinatay
இருத்தலியல்	existential
கிரியோல்	creole
காளான்	kabute
போதைப்பொருள்	droga
போதைப்பொருள்	drug
ஓடுகள்	tiles
டெர்	der
ஃபோர்ப்ஸ்	forbes
இயக்கிகள்	driver
பிலடெல்பியா	philadelphia
ஜெயின்	jain
செம்பிலான்	sembilan
கடிகாரங்கள்	nanunuod
கடிகாரங்கள்	relo
ராஸ்	ross
எலுமிச்சை	limon
எலுமிச்சை	lemon
எலுமிச்சை	lime
மனிதனும்	kaluluwa
மனிதனும்	soul
பதக்கங்களை	medals
ரீட்	reed
ஆனந்தம்	joy
மார்க்கம்	pananampalataya
மார்க்கம்	relihiyon
காய்கறி	gulay
முதிர்ச்சி	kapanahunan
வழங்கவும்	ibigay
ஷேன்	shane
சிட்ரிக்	citric
குறும்படம்	thumbnail
குறும்படம்	imahen
குறும்படம்	icon
சோனியா	sonia
இலைகளை	dahon
அசுரன்	halimaw
கிளாரா	clara
தேவாலயத்தில்	piazza
நிழலில்	lilim
நிழலில்	shade
அரி	ari
செயல்படுத்துகிறது	pinoproseso
செயல்படுத்துகிறது	pagpoproseso
செயல்படுத்துகிறது	processing
செயல்படுத்துகிறது	pagproseso
சளி	malamig
சளி	sipon
சளி	lamig
கொடூரமான	malupit
கொடூரமான	brutal
முசோலினி	mussolini
தூதுவர்	ambassador
செக்ஸ்	pakikipagtalik
செக்ஸ்	sex
பாலினம்	kasarian
குணப்படுத்தும்	healing
கைபேசி	cell
கைபேசி	cellphone
காலாண்டு	quarterly
காலாண்டு	quarter
அன்னிய	foreign
அன்னிய	dayuhang
சாஸ்திரம்	shastra
பரவுகிறது	kumakalat
ஏறு	umakyat
ஏறு	akyatin
மரபை	legacy
மரபை	iniwang
சவாலாக	hinamon
இம்ரான்	imran
எண்ணங்களை	thoughts
எண்ணங்களை	saloobin
மடிப்பு	wrap
அளவுகோல்	scale
நகர்வுகள்	moves
நகர்வுகள்	gumagalaw
ஹெக்டர்	hector
மாயன்	mayan
வெண்கல	bronze
குணப்படுத்த	gamutin
குணப்படுத்த	lunas
மஸ்ஜித்	masjid
ரோல்	gumulong
ரோல்	roll
ஆல்பங்கள்	album
ஆல்பங்கள்	albums
கெல்லி	kelly
முதுகெலும்பு	tinik
பாக்கியம்	pinagpala
பாக்கியம்	mapalad
பாக்கியம்	blessed
சிறகு	wing
சிறகு	pakpak
சிறகு	wings
சிறகு	pakpak
பட்டாணி	pea
பட்டாணி	peas
சர்ச்சில்	churchill
அங்கீகரிக்கப்பட்டது	inaprubahan
அங்கீகரிக்கப்பட்டது	naaprubahan
ஆற்றலும்	enerhiya
கூட்டுக்	pinagsama
ஆக்கி	processor
கடற்படையினர்	marines
நிபுணத்துவம்	kadalubhasaan
கற்பு	chastity
ஈடன்	eden
கொன்றது	napatay
கொன்றது	pinatay
அதிகபட்சம்	max
அதிகபட்சம்	pinakamataas
சுருங்கி	paliitin
கிட்	kit
செய்தியாளர்	pindutin
செய்தியாளர்	reporter
மறியல்	picket
புக்கர்	booker
கேளிக்கை	paglilibang
கேளிக்கை	libangan
கேளிக்கை	libangan
கேளிக்கை	entertainment
சமோவா	samoa
வாத	terror
வாத	kilabot
நிலுவையில்	nakabinbin
யுனிக்ஸ்	unix
தொட்டில்	duyan
விஸ்டா	vista
வாசம்	hinga
வாசம்	hininga
துன்பங்கள்	hapis
கோளம்	sphere
திரையரங்கு	tanghalan
பின்புலம்	background
பின்னோக்கி	backward
பின்னோக்கி	paurong
பின்னோக்கி	umatras
தத்து	tab
ஆலோசனைக்	pagsangguni
ஆலோசனைக்	konsultasyon
தனிமையில்	alone
தனிமையில்	magisa
தனிமையில்	malungkot
தனிமையில்	lonely
தனிமையில்	solitude
வழிகாட்டல்	guidance
பார்வைகள்	pagbisita
பார்வைகள்	pagtingin
நோக்கங்களை	hangarin
பளிங்கு	marmol
வாக்கியம்	parirala
வாக்கியம்	pangungusap
அனுப்புகிறது	ipinapadala
சுமேரிய	sumerian
கலந்துகொண்டார்	pumasok
கலந்துகொண்டார்	pinapasukan
கலந்துகொண்டார்	dumalo
கலந்துகொண்டார்	nagpunta
புள்ளிவிவரம்	istatistika
பாஸ்கல்	pascal
மார்க்கெட்	merkado
மார்க்கெட்	palengke
மார்க்கெட்	pamilihan
மார்க்கெட்	market
கணங்கள்	moments
கணங்கள்	sandali
சோமாலியா	somalia
படத்தொகுப்பு	collage
மீனவர்	mangingisda
நானக்	nanak
இருக்கவும்	mananatiling
இருக்கவும்	manatili
இருக்கவும்	manatiling
இருக்கவும்	stay
துல்லியம்	precision
குவளை	mug
தொழிற்சாலையில்	pabrika
தொழிற்சாலையில்	factory
ராக்கெட்	rocket
ஆல்ப்ஸ்	alpes
இயல்பை	kalikasan
இயல்பை	nature
வித்து	seed
வித்து	buto
பானங்கள்	inumin
பானங்கள்	umiinom
நினைக்கும்	isipin
நினைக்கும்	palagay
நினைக்கும்	tingin
பெயர்ச்சி	palitan
தற்செயலாக	sinasadyang
நாட்டினர்	kababayan
சமத்துவம்	neutrality
நடப்பில்	nagpapatuloy
நடப்பில்	patuloy
நடப்பில்	nagaganap
நடப்பில்	kasalukuyang
நடனங்கள்	dances
நிபந்தனைகள்	kondisyon
நிபந்தனைகள்	kundisyon
விடு	umalis
விடு	iwan
விடு	iwanan
விடு	drop
அலபாமா	alabama
அன்ட்ரூ	andrew
ரேகை	longitude
பாலைவனத்தில்	desert
பாலைவனத்தில்	disyerto
லூசியானா	louisiana
கரைப்பான்	solvent
எறிந்து	cast
கலீபா	kalipa
தந்திரம்	trick
அறிவார்ந்த	talino
மதிப்பாய்வு	suriin
மதிப்பாய்வு	review
மதிப்பாய்வு	pagkontrol
குவான்	guan
குவான்	quan
ஆர்எஸ்எஸ்	rss
நேர்மை	katapatan
பொறாமை	selos
பொறாமை	inggit
பொறாமை	nagseselos
பொறாமை	inggit
பொறாமை	selos
கச்சா	krudo
கோட்டா	kota
வரவிருக்கும்	paparating
அவுட்லுக்	outlook
சூசன்	susan
காமெடி	katatawanan
காமெடி	comedy
நையாண்டி	panunuya
கமிட்டி	komite
கமிட்டி	committee
தீராத	talamak
வைக்கோல்	straw
இப்ராஹிம்	ibrahim
முத்துக்கள்	pearls
ஆமைகள்	pawikan
ஆமைகள்	turtles
அலெக்சாந்திரியா	alexandria
புள்ளிவிவர	statistical
பங்களா	bangla
ஜூலியஸ்	julius
ஈஸ்ட்	lebadura
பரிணாமம்	evolution
பரிணாமம்	ebolusyon
பங்கேற்பு	paglahok
பங்கேற்பு	dumalo
சோலார்	solar
மேகங்கள்	ulap
கேம்ஸ்	games
கருட	garuda
நீரோ	nero
பூத	pisikal
நெரிசல்	stampede
வாய்க்கால்	canal
கடலியல்	oseanograpiya
இறைவனிடம்	lord
இறைவனிடம்	panginoon
ரொனால்ட்	ronald
கொலராடோ	colorado
வளாகங்கள்	campuses
மிதவை	lumulutang
மிதவை	nakalutang
மிதவை	lutang
பதிய	gng
கிரந்த்	granth
முதலீட்டாளர்	mamumuhunan
நசீர்	nasir
சோர்வு	nakakapagod
சோர்வு	pagod
சோர்வு	napagod
எவரெஸ்ட்	everest
திறக்க	buksan
திறக்க	bukas
திறக்க	open
வானியற்பியல்	astropisika
செபமாலை	cepa
சையது	syed
இரவும்	gabi
அத்தியாவசிய	mahalaga
அத்தியாவசிய	mahahalagang
ஏதுமில்லை	wala
முன்னோக்கி	sulong
முன்னோக்கி	pasulong
முன்னோக்கி	ipasa
பயன்முறை	mode
பெர்க்சையர்	berkshire
ஜிமெயில்	gmail
கவர்ச்சியான	sexy
சுலைமான்	suleiman
சுலைமான்	sulaiman
பேழை	cassette
தெருக்கள்	kalye
ஆர்ச்சர்	archer
கீரை	spinach
ஜெப்ரி	geoffrey
சன்னி	maaraw
சன்னி	sunny
படையணி	battalion
பயிற்சியாளர்கள்	coaches
பேசுகிறது	nagsasalita
பேசுகிறது	nagsasalita
ஈடுபட்டுள்ள	ikakasal
ஏழ்மை	kahirapan
உடற்கூறு	anatomiya
புவிவெப்ப	geothermal
பயங்கர	terrible
மேலாளர்கள்	managers
மேலாளர்கள்	tagapamahala
மேலாளர்கள்	tagapangasiwa
மீதம்	balanse
மீதம்	natitira
மீதம்	natitirang
மீதம்	natitira
மீதம்	pakaliwa
மீதம்	iniwan
மீதம்	naiwan
மீதம்	kaliwa
பீச்	haya
பீச்	peach
லுட்விக்	ludwig
நெற்றியில்	noo
பொறுப்பான	responsableng
பொறுப்பான	responsable
பொறுப்பான	pananagutan
கன்று	calf
தீவிரவாதம்	terorismo
பரதன்	bharata
குறுக்கீடு	panghihimasok
எள்	linga
வடிவமைக்க	isaayos
வடிவமைக்க	maisaayos
மனப்பான்மை	ugali
மனப்பான்மை	attitude
மனப்பான்மை	saloobin
எட்ஜ்	gilid
எட்ஜ்	edge
எட்ஜ்	dulo
பிளந்து	cleft
மாவீரன்	warrior
மாவீரன்	mandirigma
டொமினிக்கன்	dominikano
டொமினிக்கன்	dominican
வாருங்கள்	dumating
வாருங்கள்	darating
வாருங்கள்	lumapit
ஆன்மீகம்	espirituwal
ஆன்மீகம்	spiritual
வியூகம்	estratehiya
வியூகம்	diskarte
மாம்பழம்	mango
மாம்பழம்	mangga
கழுதை	asno
கழுதை	donkey
வயிற்றுப்போக்கு	pagtatae
வயிற்றுப்போக்கு	diarrhea
முஸ்தபா	mustafa
கிரகம்	planeta
தலைக்கு	head
தலைக்கு	ulo
மாறிவிட்டது	nagbago
மாறிவிட்டது	binago
மாறிவிட்டது	pinalitan
மியாமி	miami
பொறித்த	piniritong
பொறித்த	pritong
நிக்கோலஸ்	nicolas
நிக்கோலஸ்	nicolás
நிக்கோலஸ்	nicholas
கொரில்லா	gorilla
நானா	nana
மோகம்	passion
தெரிவித்துக்	pinuntahan
தெரிவித்துக்	bumisita
தெரிவித்துக்	binisita
கால்நடைகள்	baka
ஓட்டோ	otto
நாளைய	bukas
சந்தர்ப்பம்	konteksto
சந்தர்ப்பம்	context
ஆண்டர்சன்	anderson
சிக்னல்	senyas
சிக்னல்	signal
சிக்னல்	hudyat
மோடம்	modem
கிளென்	glen
கிளென்	glenn
விவகாரங்கள்	affairs
காபூல்	kabul
அரிவாள்	sickle
பேச்சாளர்கள்	nagsasalita
எலிகள்	mice
வைன்	alak
