носити	viselni
розширити	kitágulnak
розширити	terjeszkedni
індустрії	ágazatok
індустрії	iparágak
змінили	alakváltók
змінили	módosult
поїздки	utazások
поїздки	utak
передні	front
передні	eleje
маяк	világítótorony
магістр	tanácsos
магістр	mester
вбив	megölt
вбив	megölte
демонстрації	demók
демонстрації	tüntetés
демонстрації	tüntetések
прикладу	példa
приватний	magán
приватний	privát
заборони	tiltja
заборони	tilalom
заборони	tilalmak
бактерії	baktériumok
бактерії	baktérium
шаром	réteg
хроніка	chronicle
яно	jana
кевін	kevin
віллі	willy
віллі	willie
віллі	villy
угод	megállapodások
угод	egyezmények
високе	high
високе	magas
високе	magasan
наполеон	napóleon
наполеон	napoleon
космічні	kozmikus
торф	tőzeg
марта	marta
марта	martha
розвідка	értelem
розвідка	hírszerzés
розвідка	intelligencia
розвідка	felderítés
розвідка	felderítő
волокна	rost
волокна	szálak
обрана	eltérő
мез	meuse
перегляд	előnézete
перегляд	megtekintés
перегляд	kilátás
перегляд	nézet
ведучий	műsorvezető
ведучий	ólom
ведучий	vezet
прип	pripjaty
приєдналися	csatlakozott
процедура	eljárás
гамма	gamma
воїни	harcosok
небагато	kevesen
небагато	pár
небагато	kevés
небагато	kevesek
небагато	néhány
важка	nehéz
важка	kemény
щиро	őszinte
дипломатичних	diplomáciai
дипломатичних	diplomata
композицію	pálya
композицію	vágány
композицію	nyomon
норма	norma
норма	norma
норма	norm
продажі	eladások
продажі	eladás
продажі	értékesítés
продажі	értékesítési
бур	bourg
бур	búr
бур	fúró
бур	drill
визначив	felismert
визначив	elismert
листування	levelezési
складові	hozzávalók
складові	összetevők
салон	szalon
салон	szalonban
дівчинка	kislány
дівчинка	csaj
дівчинка	lány
поступився	hitelezési
спадок	öröksége
спадок	örökség
голландії	holland
піски	homok
піски	sands
виготовлено	gyártottak
виготовлено	előállított
виготовлено	gyártott
виготовлено	gyártó
виготовлено	termelő
виготовлено	producer
виготовлено	termelői
боєприпасів	lőszer
боєприпасів	lőszerek
боєприпасів	lőszert
ферма	farm
ферма	gazdaság
ферма	fermat
оперативного	operatív
посиланням	hivatkozás
посиланням	kapcsolat
посиланням	link
посиланням	linket
посиланням	hivatkozást
таємно	titokban
таємно	titok
таємно	titkos
незалежна	független
незалежна	önálló
незалежна	függetlenek
впав	leesett
впав	fell
впав	esett
впав	elesett
садів	kertek
гектарів	hektár
пауль	paul
пауль	pál
шведська	svéd
шведська	svédország
онук	unoka
онук	unokája
кроком	lépés
кроком	lépcső
імператорів	császárok
точність	precíziós
точність	pontosság
точність	frakció
точність	pontosság
прихильником	támogató
прихильником	támogatója
зникає	eltűnik
вірмени	örmények
бангладеш	banglades
ворожих	ellenséges
ворожих	ellenség
сприяти	megkönnyítése
експерименти	kísérletek
мікеланджело	michelangelo
поглинання	beszerzés
поглинання	átvétel
покажчик	index
покажчик	mutató
давній	ősi
давній	ős
