mississippi	미시시피
extrémní	극단
extrémní	익스트림
extrémní	극한
vyvinutý	선진
vyvinutý	진화
éra	era
éra	시대
signály	신호
středa	수요일
ideologie	이데올로기
ideologie	이념
odhad	추정치
odhad	추정
odhad	추산
odhad	추정치
odhad	추정
odhad	추정
pacienta	환자
irské	아일랜드어
irské	아일랜드인
kázání	설교
kázání	설교
kázání	설교
poválečné	전후
prázdná	비어
vystupovat	수행
dvojí	듀얼
převodovka	변속기
převodovka	전송
převodovka	기어박스
chybějící	실종
chybějící	누락
chybějící	missing
pohřebiště	묘지
schneider	슈나이더
habsburské	합스부르크
strop	천장
údržbu	유지보수
údržbu	정비
údržbu	점검
portugalská	포르투갈령
portugalská	포르투갈어
rozcestí	크로스로드
rozcestí	교차로
výdělek	이익
výdělek	수입
výdělek	수익금
výdělek	수익
porozumění	이해
porozumění	이해하기
biblické	성경
nabídka	부드러운
nabídka	입찰
nabídka	쿠폰
pomáhat	돕기
nadpis	헤드라인
nadpis	제목
nadpis	타이틀
nadpis	제목
bosna	보스니아
leon	레온
leon	리온
hole	클럽
hole	스틱스
hole	스틱
klarinet	클라리넷
vlčí	늑대
vlčí	볼프
vlčí	울프
patent	특허
absence	결석
absence	부재
sestavil	컴파일
koupila	샀다
opus	오푸스
komunisté	공산주의자
army	육군
army	군대
počítat	카운트
benz	벤츠
biologické	생물학
kapacity	용량
děla	대포
děla	캐넌포
děla	캐논
poklad	보물
regiony	지역
povstalci	반군
povstalci	반란군
křesťané	기독교인
vyvinut	선진
výuka	교육
výuka	교사
výuka	가르침
výuka	학습
výuka	튜토리얼
fed	fed
miguel	미겔
vyrovnání	오프셋
pistole	권총
pistole	권총
pistole	피스톨
vzácný	희귀한
vzácný	귀한
vzácný	희귀
vzácný	드문
postupů	절차
kings	킹스
empire	엠파이어
empire	제국
investice	투자
investice	투자
investice	투자
flash	플래시
bližší	가까워
jemně	부드럽게
collins	콜린스
navštívit	방문
navštívit	방문하기
norem	규범
norem	표준
dokázat	증명
slavnost	축제
slavnost	페스티벌
pomocný	보좌
pomocný	보조
cti	명예
cti	영광
cti	명예
hlasuje	득표
hlasuje	투표
soundtrack	사운드트랙
potřeboval	필요함
justin	저스틴
čekal	예상
ruka	팔이
ruka	핸드
kolekce	컬렉션
kolekce	모음집
kolekce	콜렉션
kolekce	컬렉션
kolekce	모음집
federaci	연맹
