kategória	categoria
roku	any
ako	com
ako	like
bol	fou
bol	estat
pozri	veure
pozri	mira
pozri	look
obce	municipis
obce	ajuntaments
obce	viles
mba	mba
obyvateľov	habitants
obyvateľov	residents
obec	comuna
obec	municipi
obec	poble
obec	aldea
pre	per
ktorá	qual
bod	punt
pri	pri
bola	fou
bola	estat
ktoré	qual
ktorý	qual
zoznam	llista
odkazy	referències
odkazy	enllaços
externé	externs
externé	extern
externé	externa
ale	però
iné	altres
iné	altres
the	la
the	els
počet	número
počet	nombre
boli	eren
podľa	arres
miesto	spot
miesto	lloc
miesto	place
miesto	localització
miesto	ubicació
miesto	emplaçament
bolo	fou
obcí	municipis
obcí	ajuntaments
obci	comuna
jej	ella
jej	her
ich	ells
ich	ich
medzi	entre
projekty	projectes
team	equip
byť	essent
byť	being
francúzska	francès
francúzska	frança
najvyšší	suprem
najvyšší	suprema
však	tanmateix
pod	pod
pod	arres
pred	pre
pred	abans
vývoj	desenvolupament
vývoj	evolució
vývoj	desenvolupaments
graf	gràfica
graf	gràfic
graf	diagrama
kde	kde
kde	on
môže	maig
môže	can
nasledujúci	seguint
nasledujúci	següents
nasledujúci	pròxima
nasledujúci	següent
nasledujúci	propera
nasledujúci	next
zobrazuje	espectacles
keď	quan
len	només
len	només
mesto	ciutat
počas	durant
tiež	també
usa	usa
rokov	anys
nie	no
september	setembre
úmrtia	defunció
úmrtia	mort
úmrtia	defuncions
slovenský	eslovac
aby	make
storočia	segles
storočia	segle
nad	nad
utc	utc
jpg	jpg
časti	parts
stránka	pàgina
skupiny	grup
skupiny	grups
html	html
roka	any
ktorú	qual
časť	secció
časť	part
ngc	ngc
október	octubre
október	oct
mesta	ciutat
marec	març
marec	march
august	agost
august	ago
skupina	grup
veľmi	molt
potom	aleshores
potom	llavors
oficiálna	official
narodenia	naixement
tento	això
tento	aquesta
tento	aquest
osobnosti	personalitats
osobnosti	personalitat
bratislava	bratislava
november	novembre
november	nov
december	desembre
december	dec
iba	només
iba	només
roky	anys
oblasti	àmbit
oblasti	àrea
oblasti	zones
oblasti	àrees
oblasti	àmbits
január	gener
súbor	arxiu
súbor	fitxer
mal	havien
mal	mal
proti	contra
proti	against
apríl	abr
apríl	abril
sveta	món
sveta	world
bez	sense
najmä	principalment
najmä	sobretot
najmä	especialment
viac	més
február	febrer
február	feb
náhľad	previsualitza
náhľad	previsualització
mužov	homes
názov	denominació
názov	nom
názov	denominació
názov	títol
prvý	primer
prvý	primera
prvý	primers
text	text
máj	maig
slovenskej	eslovac
spolu	total
spolu	junts
tom	tom
majstrovstvá	campionat
majstrovstvá	championship
majstrovstvá	biatló
saint	saint
okrem	excepte
bar	barra
bar	bar
americký	american
americký	americà
júl	juliol
júl	jul
cez	via
cez	mitjançant
asi	probablement
asi	endevina
asi	endevinar
jeden	one
objavil	descobert
vojny	guerra
vojny	guerres
rok	any
ulica	carrer
album	àlbum
dátum	data
žien	femení
žien	femella
žien	dones
tieto	aquestes
tieto	aquests
januára	gener
majú	tinguin
toto	això
toto	aquesta
toto	aquest
toto	toto
ktorí	qui
ktorí	who
všetky	tots
všetky	totes
francúzsky	francès
mestá	ciutats
žije	vides
český	txeca
český	txec
český	český
často	freqüentment
často	sovint
ján	jan
ján	ján
ján	john
ján	joan
niekoľko	diversos
niekoľko	diverses
okres	districte
jún	juny
šablóny	plantilles
šablóny	plantilla
dnes	avui
slovensko	eslovàquia
pretože	perquè
pretože	perque
ani	ni
ani	ani
ani	ni
nové	nova
nové	nou
nové	noves
všetkých	tots
všetkých	totes
štátu	estat
ďalšie	addicional
ďalšie	addicionals
ďalšie	pròxima
ďalšie	següent
ďalšie	propera
ďalšie	next
