černych	τσερνίχ
kódy	κωδικοί
kódy	κώδικες
kódy	κωδικούς
podporovať	στήριξη
podporovať	υποστήριξη
podporovať	ενθάρρυνση
podporovať	ενθαρρύνει
akt	ακε
akt	πράξη
akt	act
sultán	σουλτάνος
nepriamo	έμμεσα
nepriamo	έμμεσες
nepriamo	έμμεσο
nepriamo	έμμεση
nepriamo	έμμεσα
nepriamo	εμμέσως
pápeži	πάπες
povedomia	επίγνωση
povedomia	συνειδητοποίηση
modelka	μοντελο
modelka	υπόδειγμα
modelka	μοντέλο
modelka	πρότυπο
uskutočňuje	διεξάγει
uskutočňuje	διενεργεί
blízkom	μεση
blízkom	μεσαία
blízkom	μέση
blízkom	μεσαίο
vlk	λύκος
vlk	γουλφ
vlk	wolf
volkswagen	volkswagen
sociológ	κοινωνιολόγος
chemická	χημικό
chemická	χημική
chemická	χημικά
zur	zur
vyznamenanie	έπαινο
kongresu	κογκρέσο
lászló	lászló
robot	μποτ
robot	ρομπότ
pevný	συμπαγής
pevný	στερεό
pevný	στερεά
pevný	συμπαγές
alexandrovič	αλεξάντροβιτς
zahraničné	ξένος
zahraničné	ξένο
zahraničné	ξένη
zahraničné	ξένα
stuttgart	στουτγάρδη
kovy	μεταλλικό
kovy	μέταλλο
kovy	μέταλλα
kovy	metal
kovy	μεταλλικά
kovy	μέταλλα
hamburg	αμβούργο
oslobodenie	εξαίρεση
oslobodenie	απαλλαγή
oslobodenie	απελευθέρωση
oslobodenie	ανακούφιση
bydlisko	ειδικευόμενος
bydlisko	κάτοικος
bydlisko	κάτοικο
bydlisko	κατοικία
bydlisko	διαμονής
bydlisko	οικία
bydlisko	κατοικία
mag	mag
bobby	μπόμπι
bobby	μπόμπυ
napísali	γραπτές
napísali	γραπτή
napísali	γράφτηκε
napísali	γραμμένα
napísali	γράψει
napísali	γραμμένο
napísali	έγραψες
napísali	έγραψε
tiger	τίγρης
tiger	τίγρη
nadácie	βάσεις
nadácie	θεμέλια
detaily	λεπτομέρειες
kolektív	συλλογική
kolektív	συλλογικό
kolektív	συλλογικά
kolektív	συλλογικές
philippe	philippe
philippe	φιλίπ
ľad	πάγος
ľad	πάγο
ľad	ice
lese	γουντς
lese	δάσος
mostov	γεφυρών
mostov	γέφυρες
jadrovej	πυρηνικός
jadrovej	πυρηνικά
jadrovej	πυρηνική
rap	ραπ
odolnosť	αντοχή
odolnosť	αντίστασης
odolnosť	αντίσταση
odolnosť	ανθεκτικότητα
odolnosť	ανθεκτικότητα
jay	τζέι
jay	jay
podobnú	παρόμοιο
podobnú	παρόμοιες
podobnú	παρόμοιος
podobnú	παρόμοια
teórií	θεωρίες
čou	ζου
záhreb	ζάγκρεμπ
leonardo	leonardo
leonardo	λεονάρντο
sľuby	υποσχέσεις
sľuby	όρκους
sľuby	όρκοι
prepojenie	διασύνδεσης
prepojenie	διασύνδεση
súčet	άθροισμα
umiestnenia	τοποθέτηση
umiestnenia	τοποθεσίες
umiestnenia	τοποθετήσεις
umiestnenia	τόπος
umiestnenia	τοποθεσία
formátu	μορφη
formátu	μορφή
formátu	μορφότυπο
záhrade	κήπος
záhrade	κήπο
záhrade	garden
záujmov	ενδιαφέροντα
záujmov	συμφέροντα
derby	ντέρμπι
