antropología	ανθρωπολογία
favorable	ευνοϊκές
favorable	ευνοϊκή
bizantino	βυζαντινή
significativa	σημαντική
protegida	προστατεύεται
protegida	προστατευμένο
protegida	προστατευμένη
protegida	προστατευόμενων
protegida	προστατευμένος
fiel	πιστοί
fiel	πιστός
fiel	πιστό
fiel	πιστή
derivado	παράγωγο
rodaje	γυρίσματα
rodaje	γύρισμα
rodaje	γυρισμάτων
rodaje	σκοποβολή
rodaje	πυροβολισμοί
rodaje	γυρίσματα
rodaje	πυροβολισμός
rodaje	πυροβολισμό
escalera	σκάλα
escalera	κλιμακοστάσιο
escalera	σκάλα
escalera	κλιμακοστάσιο
escalera	σκάλα
escalera	σκάλα
escalera	σκαλιά
escalera	σκαλοπάτια
escalera	σκάλες
heinrich	χάινριχ
reglamento	κανονισμοί
reglamento	κανονισμούς
reglamento	κανόνες
reglamento	κανονισμός
reglamento	κανονισμού
arabia	αραβία
gigantes	γίγαντες
gigantes	γίγαντας
gigantes	γιγάντια
gigantes	γίγαντα
gigantes	γιγαντιαίο
experimentos	πειράματα
paisajes	τοπίο
paisajes	σκηνικά
paisajes	τοπία
paisajes	τοπίο
mito	μύθο
mito	μύθος
dispuesto	πρόθυμος
dispuesto	πρόθυμοι
dispuesto	πρόθυμο
dispuesto	πρόθυμη
dei	dei
grabados	χάραξη
grabados	χάραξης
grabados	γκραβούρες
grabados	καταγράφονται
grabados	καταγράφεται
grabados	καταγεγραμμένη
grabados	καταγράφηκε
grabados	αποτυπώματα
grabados	εκτυπώσεις
efectivo	κας
efectivo	μετρητά
robot	ρομπότ
cuota	τέλη
cuota	αμοιβή
cuota	ποσοστώσεις
cuota	ποσόστωση
cuota	ποσόστωσης
roland	ρόλαντ
obreros	εργαζόμενοι
obreros	εργαζομένων
obreros	εργάτες
sagrada	ιερός
sagrada	ιερά
sagrada	ιερή
sagrada	ιερό
primarias	πρωτογενής
primarias	πρωτοβάθμια
primarias	πρωτογενούς
primarias	πρωτεύον
interpretaciones	ερμηνείες
hembra	γυναίκα
hembra	θηλυκό
diseñada	σχεδιασμένη
diseñada	σχεδιασμένα
diseñada	σχεδιασμένος
diseñada	σχεδιασμένο
diseñada	σχεδιάστηκε
empresarial	εταιρική
empresarial	εταιρικά
añadió	πρόσθεσε
añadió	προστέθηκε
añadió	προστέθηκαν
añadió	προστίθεται
gold	χρυσός
gold	χρυσό
gold	χρυσο
gold	χρυσάφι
gold	χρυσά
procedimientos	διαδικασία
procedimientos	διαδικασίες
procedimientos	διαδικασίες
dominante	κυριαρχεί
dominante	δεσπόζουσα
dominante	κυρίαρχο
dominante	κυρίαρχη
fred	φρεντ
fred	fred
rob	rob
rob	ρομπ
chaco	τσάκο
luchador	μαχητικό
luchador	πυγμάχος
luchador	μαχητής
luchador	αγωνιστής
luchador	παλαιστής
luchador	παλαιστή
ligera	φως
ligera	light
ligera	ελαφρύ
