και	dhe
από	nga
με	me
που	cila
που	cilen
που	cilat
για	për
για	per
κατηγορία	kategoria
κατηγορία	kategori
κατηγορία	kategorinë
κατηγορία	kategorisë
τους	to
τους	atyre
τους	ato
τους	tyre
τους	ata
ήταν	ishte
ένα	një
ένα	njera
ένα	nje
ένα	one
ότι	që
ότι	qe
ότι	kjo
ότι	se
μια	një
μια	njera
μια	nje
μια	one
έχει	ka
θα	will
θα	do
θα	vullneti
θα	vullnet
αλλά	por
μετά	pastaj
μετά	atëherë
μετά	atehere
μετά	pas
μετά	mbas
μετά	pasi
επίσης	gjithashtu
όπως	si
όπως	psh
όπως	sikur
όπως	like
είχε	pasur
είχε	kish
είχε	kishte
είχε	kishin
ενώ	nderkohe
ενώ	ndersa
ενώ	ndërsa
δύο	dy
αυτό	këtë
αυτό	ky
αυτό	kjo
αυτό	kete
αυτό	që
αυτό	qe
αυτό	kjo
αυτό	se
αυτή	ajo
όπου	ku
όταν	kur
όταν	ur
μέχρι	derisa
μέχρι	deri
μία	një
μία	njera
μία	nje
μία	one
μπορεί	mund
μπορεί	mundet
μπορεί	mundesh
μπορεί	munden
μπορεί	muj
ομάδα	skuadër
ομάδα	skuadra
ομάδα	skuader
ομάδα	grup
ομάδα	grupin
ομάδα	grupi
ομάδα	skuader
ομάδα	skuadër
ομάδα	ekipi
ομάδα	skuadra
ομάδα	ekipa
ομάδα	ekip
θέση	pozicioni
θέση	pozicion
μεταξύ	mes
μεταξύ	midis
χρόνια	kronike
χρόνια	vjet
χρόνια	vite
χρόνια	vitet
πρώτη	first
ένας	një
ένας	njera
ένας	nje
ένας	one
πόλη	qyteti
πόλη	qytet
πόλη	qytezë
πόλη	qyteza
πόλη	qyteti
πόλη	city
πόλη	qytet
σύνδεσμοι	lidhje
σύνδεσμοι	lidhjet
μόνο	vetëm
μόνο	vetem
έγινε	bërë
έγινε	kry
έγινε	bë
πολύ	shum
πολύ	shumë
πολύ	shume
κάθε	gjdo
κάθε	qdo
κάθε	cdo
κάθε	çdo
κάθε	secili
κάθε	secila
περιοχή	rajon
περιοχή	rajoni
περιοχή	zona
περιοχή	zonë
αιώνα	shekull
αιώνα	shekulli
αθήνα	athinë
αθήνα	athina
αθήνα	athens
αθήνα	athine
περίοδο	periudha
περίοδο	periudhë
τότε	pastaj
τότε	atëherë
τότε	atehere
όνομα	emri
όνομα	emrin
όνομα	emër
ελλάδα	greqia
ελλάδα	greqi
μέρος	pjes
μέρος	pjesa
μέρος	pjese
μέρος	pjesë
μέρος	vend
μέρος	vendi
μέρος	place
μέρος	vendë
σήμερα	sote
σήμερα	sotme
σήμερα	sot
μέσα	brënda
μέσα	mbrenda
μέσα	brenda
πως	si
μαζί	bashk
μαζί	sëbashku
μαζί	bashkë
μαζί	bashke
μαζί	sebashku
διάρκεια	kohëzgjatja
διάρκεια	zgjatja
ιστορία	historia
ιστορία	storie
ιστορία	tregim
ιστορία	histori
ιστορία	historia
ιστορία	histori
πρωτάθλημα	league
πρωτάθλημα	liga
πρωτάθλημα	ligë
πρωτάθλημα	kampionat
πρωτάθλημα	kampionati
νέα	re
νέα	reja
νέα	ri
νέα	new
νέα	news
νέα	lajmi
νέα	lajmet
νέα	lajme
νέα	lajm
περίπου	rreth
περίπου	per
περίπου	afërsisht
περίπου	përafërsisht
περίπου	afersisht
αυτά	kto
αυτά	keto
αυτά	këto
αυτά	keta
πριν	përpara
πριν	perpara
πριν	para
χωρίς	pa
εθνική	national
εθνική	kombëtare
συζήτηση	bisedë
συζήτηση	muhabet
συζήτηση	bisede
συζήτηση	biseda
συζήτηση	bashkëbisedim
συζήτηση	diskutim
συζήτηση	diskutime
συζήτηση	diskutimi
συζήτηση	diskutimet
συζήτηση	debati
συζήτηση	debat
αρχείο	arkivi
αρχείο	arkiv
αρχείο	arkiva
αρχείο	skedari
αρχείο	dosje
αρχείο	skedar
αρχείο	file
πρέπει	duhet
πρέπει	must
φορά	radhe
φορά	koha
φορά	kohe
φορά	here
φορά	ora
πάνω	sipër
πάνω	lart
έλληνες	grekët
έλληνες	grekë
ομάδες	grupe
ομάδες	grupet
ομάδες	skuadrat
ομάδες	ekipet
ομάδες	ekipe
πρώτο	first
έργο	projekti
έργο	pune
έργο	punet
έργο	puna
έργο	puno
έργο	punë
έργο	pun
κυρίως	kryesisht
κυρίως	kryesisht
όχι	jo
όχι	nuk
ελληνική	greqisht
ελληνική	grek
ελληνική	greku
ελληνική	greke
μεγάλη	big
μεγάλη	madhe
υπό	nen
υπό	nën
έως	derisa
έως	deri
ποδοσφαιριστές	futbollistët
ταινία	filmi
ταινία	film
ταινία	shiriti
ταινία	shirit
ταινία	kasetë
ταινία	kaseta
ταινία	filmi
ταινία	film
άλλα	tjera
άλλα	tjetër
άλλα	tjeret
άλλα	tjerë
τμήμα	departamenti
τμήμα	departament
τμήμα	seksionin
τμήμα	seksioni
τμήμα	seksion
σαν	si
σαν	psh
σαν	sikur
σαν	like
εκεί	atje
εκεί	aty
ωστόσο	megjithate
ωστόσο	megjithatë
άλλες	tjera
άλλες	tjetër
τέλος	mbarimi
τέλος	fund
τέλος	fundi
τέλος	end
τέλος	perfundim
σειρά	seritë
σειρά	seria
σειρά	seri
σειρά	porosit
σειρά	porosia
σειρά	rend
σειρά	porositur
σειρά	rresht
σειρά	rreshti
στοιχεία	elementet
στοιχεία	elementë
στοιχεία	elemente
εκτός	përveç
εκτός	perveç
εκτός	përveq
εκτός	perveq
εκτός	pervec
συνέχεια	vazhdimësi
συνέχεια	vazhdimësinë
συνέχεια	vazhdoni
συνέχεια	vazhdojn
συνέχεια	vazhdo
συνέχεια	vazhdojnë
συνέχεια	vazhdoi
συνέχεια	vazhduar
συνέχεια	vazhduan
κάτω	poshtë
κάτω	poshte
κάτω	posht
κάτω	poshtë
κάτω	nën
όλα	gjithqka
όλα	gjithçka
όλα	gjithcka
όλα	krejt
όλα	gjith
σύστημα	sistem
σύστημα	sistemin
σύστημα	sistemi
ακόμα	akoma
ακόμα	ende
φορές	herë
φορές	kohërat
φορές	here
φορές	times
φορές	kohet
ίδια	identike
ίδια	identik
ίδια	same
ίδια	njëjtë
ίδια	njesoj
ίδια	njejt
ίδια	njësoj
ιουλίου	korrik
ιουλίου	korriku
χώρα	shtet
χώρα	shteti
χώρα	vend
χώρα	vendi
αποτέλεσμα	përfundim
αποτέλεσμα	përfundimi
αποτέλεσμα	rezultojnë
αποτέλεσμα	rezultati
αποτέλεσμα	rezultat
αποτέλεσμα	efekt
αποτέλεσμα	efekti
οκτωβρίου	tetor
οκτωβρίου	tetori
ιανουαρίου	janari
ιανουαρίου	janar
σεπτεμβρίου	shtator
σεπτεμβρίου	shtatorin
σεπτεμβρίου	shtatori
νοεμβρίου	nentori
νοεμβρίου	nentor
νοεμβρίου	nëntor
νοεμβρίου	nëntori
αγώνες	ndeshjet
αγώνες	lojrat
αγώνες	lojëra
αγώνες	lojërat
αγώνες	lojra
ταινίες	filma
ταινίες	filmat
ταινίες	filma
ταινίες	filmave
ταινίες	filmat
μέσω	via
μέσω	përmes
μέσω	nëpërmjet
μέσω	nëpër
μέσω	përmes
μέσω	nëpërmjet
μαρτίου	marshim
μαρτίου	mars
γεννήθηκε	lindur
γεννήθηκε	lindë
γεννήθηκε	lind
ιουνίου	qershor
ιουνίου	qershori
ιουνίου	june
ιουνίου	qershorin
ιουνίου	qeshor
αυτές	kto
αυτές	keto
αυτές	këto
αυτές	keta
απριλίου	april
απριλίου	prill
απριλίου	prilli
τρεις	tri
τρεις	treshi
τρεις	tre
αυγούστου	gusht
αυγούστου	gushti
αυγούστου	august
έργα	punimet
έργα	punon
έργα	funksionon
έργα	vepra
έργα	punime
έργα	projekte
έργα	projektet
έργα	projekteve
δεκεμβρίου	dhjetor
δεκεμβρίου	dhjetori
δεκεμβρίου	dhjetorit
δεκεμβρίου	dhjetorin
χρήση	përdorimi
χρήση	përdor
χρήση	përdorim
πρόεδρος	presidentja
πρόεδρος	presidentin
πρόεδρος	presidenti
πρόεδρος	president
πρόεδρος	presidente
πολιτική	politikë
πολιτική	politikën
πολιτική	politikat
πολιτική	politika
πολιτική	politikën
πολιτική	politikë
ακόμη	akoma
ακόμη	ende
ίδιο	same
ίδιο	njëjtë
ίδιο	njesoj
ίδιο	njejt
ίδιο	njësoj
μας	tona
μας	tone
μας	tonë
μας	jone
μας	tane
εκλογές	zgjedhje
εκλογές	zgjedhjet
εκλογές	zgjedhjeve
εκλογές	zgjedhje
εκλογές	zgjedhjet
εκλογές	zgjedhore
μέλη	antarë
μέλη	anëtarët
μέλη	anëtarë
μέλη	antarët
τελικά	eventualisht
τελικά	përfundimisht
μέλος	pjesëtar
μέλος	anëtar
μέλος	antare
μέλος	antar
εποχή	stinë
εποχή	sezon
εποχή	stina
εποχή	sezoni
εποχή	sezona
εποχή	epoka
εποχή	epoke
εποχή	epokë
χωριό	fshat
χωριό	fshati
αρχικά	fillimisht
αρχικά	fillimisht
αρχικά	inicialet
περίοδος	periudha
περίοδος	periudhë
δήμος	bashki
δήμος	bashkia
δήμος	komuna
δήμος	komunë
κύπελλο	kupa
κύπελλο	filxhan
κύπελλο	kupe
κύπελλο	cup
κύπελλο	kupë
ζωή	jetë
ζωή	jeta
ζωή	jete
ζωή	zoi
ζωή	zoe
έδρα	shtabi
έδρα	ulëse
έδρα	seat
περιλαμβάνει	përfshin
μεγάλο	big
μεγάλο	madhe
βάση	baza
βάση	bazë
κέντρο	qendra
κέντρο	qendër
κέντρο	qendra
κέντρο	qendër
φεβρουαρίου	shkurtit
φεβρουαρίου	shkurt
φεβρουαρίου	shkurti
κάτι	dicka
κάτι	diçka
κάτι	diqka
κοντά	afer
κοντά	prane
κοντά	afër
κοντά	near
κοντά	pranë
κοντά	afer
κοντά	afër
κοντά	mbyll
μορφή	formular
μορφή	formulari
μορφή	forma
μορφή	formë
μορφή	form
μορφή	formati
μορφή	format
χρόνο	radhe
χρόνο	koha
χρόνο	kohe
χρόνο	here
χρόνο	ora
ιστοσελίδα	website
ιστοσελίδα	sajti
κόμμα	aheng
κόμμα	festa
κόμμα	parti
κόμμα	festë
κόμμα	ndeja
κόμμα	party
κόμμα	presje
γιατί	sepse
γιατί	përse
γιατί	pse
ρόλο	rollo
ρόλο	roli
ρόλο	rol
ρόλο	rolit
ρόλο	rolin
άλμπουμ	album
άλμπουμ	albumi
άλμπουμ	albumin
άλμπουμ	albume
άλμπουμ	albumet
επειδή	sepse
έκδοση	edicioni
έκδοση	edicion
έκδοση	edicionin
έκδοση	version
έκδοση	versionin
έκδοση	versioni
γκολ	gola
γκολ	qëllimet
γκολ	synime
γκολ	gol
γκολ	golin
γκολ	objektivi
