din	dari
care	siapa
care	who
fost	been
mai	mai
mai	selengkapnya
mai	lebih
mai	lainnya
mai	lagi
pentru	untuk
lui	lui
lui	his
lui	nya
sunt	adalah
sunt	are
sit	situs
sit	site
după	sesudah
după	after
după	setelah
ale	ale
lea	lea
prin	through
prin	melalui
regiunea	daerah
regiunea	wilayah
regiunea	provinsi
regiunea	region
regiunea	kawasan
mare	besar
mare	hebat
mare	agung
mare	big
mare	besar
mare	laut
anul	tahun
anul	year
comună	common
are	telah
are	has
are	memiliki
externe	eksternal
locuitori	penghuninya
locuitori	penduduk
locuitori	warga
locuitori	penghuni
legături	taut
legături	pranala
legături	link
legături	tautan
legături	links
legături	koneksi
vezi	lihat
dar	tapi
dar	tetapi
cod	code
cod	kode
cod	cod
populație	penduduk
populație	populasi
bucurești	bucharest
bucurești	bukares
bucurești	bucurești
fiind	being
fiind	menjadi
românia	rumania
românia	romania
jpg	jpg
lista	daftar
lista	list
ucraina	ukraina
nume	munawar
nume	nama
ani	ani
ani	tahun
între	antara
între	diantara
până	till
până	hingga
până	sampai
comuna	kotamadya
comuna	munisipalitas
comuna	common
poate	mungkin
poate	maybe
poate	mungkin
poate	barangkali
două	dua
două	two
rege	raja
rege	king
sub	under
sub	dibawah
alte	lain
alte	lainnya
când	kapan
când	saat
când	apabila
când	ketika
regiune	daerah
regiune	wilayah
regiune	provinsi
regiune	region
regiune	kawasan
anii	tahun
parte	part
parte	bagian
județul	kabupaten
județul	county
județul	daerah
județul	powiat
centura	belt
centura	sabuk
dinastia	wangsa
dinastia	dinasti
septembrie	september
timp	kali
timp	waktu
timp	waktunya
timp	time
despre	tentang
despre	ttg
despre	perihal
despre	sekitar
unde	mana
unde	dimana
majoritatea	kebanyakan
majoritatea	paling
majoritatea	mayoritas
densitate	kepadatan
limbă	lidah
limbă	bahasa
iunie	juni
multe	banyak
socorro	socorro
prima	pertama
prima	duluan
prima	dulu
prima	first
octombrie	oktober
august	august
august	agustus
sat	kampung
sat	dusun
sat	desa
sat	village
sat	sab
sat	sabtu
sat	sat
martie	march
martie	maret
biserica	gereja
biserica	church
fișier	berkas
fișier	file
decembrie	desember
decembrie	december
toate	all
toate	aii
toate	semua
ianuarie	januari
latns	latns
latd	latd
longd	longd
adresă	alamat
noiembrie	november
noiembrie	nopember
cum	bagaimana
cum	how
imagine	picture
imagine	gambar
imagine	gambar
imagine	image
imagine	citra
statul	negara
statul	keadaan
statul	state
familia	keluarga
familia	family
familia	famili
numele	nama
timpul	kali
timpul	waktu
timpul	waktunya
timpul	time
nord	utara
nord	north
nord	nord
principală	utama
sud	selatan
sud	south
aprilie	april
erau	were
loc	tempatkan
loc	place
loc	tempat
primul	pertama
primul	duluan
primul	dulu
primul	first
iulie	juli
doar	only
doar	saja
doar	hanya
doar	cuma
doar	hanya
editura	penerbit
asteroid	asteroid
februarie	februari
februarie	pebruari
recensământului	sensus
listă	daftar
listă	list
trei	tiga
trei	three
asteroizi	asteroid
limba	lidah
limba	bahasa
longm	longm
latm	latm
discuție	diskusi
franța	prancis
franța	france
franța	perancis
partea	part
partea	bagian
mult	much
mult	banyak
fără	tanpa
departamentul	departemen
foarte	sangat
data	tanggal
data	tgl
data	data
departament	departemen
unul	satu
unul	one
apoi	lalu
apoi	maka
apoi	kemudian
grup	group
grup	kelompokkan
grup	grup
grup	kelompok
locul	tempatkan
locul	place
locul	tempat
oraș	kotamadya
oraș	town
oraș	kota
oraș	city
oraș	kota
pot	dapat
pot	can
pot	bisa
camp	kemah
camp	perkemahan
camp	kamp
camp	camp
germania	jerman
face	buat
face	make
face	jadikan
face	membuat
satul	kampung
satul	dusun
satul	desa
satul	village
național	gimn
național	national
național	nasional
note	catatan
note	notes
perioada	periode
minoritate	minoritas
ucraineană	ukraina
cadrul	framework
cadrul	kerangka
general	umum
general	jendral
general	jenderal
război	perang
război	peperangan
război	war
peste	over
română	rumania
află	pelajari
află	belajar
început	dimulai
început	memulai
început	permulaan
început	awal
iii	iii
duce	duke
duce	adipati
duce	duce
român	rumania
provincia	propinsi
provincia	provinsi
vedere	melihat
vedere	tampilan
vedere	lihat
wikipedia	wikipedia
specie	spesies
specie	species
punct	dot
punct	poin
punct	titik
punct	point
stat	negara
stat	keadaan
stat	state
unite	bersatu
moldova	moldova
file	tab
atunci	lalu
atunci	maka
atunci	kemudian
secolul	abad
secolul	century
una	satu
una	one
aceasta	ini
life	kehidupan
life	life
life	hidup
reședință	residence
reședință	kediaman
orașul	city
orașul	kota
tot	all
tot	aii
