pax	پکس
auguste	اگوست
must	باید
steffen	استفن
benny	بنی
garcía	گارسیا
essex	اسکس
presidenter	جمهور
bangkok	بانکوک
reform	اصلاح
reform	اصلاحات
redaktører	تدوینگران
egon	اگون
eli	الای
eli	eli
eli	ایلای
anmeldelser	نقدهای
prisene	قیمتها
depresjon	افسردگی
depresjon	فرورفتگی
depresjon	رکود
mus	موشهای
mus	موشها
mus	موش
mus	موشی
mus	ماوس
norton	نورتون
amalie	آمالی
ten	ده
amerikanere	آمریکاییها
prestasjoner	دستاوردهای
marilyn	مریلین
scandinavian	اسکاندیناوی
prosjektene	پروژههای
komponenter	قطعات
komponenter	اجزای
born	متولد
born	زاده
xvi	شانزدهم
måne	قمر
måne	ماه
måne	moon
inviterte	زیباشناختی
fat	چاقی
fat	چربی
fat	fat
fat	چاق
fat	تپل
css	css
kirka	کلیسا
kirka	چرچ
kirka	کلیسای
bella	بلا
guangzhou	گوانگژو
anklager	اتهامات
anklager	اتهام
anklager	اتهاماتی
ris	برنجی
ris	پلو
ris	رایس
ris	برنج
ris	ris
meldinger	پیامها
meldinger	پیام
forårsaker	علل
forårsaker	موجب
halvkule	نیمکره
signatur	امضا
olsson	اولسون
helga	هلیا
helga	هلگا
myten	افسانه
myten	اسطوره
datamaskin	رایانه
datamaskin	کامپیوتر
opprettelse	آفرینش
opprettelse	ایجاد
opprettelse	خلقت
duncan	دانکن
alfonso	آلفونسو
sikt	هدفگیری
sikt	نمایانی
sikt	دید
mother	مادر
mother	مادری
lagring	انبار
lagring	ذخیره
lagring	نجات
lagring	ذخیره
lagring	ذخیرۀ
fremtid	اینده
fremtid	future
fremtid	آینده
fremtid	آتی
fattigdom	فقر
belønning	اجر
belønning	پاداش
eritrea	اریتره
begynnelse	ابتدای
begynnelse	آغاز
intel	اینتل
intel	معلومات
salzburg	سالزبورگ
borger	همشهری
borger	شهروند
borger	شهروندی
bryan	براین
bryan	برایان
bryan	بریان
dragon	اژدهای
dragon	دراگون
dragon	اژدها
rothschild	روتشیلد
propaganda	تبلیغات
propaganda	تبلیغاتی
captain	کاپیتان
captain	سروان
captain	ناخدا
magic	جادویی
magic	جادو
magic	سحر
magic	جادوی
third	سومین
third	سومی
third	سوم
fossil	فسیلی
fossil	فسیل
selvbiografi	خودزندگینامه
selvbiografi	زندگینامه
forbedringer	اصلاحات
leicester	لستر
haven	هاون
haven	هون
haven	هیون
enkleste	آسانترین
nøytrale	بیطرف
nøytrale	خنثی
perfekt	عالی
perfekt	perfect
perfekt	پرفکت
måner	ماهها
atmosfære	اتمسفر
besatt	عقده
utkast	حواله
utkast	پیشنویس
utkast	درفت
hannibal	هانیبال
kommunistene	کمونیستها
preston	پرستون
sjekk	بررسی
laos	لائوس
frue	بانوی
frue	بانو
gjensidig	متقابل
gjensidig	دوطرفه
edit	ویرایش
bis	بیس
pradesh	پرادش
konsulent	مشاور
konsulent	مشورت
konsulent	مشاوره
fjerner	حذف
wessel	وسل
jessica	جسیکا
rachel	راشل
rachel	ریچل
rachel	راچل
læring	یادگیری
jong	جونگ
centimeter	سانتیمتر
krevende	تقاضای
karakterer	مراتب
karakterer	نمره
marion	ماریون
grenoble	گرونوبل
islamsk	مسلمانها
islamsk	اسلامی
talk	حرف
foreninger	انجمنهای
lübeck	لوبک
tørr	خشک
tørr	خشکیده
rykter	شایعات
rykter	شایعاتی
tilhørighet	وابستگی
tilhørighet	پیوستگی
mesopotamia	النهرین
genetisk	ژنتیک
genetisk	ژنتیکی
unix	یونیکس
standarder	استانداردها
standarder	استانداردهای
gibson	گیبسون
mulighetene	امکانات
grafikk	نگارهای
grafikk	گرافیک
grafikk	گرافیکی
bearbeidet	پردازش
aksjon	کنش
aksjon	اکشن
aksjon	اقدام
aksjon	عمل
søknad	کاربردی
søknad	کاربرد
finans	مالی
reality	واقعیت
ferge	فری
ferge	معبر
ferge	گذرگاه
trygt	ایمن
trygt	امان
trygt	امن
omringet	محاصره
umeå	اومئو
copa	کوپا
nominasjon	نامزدها
nominasjon	نامزدهای
kriminalitet	جرم
kriminalitet	جنایت
kriminalitet	جرایم
kriminalitet	جُرم
brt	brt
hengende	آویزان
benedikt	بندیکت
beholder	نگهداشتن
beholder	نگهداری
beholder	کانتینر
beholder	محتوی
hvile	آرامش
hvile	الباقی
hvile	استراحت
gotisk	گوتیک
avgjørelsen	تصمیم
avgjørelsen	فیصله
motors	موتورز
bonaparte	بناپارت
folketinget	مجلس
folketinget	پارلمان
anonyme	ناشناس
anonyme	گمنام
turer	سفرها
sans	sans
tante	عمه
tante	خاله
tante	عمه
høylandet	بلندیهای
ark	آرک
erobring	فتح
rikdom	ثروت
rikdom	مال
hårete	پشمالو
argentinske	آرژانتینی
moral	اخلاق
plattformen	سکوی
plattformen	سکو
dawn	داون
dawn	طلوع
dawn	سحرگاه
dawn	سپیده
langsomt	آهسته
chuck	چاک
aspekter	دیدگاه
budskap	پیغام
budskap	پیام
winchester	وینچستر
murphy	مورفی
canal	کانال
canal	مجرا
canal	مجرای
ajax	آژاکس
fortsettelse	ادامه
omar	عمر
robertson	رابرتسون
bart	بارت
bart	سبیل
gjennomgang	مرور
gjennomgang	بازبینی
gjennomgang	بازدید
andrews	اندروز
terror	ترور
terror	دلهره
terror	هراس
monster	هیولا
novgorod	نووگورود
rein	تمیز
rein	پاکم
rein	پاک
postnummer	postcode
oppvarming	گرمایش
tibetansk	تبتی
tibetansk	تبت
pels	خز
framgang	پیشرفت
framgang	پیشرفتی
utrecht	اوترخت
wei	وی
overskrift	تیتر
overskrift	سرآیند
tilpasse	وفق
kolonne	ستون
kolonne	ستونی
erfarne	تجربه
kryss	چهارراه
kryss	تقاطع
kryss	صلیب
kryss	کراس
kryss	عبور
starr	استار
bureau	بیرو
stuping	غواصی
stuping	شیرجه
word	سخن
word	کلمه
word	واژه
word	کلام
fødselen	تولد
fødselen	birth
fødselen	ولادت
forbedring	بهبودی
forbedring	بهبود
tau	طناب
tau	طنابی
tau	تاو
tau	ریسمان
andrej	آندری
andrej	آندری
guardian	گاردین
sem	sem
diesel	دیزل
bucurești	بخارست
oppfylt	تمامیت
oppfylt	تحقق
brandt	برانت
tildeling	تخصیص
planlegger	زمانبندی
agency	سازمان
agency	نمایندگی
agency	آژانس
mohamed	محمد
duke	دیوک
duke	دوک
fuktig	خفقان
things	اوضاع
things	چیز
things	چیزها
nou	نیوکمپ
mannlig	مذکر
mannlig	نر
isu	isu
albrecht	آلبرشت
detaljerte	مفصل
ivareta	محافظت
tegne	ترسیم
tegne	ترسیم
tegne	نقاشی
tegne	کشیدن
smalere	باریکتر
bei	bei
aksjer	سهم
aksjer	اشتراک
aksjer	سهام
percy	پرسی
kalmar	کالمار
liège	لیژ
varig	دوام
varig	پایدار
varig	پاینده
skyter	گلنگدن
kansler	صدر
skarpe	شارپ
skarpe	تیزی
skarpe	هشیار
skarpe	تیز
papua	پاپوآ
klinisk	بالینی
videoen	ویدیویی
videoen	ویدئویی
videoen	ویدیوی
videoen	ویدئو
videoen	ویدیو
videoen	ویدئوی
flytting	جابجایی
flytting	حرکت
aberdeen	ابردین
rømme	گریز
rømme	فرار
kraków	کراکوف
tinn	حلبی
tinn	تین
tinn	قلع
shaw	شا
shaw	شاو
bergman	برگمن
psykologisk	روانشناسی
psykologisk	روانشناختی
irving	ایروینگ
cleveland	کلیولند
målene	اهداف
målene	اهداف
vokaler	مصوت
støy	نویز
innstilling	نگرش
innstilling	منش
innstilling	گرایش
innstilling	غروب
innstilling	تنظیم
labour	کارگری
labour	کارگر
helten	قهرمان
helten	پهلوان
hardy	اردی
hardy	هاردی
frost	یخی
frost	فراست
raser	نژادها
