seúl	ソウル
conversaciones	会話
conversaciones	スレッド
percepción	知覚
fijo	固定
fijo	固定された
fundar	創設
cuadrada	正方形
cuadrada	四角
cuadrada	広場
full	いっぱい
full	フル
excavaciones	掘削
excavaciones	発掘
excavaciones	発掘
wii	wii
pila	電池
pila	バッテリー
pila	バッテリ
pila	パイル
pila	スタック
caos	カオス
caos	混沌
módulo	モジュール
eslovenia	スロベニア
soccerway	soccerway
sedes	本社
sedes	本部
sedes	司令部
sedes	会場
garganta	咽喉
garganta	渓谷
garganta	峡谷
eficiencia	効率
prohibido	禁止
noruego	ノルウェー
consistente	一貫性
rítmica	リズム
dulces	キャンディー
dulces	スイーツ
dulces	お菓子
dulces	キャンディ
dulces	キャンディー
dulces	スウィート
dulces	甘い
watson	ワトソン
euskera	バスク
historietas	漫画
historietas	コミック
philadelphia	フィラデルフィア
grueso	バルク
grueso	厚い
grueso	太い
exceso	超過
triángulo	トライアングル
triángulo	三角形
bart	バート
relativo	相対
relativo	親戚
cama	寝具
cama	ベッド
eficaz	効率
eficaz	実効
comenta	コメント
comenta	コメント
terminando	仕上げ
terminando	エンディング
piedad	哀れみ
piedad	慈悲
piedad	マーシー
piedad	敬虔
camilo	カミロ
ram	ラム
ram	ram
realismo	リアリズム
conversación	会話
conversación	スレッド
dante	ダンテ
pionero	パイオニア
ted	テッド
ted	ted
habitaciones	寝室
habitaciones	部屋
habitaciones	ルーム
myspace	myspace
arbustos	低木
arbustos	低木
arbustos	低木
aeropuertos	空港
aeropuertos	空港
mencionados	言及
adjunto	差押え
adjunto	添付
adjunto	愛着
supervivencia	サバイバル
cómics	漫画
cómics	コミック
pistola	ピストル
pistola	ガン
ascensión	アセンション
cover	表紙
cover	被覆
cover	カバー
cover	cover
dennis	デニス
migración	移行
migración	移行
editora	エディタ
editora	エディター
hunter	狩人
hunter	ハンター
box	ボックス
conveniente	便利
ola	オラ
ola	波動
ola	ウェーブ
martha	マーサ
adición	加算
adición	加法
dialecto	方言
gramática	文法
limpieza	清掃
limpieza	整理
limpieza	クリーンアップ
limpieza	クリーニング
limpieza	洗浄
limpieza	清掃
limpieza	掃除
limpieza	クリーン
limpieza	きれい
limpieza	家事
explorer	エクスプローラー
marcar	ダイアル
marcar	ダイヤル
marcar	マーク
