les	на
est	исток
une	една
une	едната
une	еден
une	едно
catégorie	категорија
pour	за
qui	кои
qui	кој
que	тоа
que	дека
avec	со
son	звук
son	негова
son	негово
son	неговите
son	неговиот
son	неговата
son	негов
son	нејзините
son	своите
son	својата
son	нејзини
plus	плус
plus	уште
plus	повеќе
pas	не
sont	се
sont	are
elle	таа
elle	она
elle	ел
été	лето
avancement	напредување
avancement	прогрес
avancement	напредок
comme	како
comme	like
mais	но
mais	ама
cette	ова
cette	оваа
cette	овој
pop	тате
pop	поп
pop	pop
deux	два
deux	двајца
deux	две
ses	негова
ses	негово
ses	неговите
ses	неговиот
ses	неговата
ses	негов
ses	ses
ses	нејзините
ses	своите
ses	својата
ses	нејзини
naissance	naissance
naissance	родено
naissance	роди
naissance	роден
naissance	родени
naissance	раѓа
naissance	раѓање
naissance	раѓањето
france	франс
france	франција
saint	свето
saint	света
saint	светец
saint	свети
saint	сеинт
saint	света
après	откако
après	по
après	после
fait	направи
fait	направени
fait	направен
fait	made
fait	заврши
fait	done
fait	направено
fait	сторено
fait	завршено
notes	белешки
notes	забелешки
notes	ноти
entre	помеѓу
entre	помегу
entre	измеѓу
entre	меѓу
sous	под
même	дури
même	истите
même	истото
même	исто
même	исти
même	ист
même	иста
être	битие
nom	презимето
nom	презиме
nom	име
français	французи
français	француски
paris	париз
lui	него
lui	го
lieu	место
lieu	место
lieu	локација
cet	ова
cet	оваа
cet	овој
autres	macedonian
autres	други
autres	друѓи
autres	други
décès	смрт
décès	смртта
références	упатува
références	референци
références	препораки
liens	врските
liens	линковите
liens	врски
liens	линкови
était	била
était	беше
commune	комуна
commune	обичен
commune	заедничка
commune	заеднички
commune	вообичаено
commune	општо
ville	град
ville	градче
ville	град
ville	градско
ville	градот
ville	градски
jean	жан
jean	џин
jean	јован
jean	џон
leur	нивната
leur	нивните
leur	нивното
leur	нивна
leur	нивно
leur	нивни
date	датум
date	дата
cest	cest
peut	мајски
peut	мај
peut	може
peut	можи
peut	можат
depuis	oд
depuis	од
première	премиера
première	прв
première	први
première	прво
première	прва
ans	анб
ans	години
alors	потоа
alors	тогаш
externes	надворешен
externes	надворешно
externes	надворешни
externes	надворешна
site	site
site	сајт
premier	премиер
premier	прв
premier	први
premier	прво
premier	прва
ces	овие
ces	oвие
fut	била
fut	беше
http	http
film	филм
film	филмски
film	филмска
film	филм
voir	види
voir	гледаш
voir	видете
