врат	nek
собири	byeenkomste
собири	samekomste
играчки	speelgoed
медичи	medici
масовни	massa
масовни	massiewe
масовни	massive
групна	groep
групна	groepeer
ник	nick
ник	niek
ник	nic
ник	nik
идол	afgod
идол	idol
витамин	vitamien
одби	geweier
одби	verwerp
одби	afgewys
одење	loop
одење	trekking
граѓанин	burger
граѓанин	citizen
материјална	gegewens
материјална	rots
материјална	materiaal
комесар	kommissaris
професионалец	professioneel
професионалец	professionele
декларацијата	verklaring
религиски	godsdienstige
религиски	religieuse
религиски	gelowige
брегови	shores
индекси	indices
мајмуни	ape
спартак	spartacus
спартак	spartak
докторат	phd
верувањето	belief
верувањето	gewete
моќност	krag
моќност	elektrisiteit
артисти	kunstenaars
врзани	gebind
англо	anglo
празен	leeg
празен	leë
празен	egipte
празен	leë
празен	blank
протеини	protein
протеини	proteïen
михаел	michael
стразбур	strasbourg
предвидување	voorspelling
лил	lil
лил	lille
длабоки	diep
барбара	barbara
осло	oslo
пристигнува	aankoms
пристигнува	arriveer
пристигнува	inkomende
армстронг	armstrong
цветови	blomme
цветови	blossoms
руси	russe
бесплатно	gratis
бесплатно	vry
бесплатно	free
задоволи	bevredig
фрлање	gooi
гари	garry
гари	gary
милошевиќ	milosevic
базен	swembad
капацитети	fasiliteite
капацитети	verhuur
капацитети	geriewe
капацитети	venues
грос	walglik
грос	bruto
учествуваа	uitgelig
учествуваа	inloer
учествуваа	gewild
учествуваа	uitgestal
учествуваа	uitstal
учествуваа	deelgeneem
одраз	herhaal
одраз	reflekteer
одраз	refleksie
шарлот	charlotte
ататурк	atatürk
хумор	humor
работничка	worker
работничка	werker
работничка	arbeider
наклон	sterte
наклон	kantel
утро	môre
утро	oggend
утро	more
мис	mejuffrou
мис	miss
мис	mej
сооднос	ratio
сооднос	verhouding
реми	remy
реми	remi
претставништво	verteenwoordiging
пазарите	markte
атлетико	atlético
кафеава	bruin
уганда	uganda
брана	dam
украси	versierings
привремена	tydelik
привремена	geheue
привремена	tydelike
привремена	temp
неопходни	nodige
половината	half
изолирани	geïsoleerde
френклин	franklin
бродовите	skepe
бродовите	veerbote
предупредување	waarskuwing
државјанство	burgerskap
предци	voorvaders
натписи	artikels
харисон	harrison
леви	levi
обама	obama
осветлување	beligting
прославата	viering
експериментални	eksperimentele
експериментални	eksperimenteel
масти	vet
масти	fat
семејствата	families
семејствата	gesinne
паскал	pascal
пипин	pippin
вавилон	babylon
скандинавија	skandinawië
обреди	rites
сакаше	geliefde
сакаше	geliefd
сакаше	geliefkoosde
сакаше	gesoek
сакаше	wou
роберто	roberto
бетмен	batman
правник	prokureur
правник	dronkbestuur
запишување	baar
тропски	tropiese
пит	pete
ненадејно	suddenly
ненадејно	skielike
ацо	aco
дебелина	dikker
евангелие	evangelie
ловат	hunt
фридман	friedman
волк	wolf
бањи	badkamers
распад	decay
господин	mister
господин	gentleman
прилики	geleenthede
грама	gram
сместување	blyplek
сместување	indiening
сместување	verblyf
крила	vlerke
крила	vleuels
крила	hordes
курт	kurt
курт	curt
регионална	streek
боуви	bowie
пушки	rifles
пушки	vuurwapens
умерена	gematig
умерена	matig
цивилизации	beskawings
болни	pynlik
болни	siek
лаос	laos
отон	otho
полот	geslag
гравитација	swaartekrag
гравитација	gravitasie
памук	katoen
редовна	gereelde
олимпија	olympia
погодни	gerieflike
погодни	gerieflik
клинтон	clinton
учеснички	deelnemers
варна	warna
валути	geldeenheid
валути	geldeenhede
дно	bodem
дно	onder
дно	onderkant
дно	bottom
среќен	gelukkig
постава	besetting
азиски	asiese
азиски	asiatiese
идентични	identiese
идентични	identies
поканети	genooide
поканети	uitgenooi
поканети	genooi
зограф	zograf
сведок	getuienis
арапска	arab
уста	mond
хив	miv
дилан	dylan
антиохија	antiogië
болката	pyn
управувани	beheerde
вработен	werknemer
вработен	employed
стручно	kundige
стручно	expert
стручно	ervare
ладен	laden
бернард	bernard
девојче	meisie
девојче	girl
мајнц	mainz
моќни	powerful
моќни	kragtige
реда	rye
мисисипи	mississippi
добиена	gewen
мигел	miguel
чуда	miracles
чуда	wonders
покани	nooi
покани	uitnodigings
рамен	plat
гледал	gekyk
обележја	bakens
детално	gedetailleerde
детално	gedetaileerde
детално	besonderheid
модни	fashion
модни	mode
модни	modes
имплементација	implementering
сини	blou
пијалаци	drankies
пијалаци	drankies
онтарио	ontario
додатни	addisionele
додатни	bykomende
ген	gene
ген	gen
капабланка	capablanca
штети	beseer
штети	skadevergoeding
веста	vesta
антониј	antony
антониј	antonius
континенти	kontinente
надмине	oorskry
трик	strik
придружен	vergesel
емоции	emosie
емоции	emosies
тери	terri
тери	terry
бич	strand
судење	verhoor
исполнет	gevul
конференции	aanbreek
конференции	konferensies
мажот	man
татковината	moederland
заклучоци	gevolgtrekkings
зачуван	gestoor
зачуван	geberg
арагон	aragon
значителна	considerable
сончев	sunny
сончев	sonnige
сончев	sonnig
здраво	hallo
здраво	hello
корпорација	corporation
корпорација	korporasie
корпорација	onderneming
радијација	straling
анимација	animasie
помогнале	gehelp
краков	krakow
едвај	effens
едвај	skaars
едвај	hardly
одеднаш	suddenly
одеднаш	skielike
ферари	ferraris
ферари	ferrari
прописи	regulasies
прописи	regulering
прописи	regulasie
дуран	durant
дуран	duran
кремљ	kremlin
кромид	ui
кромид	onion
мередит	meredith
продукт	produk
античко	antiquity
свесни	bewus
свесни	geweet
висорамнина	hoogland
освојувач	conqueror
викиликс	wikileaks
започната	geloop
започната	sedert
започната	geloods
џеф	jeff
подигање	lig
подигање	insameling
подигање	oplig
подигање	raising
мак	mac
мак	mack
нијанси	skakerings
нијанси	shades
облаци	wolke
адамс	adams
самоа	samoa
иновации	innovasies
иновации	innovasie
топла	hot
топла	warm
корпорации	korporasies
тропските	trope
спротивна	teenoorgestelde
забави	partytjies
забави	partye
грло	keel
бизниси	besighede
жорж	georges
моќен	mighty
моќен	magtige
моќен	powerful
моќен	kragtige
воспоставена	daargestel
воспоставена	vasgestel
воспоставена	gevestig
зими	winters
пилот	pilot
линколн	lincoln
вируси	virale
вируси	viruses
свесен	bewus
свесен	geweet
криви	kurwes
витез	ridder
витез	ruiter
печатени	printed
искористување	uitbuiting
рајх	reich
додадена	bygevoeg
семиња	seeds
интервјуа	interviews
браната	dam
вагнер	wagner
рејчел	rachel
рамна	plat
предвидено	voorspelde
санчез	sanchez
санчез	sánchez
извршувањето	aksie
извршувањето	uitvoering
декади	dekades
забранети	verbode
забранети	verbande
забранети	verban
чудно	vreemd
чудно	weird
чудно	vreemd
чудно	onewe
писменост	geletterdheid
џефри	geoffrey
џефри	jeffrey
пијалоци	drankies
кастро	castro
одри	audrey
поплави	vloede
поплави	vloed
тринидад	trinidad
архиепископот	archbishop
извоз	uitvoer
извоз	verstryk
единбург	edinburgh
багдад	bagdad
доминираат	domineer
ката	kata
ката	floors
аризона	arizona
организирано	georganiseerd
организирано	georganiseer
класифицирани	geklassifiseer
советници	raadslede
советници	raadslede
лажни	valse
лажни	fake
опозицијата	opposisie
спушта	afstam
кук	cook
битерфелд	bitterfeld
полк	regiment
полк	polk
лоара	loire
просторија	kamer
соседи	bure
соседи	bure
струма	struma
неделно	daagliks
неделно	weekliks
неделно	weeklikse
базирано	gebaseer
базирано	gebasseer
дамаск	damaskus
бруно	bruno
хал	hal
черепот	skedel
черепот	skull
паѓаат	falling
паѓаат	vallende
плажи	strande
делфин	dolfyn
канцеларии	kantore
одиграно	gespeel
инструкции	instruksie
инструкции	instruksies
придонесуваат	dra
чувар	guardian
чувар	voog
потешкотии	swaarkry
потешкотии	moeilikheidsgraad
потешкотии	moeilikheid
нотација	notasie
сончева	solar
ајхсфелд	eichsfeld
судиите	regters
пречка	hindernis
поинаков	verskillende
поинаков	anders
клинички	kliniese
именка	werkwoord
отворања	openings
вообичаени	customary
купува	buys
измислени	imaginary
измислени	denkbeeldige
измислени	uitgevind
измислени	fiktiewe
континентот	kontinent
фан	waaier
фан	aanhanger
фан	bewonderaar
синовите	seuns
алесандро	alessandro
еквивалент	ekwivalente
еквивалент	ekwivalent
трчање	hardloop
означен	gemerk
роџерс	rogers
духовен	geestelik
бенџамин	benjamin
лиги	ligas
арт	kuns
рудник	myne
минимална	minimum
минимална	minimum
минимална	minimale
минимална	min
реален	realistiese
самоил	samuel
елстер	elster
прованса	provence
купувачот	koper
монарх	monarch
монарх	monargie
омилен	gunsteling
омилен	gunsteling
тежи	weeg
пресврт	twist
пресврт	kinkel
хармонија	harmonie
жил	jules
жил	gilles
едгар	edgar
обновено	herleefde
минг	ming
грејс	grace
постол	pella
стрипови	comics
стрипови	strokiesverhaal
заслуга	krediet
сајмон	simon
крие	wegkruip
сантјаго	santiago
филипс	phillips
картер	carter
колумбо	columbus
колумбо	columbo
тигри	tigers
самостоен	solo
умрела	gesterf
умрела	oorlede
комедии	komedies
парламентарни	parlementêre
рој	roy
снабдување	verskaffing
снабдување	voorrade
снабдување	voorraad
снабдување	verskaf
стебло	boom
обвинети	gehef
обвинети	volgelaai
бот	bot
бот	robot
војводите	dukes
феномени	phenomena
затвори	toemaak
затвори	sluit
затвори	geslote
затвори	gesluit
затвори	toegemaak
студентски	student
братучед	niggie
братучед	neef
фасада	fasade
земјоделско	agricultural
присуствуваат	bywoon
присуствуваат	bygewoon
одигран	gespeel
спротивност	teenoorgestelde
продуценти	producers
продуценти	vervaardigers
орлеанс	orleans
заминување	vertrek
мансфелд	mansfeld
миле	myl
фасо	faso
образовен	opvoedkundige
одделенија	wards
одделенија	wyke
клас	klas
сена	sena
сена	senna
сена	seine
полови	geslag
непријателот	vyand
повторување	herhaling
повторување	herhaal
вотсон	watson
научи	leer
пантелејмон	panteleimon
тропска	tropiese
серверот	bediener
релативна	relatief
релативна	relatiewe
томи	tommy
процедури	prosedures
духовни	geestelik
безбедно	veilig
безбедно	veilige
намерата	voorneme
намерата	bedoeling
преостанатите	oorblywende
преостанатите	oor
велосипеди	fietse
уставна	ingryping
уставна	konstitusionele
уставна	grondwetlike
ископувања	blyplekke
олга	olga
стандардно	standaard
американец	amerikaans
американец	american
американец	amerikaanse
домаќини	aanbieders
домаќини	gashere
одлучено	besluit
контраст	kontras
задачата	taak
дијагноза	diagnose
данлоп	dunlop
лоренцо	lorenzo
топки	balle
тргување	trading
мој	myne
испратена	gestuur
туркменистан	turkmenistan
гледачите	kykers
бизмарк	bismarck
регулира	behartig
регистрација	registrasie
фатен	gevang
голдман	goldman
хрватскиот	kroatiese
хелиум	helium
транзиција	oorgang
најмал	kleinste
најмал	oorleg
несреќи	verongeluk
апарати	toebehore
апарати	toestelle
винчи	vinci
потешко	harder
верниците	faithful
царица	empress
духовна	geestelik
организаторите	organiseerders
балкан	balkan
слог	lettergreep
тенки	maer
тенки	dun
топење	melt
странска	buitelandse
странска	foreign
глобална	wêreldwyd
глобална	global
глобална	globale
глобална	globaal
словенско	slovensko
никеја	nicea
другар	comrade
другар	kameraad
другар	kuier
другар	pal
другар	maatjie
спорови	geskille
спорови	dispute
подароци	geskenke
подароци	presents
кривично	kriminele
трендови	neigings
комерцијална	kommersiële
комерцијална	kommersieel
јоханес	johannes
билки	plants
билки	plante
консензус	consensus
семитски	semitiese
буркина	burkina
соломон	solomon
соломон	salomo
сликање	skilder
сликање	skildery
миграција	verskuiwing
миграција	migrasie
откуп	ransom
освојувања	verowering
металика	metallica
вулкански	volcanic
ферер	ferrer
пристаништа	docks
пристаништа	poorte
дик	dick
олимпик	olimpiese
камерун	kameroen
нелсон	nelson
лозја	wingerde
кандидатите	kandidate
одвоени	afsonderlike
одвоени	aparte
камата	belangstelling
камата	rente
ѓаволот	duiwel
поморска	maritieme
дипломатија	diplomacy
пабло	pablo
свирел	gespeel
лесни	maklik
лесни	maklike
единствени	unieke
единствени	uniek
синатра	sinatra
вебер	weber
вебер	webber
инспирирани	besiel
инспирирани	geïnspireer
ураниум	uraan
потешки	swaarder
фебруари	februarie
аматерски	amateur
функционална	funksionering
функционална	funksioneel
функционална	funksionele
ракети	missiele
ракети	rockets
емерсон	emerson
пустина	woestyn
тесен	smal
приватно	privaat
приватно	privaat
интересен	interessant
коен	cohen
коен	cohn
показател	aanwyser
показател	aanduier
кадри	rame
систематски	sistematies
систематски	stelselmatig
цвеќиња	blomme
скарлет	scarlet
скарлет	scarlett
дефинитивно	beslis
размер	skaal
марин	marin
стапките	tariewe
колинс	collins
старбакс	starbucks
мочуришта	vleie
ајдахо	idaho
земјоделска	agricultural
земјоделска	boerdery
централа	plant
централа	sentrale
централа	sentraal
централа	dispatch
советување	berading
трага	trail
трага	spoor
трага	trace
трага	lei
трага	lood
трага	aanvoer
дрес	eenvormige
дрес	uniform
сериски	serie
албанска	albanees
зло	boos
зло	bose
зло	aanslag
микроскоп	mikroskoop
оператори	operateurs
оператори	draers
ракописот	manuscript
датуми	datums
исчезнат	ontbreek
исчезнат	vermis
исчезнат	afwesig
исчезнат	verdwyn
сенегал	senegal
пинк	pienk
приоритет	prioriteit
науру	na
науру	nauru
заклетва	eed
хирургија	chirurgie
бонд	bind
ретка	skaars
засолниште	skuiling
засолниште	refuge
влашка	wallachye
реализам	realisme
арамејски	aramees
бургенланд	burgenland
алфонсо	alfonso
преведување	vertalings
преведување	vertaal
уво	oor
седи	sadie
седи	halfpad
седи	sitting
седи	sit
флеминг	flemming
флеминг	fleming
изложување	blootstelling
изложување	exposure
калциум	kalsium
тонови	skakerings
римјани	romeine
фреска	fresco
фреска	mural
проценки	skattings
проценки	beramings
марина	marina
интелектуална	intellektuele
катастрофа	ramp
катастрофа	disaster
катастрофа	katastrofe
наведените	bo
тед	ted
индустрии	industries
пери	perry
убави	mooi
константинов	konstantinov
заработка	profit
заработка	winsgewende
заработка	opbrengste
заработка	verdienste
хем	hamm
хем	ham
пиј	drank
пиј	drankie
версај	versailles
оценување	evaluering
сузан	susanne
сузан	susan
сели	sally
третини	derdes
монетарен	monetêre
мед	heuning
јунак	held
јунак	hero
автобуси	busse
