url	url
abdi	abdi
leningrad	lenjingrad
castle	castle
castle	dvorac
castle	zamak
rain	kiša
eugene	eugene
çakmak	svjetlije
çakmak	lakši
çakmak	upaljač
evrimsel	evolucijski
duyar	čuje
spin	spin
spin	okret
kaldırma	uklanjanje
kaldırma	dizanje
kaldırma	uklanjanje
emmanuel	emmanuel
gregory	gregory
aşı	cjepiva
aşı	cjepivo
aşı	cjepiva
feneri	svjetionik
feneri	svjetionika
atanan	dodijeljen
atanan	dodijeljena
atanan	imenovao
atanan	imenovan
ahlak	etike
ahlak	etika
ahlak	etiku
ahlak	porok
ahlak	vice
ahlak	moralno
ahlak	moral
ahlak	moral
dimitri	dmitry
dimitri	dmitri
dimitri	dimitri
duyuruldu	najavio
duyuruldu	objavio
duyuruldu	najavili
malmö	malmö
sözde	navodno
sözde	navodne
sözde	navodni
sözde	navodno
şiddetle	snažno
şiddetle	nasilno
şiddetle	nasilje
şiddetle	nasilja
ajan	agenti
ajan	agent
harrison	harrisona
harrison	harrison
logosu	logo
yasin	jasin
kaçak	bjegunac
kaçak	trkač
kaçak	bjegunac
kaçak	odbjegli
çevirmen	prevoditelj
çevirmen	prevodilac
çevirmen	prevoditelj
çevirmen	prevodilac
çevirmen	prijevod
korunma	zaštita
korunma	zaštitu
işçiler	radnice
işçiler	radnika
işçiler	radnici
işçiler	radnicima
işçiler	zaposleni
işçiler	zaposlenima
işçiler	zaposlenici
işçiler	zaposlenika
devil	vrag
devil	đavo
connecticut	connecticut
connecticut	connecticutu
uyku	spavanje
uyku	spavaj
uyku	spavam
uyku	spavanje
uyku	spava
meksikalı	meksička
meksikalı	meksički
meksikalı	meksikanac
tanıma	priznavanje
tanıma	priznanje
tanıma	prepoznavanje
colin	colin
kubbe	kupola
rakam	znamenke
rakam	znamenke
rakam	broj
jules	jules
görüşmeler	intervjue
görüşmeler	intervjua
görüşmeler	diskusije
görüşmeler	rasprave
görüşmeler	sastanke
görüşmeler	susreti
görüşmeler	sastanci
imal	proizveden
patrik	patrijarh
marsilya	marseilleu
marsilya	marseillesu
asil	plemenito
asil	plemeniti
sürpriz	iznenađenje
hotspur	hotspur
biter	završava
esnek	fleksibilan
esnek	fleksibilnost
esnek	elastična
