oli	ws
eesti	estonia
eesti	eesti
ning	dan
mis	alahai
mis	ape
kui	bila
kui	apabila
või	butter
või	mentega
aasta	tahun
see	ni
see	bahawa
oma	oma
oma	sendiri
oma	its
tema	nya
tema	her
selle	ni
sai	sai
kuid	tapi
kuid	tetapi
kes	sape
tartu	tartu
seda	ni
seda	bahawa
aga	tapi
aga	tetapi
pärast	selepas
kuni	hinggalah
kuni	hinga
kuni	sehinggalah
kuni	sampai
kus	mana
välja	keluar
välja	out
ehk	mungkin
ehk	perhaps
ehk	barangkali
ehk	mungkin
ehk	maybe
usa	usa
tallinna	tallinn
olid	were
üle	over
nende	their
saksa	jerman
siis	barulah
siis	then
siis	kemudiannya
siis	kemudian
mida	alahai
mida	ape
inglise	inggeris
vaata	lihat
vaata	watch
vaata	tonton
vaata	tengok
vaata	look
üks	satu
üks	one
vene	rusia
jpg	jpg
von	von
järgi	follow
nad	mereka
vastu	terhadap
vald	mukim
vald	jemaah
vald	paroki
vald	munisipaliti
vald	perbandaran
alates	dari
alates	daripada
koos	dgn
koos	dengan
koos	bersama
aastad	tahun
sündinud	lahir
sündinud	dilahirkan
sündinud	born
august	ogos
tallinn	tallinn
euroopa	eropah
euroopa	eropah
ameerika	american
ameerika	amerika
ameerika	amerika
ameerika	america
ameerika	amerika
asub	bertempat
ole	ole
venemaa	rusia
venemaa	russia
esimene	pertama
esimene	first
esimene	dulu
esimene	dahulu
nagu	like
nagu	ibarat
hiljem	later
hiljem	kemudiannya
hiljem	nanti
kaks	dua
rootsi	sweden
rootsi	sweden
saab	saab
saab	mampukah
saab	boleh
umbes	tentang
umbes	perihal
liidu	union
liidu	kesatuan
liidu	penyatuan
küla	kampung
vahel	terkadang
vahel	kadang
vahel	kadangkala
vahel	sometimes
vahel	antara
samuti	juga
linn	bandar
linn	city
linn	bandaraya
linn	bandar
linn	kota
need	those
linna	bandar
linna	city
linna	bandaraya
linna	bandar
linna	kota
soome	finland
soome	finland
maakond	county
maakond	kaunti
all	dibawah
all	bawah
all	dibawah
all	under
väga	sangat
juba	sudah
juba	sudahpun
nsv	soviet
nsv	ssr
neid	antaranya
neid	mereka
kõik	everybody
kõik	semuanya
kõik	segalanya
kõik	semua
kõik	semuanya
nime	nama
poliitik	pkr
ainult	sahaja
sest	kerana
sest	sebab
pilt	picture
pilt	gambar
pilt	imej
pilt	screenshot
nõukogude	soviet
kuna	kerana
kuna	sebab
põhja	utara
põhja	north
põhja	utara
põhja	northern
kell	jam
läbi	menerusi
läbi	melalui
mitte	tidak
mitte	bukan
mitte	tak
tänav	jln
tänav	street
jaanuar	januari
sajandi	abad
sajandi	century
kokku	total
kokku	jumlah
alla	down
alla	kebawah
alla	alla
seal	ada
kogu	koleksi
kogu	collection
prantsuse	perancis
tagasi	belakang
tagasi	punggung
veebruar	februari
enne	petanda
enne	sebelum
lääne	west
lääne	barat
lääne	barat
lääne	western
lõpetas	lulus
lõpetas	berkelulusan
juuli	julai
mai	may
mai	mei
mai	mai
itaalia	itali
itaalia	itali
näitleja	pelakon
näitleja	pelakon
kas	either
liige	member
liige	ahli
suur	large
suur	besar
suur	besar
juuni	june
juuni	jun
palju	lots
palju	banyak
palju	lot
märts	mac
märts	march
september	september
korda	repeat
kirjanik	penulis
teda	him
teda	nya
teda	her
lõuna	lunch
lõuna	tengahari
lõuna	selatan
lõuna	selatan
valla	single
valla	bujang
valla	singel
ühe	satu
ühe	one
oktoober	oktober
oktoober	october
iii	iii
aprill	april
karl	karl
uus	new
uus	baharu
uus	baru
poola	polish
poola	poland
poola	poland
saksamaa	jerman
detsember	disember
november	november
rooma	rom
rooma	roma
teine	second
teine	kedua
teine	pelamin
president	presiden
kuningas	raja
kuningas	king
iga	setiap
iga	sebarang
iga	iga
iga	setiap
iga	each
kirik	gereja
kirik	church
maa	maa
maa	bumi
maa	land
maa	tanah
maa	darat
maa	kontang
tee	teh
tee	jalan
tee	road
võimalik	berkemungkinan
võimalik	munasabah
võimalik	kemungkinan
klubi	club
klubi	kelab
kuigi	sungguhpun
kuigi	walaupun
kuigi	walau
kuigi	though
kuigi	meskipun
kuigi	walaupun
kuigi	walau
maailma	world
maailma	dunia
mõis	mansion
mõis	manor
koduleht	website
võitis	won
võitis	dimenangi
võitis	menang
rohkem	lebih
rohkem	lagi
