παναμά	панами
σημειωματάριο	записник
σημειωματάριο	зошит
σημειωματάριο	блокнот
λιγότερες	меньше
λιγότερες	менше
λιγότερες	менше
δόση	доза
δόση	доза
αεροπλάνα	відправитися
αεροπλάνα	літаки
αεροπλάνα	летять
αλκοόλ	алкоголю
αλκοόλ	алкоголь
αλκοόλ	спирт
τόνο	тунець
τόνο	тонус
τόνο	тон
τόνο	тоне
κατάχρηση	привласнення
κατάχρηση	зловживання
κατάχρηση	образи
ρίτσι	річі
ρίτσι	річі
ρίτσι	річчі
χώμα	ґрунту
χώμα	ґрунт
χώμα	земля
στρατιώτη	солдат
άλεξ	алексе
άλεξ	алекс
στενός	вузький
στενός	вузькі
μαχητές	воїни
μαχητές	бійців
μαχητές	бійці
μαχητές	бойовиками
μαχητές	бойовиків
αποκτήθηκε	придбані
υγιεινής	гігієна
υγιεινής	гігієни
ευκαιρίες	можливості
μοντάζ	монтаж
μοντάζ	редагування
μοντάζ	монтаж
μηχανικοί	механіка
μηχανικοί	інженери
λατ	lat
ενέκρινε	підтверджено
ενέκρινε	затверджено
ενέκρινε	приймається
μασσαλία	марсель
πλημμύρες	повені
πλημμύρες	повінь
αλλα	інший
αλλα	інша
αλλα	інші
αλλα	інше
αλλα	інших
αλλα	але
διαβήτη	діабет
ασημένια	срібла
ασημένια	срібло
ασημένια	silver
ασημένια	срібний
όπερες	опер
νικολά	ніколя
συνήθεια	власний
συνήθεια	особлива
συνήθεια	нетипові
συνήθεια	індивідуально
συνήθεια	нетиповий
συνήθεια	звичка
συνήθεια	звички
συνήθεια	звичкою
τσάρου	ніколая
κατάρτιση	тренування
κατάρτιση	тренінг
κατάρτιση	тренінги
λαογραφία	фольклор
κυβερνείο	губернія
μεταξάς	метаксас
κάι	кай
απολύθηκε	звільнили
απολύθηκε	звільнений
απολύθηκε	звільнено
απολύθηκε	звільнив
χιούμορ	гумор
χιούμορ	гумор
ανακάλυψαν	виявив
ανακάλυψαν	виявили
ανακάλυψαν	відкрив
αγαπημένο	улюблене
αγαπημένο	улюблена
αγαπημένο	улюблений
αγαπημένο	улюблені
αγαπημένο	улюблений
αγαπημένο	улюблене
ρομπέρτο	роберто
πάτρικ	патрік
πρόβλεψη	прогнозування
πρόβλεψη	передбачення
πρόβλεψη	прогноз
αποδεικνύει	доводить
κούπερ	купер
ρούμπενς	rubens
τάφους	могили
συγγενής	відносно
συγγενής	відносна
συγγενής	відносний
αίγινα	егіна
απόκλιση	відхилення
απόκλιση	дивергенція
γιοι	сини
κατοικείται	населеного
κατοικείται	населених
ντιν	дін
