bratislava	براتیسلاوا
damasc	دمشق
nuvelă	رمان
publica	انتشار
card	کارت
card	ورق
reformei	اصلاح
reformei	اصلاحات
necunoscute	ناشناخته
filipine	فیلیپین
secundară	ثانویه
secundară	ثانوی
rin	رین
rin	راین
incident	حادثه
incident	واقعه
gândire	تفکر
gândire	فکر
anatomia	تشریح
anatomia	آناتومی
farmacie	داروخانه
farmacie	داروسازی
farmacie	داروئی
rightarm	rightarm
mexican	مکزیک
mexican	مکزیکی
five	پنج
five	فایو
pozitivă	مثبت
sângele	خونی
sângele	خون
marchiz	مارکیز
marchiz	مارکی
yemen	یمن
cântând	آواز
cântând	خوانندگی
stiluri	استایلز
stiluri	سبکهای
protejarea	محافظت
norvegian	نروژی
norvegian	نروژ
împușcat	شات
împușcat	شلیک
sălbatică	وحشی
sălbatică	وایلد
teamă	خوف
teamă	ترس
statui	مجسمه
sâmbătă	شنبه
irlandez	ایرلند
irlandez	ایرلندی
consilieri	مشاوران
bunica	مادربزرگ
bunica	مادربزرگ
lituaniei	لیتوانی
limitate	محدود
pereți	دیوارها
pereți	دیوارهای
pereți	دیوار
sándor	شاندور
perry	پری
distincție	تمایز
platformă	سکوی
platformă	سکو
cronici	سرگذشت
rugăciune	نماز
rugăciune	دعا
luther	لوتر
personalitatea	شخصیت
personalitatea	شخصیتی
atelierul	کارگاه
cook	کوک
cook	آشپز
cook	آشپزی
tara	کانتری
tara	کشوری
tara	کشور
tara	مملکت
tara	ییلاق
tara	تارا
blois	بلوآ
abur	بخار
abur	استیم
vama	گمرک
interimar	موقت
adult	بزرگسال
adult	بالغ
adult	بزرگسالان
împarte	شکافتن
experimental	تجربی
experimental	آزمایشی
dir	dir
logica	منطق
logica	منطقی
helsinki	هلسینکی
julia	جولیا
mussolini	موسولینی
scooby	اسکوبی
faimos	مشهور
faimos	مشهوره
faimos	معروف
nuntă	عروسی
nuntă	ازدواج
magdalena	ماگدالنا
anastasia	آناستازیا
bat	چماق
bat	خفاش
apr	apr
apr	آوریل
mintea	ذهن
mintea	mind
dmitri	دمیتری
americanii	آمریکاییها
alexei	آلکسی
alexei	الکسی
sârb	صرب
sârb	صرب
sârb	صربی
documentul	سند
documentul	نوشتار
baba	baba
preocupat	نگران
preocupat	دلواپس
brusc	یهویی
brusc	ناگهان
brusc	ناگهانی
japonezi	ژاپنی
inspirată	الهام
paraguay	پاراگوئه
jennifer	جنیفر
facto	facto
cantal	کانتال
izolat	منزوی
izolat	ایزوله
berg	برگ
evaluare	ارزیابی
evaluare	ارزیابی
evaluare	ارزیابی
asediu	محاصره
divizat	تقسیم
divizat	شکافتن
bergamo	برگامو
taxe	مالیات
taxe	مالیاتی
taxe	شهریه
novo	نوو
încurajat	دلگرم
enterprise	انترپرایز
enterprise	سازمانی
inamic	دشمن
inamic	دشمنی
vehicul	خودرو
vehicul	ماشین
botanică	گیاهشناسی
botanică	گیاهشناسی
arma	سلاح
arma	تفنگ
arma	تفنگی
arma	اسلحه
diferențele	تفاوت
diferențele	تفاوتهای
diferențele	تفاوتها
diferențele	اختلاف
servi	خدمت
servi	سرو
hanul	مهمانسرا
hanul	مهمانخانه
hanul	مسافرخانه
presupus	فرض
presupus	منتسب
nagy	ناگی
musulmane	مسلمان
musulmane	مسلم
musulmane	مسلمانان
modificată	تغییریافته
definitivă	قطعی
rasa	نژاد
rasa	نژاد
rasa	مسابقه
restaurarea	بازگردانی
restaurarea	مرمت
restaurarea	ترمیم
cafenea	کافه
cafenea	کافه
permanente	پایدار
permanente	همیشگی
permanente	دائم
permanente	دائمی
permanente	دایمی
permanente	دایم
vizibilă	نمایان
vizibilă	مرئی
asociație	انجمن
index	شاخص
index	نمایه
obișnuită	معمولی
moral	اخلاقی
moral	اخلاق
asigurări	بیمه
dispute	مجادله
dispute	اختلافات
portughez	پرتغال
portughez	پرتغالی
portughez	پرتقالی
funcționar	کارمند
haiti	هائیتی
sindromul	نشانگان
sindromul	سندروم
sindromul	سندرم
locație	محل
locație	مکان
prezență	حضار
prezență	حضور
prezență	حضورش
prezență	حضور
eugene	یوجین
eugene	اوژن
persan	پرشین
persan	ایرانیان
persan	ایرانی
persan	فارسی
traseu	دنباله
traseu	مسیر
vinde	فروش
vinde	بفروش
vinde	بفروشید
arhitecturale	معماری
logic	منطقی
logic	منطق
logic	منطقی
precizie	دقت
precizie	دقتی
precizie	دقت
meyer	مایر
meyer	میر
măsoară	پیمانه
dom	گنبد
dom	دام
über	über
fame	شهرتش
fame	شهرت
fame	شهرتی
coleg	همکار
express	اکسپرس
amt	amt
nel	nel
baltice	بالتیک
mustafa	mustafa
mustafa	مصطفی
ardere	احتراق
ardere	سوزاندن
ardere	سوختن
cost	هزینه
modifică	تغییر
boeing	بوئینگ
întoarcere	بازگشت
cercetătorii	محققین
cercetătorii	پژوهشگران
cercetătorii	محققان
peșteră	غار
peșteră	غاری
senat	سنا
senat	سنای
gay	گی
gay	همجنسگرا
gay	gay
gay	همجنسگرایی
gay	سرخوش
creta	گچ
ming	مینگ
montgomery	مونتگومری
montgomery	مانتگامری
egiptean	مصر
egiptean	مصری
variabile	متغیر
variabile	متغیرها
variabile	متغیرها
variabile	متغیر
mediterană	مدیترانه
metale	متال
metale	فلز
metale	فلزی
metale	فلزات
metale	قلیایی
pană	پر
pană	پرم
bush	بوته
bush	بوش
standardele	استانداردها
standardele	استانداردهای
daneză	دانمارکی
daneză	دانمارک
verticală	عمودی
renunță	لغو
azerbaidjan	اذربایجان
azerbaidjan	آذربایجان
niveluri	سطح
niveluri	سطوح
mantova	mantova
strategică	راهبردی
strategică	استراتژیک
cambodgia	کامبوج
pablo	پابلو
morris	موریس
lent	آهسته
academice	دانشگاهی
academice	آکادمیک
academice	تحصیلی
ice	یخ
ice	یخی
ice	یخبندان
ice	آیس
kate	kate
aurora	آرورا
aurora	اورورا
sinod	synod
