les	os
est	oriente
est	leste
est	east
une	um
une	uma
une	one
catégorie	categoria
pour	por
pour	para
qui	oms
qui	who
qui	quem
que	essa
que	isso
que	que
avec	com
son	sound
son	som
son	seu
son	his
son	sua
son	seu
son	sua
plus	plus
plus	mais
plus	more
pas	não
sont	são
sont	estão
sont	sao
sont	are
elle	ela
elle	she
elle	elle
été	verão
été	summer
avancement	avanço
avancement	progress
avancement	andamento
avancement	progresso
avancement	progressos
comme	like
comme	curta
comme	como
mais	mas
cette	este
cette	esta
cette	isso
cette	isto
cette	essa
cette	esse
pop	pops
pop	estouro
pop	pop
deux	duas
deux	two
deux	dois
ses	seu
ses	his
ses	sua
ses	ses
ses	seu
ses	sua
naissance	naissance
naissance	born
naissance	nascido
naissance	nascida
naissance	nasceu
naissance	parto
naissance	nascimento
aussi	igualmente
aussi	também
france	franca
france	frança
saint	santo
saint	santo
saint	saint
saint	santa
après	após
après	after
après	depois
fait	feitos
fait	feita
fait	feito
fait	made
fait	feito
notes	notes
notes	anotações
notes	notas
entre	entre
sous	sob
sous	under
même	mesma
même	mesmo
même	mesmos
être	sendo
être	ser
nom	apelidos
nom	apelido
nom	sobrenome
nom	nome
français	français
français	french
français	franceses
français	francês
ont	tenha
ont	ter
paris	paris
lui	ele
lieu	local
lieu	lugar
lieu	place
lieu	local
lieu	sítio
lieu	localização
cet	este
cet	esta
cet	isso
cet	isto
cet	essa
cet	esse
autres	outro
autres	outros
autres	outras
autres	outra
autres	outros
autres	outras
décès	death
décès	morte
décès	óbitos
décès	mortes
références	referências
liens	ligações
liens	links
était	estava
était	era
était	tava
était	foi
commune	comum
commune	frequentes
commune	common
commune	frequente
ville	vila
ville	cidade
ville	cidade
jean	jean
jean	john
jean	joão
jean	joao
leur	suas
date	data
cest	cest
peut	may
peut	maio
peut	pode
peut	pode
peut	podem
peut	lata
peut	can
depuis	since
depuis	desde
depuis	do
depuis	de
depuis	da
première	estréia
première	estreia
première	primeira
première	primeiros
première	primeiramente
première	primeiro
ans	ans
ans	years
ans	anos
alors	então
alors	depois
externes	externas
externes	externo
externes	externos
externes	externa
site	website
site	site
site	sítio
site	site
premier	premier
premier	primeira
premier	primeiros
premier	primeiramente
premier	primeiro
ces	estes
ces	essas
ces	estas
ces	esses
fut	estava
fut	era
fut	tava
fut	foi
http	http
ainsi	assim
film	filme
film	película
film	filmes
film	películas
film	filme
voir	veja
voir	vê
voir	ver
voir	vista
voir	ver
voir	visualizar
pays	pais
pays	país
pays	países
source	fonte
source	origem
ils	eles
ils	elas
grand	large
grand	grande
grand	grandes
grand	big
grand	grande
grand	grandes
grand	ótima
grand	grande
grand	ótimo
grand	grandioso
grand	grand
tout	everything
tout	tudo
tout	todas
tout	tudo
tout	todos
lors	durante
groupe	band
groupe	banda
groupe	grupo
groupe	agrupar
également	igualmente
également	também
titre	titulo
titre	título
monde	world
monde	mundo
nord	norte
nord	north
nord	norte
nord	setentrional
nord	northern
nord	nord
années	years
années	anos
bien	boa
bien	bom
bien	bem
contre	contra
liste	lista
liste	listar
puis	então
puis	depois
équipe	squad
équipe	pelotão
équipe	esquadrão
équipe	team
équipe	equipa
équipe	time
équipe	equipe
club	club
club	clube
sud	sud
sud	sul
sud	south
partie	partido
partie	party
partie	festa
partie	part
partie	parte
avant	front
avant	fachada
avant	frente
avant	antes
non	não
très	muito
trois	tres
trois	three
trois	três
articles	artigos
article	artigo
guerre	guerra
guerre	war
guerre	guerras
sans	sem
saison	temporada
saison	época
fin	fin
fin	barbatana
fin	end
fin	final
fin	terminar
fin	fim
