the	на
was	била
was	беше
for	за
that	тоа
that	дека
with	со
from	oд
from	од
this	ова
this	оваа
this	овој
his	негова
his	негово
his	неговите
his	неговиот
his	неговата
his	негов
not	не
are	се
are	are
talk	разговараме
talk	зборувај
talk	збори
which	кои
which	која
which	кое
has	има
were	беа
were	биле
but	но
but	ама
one	една
one	едната
one	еден
one	едно
new	ново
new	нов
new	нови
new	нова
first	прв
first	први
first	прво
first	прва
page	страница
page	страницата
you	вие
you	ти
you	тебе
you	си
they	тие
they	они
had	имаа
had	имаше
article	член
article	статија
who	кои
who	кој
all	сите
their	нивната
their	нивните
their	нивното
their	нивна
their	нивно
their	нивни
there	таму
made	направи
made	направени
made	направен
made	made
its	нејзините
its	своите
its	својата
its	нејзини
people	народ
people	луѓе
may	мајски
may	мај
after	откако
after	по
after	после
other	macedonian
other	други
two	два
two	двајца
two	две
score	оценка
score	резултат
score	поен
her	ја
her	нејзината
her	неа
her	нејзе
can	може
can	можи
can	можат
would	ќе
more	уште
more	повеќе
she	таа
she	она
about	околу
about	за
when	кога
time	времето
time	време
team	екипа
team	тим
american	американска
american	американски
american	американец
such	вакви
such	таквите
such	такви
such	таков
such	таква
discussion	расправа
discussion	дискусии
discussion	дискусија
links	врските
links	линковите
links	врски
links	линкови
only	само
some	некои
see	види
see	гледаш
see	видете
united	соединети
united	јунајтед
united	обединета
united	обединето
united	обединети
years	години
school	училиште
school	школа
world	ворлд
world	world
world	свет
world	светот
world	свету
university	универзитет
out	аут
out	надвор
state	состојба
state	држава
states	државите
states	држави
national	национални
national	национална
national	национален
national	национално
wikipedia	википедија
year	година
year	year
most	повеќето
most	најмногу
city	град
city	градско
city	градот
city	градски
used	искористен
used	користени
used	користена
used	искористена
used	користен
then	потоа
then	тогаш
than	одошто
than	отколку
than	одколку
county	жупанија
county	округот
county	округ
external	надворешен
external	надворешно
external	надворешни
external	надворешна
where	каде
will	ке
will	вил
will	ќе
what	што
delete	бришење
delete	избриши
any	било
these	овие
these	oвие
january	јануари
march	марш
march	март
august	август
august	аугуст
july	јули
being	битие
film	филмски
film	филмска
film	филм
him	него
him	го
many	многумина
south	југ
south	јужно
south	јужна
september	септември
like	како
like	like
between	помеѓу
between	помегу
between	измеѓу
between	меѓу
october	октомври
three	тројца
three	три
three	тројка
june	јуни
june	џун
well	епа
well	па
use	употреба
use	искористи
use	користи
war	војна
under	под
them	ги
them	нив
april	април
born	родено
born	роди
born	роден
born	родени
born	раѓа
december	декември
link	врска
while	додека
later	покасно
later	подоцна
part	дел
november	ноември
players	играчи
list	листа
list	список
following	следење
following	следејќи
february	фебруари
february	февруари
known	позната
known	познати
known	познат
second	второ
second	втор
second	втори
second	втората
second	втора
name	име
group	група
group	групно
group	групни
group	групна
history	историја
series	серија
series	серии
just	само
north	северно
north	север
north	северот
work	работа
work	дело
work	работно
before	пред
season	сезона
both	двајцата
high	високиот
high	висок
high	висока
high	хај
high	високо
high	high
through	низ
through	преку
district	реон
district	округ
now	сега
comments	коментари
because	бидејќи
football	фудбал
music	музика
diff	diff
diff	разлики
diff	разлика
century	век
league	лига
edits	уредувања
debate	дебатираат
debate	расправа
debate	дебата
title	титула
title	наслов
articles	статии
articles	натписи
articles	артикли
articles	написи
john	јован
john	џон
same	истите
same	истото
same	исто
same	исти
same	ист
same	иста
including	вклучувајќи
could	може
english	англиски
album	албум
number	број
against	против
family	семејство
family	фамилијарно
family	фамилијарна
family	фамилија
user	кориснички
user	корисник
user	корисникот
based	засновано
based	базирано
area	област
area	подрачје
york	јорк
life	живот
life	life
life	животот
british	британски
british	британска
british	британскиот
international	international
international	меѓународна
international	интернационална
international	меѓународни
international	меѓународен
game	игра
above	над
above	погоре
above	наведените
above	одозгора
club	клуб
your	твојата
your	твојот
your	вашиот
your	ваш
early	рано
early	ран
best	најдобар
best	најдобро
best	најдобри
best	најдобра
best	бест
west	запад
west	западно
west	вест
house	куќа
house	хаус
company	компанија
general	општи
general	општа
general	општо
general	генерал
left	лево
left	лева
left	левица
very	многу
here	тука
don	дон
living	живите
living	живеејќи
living	живеење
day	ден
several	неколку
place	место
party	партиски
party	партиска
party	забава
party	журка
party	партија
college	факултет
college	колеџ
result	резултат
keep	продолжи
keep	задржи
keep	чувај
appropriate	соодветни
appropriate	соодветна
appropriate	соодветен
appropriate	соодветно
four	four
four	четри
four	четири
four	четворица
even	дури
class	клас
class	класа
government	влада
how	како
called	повика
did	дали
