ve	och
bir	en
bir	ett
bir	one
bu	denna
bu	detta
bu	att
de	say
de	säg
de	säga
ile	med
için	för
en	favoriter
daha	mera
daha	more
daha	fler
daha	mer
sonra	sedan
sonra	sen
sonra	då
sonra	efteråt
sonra	after
sonra	efter
sonra	senare
ilk	först
ilk	första
utc	utc
çok	mycket
çok	mycke
çok	much
çok	mycket
yer	mötesplats
yer	lokalen
yer	ställe
yer	place
yer	placera
yer	plats
yer	platsen
yer	läge
yer	plats
gibi	gilla
gibi	gillar
gibi	som
gibi	like
dış	yttre
dış	dis
büyük	large
büyük	stora
büyük	stor
büyük	stort
büyük	big
büyük	stora
büyük	stor
büyük	stort
büyük	jättestor
büyük	enorm
büyük	enormt
büyük	enorma
bağlantılar	anslutningar
bağlantılar	förbindelser
bağlantılar	kopplingar
bağlantılar	anknyter
bağlantılar	länkar
bağlantılar	kontakter
bağlantılar	kontakterna
türkiye	turkiet
türkiye	kalkon
iki	iki
iki	två
ancak	dock
ancak	emellertid
center	centrum
center	center
center	mitten
arasında	bland
arasında	emellan
arasında	mellan
ayrıca	också
ayrıca	även
ayrıca	förutom
istanbul	istanbul
türk	turk
türk	turkiska
türk	turkisk
türk	turkiskt
diğer	annan
diğer	övrig
diğer	övriga
diğer	andra
diğer	övrigt
diğer	annat
yeni	ny
yeni	nyhet
yeni	nya
yeni	nytt
un	mjöl
her	varenda
her	varje
aynı	samma
aynı	detsamma
kulüp	club
kulüp	klubb
kulüp	klubben
kulüp	klubba
bağlı	bifogas
bağlı	bifogade
bağlı	bundna
bağlı	bundet
bağlı	bunden
bağlı	bindas
bağlı	bundna
bağlı	bundet
bağlı	bunden
bağlı	fastbunden
bağlı	beror
bağlı	anslutet
bağlı	ansluten
bağlı	anslutna
bağlı	länkade
bağlı	kopplade
bağlı	länkat
bağlı	länkad
iyi	duktiga
iyi	god
iyi	duktig
iyi	gott
iyi	bra
iyi	fine
ne	vad
ilgili	relevanta
ilgili	relevant
ilgili	intresserad
ilgili	intresserade
ilgili	relaterad
ilgili	relaterat
ilgili	släkt
ilgili	närstående
ilgili	relaterade
son	senast
son	senaste
son	sista
son	sist
son	slutet
son	end
son	slut
son	avsluta
alan	field
alan	fält
alan	fältet
alan	domän
alan	domänen
alan	alan
alan	area
alan	område
alan	området
alan	yta
dünya	world
dünya	värld
dünya	världen
dünya	jorden
dünya	earth
dünya	jord
abd	usa
birlikte	tillsammans
bulunan	ligger
bulunan	lokaliserad
bulunan	belägen
bulunan	lokaliserat
eski	gamla
eski	gammal
eski	gammalt
and	andinska
önemli	slingor
önemli	höjdpunkter
önemli	belyser
önemli	viktiga
önemli	viktig
önemli	viktigt
önemli	signifikanta
önemli	betydelsefull
önemli	avsevärd
önemli	signifikant
önemli	betydande
madde	substans
madde	ämne
madde	klausul
madde	material
madde	materiellt
madde	materia
madde	artikeln
madde	artikel
sağlık	välmående
sağlık	välbefinnande
sağlık	medicinska
sağlık	medicinsk
sağlık	medicinskt
sağlık	hälsa
sağlık	sjukvård
sağlık	hälsovård
genel	generiska
genel	generiskt
genel	generisk
genel	totalt
genel	generellt
genel	överlag
genel	övergripande
genel	allmän
genel	allmänna
genel	allmänt
mart	mart
mart	marsch
mart	marschera
mart	march
mart	demonstrationståg
mart	mars
adı	namnge
adı	namn
adı	name
film	filmar
film	filmer
film	film
film	filma
film	film
film	filmer
haziran	juni
haziran	june
mayıs	may
mayıs	maj
dosya	filer
dosya	akter
dosya	mappar
dosya	arkiv
dosya	file
dosya	fil
ocak	jan
ocak	januari
ocak	spis
ocak	spis
yıl	year
yıl	årsmodell
yıl	året
yıl	år
dan	dan
kasım	november
kasım	qasim
kasım	nov
avrupa	eu
avrupa	europe
avrupa	europa
avrupa	europa
avrupa	europeisk
avrupa	europeiskt
avrupa	europeiska
avrupa	europé
ama	men
karşı	räknare
karşı	motverka
karşı	emot
karşı	mot
toplam	livslängd
toplam	livstid
toplam	summan
toplam	sum
toplam	summa
toplam	totalt
toplam	sammanlagt
toplam	total
toplam	totala
toplam	summa
toplam	totalt
toplam	generellt
toplam	överlag
toplam	övergripande
jpg	jpg
ikinci	sekund
ikinci	andra
eylül	september
ağustos	august
ağustos	augusti
içinde	inside
içinde	inomhus
içinde	inne
içinde	insidan
içinde	inuti
içinde	inom
temmuz	juli
önce	före
önce	förut
