το	the
από	od
με	sa
που	kom
που	koja
που	koju
για	za
κατηγορία	kategoriju
κατηγορία	kategorija
τους	ih
ήταν	bio
ένα	jedan
ένα	jedna
ότι	toga
μια	jedan
μια	jedna
έχει	ima
θα	will
θα	će
θα	ce
αλλά	ali
μετά	potom
μετά	onda
μετά	tada
μετά	zatim
μετά	nakon
επίσης	također
επίσης	takođe
όπως	kao
όπως	like
είχε	imao
ενώ	dok
δύο	dva
αυτό	ove
αυτό	toga
αυτή	ona
όπου	gdje
όπου	gde
όταν	kada
μέχρι	do
μία	jedan
μία	jedna
μπορεί	može
ομάδα	odred
ομάδα	grupa
ομάδα	tim
ομάδα	ekipa
θέση	pozicija
θέση	položaj
μεταξύ	između
χρόνια	hronični
χρόνια	hronična
χρόνια	hronične
χρόνια	hroničnih
χρόνια	hroničnim
χρόνια	godina
πρώτη	prvo
πρώτη	prvi
πιο	više
ένας	jedan
ένας	jedna
πόλη	grad
πόλη	grad
σύνδεσμοι	veza
μόνο	samo
έγινε	uradio
έγινε	urađen
έγινε	završeno
έγινε	urađeno
πολύ	veoma
πολύ	vrlo
κάθε	svaki
κάθε	svaki
κάθε	svaka
περιοχή	regija
αιώνα	vijek
αθήνα	atene
αθήνα	atina
τότε	potom
τότε	onda
τότε	tada
τότε	zatim
όνομα	ime
ελλάδα	grčka
μέρος	dio
μέρος	mjesto
σήμερα	danas
μέσα	unutrašnjost
μέσα	unutar
πως	kako
μαζί	zajedno
διάρκεια	trajanja
διάρκεια	trajanje
ιστορία	priča
ιστορία	historija
πρωτάθλημα	liga
πρωτάθλημα	championship
πρωτάθλημα	šampionat
πρωτάθλημα	prvenstvo
αργότερα	kasnije
νέα	novi
νέα	vijest
νέα	vijesti
νέα	news
νέα	novosti
περίπου	oko
περίπου	približno
αυτά	ove
πριν	pre
πριν	prije
χωρίς	bez
εθνική	nacionalni
εθνική	nacionalna
συζήτηση	razgovor
συζήτηση	diskusija
συζήτηση	debatu
συζήτηση	raspravu
συζήτηση	debati
συζήτηση	debata
συζήτηση	debate
αρχείο	arhiv
αρχείο	dosije
αρχείο	datoteka
αρχείο	arhiva
αρχείο	file
πρέπει	moraju
πρέπει	mora
φορά	vrijeme
έλληνες	grci
ομάδες	grupe
ομάδες	timovi
ομάδες	ekipe
πρώτο	prvo
πρώτο	prvi
έργο	projekt
έργο	projekat
έργο	rad
κυρίως	uglavnom
κυρίως	većinom
κυρίως	uglavnom
όχι	nisu
ελληνική	grčki
μεγάλη	velikih
μεγάλη	veliki
υπό	pod
έως	do
ποδοσφαιριστές	fudbalera
ταινία	film
ταινία	traka
ταινία	film
άλλα	ostala
άλλα	ostale
άλλα	drugim
άλλα	drugi
άλλα	ostali
άλλα	drugi
τμήμα	odjel
τμήμα	katedri
τμήμα	odjeljenje
τμήμα	departmenta
τμήμα	odeljak
τμήμα	sekcija
σαν	kao
σαν	like
εκεί	tu
εκεί	tamo
ωστόσο	međutim
άλλες	ostala
άλλες	ostale
άλλες	drugim
άλλες	drugi
τέλος	konačno
τέλος	kraj
σειρά	serija
σειρά	seriji
σειρά	naređenje
σειρά	naredbu
σειρά	reda
σειρά	red
σειρά	redom
στοιχεία	elemenata
στοιχεία	elementima
στοιχεία	elementa
στοιχεία	elemente
στοιχεία	elementi
στοιχεία	podatak
εκτός	osim
συνέχεια	kontinuitetu
συνέχεια	kontinuitet
συνέχεια	nastavljaju
συνέχεια	nastavljena
συνέχεια	nastavila
συνέχεια	nastavljen
συνέχεια	nastavio
κάτω	down
κάτω	oboren
κάτω	dole
κάτω	donjem
κάτω	niže
κάτω	niži
κάτω	dole
κάτω	ispod
πολλές	mnoge
πολλές	mnogi
όλα	sve
όλα	all
όλα	svi
όλα	sve
σύστημα	sistem
ακόμα	ipak
φορές	puta
ίδια	identičan
ίδια	identične
ίδια	identični
ίδια	ista
ίδια	isti
ίδια	isto
ιουλίου	jula
ιουλίου	juli
χώρα	zemlja
αποτέλεσμα	ishod
αποτέλεσμα	rezultat
αποτέλεσμα	efekt
αποτέλεσμα	efekat
οκτωβρίου	oktobar
ιανουαρίου	januar
σεπτεμβρίου	septembar
νοεμβρίου	novembar
αγώνες	mečevi
αγώνες	mečevima
αγώνες	mečeva
αγώνες	mečeve
αγώνες	igara
αγώνες	igre
αγώνες	igrama
ταινίες	filmovi
ταινίες	filmova
ταινίες	filmovi
ταινίες	filmova
μέσω	putem
μέσω	preko
μέσω	kroz
μαρτίου	mart
γεννήθηκε	born
γεννήθηκε	rođen
γεννήθηκε	rođena
γεννήθηκε	rođeni
ιουνίου	juni
αυτές	ove
πολλά	mnoge
πολλά	mnogi
απριλίου	april
τρεις	tri
αυγούστου	august
έργα	radovi
έργα	funkcioniše
έργα	radi
έργα	projekti
έργα	projekata
δεκεμβρίου	decembar
χρήση	koristimo
χρήση	upotreba
χρήση	iskoristi
χρήση	koristi
χρήση	koriste
πρόεδρος	predsjednik
πολιτική	politika
πολιτική	politika
ακόμη	ipak
ίδιο	ista
ίδιο	isti
ίδιο	isto
μας	naše
μας	naša
μας	naš
εκλογές	izbori
εκλογές	izbori
μέλη	članovi
τελικά	konačno
μέλος	član
μέλος	članica
εποχή	epohe
εποχή	epoha
εποχή	sezona
εποχή	eru
εποχή	ere
εποχή	era
χωριό	selo
αρχικά	prvobitno
αρχικά	isprva
αρχικά	prvobitno
αρχικά	inicijalima
αρχικά	initials
δήμος	općina
κύπελλο	kup
ζωή	život
ζωή	zoe
ζωή	zoi
έδρα	sjedište
περιλαμβάνει	obuhvaća
περιλαμβάνει	obuhvata
περιλαμβάνει	uključuje
μεγάλο	velika
μεγάλο	velikih
μεγάλο	veliki
μεγάλο	velikih
μεγάλο	veliki
βάση	baza
βάση	osnova
βάση	osnovu
κέντρο	centar
κέντρο	centar
φεβρουαρίου	februar
κάτι	nešto
κοντά	blizu
κοντά	zatvori
κοντά	blizu
κοντά	bliskoj
κοντά	bliski
κοντά	blizak
κοντά	bliska
κοντά	obližnje
μορφή	oblik
μορφή	formirati
μορφή	forma
μορφή	formi
μορφή	formiraju
μορφή	formatu
μορφή	formata
μορφή	format
χρόνο	vrijeme
ιστοσελίδα	web
κόμμα	stranka
κόμμα	partija
κόμμα	comma
γιατί	jer
γιατί	zašto
ρόλο	rollo
ρόλο	uloga
άλμπουμ	album
άλμπουμ	albuma
επειδή	jer
έκδοση	izdanje
έκδοση	verzija
γκολ	ciljevi
γκολ	gol
γκολ	cilj
αρχές	principi
γύρω	oko
συνήθως	obično
ονομασία	ime
κοινότητα	zajednica
τελευταία	last
τελευταία	poslednji
τελευταία	poslednja
τελευταία	posljednja
τελευταία	zadnja
τελευταία	posljednji
έκανε	jeste
έκανε	made
έκανε	napravio
έκανε	napravljena
έκανε	napravljen
έκανε	napravila
ξεκίνησε	počelo
ξεκίνησε	počeo
ξεκίνησε	započeo
ξεκίνησε	počela
ξεκίνησε	započela
κυβέρνηση	vlast
πρώτος	prvo
πρώτος	prvi
πήρε	uzela
πήρε	uzeo
κάνει	uradio
κάνει	urađen
κάνει	završeno
κάνει	urađeno
ηπα	usa
ανάμεσα	između
δεύτερη	drugi
γλώσσα	jezik
γλώσσα	jezik
γιος	sin
μάχη	bitka
μάχη	borbeni
μάχη	borba
πανεπιστήμιο	univerzitet
όλες	all
όλες	svi
όλες	sve
κάποια	neki
δείτε	vidi
δείτε	jie
δείτε	vide
δείτε	vidjeti
δείτε	see
δείτε	vidimo
πόλεμο	rat
πόλεμο	ratu
συχνά	često
συχνά	često
περιοχές	regije
περιοχές	područja
περιοχές	oblasti
πρώην	bivši
παράδειγμα	primjer
άρθρο	članak
εικόνα	slika
εικόνα	imidžu
εικόνα	imidž
εικόνα	slika
έλαβε	primio
έλαβε	dobio
έλαβε	dobila
επίσημη	zvanična
επίσημη	zvaničnik
επίσημη	zvanične
επίσημη	zvanični
επίσημη	službeni
επίσημη	formalne
επίσημη	formalna
επίσημη	formalni
κατοίκους	stanovnici
κατοίκους	stanovništvo
κατοίκους	stanovnika
κατοίκους	stanovništvo
πηγές	izvori
πηγές	izvora
βόρεια	sjever
βόρεια	sjeverna
βόρεια	sjeverni
πόλεις	gradove
πόλεις	gradova
πόλεις	gradovima
πόλεις	gradovi
ιδιαίτερα	posebno
ιδιαίτερα	posebno
ιδιαίτερα	naročito
αγώνα	trka
αγώνα	rasa
αγώνα	meč
αγώνα	borba
γεγονός	manifestacija
γεγονός	događaj
γεγονός	činjenica
σελίδα	page
σελίδα	stranica
θέμα	tema
θέμα	subjekat
θέμα	subjekt
ηλικία	uzrast
ηλικία	godište
ηλικία	doba
ηλικία	age
ηλικία	starost
χρησιμοποιείται	korištene
χρησιμοποιείται	koristi
χρησιμοποιείται	korišteno
χρησιμοποιείται	korišten
πρώτα	prvo
πρώτα	prvi
μέγεθος	veličina
μέγεθος	veličine
θεωρείται	smatran
εδώ	tu
εδώ	ovde
εδώ	ovdje
νότια	južni
νότια	jug
σημείο	tačka
περίπτωση	slučaj
νέο	novi
ήδη	već
έτος	godina
σχεδόν	skoro
σχεδόν	skoro
ένωση	savez
ένωση	unija
ένωση	union
ένωση	udruženje
ένωση	asocijacija
περισσότερο	više
βασιλιά	king
βασιλιά	kralj
εκκλησία	crkva
εκδόσεις	publikacija
μουσείο	muzej
πολιτικός	političar
συμμετοχή	učešće
συμμετοχή	učešće
δυο	dva
μεγαλύτερη	veću
μεγαλύτερη	veća
μεγαλύτερη	veće
μεγαλύτερη	veći
μεγαλύτερη	starije
μεγαλύτερη	starija
μεγαλύτερη	stariji
μεγαλύτερη	veće
μεγαλύτερη	veći
μεγαλύτερη	veće
πέθανε	umri
πέθανε	poginuo
πέθανε	umro
πέθανε	umrlo
πέθανε	umrla
ανά	po
μουσική	muzika
κόσμο	cosmo
κόσμο	world
κόσμο	svjetski
κόσμο	svijet
άτομα	osobe
άτομα	pojedinci
άτομα	narod
δεύτερο	drugi
είδος	tip
είδος	type
είδος	vrsta
αρκετά	dovoljno
αρκετά	dovoljan
αρκετά	dosta
μεγαλύτερο	starije
μεγαλύτερο	starija
μεγαλύτερο	stariji
μεγαλύτερο	veće
μεγαλύτερο	veći
μεγαλύτερο	veće
εκείνη	ona
χώρες	zemljama
χώρες	zemlje
χώρο	prostor
σχολή	škola
εναντίον	protiv
τρία	tri
χαρακτηριστικά	specifičnosti
χαρακτηριστικά	karakteristike
χαρακτηριστικά	atributi
όρος	mandat
όρος	izraz
όρος	termin
όρος	mount
όρος	uslovom
όρος	uslov
όρος	stanje
ιδρύθηκε	osnovana
ιδρύθηκε	osnovan
ιδρύθηκε	utemeljena
ιδρύθηκε	osnovano
βασιλιάς	king
βασιλιάς	kralj
παιδιά	momci
παιδιά	boys
παιδιά	dječaci
παιδιά	deca
παιδιά	djeca
παιδιά	tipovi
παιδιά	djece
παιδιά	djecu
παιδιά	djeca
βραβείο	nagrada
βραβείο	nagrade
άρχισε	počelo
άρχισε	počeo
άρχισε	započeo
άρχισε	počela
άρχισε	započela
φαίνεται	izgleda
φαίνεται	izgleda
αρχαία	drevni
αρχαία	drevno
αρχαία	drevna
αρχαία	drevne
μήκος	dužina
κυκλοφόρησε	objavljeni
κυκλοφόρησε	pušten
κυκλοφόρησε	pušteni
τι	što
συμμετείχε	učestvovalo
συμμετείχε	učestvovali
συμμετείχε	učestvovao
συμμετείχε	učestvovala
χρονιά	godina
παραγωγή	proizvodnja
ηθοποιός	glumica
ηθοποιός	glumac
ούτε	ni
ούτε	niti
ελληνικά	grčki
δυνάμεις	ovlasti
δυνάμεις	sile
δυνάμεις	jakih
γαλλία	francuska
ελληνικό	grčki
ευρώπη	evropa
δεκαετία	decenija
γνωστό	poznat
γνωστό	poznato
γνωστό	poznata
γνωστό	poznate
παγκόσμιο	globalni
παγκόσμιο	globalno
βιβλίο	knjiga
διάστημα	interval
διάστημα	prostor
οικογένεια	porodica
οικογένεια	porodično
μέτρα	mjerama
μέτρα	mjere
μέτρα	mere
σημαίνει	znači
πέντε	pet
παραπάνω	iznad
υπουργός	ministar
σεζόν	sezona
πρότυπο	model
πρότυπο	modela
πρότυπο	standardni
αριθμός	broj
θάνατο	smrt
εταιρεία	kompanija
σώμα	tijela
σώμα	tijelo
σώμα	tijelu
σώμα	telo
σώμα	korpusa
σώμα	korpus
πρωτεύουσα	kapital
παράλληλα	paralelnost
παράλληλα	paralelna
παράλληλα	paralelnih
παράλληλα	paralelne
παράλληλα	paralelni
παράλληλα	paralelno
σύνολο	ukupno
γνωστή	poznat
γνωστή	poznato
γνωστή	poznata
γνωστή	poznate
κατάσταση	status
κατάσταση	situacija
κατάσταση	stanje
κατάσταση	uslovom
κατάσταση	uslov
κατάσταση	stanje
νησί	ostrvo
επίπεδο	nivo
επιτυχία	uspjeh
γερμανία	njemačka
άλλους	ostali
άλλους	drugi
πίσω	nazad
πίσω	back
πίσω	vrati
δημιουργία	stvaraju
δημιουργία	napravi
δημιουργία	stvoriti
δημιουργία	kreiranje
δημιουργία	stvaranje
αρχή	početak
αρχή	start
αρχή	početka
αρχή	počevši
αρχή	početak
αρχή	princip
αρχή	autoritet
άδεια	dozvola
άδεια	licenca
άδεια	dozvolu
άδεια	licencu
άδεια	dozvolu
άδεια	licence
άδεια	dozvola
άδεια	dozvolu
άδεια	dozvole
άδεια	prazan
άδεια	prazna
σου	tužiti
επιπλέον	dodatne
επιπλέον	dodatnih
περισσότερα	više
ανάπτυξη	razvoj
ανάπτυξη	rast
φάση	faze
φάση	faza
αυτόν	ga
αυτόν	njega
συγγραφέας	pisac
συγγραφέας	autor
άγιος	sveti
άγιος	saint
θάνατοι	smrti
θάνατοι	pogibije
γ΄	iii
τραγούδι	pjevanje
τραγούδι	pjesma
κόρη	ćerka
κόρη	kćerka
πάλι	opet
πάλι	ponovo
επαρχία	pokrajina
ιωάννης	john
θεσσαλονίκη	solun
αγγλικά	engleski
άλλοι	ostali
άλλοι	drugi
κέρδισε	pobjeda
κέρδισε	pobijedi
κέρδισε	osvoji
κέρδισε	osvojen
κέρδισε	pobijedio
κέρδισε	pobijedila
κέρδισε	osvojena
κέρδισε	pobjedio
βασίλειο	kraljevina
βασίλειο	kraljevstvo
σκοπό	svrha
συνολικά	ukupno
συνολικά	sveukupno
συνολικά	sveukupni
συνολικά	sveukupna
γνωστός	poznat
γνωστός	poznato
γνωστός	poznata
γνωστός	poznate
γνωστός	poznanika
πληροφορίες	info
πληροφορίες	informacija
εθνικό	nacionalni
εθνικό	nacionalna
καριέρα	karijeru
καριέρα	karijere
καριέρα	karijera
