और	oraz
से	from
से	od
है	hai
है	hal
एक	jeden
एक	jedna
श्रेणी	kategoria
श्रेणी	kategorii
श्रेणी	szeregi
श्रेणी	serie
श्रेणी	series
श्रेणी	seria
श्रेणी	serii
श्रेणी	kategorii
श्रेणी	kategorie
भी	nawet
भी	także
भी	też
भी	również
भी	tez
भी	też
भी	too
भी	zbyt
यह	tym
किया	zrobił
किया	zrobione
इस	tym
हैं	są
कि	że
भारत	indie
जो	joe
जो	joego
जो	kto
जो	kogo
जो	who
ही	hee
रूप	postać
रूप	forma
रूप	formularz
रूप	formy
रूप	formularza
रूप	wygląd
रूप	wystąpienie
कर	podatki
कर	podatek
कर	podatki
नहीं	nie
उत्तराखण्ड	uttarakhand
गया	poszedł
गया	poszło
साथ	wzdłuż
साथ	razem
साथ	wspólnie
पूर्व	wschodnie
पूर्व	east
पूर्व	wschód
पूर्व	wschodni
पूर्व	wschodnia
पूर्व	były
पूर्व	poprzedni
पूर्व	dawne
पूर्व	poprzednie
बाद	pozniej
बाद	później
बाद	after
बाद	po
अपने	własne
अपने	własny
अपने	własna
अपने	twoje
अपने	twój
अपने	twoja
अपने	twojego
अपने	twoim
जिले	dzielnice
जिले	okręgi
जिले	okręgów
था	mial
था	miałem
था	miała
था	miał
था	była
था	był
था	było
राज्य	stany
राज्य	stanów
राज्य	stan
राज्य	state
राज्य	państwo
बाहरी	odkrytym
बाहरी	odkryty
बाहरी	zewnętrzne
बाहरी	zewnętrzna
बाहरी	zewnętrzne
कुछ	niektóre
कुछ	niektórzy
कुछ	trochę
कुछ	coś
ईसा	jezu
ईसा	jezus
गाँव	wiosce
गाँव	wioska
गाँव	village
गाँव	wioski
गाँव	wieś
सरकार	rządowe
सरकार	rząd
सरकार	rządowy
कड़ियाँ	łańcuchów
कड़ियाँ	łańcuchy
कड़ियाँ	linków
कड़ियाँ	łącza
कड़ियाँ	linki
कड़ियाँ	odnośniki
प्रदेश	region
प्रदेश	regionie
प्रदेश	regiony
प्रदेश	regionu
इसके	jego
दिया	zważywszy
दिया	podane
दिया	podana
दिया	dały
दिया	dał
अन्य	innych
अन्य	inne
अन्य	pozostałe
अन्य	inny
अन्य	inne
अन्य	pozostałe
अन्य	inni
वर्ष	lat
वर्ष	lata
वर्ष	roku
वर्ष	rok
समय	czasu
समय	czas
नाम	nazwisko
नाम	imię
नाम	nazwa
वे	oni
प्रकार	rodzaj
प्रकार	rodzaj
प्रकार	wpisz
प्रकार	typ
प्रकार	typy
प्रकार	rodzaje
भारतीय	indyjskie
भारतीय	indian
भारतीय	indianin
भारतीय	indyjska
भारतीय	indyjski
किसी	ktoś
क्षेत्र	teren
क्षेत्र	powierzchnia
क्षेत्र	obszarze
क्षेत्र	obszar
क्षेत्र	region
क्षेत्र	regionie
क्षेत्र	regiony
क्षेत्र	regionu
क्षेत्र	tereny
क्षेत्र	obszary
क्षेत्र	obszarach
क्षेत्र	powierzchnie
अधिक	more
अधिक	bardziej
अधिक	więcej
कई	wielu
कई	wiele
कई	kilkanaście
कई	kilka
कई	kilku
स्थित	zlokalizowany
स्थित	położony
स्थित	zlokalizowane
मण्डल	strefie
मण्डल	obszar
मण्डल	zone
मण्डल	strefy
मण्डल	strefa
आधिकारिक	oficjalne
आधिकारिक	oficjalna
आधिकारिक	urzędnik
आधिकारिक	urzędowym
आधिकारिक	oficjalnie
आधिकारिक	oficjalny
कारण	powody
कारण	przyczyny
कारण	powody
कारण	powodu
कारण	przyczyna
कारण	powód
कारण	przyczyna
कारण	powoduje
कारण	przyczyny
कारण	przyczyn
होने	bycie
होने	będąc
होने	bycia
जैसे	jak
जैसे	like
करता	robi
उनके	ich
उनके	je
उनके	ich
उनके	im
सबसे	większość
सबसे	najczęściej
सबसे	większości
सबसे	najbardziej
हिन्दी	hindi
बहुत	bardzo
पहले	zanim
पहले	przed
पहले	wcześniej
पहले	temu
पहले	wczesniej
पहले	wcześniejszy
पहले	wcześniej
पहले	wcześniejsza
पहले	wcześniejsze
पहले	pierwszy
पहले	pierwsze
पहले	najpierw
पहले	pierwsza
अपनी	własne
अपनी	własny
अपनी	własna
अपनी	carnal
दो	dwie
दो	dwóch
दो	dwa
जिला	okręg
जिला	dzielnicy
जिला	dystrykt
जिला	dzielnica
जिला	rejon
जिला	powiat
जब	gdy
जब	kiedy
उन्होंने	oni
उन्होंने	egipcjanie
जन्म	urodzony
जन्म	urodzona
जन्म	urodzone
जन्म	urodzenia
जन्म	poród
जन्म	narodziny
कोई	koi
कोई	jakikolwiek
कोई	dowolny
कोई	jakiekolwiek
इन	inn
लेकिन	ale
ये	tym
ये	tych
ये	te
कम	niska
कम	niskie
कम	niski
कम	low
कम	nisko
कम	mniej
कम	mniejsza
कम	mniej
कहा	powiedział
कहा	said
लोग	ludzi
लोग	osoby
लोग	people
लोग	ludzie
आदि	etc
आदि	itd
आदि	itp
आदि	more
आदि	bardziej
आदि	więcej
आदि	adi
उसके	jego
उसके	jej
उसके	ją
प्राचीन	prymitywne
प्राचीन	prymitywny
प्राचीन	starożytny
प्राचीन	starożytnych
प्राचीन	starożytni
प्राचीन	starożytna
प्राचीन	starożytne
देखें	zegarek
देखें	obserwuj
देखें	patrz
देखें	zobacz
देखें	widok
देखें	zobacz
उत्तर	odpowiedz
उत्तर	odpowiedź
उत्तर	północnej
उत्तर	północ
उत्तर	north
उत्तर	odpowiedzi
भाषा	języki
भाषा	języków
भाषा	język
भाषा	języku
लिये	na
लिये	dla
लिये	za
सभी	wszystkie
सभी	wszystko
सभी	all
सभी	wszyscy
प्राप्त	uzyskano
प्राप्त	uzyskane
प्राप्त	otrzymana
प्राप्त	otrzymany
प्राप्त	otrzymane
प्राप्त	otrzymała
प्राप्त	otrzymana
प्राप्त	otrzymano
प्राप्त	otrzymany
प्राप्त	otrzymane
प्राप्त	otrzymywać
प्राप्त	odbierać
प्राप्त	otrzymać
जाने	jaane
इसका	jego
प्रयोग	eksperymentów
प्रयोग	eksperymenty
प्रयोग	wykorzystanie
प्रयोग	korzystanie
प्रयोग	użycie
प्रयोग	użytkowanie
प्रयोग	eksperyment
शामिल	zaangażowane
शामिल	zamieszany
शामिल	zaangażowana
शामिल	zaangażowany
शामिल	zawiera
शामिल	obejmuje
शामिल	włączone
शामिल	uwzględnione
शामिल	dołącz
शामिल	obejmować
उन्हें	je
उन्हें	ich
उन्हें	im
उस	że
स्थान	lokale
स्थान	miejsca
स्थान	miejsc
स्थान	miejsce
स्थान	lokalizacji
स्थान	lokalizacje
स्थान	miejsca
स्थान	miejsce
स्थान	lokalizacja
स्थान	położenie
प्रमुख	szef
प्रमुख	major
प्रमुख	główne
प्रमुख	główna
प्रमुख	main
प्रमुख	główny
हुई	hui
बीच	plaża
बीच	środek
बीच	centrum
बीच	center
बीच	ośrodek
गए	odszedł
गए	poszedł
गए	poszło
मुख्य	szef
मुख्य	główne
मुख्य	główna
मुख्य	main
मुख्य	główny
थी	była
थी	był
थी	było
बिहार	bihar
उसे	go
उसे	jej
उसे	ją
कार्य	zadania
कार्य	zadań
कार्य	zlecenie
कार्य	pracy
कार्य	praca
कार्य	pracuj
कार्य	prace
कार्य	pracy
कार्य	praca
कार्य	roboty
कार्य	zadanie
उनकी	ich
आंध्र	andhra
आंध्र	andra
जिसमें	domieszki
नगर	town
नगर	miasta
नगर	miejscowość
नगर	miasto
नगर	city
नगर	miejscowość
नगर	miasta
नगर	miasto
नगर	nagar
उपयोग	wykorzystanie
उपयोग	korzystanie
उपयोग	użycie
उपयोग	użytkowanie
उपयोग	wykorzystanie
उपयोग	użyć
उपयोग	użyj
उपयोग	wykorzystuje
उपयोग	używa
उपयोग	zastosowań
उपयोग	zastosowania
लोगों	ludzi
लोगों	osoby
लोगों	people
लोगों	ludzie
आधार	baza
आधार	podstawa
आधार	base
आधार	bazy
आधार	założeniu
आधार	założenie
आधार	założenia
आधार	podstawa
आधार	podstawie
आधार	podstawy
काम	pracuj
काम	prace
काम	pracy
काम	praca
काम	roboty
जीवन	zycie
जीवन	life
जीवन	życia
जीवन	dożywocie
जीवन	życie
विश्व	świat
विश्व	swiat
विश्व	świata
विश्व	świecie
विश्व	world
भाग	odcinki
भाग	sekcje
भाग	część
भाग	częściowo
भाग	części
निर्माण	tworzenie
निर्माण	tworzenia
निर्माण	utworzenie
निर्माण	stworzenie
निर्माण	konstrukcja
निर्माण	budowa
निर्माण	budownictwo
निर्माण	zbudować
निर्माण	budować
निर्माण	budowanie
निर्माण	wytwarzanie
निर्माण	produkcja
गई	poszedł
गई	poszło
दोनों	obydwa
दोनों	oboje
दोनों	obie
दोनों	oba
राष्ट्रीय	krajowa
राष्ट्रीय	krajowe
राष्ट्रीय	national
राष्ट्रीय	narodowy
राष्ट्रीय	krajowy
राष्ट्रीय	krajowych
जानकारी	info
जानकारी	informacje
जानकारी	informacja
जानकारी	informacje
जानकारी	informacja
पोर्टल	portalu
पोर्टल	portal
शहर	centrum
शहर	city
शहर	miejscowość
शहर	miasta
शहर	miasto
शहर	miasta
बार	bary
बार	barów
बार	bar
बार	razy
बार	times
बार	czasy
वाली	wali
लगभग	prawie
लगभग	około
फिल्म	filmu
फिल्म	film
फिल्म	filmy
फिल्म	folia
फिल्म	film
यहाँ	tutaj
प्रसिद्ध	sławne
प्रसिद्ध	znana
प्रसिद्ध	znany
प्रसिद्ध	sławny
प्रसिद्ध	sławna
प्रसिद्ध	znana
विकास	rozwój
विकास	rozwoju
विकास	opracowywanie
विकास	opracowanie
विकास	rozwój
विकास	wzrostu
विकास	wzrost
केवल	tylko
देश	ojczyzna
देश	kraje
देश	kraju
देश	kraj
देश	państwo
देश	narodu
देश	naród
देश	krajów
देश	kraje
अलग	rozdzielone
अलग	oddzielone
अलग	inna
अलग	różne
अलग	inny
अलग	różnych
अलग	osobne
अलग	odrębne
अलग	oddzielne
विशेष	wyłączność
विशेष	ekskluzywne
विशेष	ekskluzywny
विशेष	wyłączne
विशेष	specjalna
विशेष	specjalny
विशेष	specjalne
विशेष	wyjątkowy
विशेष	szczególne
इसकी	jego
कभी	kiedykolwiek
कभी	ever
दी	zważywszy
दी	podane
दी	podana
दी	dały
दी	dał
पृष्ठ	stronę
पृष्ठ	stronie
पृष्ठ	page
पृष्ठ	strona
पृष्ठ	strony
पृष्ठ	stron
पृष्ठ	strony
माना	rozpatrywane
माना	rozważane
माना	badanym
माना	mana
माना	podobno
माना	przypuszczalnie
शब्द	słowo
शब्द	slowo
शब्द	slowa
शब्द	słowa
शब्द	słów
फिर	wtedy
तीन	trzy
पुरस्कार	nagród
पुरस्कार	nagrody
पुरस्कार	nagrodę
पुरस्कार	nagroda
पुरस्कार	nagrody
पुरस्कार	wyróżnienie
पुरस्कार	nagrodę
पुरस्कार	nagroda
पुरस्कार	nagrody
पुरस्कार	nagród
पुरस्कार	nagrody
पुरस्कार	nagród
पुरस्कार	nagrody
पुरस्कार	nagrodę
पुरस्कार	nagroda
लेख	wyroby
लेख	artykułów
लेख	artykuły
लेख	tezy
लेख	artykułu
लेख	artykul
लेख	artykuł
अब	teraz
दौरान	podczas
अमेरिका	ameryka
अमेरिका	america
मंदिर	świątynia
मंदिर	świątynie
मंदिर	temple
मंदिर	świątyni
अलावा	dodawanie
अलावा	dodanie
दक्षिण	południe
स्थल	miejsce
विभिन्न	różnych
विभिन्न	różne
विभिन्न	rozmaite
विभिन्न	różne
इतिहास	historia
इतिहास	historii
इतिहास	historię
लिया	zrobione
लिया	podjęte
फ़िल्म	filmu
फ़िल्म	film
फ़िल्म	filmy
फ़िल्म	folia
फ़िल्म	film
क्योंकि	bo
क्योंकि	ponieważ
पास	podanie
पास	pass
पास	przepustka
पास	przełęcz
पास	podaj
विस्तृत	szczegółowy
विस्तृत	szczegółowe
विस्तृत	wyszukane
विस्तृत	wyczerpujące
विस्तृत	wyczerpujący
विस्तृत	zaawansowanych
विस्तृत	zaawansowane
विस्तृत	zaawansowana
विस्तृत	zaawansowany
दिन	dnia
दिन	dzień
दिन	dzien
दिन	dzienne
दिन	dni
दिन	days
कृषि	rolnictwa
कृषि	rolnictwo
जाना	rentowność
जाना	rentowności
जाना	żywotność
शुरू	rozpoczęte
शुरू	rozpoczęto
शुरू	rozpoczęty
शुरू	zaczął
शुरू	rozpocząć
व्यक्ति	osoba
व्यक्ति	osoby
व्यक्ति	indywidualny
व्यक्ति	indywidualne
व्यक्ति	poszczególnych
व्यक्ति	indywidualnie
व्यक्ति	indywidualizm
उनका	ich
विज्ञान	nauka
विज्ञान	nauki
सदस्य	członka
सदस्य	członkowskie
सदस्य	członkiem
सदस्य	członek
सदस्य	abonenta
सदस्य	subskrybentów
सदस्य	posłowie
सदस्य	członkowie
सदस्य	członkom
सदस्य	członków
सदस्य	członkami
