indeplini	opfylde
reich	riget
reich	riges
józsef	józsef
agricol	landbrugs
originile	oprindelse
khan	khan
mutarea	flytter
mutarea	flytte
mutarea	flytning
moscheea	moské
latimea	bredde
latimea	bredden
ladislau	ladislaus
cooper	cooper
preah	preah
invazie	invasion
invazie	invasionen
invazie	invaderet
ehf	ehf
brabant	brabant
dealuri	hills
dealuri	bakker
dealuri	bakkerne
danny	danny
determinata	fastlagt
determinata	beslutsom
determinata	fastslået
determinata	bestemt
tag	mærke
tag	tag
tag	mærk
tag	tagge
perete	væg
perete	wall
perete	væggen
perete	mur
amenajare	montering
nicholas	nicholas
istoricii	historikere
straina	udenlandsk
straina	fremmed
iubit	elsket
iubit	elskede
iubit	elsket
iubit	elskede
iubit	kæresten
iubit	kæreste
entitate	enhed
platina	platin
rezolva	løs
rezolva	løse
rezolva	løser
rezolva	løs
rezolva	løse
rezolva	løser
indivizi	privatpersoner
indivizi	enkeltpersoner
indivizi	individer
continental	continental
continental	kontinentale
caesar	caesar
caesar	cæsar
cruci	krydsninger
cruci	krydser
cruci	kors
pcupdate	pcupdate
pierdute	tabte
pierdute	fortabt
pierdute	mistede
pierdute	lost
pierdute	tabt
pierdute	mistet
perioadele	perioderne
perioadele	perioder
bianco	bianco
ilustreaza	illustrerer
ilustreaza	illustrerer
ilustreaza	illustrere
cardinal	kardinal
cardinal	kardinalen
clare	clare
vulcan	vulkanen
vulcan	vulkan
vulcan	vulcan
mostenit	arvede
mostenit	arvet
mostenit	arvede
mostenit	arvet
curentului	aktuel
curentului	aktuelt
curentului	løbende
curentului	nuværende
destinatie	destination
destinatie	destinationen
destinatie	bestemmelsessted
destinatie	destination
destinatie	destinationen
destinatie	bestemmelsessted
hawaii	hawaii
sunetul	lyd
sunetul	lyde
sunetul	sound
sunetul	lyden
xbox	xbox
gama	gamma
baby	baby
baby	skat
evaluarea	værdiansættelse
evaluarea	bedømmelse
evaluarea	vurdering
evaluarea	evaluering
evaluarea	evaluering
evaluarea	vurdering
evaluarea	bedømmelse
danez	danish
danez	danske
danez	dansk
raportat	rapporteret
