лед	קרח
електронско	אלקטרונית
електронско	אלקטרוני
опстанок	הישרדות
демо	הדגמה
демо	דמו
доза	מינון
доза	מינון
доза	מנה
воздушни	אווירי
германци	גרמנים
намибија	נמיביה
спроведена	שנערך
гласа	הצבעות
гласа	קולות
бронзен	ארד
бронзен	הארד
бронзен	ברונזה
викенд	סופשבוע
заменета	הומתק
заменета	החליף
заменета	הוחלף
заменета	הוחלפו
фабрики	מפעלים
емирати	האמירויות
минимум	מינימום
минимум	המינימום
универзален	אוניברסלי
универзален	יוניברסל
спортист	אתלט
спортист	ספורטאי
ангола	אנגולה
поглавје	פרק
намален	מופחתת
намален	מופחת
намален	מוזל
вигинс	ויגינס
достигнат	תפוצה
стотина	מאה
стотина	hundred
стотина	מאות
алтернативен	אלטרנטיבי
алтернативен	חלופית
алтернативен	חלופי
кемал	כמאל
видлива	גלויה
видлива	גלוי
сведочи	תעיד
сведочи	להעיד
откриваат	גלה
откриваат	לחשוף
вратен	הוחזר
вратен	חזר
просечен	ממוצע
просечен	הממוצע
инка	האינקה
инка	משפך
ротација	סבב
ротација	סיבוב
ротација	סובב
тенкови	מיכלי
тенкови	טנקים
загрозен	איימה
загрозен	איים
човечко	אנוש
човечко	אנושי
човечко	אדם
опен	לפתוח
опен	פתח
опен	פתוחים
опен	פתחי
опен	פתוחה
опен	פתוח
публикации	פרסומים
теодора	תיאודורה
заболување	מחלה
заболување	מחלות
прстени	טבעות
младоста	הנעורים
младоста	נוער
младоста	נעורים
младоста	הנוער
болки	כאב
болки	כאבים
академска	אקדמי
академска	אקדמית
практична	מעשית
практична	מעשי
тврдејќи	להתווכח
тврдејќи	מתווכח
тврдејќи	בטענה
панама	פנמה
театарска	תיאטרלי
мастерс	מאסטרס
мастерс	אדונים
каталонија	קטלוניה
галиција	גליסיה
сенка	הצל
сенка	שאדו
сенка	צל
сенка	צל
привилегии	הזכות
привилегии	זכות
привилегии	חיסיון
подигнат	הוקם
подигнат	שהוקם
витези	אבירים
скијање	בסקי
скијање	סקי
брест	ברסט
анастасија	אנסטסיה
оман	אומן
оман	עומאן
диригент	מוליך
диригент	מנצח
супстанции	חומר
гнездо	קן
гнездо	הקן
пфалц	פאלץ
кралско	מלכותי
кралско	רויאל
кралско	קיסרי
кралско	הקיסרי
резерват	מילואים
религиозна	דתיות
религиозна	דת
религиозна	דתי
религиозна	דתית
религиозна	דתיים
топлината	חמימות
топлината	חום
математичари	מתמטיקאי
математичари	מתמטיקאים
вага	מאזניים
фрази	ביטויים
лорен	לוריין
лорен	לורן
лорен	לורן
кнежевство	נסיכות
кози	עיזים
кози	עזים
установа	מתקן
карибите	הקאריביים
карибите	הקריביים
исклучоци	חריגות
оператор	מפעיל
оператор	מרכזיה
оператор	מרכזייה
јачина	עוצמה
утрински	בוקר
наша	שלנו
наша	שלנו
грмушки	השיחים
грмушки	שיחים
грмушки	בוש
грмушки	שיח
сегменти	קטעים
сегменти	פלחים
ремо	רמו
ремо	רימו
зајак	שפן
зајак	ראביט
зајак	ארנבת
зајак	ארנב
доволна	מספיק
наставници	מורים
лош	רע
лош	רעה
лош	רעים
лош	רעות
кал	בוץ
кал	הבוץ
кал	קאל
кал	קאל
дан	דן
дан	דאן
дан	דאן
соочи	פניה
соочи	פרצוף
соочи	פנים
соочи	פייס
помало	לסר
урбана	עירונית
урбана	עירוני
шести	שישי
шести	שישית
шести	השישית
шести	השישי
предизвик	אתגר
предизвик	האתגר
малтер	מרגמה
исполнети	הגשמת
матеј	מתיו
претседателството	הנשיאות
ријана	ריהאנה
пенали	קנסות
пенали	עונשים
радиус	רדיוס
радиус	הרדיוס
свештеникот	הכהן
свештеникот	כומר
предизвикувајќи	גורמת
предизвикувајќи	גורם
предизвикувајќи	גרימת
празни	ריקה
празни	ריק
шефот	המפקדת
шефот	ראשי
шефот	בוס
четворица	four
четворица	ארבעה
четворица	ארבע
гледајќи	צפייה
гледајќи	צופה
гледајќи	צופים
гледајќи	מתבונן
пластика	פלסטיק
пластика	ניילון
пластика	פלסטיק
јемен	תימן
уран	אורנוס
обоени	צבוע
обоени	צבועה
обоени	צייר
обоени	צבעוניות
обоени	צבעוניים
обоени	צבעוניים
портрети	דיוקנאות
алба	אלבה
глетка	הראייה
идентификува	מזדהה
божиќ	המולד
алгебра	אלגברה
боби	בובי
ранети	פצועה
ранети	נפצע
ранети	פצועים
ранети	פצוע
роси	רוסי
учествуваше	השתתפו
учествуваше	השתתפה
учествуваше	השתתפתי
учествуваше	השתתף
мештаните	מקומיים
мештаните	המקומיים
покриен	מכוסה
покриен	מכוסים
покриен	מקורה
покриен	כיסה
точна	מדוייק
точна	מדויק
точна	מדויקים
точна	מדויקת
точна	מדויק
подот	פוד
подот	תרמיל
подот	קומה
подот	רצפה
обемот	נפח
обемот	כרך
дипломат	דיפלומט
месопотамија	מסופוטמיה
должноста	חובה
пури	סיגר
пури	הסיגר
пури	סיגרים
стекнува	צובר
