ofiarą	áldozat
warstwa	réteg
warstwa	stratum
pomiaru	mérés
pomiaru	mérési
pomiaru	mérés
osobowości	személyiség
osobowości	személyisége
osobowości	egyéniség
seulu	szöul
seulu	szöulban
poprzednie	korábbi
poprzednie	előző
poprzednie	korábbi
maryland	maryland
electric	villamos
electric	villany
electric	elektromos
schumacher	schumacher
królową	királynő
królową	queen
królową	dáma
królową	királyné
komentarze	megjegyzések
komentarze	hozzászólás
komentarze	megjegyzés
komentarze	hozzászólások
komentarze	észrevételek
keith	keith
naczynia	edények
naczynia	hajók
naczynia	edények
naczynia	edényeket
naczynia	ételek
zastąpić	helyettesíteni
zastąpić	levált
zastąpić	helyébe
zastąpić	helyettesítő
zastąpić	pótlék
reakcje	reakciók
reakcje	reagálás
reakcje	reakció
reakcje	reakciók
ekipa	csapat
ekipa	team
ekipa	legénység
ekipa	személyzet
piętrze	emelet
piętrze	padló
reklamy	hirdetések
reklamy	hirdetés
reklamy	hirdetéseket
reklamy	hirdetések
reklamy	hirdetéseket
reklamy	hirdetési
reklamy	hirdetések
reklamy	hirdetés
reklamy	reklám
odznaki	jelvény
kent	kent
zestawienie	összefoglaló
pomocnicze	segéd
pomocnicze	kisegítő
mali	mali
pruski	porosz
nieprzerwanie	folyamatosan
colin	colin
początkowa	kezdeti
ralph	ralph
todd	todd
joan	joan
joan	jeanne
global	globális
global	global
karla	karla
karla	károly
karla	karl
ośrodki	üdülőhelyek
ośrodki	központok
ośrodki	központok
stwierdzenie	nyilatkozat
stwierdzenie	nyilatkozata
stwierdzenie	kimutatás
stwierdzenie	állítás
stwierdzenie	kijelentés
zwalczania	felszámolás
zwalczania	felszámolására
zwalczania	harci
zwalczania	küzdelem
zwalczania	harc
autonomii	autonómia
powszechne	univerzális
powszechne	egyetemes
powszechne	széleskörű
fotografie	fotók
fotografie	fényképek
fotografie	fotók
fotografie	fényképek
fotografie	képek
fotografie	fotózás
zależne	eltartott
zależne	függő
zależne	leányvállalat
zależne	leányvállalatok
zależne	leányvállalatai
niebieskie	kék
niebieskie	blue
niszczyciele	rombolók
owoców	gyümölcs
owoców	gyümölcsök
owoców	gyümölcsöt
owoców	gyümölcs
owoców	gyümölcsök
pius	pius
męski	férfi
męski	hím
męski	férfias
męski	férfias
weryfikacji	hitelesítés
weryfikacji	ellenőrzés
chińskich	kínai
chińskich	kínaiak
narzędzie	szerszám
narzędzie	eszköz
uznawane	felismert
uznawane	elismert
uznawane	felismert
uznawane	elismert
organizmów	szervezetek
organizmów	organizmus
organizmów	élőlények
używanie	használatával
używanie	használata
używanie	felhasználva
cząstek	részecskék
cząstek	részecske
cząstek	részecske
przypuszczalnie	állítólag
przypuszczalnie	elvileg
przypuszczalnie	feltehetőleg
xxx	xxx
duchu	ghost
duchu	szellem
duchu	szellem
duchu	lélek
komputerów	számítógép
komputerów	számítógépek
niebo	mennyben
niebo	mennyország
niebo	menny
niebo	égbolt
niebo	sky
niebo	ég
niebo	égbolt
niebo	ég
kłopoty	gond
kłopoty	baj
kłopoty	bajok
kłopoty	gondok
węgierska	magyarul
węgierska	magyarok
węgierska	magyar
węgierska	hungarian
cleveland	cleveland
kampanię	kampány
tłumaczy	megmagyarázza
tłumaczy	translators
piątej	ötödik
wood	fa
wood	wood
wood	erdő
wood	fát
odkryte	felfedezte
odkryte	felfedezett
mont	mont
tlenu	oxigén
tlenu	oxigént
franciszkanów	ferences
classic	klasszikus
classic	classic
konto	fiók
konto	figyelembe
konto	számla
pat	patthelyzet
pat	pat
solidarność	szolidaritás
castro	castro
zalecenia	ajánlás
zalecenia	ajánlásokat
zalecenia	ajánlások
zalecenia	ajánlás
zalecenia	javaslatok
roberts	roberts
róża	rózsa
róża	rose
róża	rosa
armaty	ágyú
armaty	cannon
armaty	ágyúk
armaty	ágyúkat
jung	jung
dowody	bizonyíték
dowody	bizonyítás
dowody	bizonyíték
dowody	bizonyítékok
zachowany	megtartott
zachowany	tartósított
zachowany	megőrizte
amerykanie	amerikaiak
ósemka	nyolc
obsługiwane	támogatott
obsługiwane	karbantartott
obsługiwane	működtetett
obsługiwane	üzemeltetett
kwitnie	virágzik
basista	basszusgitáros
notowania	idézetek
notowania	árfolyamok
notowania	idézet
impreza	party
impreza	buli
impreza	parti
uszkodzony	sérült
uszkodzony	károsodott
uszkodzony	megsérült
uszkodzony	korrupt
uszkodzony	hibás
administratorem	admin
administratorem	adminisztrátor
administratorem	adminisztrátor
administratorem	ügyvezető
administratorem	ügyintéző
administratorem	tisztviselő
airways	airways
trofeum	trófea
mandatu	megbízás
mandatu	megbízatásának
mandatu	felhatalmazás
mandatu	megbízatás
legia	légió
gabinet	kabinet
gabinet	szekrény
zniszczenie	pusztulás
zniszczenie	pusztítás
zniszczenie	pusztulás
zniszczenie	pusztítás
zniszczenie	megsemmisítés
umieścić	rakd
umieścić	tedd
iran	iráni
iran	irán
icao	icao
han	han
dekret	rendelet
pisanie	gépelni
pisanie	írással
pisanie	írás
pisanie	írása
olympic	olimpiai
słownika	szótár
dochód	bevétel
dochód	bevételek
dochód	jövedelem
dochód	bevétel
dochód	jövedelmek
dochód	bevételek
dochód	jövedelme
winter	tél
winter	téli
winter	télen
poprawki	korrekció
poprawki	javítások
poprawki	módosítások
poprawki	módosításai
poprawki	módosítás
samolotem	repülő
samolotem	repülőgép
samolotem	sík
samolotem	repülővel
samolotem	repülő
samolotem	repülőgép
samolotem	repülőgép
zhang	zhang
anioł	angyal
anioł	angel
anioł	angyalka
seattle	seattle
nadawania	műsorszolgáltatás
łączna	kumulatív
łączna	halmozott
zbędne	felesleges
zbędne	fölösleges
zbędne	felesleges
zbędne	szükségtelen
zbędne	felesleges
zawartych	kötött
zawartych	megkötött
przekracza	meghaladja
dzieciństwie	gyermekkori
dzieciństwie	gyerekkorom
dzieciństwie	gyermekkorom
dzieciństwie	gyerekkori
santo	santo
bristol	bristol
centralna	központi
mosty	hidak
mosty	hidakat
traci	traci
traci	veszít
działki	telkek
działki	parcellák
działki	cselekmény
powstać	felmerülő
krajowym	hazai
krajowym	belföldi
nazwane	megnevezett
autorskie	copyright
gilbert	gilbert
równanie	egyenlet
równanie	egyenletek
davisa	davis
rzekomo	állítólag
więzień	rab
więzień	fogoly
więzień	elítélt
więzień	rab
więzień	fegyenc
więzień	börtönökben
więzień	börtönök
poinformował	tájékoztatta
poinformował	tájékoztatott
poinformował	tájékozott
poinformował	tájékoztatta
telefon	telefonon
telefon	telefon
telefon	telefont
telefon	telefonszám
telefon	telefon
jasno	fényes
kuba	kubában
kuba	kuba
utc	utc
felix	felix
felix	félix
aktualne	áramlat
aktualne	jelenlegi
aktualne	aktuális
franka	feri
franka	frank
dachau	dachau
przemiany	átalakulás
przemiany	átalakítás
dziwne	fura
dziwne	furcsa
dziwne	különös
dziwne	furcsa
dziwne	páratlan
dziwne	furcsa
gerard	gérard
gerard	gerard
zagraniczne	külföldi
zagraniczne	kül
zagraniczne	külföldiek
wyrzutni	kilövő
turynie	torinói
recenzji	értékelések
recenzji	vélemények
pastor	lelkész
pastor	pásztor
brzegi	szélek
urban	városi
fotograf	fotós
fotograf	fényképész
zaatakował	bántalmazott
zaatakował	megtámadott
zaatakował	megtámadott
zaatakował	megtámadta
zaatakował	megtámadtak
turystyczna	turisták
turystyczna	turista
symboli	jelek
symboli	jelölések
symboli	szimbólumok
symboli	szimbólum
podania	alkalmazások
podania	kérelmek
zabił	megölt
zabił	megölte
rzeczywistość	valóság
korporacji	társaságok
korporacji	vállalatok
korporacji	cégek
korporacji	corporation
ludzkości	emberség
ludzkości	emberiség
ludzkości	emberiség
twierdza	erőd
obserwacje	megfigyelések
obserwacje	észrevétel
obserwacje	észrevételek
obserwacje	észrevétel
obserwacje	megfigyelés
satelity	műholdak
satelity	műholdas
satelity	műhold
szyi	nyakát
szyi	nyaka
szyi	nyak
młodzi	fiatalok
młodzi	fiatal
młodzi	fiatalos
akademickich	akadémiai
stalina	sztálin
borys	boris
borys	borisz
uznana	felismert
uznana	elismert
uznana	felismert
uznana	elismert
tożsamość	személyazonosság
tożsamość	személyazonosságát
tożsamość	identitás
machine	gépezet
machine	gép
składników	hozzávalók
składników	összetevők
sławy	sztárok
sławy	hírességek
sławy	hírnév
wykonawcy	előadók
wykonawcy	művészek
wykonawcy	vállalkozó
wykonawcy	előadók
wykonawcy	vállalkozók
zaliczony	számoltam
zaliczony	számolt
beta	béta
rodríguez	rodriguez
rodríguez	rodríguez
zysk	profit
zysk	haszon
zysk	nyereség
zysk	nyereség
zysk	profit
zysk	haszon
zysk	nyereség
ring	gyűrűt
ring	gyűrűvel
ring	ring
ring	gyűrű
ring	gyűrűs
instruktor	oktató
ludzkie	ember
ludzkie	emberi
wykonywanie	teljesítő
resztki	maradékot
resztki	maradék
resztki	maradékot
resztki	maradékok
zagrożony	veszélyeztetett
zagrożony	fenyegetett
martínez	martínez
dzieciństwa	gyermekkori
dzieciństwa	gyerekkorom
dzieciństwa	gyermekkorom
dzieciństwa	gyerekkori
portów	kikötők
nicholas	nicholas
nicholas	miklós
mateusza	matthew
mateusza	máté
punk	punk
brać	vedd
specjalistów	szakértők
specjalistów	szakemberek
specjalistów	profik
specjalistów	szakemberek
spencer	spencer
wiatru	szél
wiatru	szelet
ósmy	nyolcadik
syberii	szibéria
syberii	szibériai
tarcza	pajzs
tarcza	shield
romuald	romuald
przedstawiciela	reprezentatív
przedstawiciela	képviselő
piwo	sör
piwo	sört
arystokrata	arisztokrata
kultur	kultúrák
willi	willi
willi	villák
katastrof	katasztrófák
katastrof	katasztrófák
komenda	parancsnokság
komenda	parancs
atlantic	atlanti
uni	uni
pokonać	legyőzni
pokonać	vereség
pokonać	legyőzni
age	kor
age	életkor
rysunek	képet
rysunek	kép
rysunek	fénykép
rysunek	vázlat
rysunek	figura
rysunek	ábra
rysunek	rajza
rysunek	rajz
rysunek	rajzol
widząc	látni
widząc	látván
widząc	látva
urzędnicy	eladók
urzędnicy	hivatalnokok
urzędnicy	hivatalnokok
urzędnicy	tisztviselők
urzędnicy	tisztviselői
panorama	panorama
gitarze	gitár
karne	szankció
karne	büntető
karne	büntetés
dole	alul
dole	alja
dole	alsó
dole	fenék
marsa	marson
marsa	mars
podpis	felirat
podpis	aláírás
znajomości	kapcsolatai
znajomości	kapcsolatok
nigerii	nigériai
nigerii	nigéria
posiadać	van
potencjał	potenciális
potencjał	lehetséges
potencjał	potenciál
potencjał	lehetőség
włoskie	olasz
włoskie	olaszország
xbox	xbox
boeing	boeing
niespodziewanie	meglepően
niespodziewanie	meglepő
wirginia	virginiában
wirginia	virginia
wirginia	virginiai
dick	fasz
dick	dick
dick	farok
konie	lovak
konie	lovakat
konie	lovas
konie	ló
agresji	agresszió
kiss	csók
kiss	puszi
kiss	kiss
rezerw	tartalékok
rezerw	tartalék
kolejność	megrendelés
kolejność	rendelés
kolejność	rend
kolejność	parancs
kolejność	szekvencia
kolejność	sorrend
imigrantów	bevándorlók
imigrantów	bevándorlók
imigrantów	bevándorló
pogrzeb	temetés
pogrzeb	temetésen
pogrzeb	temetés
pogrzeb	temetése
angelo	angelo
mostów	hidak
mostów	hidakat
petra	petra
bułgaria	bulgária
straße	straße
lekkoatletyka	atlétika
kopia	másolat
kopia	másolatot
podróżnik	utazó
podróżnik	utazó
podróżnik	utazók
podróżnik	utas
bogate	gazdag
bogate	gazdagok
bogate	rich
odziedziczył	örökölt
odziedziczył	örökölte
delegacji	felhatalmazás
delegacji	küldöttség
delegacji	delegáció
delegacji	küldöttségek
chelsea	chelsea
zwolennicy	támogatók
zwolennicy	támogatói
wątek	szál
związani	köt
związani	kötve
ograniczone	limited
ograniczone	limitált
ograniczone	korlátozott
ograniczone	korlátolt
ograniczone	korlátozott
ograniczone	korlátozottak
amerykanów	amerikaiak
dowolny	freestyle
dowolny	bármelyik
dowolny	bármely
dowolny	bármilyen
sosnowiec	sosnowiec
alfons	alfonso
alfons	strici
właściwy	hozzáértő
właściwy	illetékes
amerykanin	amerikai
linux	linux
bordeaux	bordeaux
teorie	elmélet
teorie	elméletek
hierarchii	hierarchia
centralne	központi
porsche	porsche
emilia	emilia
emilia	emilie
powiązane	kapcsolódó
powiązane	társult
powiązane	kapcsolódott
powiązane	kapcsolt
powiązane	összekapcsolt
powiązane	kapcsolatban
powiązane	kapcsolt
powiązane	kapcsolódott
powiązane	kapcsolódó
powiązane	összekapcsolt
powiązane	összefüggő
powiązane	kapcsolódó
powiązane	rokonok
powiązane	rokon
powiązane	kapcsolatban
katolicyzm	katolicizmus
bolszewików	bolsevikok
milion	millió
powierzono	megbízott
etiopii	etiópia
etiopii	etióp
doświadczeń	tapasztalatok
doświadczeń	élmények
projektant	tervező
otwór	nyílás
otwór	lyuk
otwór	gödör
justyna	justine
justyna	justin
propagandy	propaganda
odpowiedzialność	kötelezettség
odpowiedzialność	felelősség
odpowiedzialność	feladatok
odpowiedzialność	felelősség
odpowiedzialność	felelősséget
odpowiedzialność	felelősség
police	rendőrség
police	rendőr
bundesligi	bundesliga
dysku	korong
dysku	lemez
dysku	lemezt
hokej	jégkorong
hokej	hoki
liu	liu
odkryty	szabadtéri
odkryty	kültéri
odkryty	szabadban
wyjaśnienia	magyarázat
wyjaśnienia	magyarázatot
wyjaśnienia	magyarázat
wyjaśnienia	magyarázatot
okrążenia	kör
wyższy	magasabbak
wyższy	magasabb
wyższy	feljebb
wyższy	magasabb
wyższy	nagyobb
hop	hop
współrzędnych	koordináták
współrzędnych	koordináta
współrzędnych	koordinátákat
marynarzy	tengerészek
marynarzy	tengerészek
marynarzy	tengerészek
marynarzy	tengerészek
avenue	avenue
avenue	sugárút
gustav	gustav
mobile	mobilos
mobile	mobile
mobile	mobil
filadelfii	philly
filadelfii	philadelphia
filadelfii	philadelphiai
filadelfii	philadelphiában
filadelfii	philadelphia
filadelfii	philadelphiai
oddziaływania	hatások
kadencja	távú
kadencja	kifejezés
poczta	mail
poczta	levél
poczta	levelek
poczta	posta
poczta	poszt
poczta	posta
poczta	post
poczta	bejegyzést
poczta	bejegyzésre
poczta	bejegyzés
wenus	vénusz
graf	graf
funduszu	alap
felipe	felipe
zasług	érdem
wyemigrował	emigrált
wyemigrował	emigrált
wyróżnić	kiemelés
wyróżnić	kiemelni
zurychu	zürich
pasażerski	utas
cia	cia
cia	cia
pojedynczy	egyedülálló
pojedynczy	single
pojedynczy	egyetlen
pojedynczy	szingli
sprinter	sprinter
ból	fáj
ból	fájdalmat
ból	fájdalom
rgb	rgb
pierwotne	elsődleges
pierwotne	primer
działało	bevált
działało	dolgozott
działało	működött
grobu	sírba
grobu	sír
martín	martín
więzienie	börtön
więzienie	börtönbe
więzienie	börtön
więzienie	börtönben
kupił	megvásárolt
kupił	vásárolt
kupił	vett
kupił	vettem
wycofany	kivont
wycofany	visszavont
wycofany	visszavonják
justin	justin
beck	beck
true	igaz
true	igazi
ginie	gina
indianapolis	indianapolis
kadetów	kadétok
sprawdzone	ellenőrizve
sprawdzone	ellenőriztem
sprawdzone	ellenőrzött
sprawdzone	ellenőrizte
sprawdzone	ellenőrizve
sprawdzone	hitelesített
sprawdzone	ellenőrzött
sprawdzone	megvizsgált
sprawdzone	megvizsgált
sprawdzone	vizsgált
sprawdzone	tesztelt
żużlu	speedway
rzymskie	római
rzymskie	roman
godło	jelkép
godło	címere
godło	embléma
hampshire	hampshire
motywy	témák
tras	útvonalakon
tras	útvonalak
rakieta	rakéta
rakieta	rakéta
hart	hart
khan	kahn
khan	khan
khan	kán
wymieniona	hivatkozott
podanie	kérelem
podanie	alkalmazás
podanie	jelentkezés
podanie	passz
luca	luca
akademickie	akadémiai
dialogi	párbeszédek
aparatu	kamera
aparatu	fényképezőgép
przyszedł	jött
przywilej	kiváltság
przywilej	kiváltságairól
przywilej	kiváltság
przywilej	jogosultságok
sri	srí
lekki	fény
lekki	light
lekki	fényt
karaibów	karibi
konserwatorium	konzervatórium
łatwiej	könnyebb
łatwiej	könnyebben
łatwiej	egyszerűbb
basen	medence
basen	biliárd
roll	tekercs
roll	gurul
roll	roll
uchodźców	menekült
uchodźców	menekültek
owoc	gyümölcs
owoc	gyümölcsök
owoc	gyümölcsöt
empire	birodalom
empire	empire
pióra	tollak
pióra	toll
pióra	tollak
pióra	toll
ski	síelés
ski	sí
okręgów	körzetek
regularne	rendszeresen
regularne	rendszeres
regularne	normál
break	szünet
break	törés
druku	nyomda
druku	nyomtatás
