popularmente	popularly
específicos	spesifik
específicos	specific
específicos	tertentu
wright	wright
falla	gagal
falla	gagal
falla	kegagalan
falla	kecacatan
falla	tersasar
romper	break
romper	hentian
romper	rehat
huerta	dusun
huerta	orchard
huerta	huerta
septentrional	utara
septentrional	northern
seguimiento	tracking
seguimiento	menjejaki
seguimiento	penjejakan
seguimiento	pengesanan
seguimiento	pemantauan
seguimiento	memantau
difíciles	sukar
cerveza	beer
cerveza	bir
proyección	unjuran
neerlandés	belanda
neerlandés	dutch
chiapas	chiapas
compuestas	gubahan
compuestas	komposit
compuestas	compound
compuestas	kompaun
compuestas	sebatian
bloqueado	dikunci
bloqueado	berkunci
bloqueado	disekat
bloqueado	menyekat
maneras	cara
tocó	terharu
tocó	touched
tocó	tersentuh
infierno	neraka
infierno	neraka
gastos	pengeluaran
gastos	perbelanjaan
gastos	perbelanjaan
africana	afrika
africana	african
depósito	deposit
lucio	lucio
lucio	pike
lucio	lucius
montenegro	montenegro
avanzada	advanced
nucleares	nuklear
emma	emma
terry	terry
jornadas	hari
situados	terletak
lobos	wolf
lobos	serigala
lobos	serigala
lobos	lobos
especialista	specialist
especialista	pakar
octava	kelapan
octava	octave
pendiente	cerun
pendiente	subang
pendiente	tertangguh
pendiente	pending
pendiente	tertunggak
pendiente	outstanding
realista	realist
realista	realistik
century	abad
century	century
definitivo	muktamad
definitivo	final
recordar	mengingati
recordar	recall
recordar	ingat
comenzando	awai
comenzando	bermula
comenzando	memulakan
paraíso	firdaus
paraíso	syurga
autora	pengarang
autora	penulis
autora	author
testimonio	saksi
testimonio	testimonial
testimonio	testimoni
malta	malt
malta	pengilang
malta	malta
aerolíneas	penerbangan
aerolíneas	airlines
balonmano	handball
bloques	blok
positiva	positive
positiva	positif
turner	turner
vidal	vidal
polvo	dust
polvo	debu
polvo	serbuk
polvo	bedak
tomada	direbut
tomada	diambil
tomada	taken
balón	bola
balón	bebola
fija	pembaikan
fija	memperbetulkan
declara	isytihar
declara	declare
alegría	joy
alegría	kegembiraan
alegría	cheer
alegría	sorak
luxemburgo	luxemburg
luxemburgo	luxembourg
prusia	prusia
declaraciones	pengisytiharan
reconoció	diakui
cronología	kronologi
cría	pembiakan
cría	breeding
cría	membiak
cross	rentas
cross	salib
cross	cross
cross	langar
ron	ron
ron	rum
estrada	estrada
singular	tunggal
comenzado	dimulakan
comenzado	bermula
phoenix	phoenix
semi	semi
maine	maine
varsovia	warsaw
masacre	bantai
vinos	anggur
vinos	wain
nominada	dicalonkan
denuncia	report
denuncia	lapor
denuncia	laporkan
denuncia	laporan
denuncia	aduan
denuncia	kecaman
decidir	memutuskan
decidir	putuskan
frutas	berbuah
frutas	buah
frutas	buah
frutas	fruits
periodos	tempoh
obtenidos	diperoleh
obtenidos	diperolehi
graham	graham
duquesa	duchess
delito	jenayah
preocupación	kebimbangan
preocupación	kebimbangan
metales	logam
metales	metal
metales	logam
sufrir	menderita
renfe	renfe
golf	golf
creencias	kepercayaan
creencias	keyakinan
creencias	kepercayaan
sucre	sucre
baltimore	baltimore
stars	bintang
reputación	reputasi
party	parti
norman	norman
humberto	humberto
humberto	humbert
humberto	umberto
humberto	hubert
participante	peserta
conexiones	sambungan
cumplimiento	pematuhan
aurora	aurora
australiana	australian
australiana	australia
ámsterdam	amsterdam
ilustración	pencerahan
ilustración	ilustrasi
potosí	potosi
potosí	potosí
efectiva	berkesan
efectiva	efektif
constituyente	pengundi
convertir	convert
convertir	tukar
llanura	dataran
levantamiento	pemberontakan
levantamiento	mengangkat
hebreo	hebrew
hebreo	ibrani
propaganda	propaganda
desea	wish
desea	hajat
desea	keinginan
desea	wishes
thompson	thompson
jay	jay
secuela	susulan
tributo	penghormatan
placas	pelat
placas	plat
placas	lencana
placas	plate
placas	lempeng
placas	plat
placas	piring
estructural	struktur
culpa	blame
culpa	menyalahkan
culpa	disalahkan
culpa	salahkan
singapur	singapura
singapur	singapore
secreta	rahsia
comerciantes	peniaga
comerciantes	peniaga
comerciantes	pengedar
bank	bank
meseta	mesa
meseta	penara
hamburgo	hamburg
ordenado	memerintahkan
ordenado	ditempah
pereira	pereira
proporción	nisbah
proporción	perkadaran
asociada	mengaitkan
fiat	fiat
estimada	dianggarkan
correa	correa
correa	tali
colaborar	kolaborasi
colaborar	berkerjasama
colaborar	bekerjasama
arquidiócesis	archdiocese
episcopal	episcopal
secretaria	setiausaha
circuitos	litar
circuitos	circuit
circuitos	litar
magallanes	magellan
distribuye	mengagihkan
distribuye	membahagikan
distribuye	mengedar
distribuye	agihkan
distribuye	edar
concacaf	concacaf
auxiliar	pembantu
auxiliar	assistant
minería	perlombongan
corteza	salak
