sony	sony
feminină	kvinnlig
feminină	feminina
feminină	kvinnligt
gură	mun
gură	munnen
plăci	plåtar
plăci	tallrikar
plăci	plattor
plăci	brickor
plăci	plattor
psihologie	psykologi
creator	skaparen
creator	skapare
circuit	kretsar
circuit	krets
neutru	neutral
neutru	neutralt
neutru	neutrala
bahia	bahia
topografice	topografiska
telefon	telefon
telefon	telefonen
telefon	telefon
controlată	styrd
controlată	kontrollerad
controlată	kontrolleras
controlată	kontrollerade
controlată	kontrollerat
benedict	benedict
larry	larry
copenhaga	copenhagen
copenhaga	köpenhamn
copenhaga	köpenhamns
lipsește	saknar
lipsește	saknas
lipsește	saknade
lipsește	saknad
lipsește	försvunnen
roland	roland
trepte	fotspår
trepte	fotsteg
trepte	fotsteg
trepte	steg
trepte	trappsteg
conservarea	bevarande
conservarea	konservering
conservarea	bevarande
mahmud	mahmud
pictată	målade
pictată	målad
pictată	målas
pictată	målat
progresul	progress
progresul	förlopp
progresul	framsteg
ciclu	kretslopp
ciclu	cykel
rundă	avrunda
rundă	omgång
rundă	rund
rundă	runt
rundă	runda
emanuel	emanuel
reforme	reformer
reforme	reformerna
junior	junior
junior	yngre
platon	platon
arhivele	arkiv
arhivele	arkiverar
arhivele	arkiven
metrou	tunnelbana
metrou	tunnelbanan
metrou	tunnelbana
metrou	metro
vendée	vendée
vicar	kyrkoherden
vicar	kyrkoherde
einstein	einstein
prelucrarea	beredning
prelucrarea	förädling
prelucrarea	bearbetning
prelucrarea	bearbetar
sclavi	slavarna
sclavi	slavar
wrestling	brottning
wrestling	brottas
nasr	nasr
merit	meriter
merit	förtjänster
merit	merit
perspectivă	perspektivet
perspectivă	perspektiv
singular	singular
recenzie	översyn
recenzie	granskning
recenzie	granska
recenzie	omprövning
recenzie	recension
pierdută	förlorat
pierdută	förlorad
pierdută	vilse
pierdută	lost
pierdută	förlorade
stewart	stewart
trimisă	skickas
trimisă	skickade
trimisă	skickat
trimisă	skickad
aveyron	aveyron
obținută	uppnådda
obținută	framställda
obținută	erhållen
obținută	erhållna
obținută	erhållits
adâncimea	djup
adâncimea	djupet
chelsea	chelsea
unire	sammanfoga
unire	sammanfogning
unire	bindning
întâlnirea	sammanträde
întâlnirea	möte
întâlnirea	mötet
panzer	panzer
cursa	lopp
cursa	race
cursa	ras
cursa	tävla
cursa	tävling
doctoratul	doktorsexamen
doctoratul	doktorsgrad
catalogul	sortiment
catalogul	katalogen
catalogul	katalog
catalogul	katalog
publicitate	annonsera
publicitate	reklam
publicitate	annonsering
vânt	vinden
vânt	vindkraft
vânt	vind
blocarea	blockering
blocarea	blockerar
blocarea	blockera
obiectivul	målsättning
obiectivul	objektiv
obiectivul	objektivt
regilor	kings
regilor	kungar
regilor	konungar
regilor	kungarna
spirituale	andliga
spirituale	själslig
spirituale	andlig
spirituale	andligt
ing	ing
elevii	studenter
elevii	studerande
elevii	elever
elevii	pupiller
elevii	elever
determinarea	fastställande
determinarea	bestämning
determinarea	beslutsamhet
determinarea	bestämdhet
frumoasa	vackra
frumoasa	vacker
frumoasa	vackert
mobilă	rörlig
mobilă	mobil
mobilă	mobila
mobilă	inventarier
mobilă	möbler
potter	potter
corina	corina
anonim	anonym
anonim	anonyma
plumb	leda
plumb	bly
plumb	lead
localizat	ligger
localizat	lokaliserad
localizat	belägen
localizat	lokaliserat
localizat	lokaliserade
localizat	lokaliserad
localizat	lokaliserat
side	sidan
side	side
side	sido
efortul	ansträngning
efortul	insats
navală	naval
cartoon	tecknad
cartoon	tecknade
cartoon	tecknat
pânză	canvas
pânză	duk
necunoscută	okända
necunoscută	okänd
necunoscută	okänt
doctrina	doktrin
doctrina	doktrinen
senatul	senaten
senatul	senat
concentrat	koncentrerat
concentrat	koncentrerad
concentrat	koncentrerade
concentrat	koncentrera
concentrat	koncentrat
concentrat	fokuserat
concentrat	fokuserade
concentrat	fokuserad
săli	salar
stars	stjärnor
stars	stars
lipsesc	saknar
lipsesc	saknas
lipsesc	saknade
lipsesc	saknad
lipsesc	försvunnen
catalog	sortiment
catalog	katalogen
catalog	katalog
catalog	katalog
diesel	diesel
toronto	toronto
darwin	darwin
teolog	teolog
rey	rey
cadre	motiv
cadre	ramar
cadre	ramverk
așteptat	förväntade
așteptat	förväntat
așteptat	förväntas
așteptat	förväntad
așteptat	väntas
așteptat	väntat
așteptat	väntade
copie	kopiera
copie	kopia
augusta	augusta
nièvre	nièvre
individ	individuell
individ	individuellt
individ	individ
individ	individuella
cauze	orsakar
cauze	orsaker
posturi	inlägg
posturi	stolpar
rosa	rosa
neil	neil
orientale	orientaliska
murray	murray
giorgio	giorgio
bloc	blockera
bloc	blocket
bloc	blocka
bloc	blockering
bloc	block
extremă	extrem
extremă	extrema
extremă	extremt
sophie	sophie
fundamentală	grundläggande
fundamentală	fundamentala
fundamentală	fundamental
fundamentală	fundamentalt
democratice	demokratiskt
democratice	demokratisk
democratice	demokratiska
verii	kusiner
verii	kusinerna
aventură	äventyr
ciot	stub
ciot	stump
gri	grå
gri	grått
gri	gråa
gri	grå
gri	grått
gri	gråa
imdb	imdb
producători	producenter
producători	tillverkare
producători	tillverkarna
editată	redigerat
editată	redigerade
gratuit	gratis
gratuit	fri
gratuit	free
gratuit	ledig
gratuit	fritt
gratuit	fria
proiectele	projekt
versailles	versailles
floarea	blomma
floarea	blomman
terry	terry
nordice	nordic
nordice	nordisk
nordice	nordiska
desemnează	betecknar
desemnează	utser
desemnează	utse
viziune	syn
viziune	visioner
viziune	vision
partidele	fester
partidele	parter
partidele	partier
partidele	parterna
catalonia	katalonien
profesie	yrke
profesie	yrket
mayenne	mayenne
tablouri	målningar
tablouri	tavlor
dean	dekanus
dean	dean
zagreb	zagreb
exemplul	exempel
incintă	inhägnad
incintă	inneslutning
magnolia	magnolia
informare	genomgången
informare	genomgång
populații	populationer
populații	befolkningar
bere	öl
solicitat	efterfrågade
solicitat	begärt
solicitat	begärda
solicitat	begärd
solicitat	begärde
mandatul	fullmakt
mandatul	mandatperiod
mandatul	mandat
mandatul	mandatet
cape	cape
cape	kap
cape	mantel
expert	experten
expert	sakkunnig
expert	expert
zahăr	sackaros
zahăr	socker
wagner	wagner
călugăr	munken
călugăr	munk
scandal	skandal
scandal	skandalen
scandal	skandaler
digitală	digitala
digitală	digitalt
digitală	digital
mențiune	term
mențiune	termen
fals	falsk
fals	false
fals	falska
fals	falskt
fals	falska
fals	falskt
fals	fake
