hostince	herbergen
matematické	wiskundige
matematické	wiskundig
matematické	mathematische
žlutý	gele
žlutý	geel
rusi	rus
oleje	olieverf
oleje	aardolie
oleje	olie
oleje	oliën
přáteli	vrienden
přáteli	friends
dopad	impact
dopad	inslag
dopad	effect
dopad	botsing
grant	subsidie
grant	grant
časy	tijden
časy	times
margaret	margaret
margaret	margaretha
panna	virgo
panna	maagd
panna	virgin
panna	maagd
panna	maagden
jules	jules
audio	audio
audio	geluid
cestoval	gereisd
cestoval	reisde
cestoval	gereisd
cestoval	reisde
cestoval	reisden
winter	winter
rick	rick
turisty	toeristen
končetiny	ledemaat
končetiny	ledematen
končetiny	ledematen
akademické	academisch
akademické	academische
kaplan	kapelaan
kaplan	kapelaan
kaplan	kaplan
nárůst	verhoging
nárůst	vergroten
nárůst	verhoog
nárůst	verhogen
nárůst	stijging
poezii	poëzie
poezii	gedichten
pozor	aandacht
pozor	attentie
pozor	opgelet
kino	kino
kino	bioscoop
kino	bioscopen
kino	cinema
šumperk	šumperk
karviná	karviná
ovlivněn	beïnvloedde
ovlivněn	beïnvloed
ovlivněn	getroffen
ovlivněn	beïnvloed
sester	sisters
sester	zusters
sester	zussen
sester	zusjes
relevantní	relevantie
relevantní	relevant
relevantní	relevante
novak	novak
dorazil	gearriveerd
dorazil	aangekomen
fin	vin
fin	fin
léčbě	traktatie
léčbě	behandelen
léčbě	behandel
masivní	massief
masivní	enorme
masivní	massive
masivní	massaal
masivní	massale
zachránil	gered
zachránil	gered
zachránil	bewaard
zachránil	opgeslagen
guvernér	gouverneur
autorství	auteurschap
demokracii	democratie
celoživotní	looptijd
celoživotní	levensduur
celoživotní	levenslang
řetězce	ketenen
řetězce	kettingen
řetězce	ketens
řetězce	koorden
řetězce	touwtjes
řetězce	snaren
řetězce	strings
posádku	bemanning
posádku	crew
china	chin
china	kin
úvahu	overweging
vložit	invoegen
vložit	plak
vložit	plakken
věděl	wisten
věděl	wist
konečný	eindig
konečný	eindige
konečný	definitief
konečný	finale
odpoledne	middag
odpoledne	namiddag
dagmar	dagmar
vědců	wetenschappers
subsp	subsp
karta	tabblad
karta	tab
johan	johan
cooper	cooper
stráže	wachters
stráže	bewakers
afghánistánu	afghanistan
robot	robot
via	via
výchozí	standaard
kilometr	kilometer
provizorní	voorlopige
provizorní	voorlopig
provizorní	geïmproviseerde
psycholog	psycholoog
převzetí	overnames
převzetí	overname
nález	vinden
nález	ontdekking
nález	ontdekkingen
nález	discovery
tanku	tank
likvidaci	verwijdering
likvidaci	vereffening
likvidaci	liquidatie
gen	gene
gen	gen
gen	gen
protest	protesten
protest	protest
protest	protesteren
kvete	bloeit
kvete	bloeiende
pasivní	passieve
pasivní	passief
fotky	fotos
fotky	plaatjes
výrobci	producers
výrobci	producenten
výrobci	producent
výrobci	fabrikant
výrobci	fabrikanten
graf	grafiek
graf	grafiek
graf	graf
jedenáct	eleven
jedenáct	elf
kůži	huid
kůži	skin
léčba	behandeling
léčba	behandelingen
prefektura	prefectuur
sokolov	sokolov
issn	issn
western	western
western	westelijk
playoff	playoff
playoff	playoffs
zkušenost	ervaar
zkušenost	ervaren
zkušenost	ervaring
zkušenost	ervaringen
komunikační	communicatie
komunikační	mededeling
komunikační	communicatie
komunikační	mededelingen
pátá	vijfde
husa	goose
husa	gans
husa	ganzen
svědomí	geweten
cítí	voelt
učit	lesgeven
učit	onderwijzen
uzavřít	close
uzavřít	afsluiten
uzavřít	sluiten
uzavřít	sluit
uzavřít	dichtbij
břeclav	břeclav
houby	champignons
houby	paddenstoelen
houby	paddestoelen
houby	sponzen
houby	paddestoelen
houby	paddenstoel
houby	schimmels
vzorec	formule
vzorec	patroon
sigma	sigma
listina	handvest
spravedlnost	justice
spravedlnost	gerechtigheid
spravedlnost	justitie
spravedlnost	rechtvaardigheid
lgbt	lgbt
milion	miljoen
saxofon	saxofoon
saxofon	sax
saxofon	saxofoon
junior	junior
zabije	doodt
řidič	chauffeur
řidič	stuurprogramma
řidič	driver
řidič	bestuurder
čtenáři	lezers
čtenáři	lezer
kristus	christus
varování	waarschuwing
varování	waarschuwingen
náklad	cargo
náklad	vracht
náklad	lading
matt	matt
bmw	bmw
marne	marne
socialistická	socialist
socialistická	socialistisch
socialistická	socialistische
položky	items
položky	vermeldingen
položky	inzendingen
položky	ingangen
automobilový	automotive
automobilový	automobiel
ohrožený	bedreigde
ohrožený	bedreigd
prezidentské	presidentiële
prezidentské	presidentieel
zajímavá	interessante
zajímavá	interessant
ztrácí	verliezen
ztrácí	verliest
jerry	jerry
jerry	mof
ohio	ohio
jakékoli	elke
uzavřené	bijgevoegd
uzavřené	bijgesloten
uzavřené	ingesloten
uzavřené	gesloten
uzavřené	afgesloten
nutnost	noodzaak
nutnost	noodzakelijkheid
varšavě	warschau
zjištěno	gedetecteerd
zjištěno	ontdekt
zápasník	strijder
zápasník	vechter
zápasník	fighter
zápasník	worstelaar
steven	steven
vodíku	waterstof
ekonomická	economische
ekonomická	economisch
ekonomická	zuinig
ekonomická	economie
senát	senaat
indické	indisch
indické	indiaas
indické	indiaan
indické	indiase
indické	indische
důvěru	zelfvertrouwen
důvěru	vertrouwen
důvěru	trust
důvěru	vertrouw
důvěru	vertrouwen
sedmé	zevende
sedmé	seventh
irský	ierse
irský	ieren
irský	iers
afc	afc
ředitelství	directoraat
písemné	schriftelijke
písemné	geschreven
vyhráli	gewonnen
vyhráli	won
náhrada	terugbetaling
náhrada	teruggave
náhrada	restitutie
náhrada	vergoeding
náhrada	terugbetaling
náhrada	vergoeding
náhrada	compensatie
náhrada	schadeloosstelling
náhrada	schadevergoeding
náhrada	vervanging
náhrada	vervanger
účtu	rekening
účtu	account
oznámeno	aangemelde
oznámeno	aangemeld
oznámeno	aangekondigde
oznámeno	aangekondigd
oznámeno	kondigde
zjevení	openbaringen
zjevení	onthulling
zjevení	openbaring
zjevení	openbaring
zjevení	verschijning
zjevení	openbaringen
zjevení	openbaring
zjevení	onthullingen
domácnosti	huishoudens
domácnosti	gezinnen
domácnosti	huishouding
domácnosti	huishoudelijke
domácnosti	huishouden
domácnosti	huishoudelijk
potomků	nakomelingen
potomků	nageslacht
potomků	nakomeling
potomků	kroost
potomků	nakomelingen
potomků	afstammelingen
potomků	nageslacht
slezsko	silezië
philip	philip
philip	filips
baker	baker
baker	bakker
nízký	laag
nízký	low
nízký	lage
závislost	afhankelijkheid
závislost	verslaving
závislost	afhankelijkheid
angel	engel
angel	angel
angel	engeltje
nice	mooi
nice	lekker
nice	fijn
nice	leuk
nice	nice
předpokladu	veronderstelling
podpořil	gesteund
podpořil	ondersteunde
podpořil	ondersteund
podpořil	gesteunde
floyd	floyd
kuchyně	keuken
napadení	geweldpleging
napadení	mishandeling
napadení	aanval
záměrně	doelbewust
záměrně	opzettelijk
záměrně	bewust
záměrně	expres
záměrně	doelbewust
záměrně	expres
záměrně	opzettelijk
homo	homo
vítěze	winnares
vítěze	winnaar
vítěze	winnaars
úhlu	hoek
míč	bal
míč	ball
výslovně	uitdrukkelijk
výslovně	uitdrukkelijk
výslovně	expliciet
výslovně	uitdrukkelijk
výslovně	expliciet
výslovně	expliciete
výslovně	uitdrukkelijke
výslovně	specifiek
výpočet	berekening
výpočet	berekenen
výpočet	berekeningen
autorka	auteur
autorka	schrijver
stanovení	vastberadenheid
stanovení	bepaling
ernest	ernest
ernest	ernst
hospodářská	economische
hospodářská	economisch
pouť	bedevaart
pouť	pelgrimstocht
prezentace	presentatie
prezentace	presentaties
objevit	ontdek
objevit	ontdekken
vyjma	behalve
příchod	aankomst
par	par
par	damp
přežil	overleefden
přežil	overleefde
přežil	overleefd
são	são
padesát	vijftig
padesát	fifty
jacob	jacob
jacob	jakob
oprávnění	permissie
oprávnění	toestemming
oprávnění	autorisatie
oprávnění	toestemming
oprávnění	vergunning
oprávnění	toestemmingen
příze	garens
příze	garens
příze	garen
směry	richtingen
směry	routebeschrijving
směry	oriëntaties
verše	verzen
verše	vers
dodržování	naleving
dodržování	compliance
dodržování	naleven
teplo	warmte
teplo	hitte
teplo	warm
teplo	warme
teplo	warmte
dobrovolně	gewillig
dobrovolně	vrijwillig
dobrovolně	vrijwillige
dobrovolně	vrijwillig
rna	rna
reagovat	reageer
reagovat	reageren
reagovat	reageer
reagovat	reageren
duševní	geestelijke
duševní	spirituele
duševní	spiritueel
duševní	geestelijk
duševní	mentaal
duševní	mentale
duševní	geestelijk
duševní	geestelijke
duševní	intellectuele
duševní	intellectueel
dopředu	forward
dopředu	voorwaarts
dopředu	vooruit
dopředu	doorsturen
dick	dick
dick	lul
terapie	therapie
mnich	monnik
mnich	monk
zajat	gevangengenomen
zajat	gevangen
soukromá	prive
soukromá	privé
soukromá	particulier
rozpočtu	budget
rozpočtu	begroting
úseky	afdelingen
úseky	secties
musée	musée
ukrajinský	oekraïens
ukrajinský	oekraïense
ostřice	carex
rychleji	sneller
rychleji	vlugger
rychleji	sneller
rychleji	snellere
rychleji	vlugger
brigády	brigades
brigády	brigade
veselí	cheer
veselí	juichen
květ	bloesem
květ	bloem
květ	bloempje
květ	bloemetje
květ	bloom
květ	bloeien
květ	bloei
společenský	sociale
společenský	sociaal
mikroregionu	microregio
bohové	goden
subjekt	entiteit
subjekt	onderwerp
subjekt	proefpersoon
subjekt	subject
oka	oka
oka	oog
oka	eye
čapek	čapek
vazba	bindende
vazba	bindend
vazba	binding
vazba	bindmiddel
dánská	deens
dánská	deense
albánie	albanese
albánie	albanees
albánie	albanië
řetězec	tekenreeks
řetězec	string
řetězec	touwtje
řetězec	ketting
řetězec	keten
schválení	erkenningen
schválení	goedkeuring
rychnov	rychnov
nabídky	biedingen
nabídky	offertes
nabídky	tenders
nabídky	aanbiedingen
nabídky	biedt
jordan	jordan
jordan	jordanië
symbolů	symbolen
bot	bot
bot	schoen
weber	weber
vstoupit	invoeren
vstoupit	enter
čtvrtí	wijken
čtvrtí	buurten
střecha	dak
laura	laura
návštěvy	bezoekers
návštěvy	bezoeken
harris	harris
bloky	blokken
detroit	detroit
součet	sum
součet	som
jamie	jamie
psí	hond
psí	hondje
skotsko	schotland
třebaže	hoewel
amd	amd
fred	fred
rangers	rangers
regulace	regelgeving
regulace	regulering
regulace	verordening
regulace	reguleren
rozměrů	proportie
rozměrů	proporties
sektoru	sector
špatný	slechte
špatný	bad
špatný	slecht
přesný	precieze
přesný	nauwkeurig
přesný	nauwkeurigheid
přesný	accuraat
přesný	accurate
přesný	exacte
přesný	exact
přesný	precies
masaryk	masaryk
organismů	organisme
organismů	organismen
příbuzných	verwanten
příbuzných	familieleden
rezignaci	ontslagbrief
rezignaci	aftreden
rezignaci	ontslag
raymond	raymond
etapa	fase
etapa	poot
etapa	been
etapa	podium
etapa	fase
etapa	toneel
etapa	stadium
kolonií	koloniën
kolonií	kolonies
kolonií	kolonie
všiml	opviel
všiml	opgemerkt
všiml	opgevallen
