gloria	глория
kursused	курсове
kursused	курсовете
constantin	константин
horisontaalselt	хоризонтално
suurenemine	увеличаване
suurenemine	увеличение
suurenemine	повишаване
suurenemine	увеличи
vassiljev	василиев
léon	леон
strauss	строс
strauss	щраус
institutsioonid	институциите
institutsioonid	институции
romantiline	романтични
romantiline	романтично
romantiline	романтична
romantiline	романтик
romantiline	романтика
romantiline	романтичен
uhke	горди
uhke	горда
uhke	горд
uhke	луксозно
kirjutades	пишеш
haruldased	рядко
haruldased	редки
haruldased	рядкост
vista	виста
kohvi	кафе
kohvi	кафето
marianne	мариан
tegija	създателя
tegija	създател
jeemeni	йемен
omar	омар
pinnas	почви
pinnas	почва
kodakondsus	националност
kodakondsus	гражданство
kodakondsus	гражданство
ajavahemik	период
giulio	джулио
standardid	стандартите
standardid	стандарти
allveelaev	подводница
allveelaev	подводницата
albumid	албуми
albumid	албумите
pühendunud	отдадена
pühendunud	предан
pühendunud	отдадени
pühendunud	предана
pühendunud	посветен
pühendunud	посветена
pühendunud	отдадени
pühendunud	отдадена
pühendunud	отдадена
pühendunud	извършено
pühendunud	извършени
pühendunud	обвързан
pühendunud	ангажиран
tselluloosi	целулоза
liigitada	класифициране
liigitada	класифицира
tasapisi	бавно
romano	романо
resolutsioon	резолюция
andrzej	анджей
philadelphia	филаделфия
oulu	оулу
mürgine	токсично
mürgine	токсичен
mürgine	токсични
mürgine	токсична
mürgine	отровно
mürgine	отровна
mürgine	отровни
mürgine	отровен
mürgine	отровно
väärt	уърт
tapmine	клане
tapmine	касапница
tapmine	убиване
tapmine	убивам
esa	емв
read	редове
read	линии
read	реплики
read	редове
michele	микеле
korsika	корсика
kaksteist	twelve
kaksteist	дванадесет
kaksteist	дванайсет
histoloogia	хистология
ekspert	експертно
ekspert	експерт
ökoloogiline	екологично
ökoloogiline	екологичен
ökoloogiline	екологични
ökoloogiline	екологична
sool	солта
sool	сол
jung	юнг
müük	продажби
müük	продажбите
müük	разпродажба
müük	продажба
vähendamine	намаление
vähendamine	намаляване
vähendamine	редуциране
vähendamine	редукция
smithi	смит
smart	умна
smart	интелигентно
smart	умно
smart	умни
smart	умен
viljakas	плодородна
viljakas	плодовит
viljakas	ползотворен
hell	нежна
hell	нежно
hell	нежни
hell	нежен
kokkupõrge	влияние
kokkupõrge	сблъсък
kokkupõrge	въздействие
kokkupõrge	удар
kokkupõrge	сблъсък
paber	хартия
alasti	голо
alasti	голи
alasti	гола
alasti	голо
alasti	голи
alasti	гола
sammas	колона
sammas	стълб
maatriks	матрица
maatriks	матрицата
neljandaks	четвърто
neljandaks	четвърта
neljandaks	четвърто
neljandaks	четвърти
parameeter	параметър
parameeter	параметри
žanr	жанр
stella	стела
oskuste	умение
oskuste	умения
otsustanud	решено
sinised	сини
sinised	блу
sinised	синьо
sinised	син
sinised	синя
schultz	шулц
lapselaps	внучката
lapselaps	внучка
lapselaps	внуче
lapselaps	внук
lapselaps	внука
lapselaps	внуче
lapselaps	внукът
wales	уелс
kogemata	инцидентно
kogemata	случайно
hani	гъска
hani	хани
hani	хан
rex	рекс
territoriaalne	териториално
territoriaalne	териториални
territoriaalne	териториална
jeffersoni	джеферсън
bengali	бенгалски
harrison	харисън
maia	мая
mehaanilise	механично
chicagos	чикаго
turba	торф
hävitatud	унищожени
hävitatud	унищожена
hävitatud	разрушени
hävitatud	унищожен
hävitatud	унищожено
karistuse	наказание
karistuse	наказания
karistuse	наказанието
liigitus	класифициране
liigitus	класиране
liigitus	класификация
hävitamine	унищожаване
hävitamine	унищожи
hävitamine	унищожаване
hävitamine	разрушение
hävitamine	разрушения
hävitamine	унищожение
hävitamine	разрушаване
korrus	подът
korrus	пода
korrus	етаж
beach	beach
beach	плажът
beach	плаж
beach	бряг
beach	плажа
õiglane	праведни
õiglane	праведен
õiglane	панаир
õiglane	справедлив
õiglane	справедливо
õiglane	справедлива
pööre	туист
pööre	обрат
pööre	завъртане
pööre	завой
sõitja	пътнически
sõitja	пътник
sõitja	пътника
sõitja	обитател
astrofüüsik	астрофизик
kuru	пропуск
kuru	мине
kuru	пас
kuru	преминаване
kliendi	клиенти
kliendi	клиент
kliendi	клиент
katoliiklased	католиците
katoliiklased	католици
pidulik	празнични
pidulik	празнично
pidulik	празнична
võrreldav	съпоставими
võrreldav	сравнима
võrreldav	сравними
võrreldav	сравним
phillips	филипс
kaas	капак
nurgakivi	крайъгълен
lennata	лети
lennata	полети
lõpetatud	пълна
lõpetatud	пълно
lõpetatud	завършен
lõpetatud	пълен
lõpetatud	завършено
lõpetatud	завършена
lõpetatud	завършени
lõpetatud	завършен
lõpetatud	завършено
lõpetatud	завършен
alumiiniumi	алуминиеви
alumiiniumi	алуминиев
alumiiniumi	алуминий
alumiiniumi	алуминиева
yves	ив
ted	тед
kümmekond	дузина
kümmekond	дузини
abt	абате
möödub	пропуски
möödub	проходи
möödub	преминава
möödub	минава
tõlked	преводи
camille	камил
camille	камий
claus	клаус
meeldis	обичах
meeldis	обичана
meeldis	обичаше
meeldis	обичан
meeldis	хареса
meeldis	харесали
meeldis	харесал
liides	интерфейс
liides	интерфейса
toll	сантиметър
toll	инч
toll	тол
toll	такса
toll	митническа
toll	митническо
toll	митнически
toll	митници
toll	обичаи
tammeka	дъб
tammeka	оук
kaaslased	спътници
cook	готви
cook	кук
cook	готвач
cook	готвене
stressi	стрес
stressi	стресът
varad	активи
amy	ейми
kive	камъни
kive	камъни
kive	скали
zürichi	цюрих
brüssel	брюксел
kaltsiumi	калций
kaltsiumi	калциев
sigmund	зигмунд
berni	берн
ahven	костур
suurendatud	повишена
suurendatud	увеличена
suurendatud	увеличен
suurendatud	повишен
laienenud	разширени
laienenud	разширен
laienenud	уголемени
laienenud	разширена
laienenud	увеличен
töölised	работниците
töölised	работници
flash	светкавица
flash	проблясък
flash	флаш
göteborgi	гьотеборг
projektid	проекти
june	джун
june	юни
parasvöötme	умерен
gérard	жерар
konsooli	конзолата
konsooli	конзола
siena	сиена
verner	върнър
verona	верона
singapuri	сингапур
rühmitus	групиране
käsitöö	занаят
käsitöö	кораб
käsitöö	занаяти
religioosne	религиозни
religioosne	религиозно
religioosne	религиозен
religioosne	религиозна
muljet	впечатли
vincenzo	винченцо
ülekanne	трансмисия
ülekanne	предаване
ülekanne	пренос
ülekanne	трансфер
ülekanne	преместване
ülekanne	прехвърляне
ülekanne	излъчване
mõjud	последици
mõjud	въздействие
mõjud	ефекти
mõjud	ефект
arvud	фигури
arvud	цифри
määr	ставка
opositsioon	възражение
opositsioon	опозиция
opositsioon	противопоставяне
opositsioon	опозицията
irene	ирене
irene	айрийн
irene	ирен
irene	айрин
leidmine	намирането
leidmine	намиране
üheksas	девета
üheksas	девети
fourier	фурие
mošee	джамията
mošee	джамия
benito	бенито
valentina	валентина
revolutsiooniline	революционер
revolutsiooniline	революционна
revolutsiooniline	революционен
revolutsiooniline	революционно
astuuria	астурия
mitmekesine	разнообразни
joonia	йонийско
tervishoid	здраве
tervishoid	здравеопазване
tervishoid	здравето
tervishoid	здравеопазване
käimine	срещи
käimine	запознанства
bauer	бауър
bauer	бауер
pidulikult	тържествено
näita	покажи
näita	показване
budism	будизма
koguma	събиране
koguma	събират
laenatud	назаем
ruumiline	пространствено
ruumiline	пространствен
ruumiline	пространствени
magma	магма
raudteede	железници
sektor	сектора
sektor	сектор
enterprise	предприятие
enterprise	ентърпрайз
enterprise	ентърпрайс
enterprise	enterprise
keskmised	средна
keskmised	среден
keskmised	средни
keskmised	средно
joone	реплика
joone	линия
sõnum	послание
sõnum	съобщение
sõnum	съобщението
beethoven	бетовен
arenema	еволюира
cura	cura
augusta	аугуста
bio	биология
bio	биография
bio	био
biokeemia	биохимия
nielsen	нилсен
fra	fra
hobused	кончета
hobused	коне
hobused	конете
rongi	влака
rongi	влакът
rongi	влак
rikkus	богатства
rikkus	богатство
rikkus	благосъстояние
rikkus	богатството
rikkus	богатство
rikkus	съсипана
rikkus	съсипани
rikkus	съсипан
etendus	покажи
etendus	показване
marshalli	маршал
marshalli	маршъл
kvalifikatsioon	квалификации
kvalifikatsioon	квалификация
kvalifikatsioon	квалификациите
kvalifikatsioon	квалификации
kvalifikatsioon	квалификация
intensiivsus	интензитет
intensiivsus	интензивност
marss	марс
springer	спрингър
teave	информация
teave	информиране
signaale	сигнали
ridades	редиците
ridades	редици
kõrgele	висок
kõrgele	висока
kõrgele	високи
kõrgele	високо
dakota	дакота
dresdeni	дрезден
katastroofi	катастрофа
katastroofi	бедствието
katastroofi	бедствия
katastroofi	бедствие
muusikal	музикален
muusikal	музикално
muusikal	мюзикъл
muusikal	музикална
nigeri	нигер
satelliit	спътник
satelliit	сателитно
satelliit	сателит
satelliit	сателитен
satelliit	сателитна
rick	рик
astronaut	космонавт
astronaut	астронавт
unenägu	сън
unenägu	мечта
suundumused	тенденции
herakles	херкулес
herakles	еркюл
aspekte	аспекти
andersen	андерсен
firmad	корпорациите
firmad	корпорации
firmad	фирмите
firmad	фирми
firmad	дружества
firmad	фирми
firmad	компании
michelangelo	микеланджело
võti	ключ
võti	ключа
võti	ключът
kliiniline	клинична
kliiniline	клинични
kliiniline	клинично
väljatöötamine	изработване
väljatöötamine	разработване
väljatöötamine	развиване
välised	външна
välised	външно
välised	външни
välised	външен
välised	външно
võõras	непозната
võõras	странник
võõras	непознат
tuttav	позната
tuttav	познати
tuttav	познат
tuttav	познато
tuttav	запознат
tuttav	позната
tuttav	познати
tuttav	запознанство
tuttav	познат
madalamad	долна
madalamad	долен
baltimore	балтимор
päevik	дневник
päevik	журнал
päevik	джърнъл
päevik	дневник
päevik	дневника
päevik	дневникът
platvorm	перон
platvorm	платформата
platvorm	платформа
paradigma	парадигма
nähtavad	видима
nähtavad	видими
nähtavad	видимо
emilia	емилия
metallica	металика
pidu	парти
pidu	party
pidu	купон
pidu	партия
meeleolu	настроението
meeleolu	настроение
sata	sata
sidus	съгласуван
sidus	последователен
sidus	последователна
sidus	съгласувано
alternatiiv	алтернатива
alternatiiv	алтернативно
alternatiiv	алтернативен
alternatiiv	алтернативни
alternatiiv	алтернативна
alternatiiv	алтернативно
alternatiiv	алтернативна
alternatiiv	алтернативен
hiv	хив
hiv	hiv
tarn	тарн
disainitud	проектирано
disainitud	проектирана
disainitud	проектиран
disainitud	проектирани
geneetika	генетиката
geneetika	генетика
adolph	адолф
täitnud	изпълнено
täitnud	изпълнени
ingel	ейнджъл
ingel	ангел
ingel	angel
ingel	анхел
kohane	подходящ
kohane	подходяща
kohane	уместно
kohane	подходящи
kohane	подходящо
enrico	енрико
cfg	cfg
vangistatud	заловен
vangistatud	заловени
vangistatud	пленен
vangistatud	уловен
vangistatud	пленени
vaatas	наблюдаван
vaatas	наблюдавани
vaatas	гледах
rev	rev
rev	рев
akna	прозореца
akna	прозорецът
akna	прозорец
maximus	максим
maximus	максимус
meelega	преднамерено
meelega	съзнателно
meelega	умишлено
samsung	samsung
clemente	клементе
variandid	варианти
hüüdnime	прякор
pühak	сейнт
pühak	свети
pühak	светица
pühak	светец
craig	крейг
honda	хонда
florence	флорънс
florence	флоренция
reporter	репортера
reporter	репортер
reporter	репортерка
reporter	репортерът
geoloogiline	геоложки
geoloogiline	геоложка
geoloogiline	геоложки
hampshire	хемпшир
jutud	истории
jutud	разкази
atmosfäär	атмосфера
lahinguid	сражения
lahinguid	битки
lahinguid	битките
sissetulek	приход
sissetulek	доход
sissetulek	приходи
sissetulek	доходи
ületanud	надвишава
ületanud	превишена
ületanud	превишаване
lame	плоски
lame	апартамент
lame	плоско
lame	плоска
lame	плосък
elena	елена
loata	неразрешен
loata	неразрешено
loata	неразрешено
brand	бранд
brand	марката
brand	марка
võrgus	онлайн
võrgus	online
kasutamata	неизползван
kasutamata	неизползвани
hunter	ловец
hunter	хънтър
nõutud	поиска
nõutud	поискани
nõutud	поискано
nõutud	поискана
nõutud	поискаха
nõutud	изисквана
moodul	модул
han	хан
täide	въшки
mungad	монаси
mungad	монасите
sauna	сауна
ameeriklane	американска
ameeriklane	американско
ameeriklane	американски
ameeriklane	американец
hinnad	цени
diktaator	диктатор
meta	мета
lane	лейн
armastatud	любими
armastatud	любима
eesistuja	председател
eesistuja	председателят
eesistuja	председател
ragnar	рагнар
canterbury	кентърбъри
kulu	разход
kulu	цена
kulu	разходи
kulu	разход
ettepanekuid	предложенията
ettepanekuid	предложения
tagajärg	следствие
tagajärg	последица
tagajärg	последици
tagajärg	последствия
tagajärg	последствие
julge	дръзки
julge	смело
julge	дръзко
julge	смели
julge	смел
julge	смел
julge	смела
julge	дръзки
julge	дръзко
tasane	плоски
tasane	апартамент
tasane	плоско
tasane	плоска
tasane	плосък
mune	яйца
mune	яйцата
konkreetsete	конкретни
konkreetsete	специфично
konkreetsete	специфичен
konkreetsete	специфична
konkreetsete	специфични
voyager	вояджър
jõulud	рождество
jõulud	коледа
plus	плюс
nõbu	братовчед
nõbu	братовчеда
nõbu	братовчедка
klaviatuuri	клавиатурата
klaviatuuri	клавиатура
ökosüsteemi	екосистема
ökosüsteemi	екосистеми
aurora	аврора
aurora	аурора
kirgiisi	киргизката
stanislav	станислав
spencer	спенсър
kõneleja	оратор
kõneleja	високоговорител
kõneleja	говорител
terminoloogia	терминология
nokk	клюн
hirv	сърна
hirv	елен
hirv	елени
jefferson	джеферсън
tunnel	тунел
mahajäetud	изоставени
mahajäetud	изоставено
mahajäetud	изоставен
mahajäetud	изоставена
kiired	лъчи
bagdadi	багдад
leib	хляб
leib	хляба
lendavad	летене
lendavad	летящи
lendavad	лети
isabel	изабел
edvard	едвард
secret	секретно
secret	тайна
secret	таен
secret	тайната
secret	тайно
laagris	лагер
snake	змия
snake	снейк
avaldus	твърдение
avaldus	изявление
avaldus	показания
kontor	кабинет
kontor	офисът
kontor	офис
kontor	офиса
oskus	майсторство
