occitània	اوکسیتانیا
budisme	بوداگرایی
budisme	بودایی
cretaci	کرتاسه
volant	پروازی
volant	پرواز
sostingut	شارپ
sostingut	تیزی
sostingut	هشیار
sostingut	تیز
sostingut	وارده
bakr	بکر
oceans	اقیانوسها
oceans	اقیانوس
consorci	کنسرسیوم
otan	ناتو
denominacions	designations
denominacions	مذاهب
honda	honda
honda	هوندا
pastures	چراگاه
pastures	چراگاه
empat	گره
empat	کروات
empat	کراوات
desena	دهم
desena	دهمین
aguda	حاد
compatible	سازگار
telecomunicacions	مخابرات
morris	موریس
side	کنار
side	پهلو
side	طرف
consentiment	رضایت
pàdua	پادوا
charente	شرانت
paradís	بهشت
caserna	سربازخانه
presentant	مجری
múltiple	چندگانه
múltiple	چندین
laos	لائوس
kara	کارا
cristall	بلور
cristall	کریستال
cristall	آبگینه
cristall	بلوری
duo	دوو
musa	موسی
musa	موسى
musa	الهه
transparent	شفاف
olimpíada	المپیاد
acusacions	اتهامات
acusacions	اتهام
acusacions	اتهاماتی
auguste	اگوست
potassi	پتاسیم
espiral	مارپیچ
espiral	مارپیچی
feminista	فمینیست
feminista	feminist
einstein	اینشتین
einstein	انیشتین
bitllets	بلیط
bitllets	بلیت
companya	همنشین
companya	همدم
companya	همنشینی
warren	وارن
forçat	اجباری
forçat	اجبار
quars	کوارتز
garantia	حجت
garantia	گارانتی
garantia	تضمین
garantia	تضمینی
garantia	ضامن
garantia	ضمانت
eficient	کارآمد
consecutives	پیاپی
consecutives	متوالی
palerm	پالرمو
combatents	مبارزین
nenes	دخترها
nenes	دختران
xbox	xbox
operatius	عملیاتی
atòmica	اتمی
exiliat	تبعید
vladimir	ولادیمیر
adolescent	نوجوان
vie	vie
firma	امضا
diversa	گوناگون
balcans	بالکان
conversa	گفتگو
conversa	مکالمه
conversa	گفتگوی
somnis	رؤیاها
somnis	پریشان
somnis	رویاها
somnis	رویاهای
müller	مولر
palmas	پالماس
yusuf	یوسف
bari	باریم
bari	باری
heidelberg	هایدلبرگ
margarita	مارگاریتا
minories	اقلیتهای
esprint	اسپرینت
conducció	رانندگی
xocolata	شکلاتی
xocolata	کاکائو
xocolata	شکلات
disposicions	آذوقه
rèptils	خزندگان
edita	ویرایش
decoratius	تزئینی
decoratius	زینتی
torreta	برجک
quintet	quintet
bossa	ساک
bossa	کیسه
bossa	کیف
stark	استارک
processador	پرداز
processador	پردازنده
processador	پردازشگر
nan	نان
nan	نن
württemberg	وورتمبرگ
delegats	نمایندگان
springs	اسپرینگز
springs	چشمه
yuan	یوان
begudes	نوشیدنی
thakur	تاکور
