של	shel
את	jij
את	jou
על	ongeveer
על	over
קטגוריה	categorie
עם	met
גם	ook
גם	ook
זה	dit
זה	deze
זה	dat
היא	ze
היא	zij
היה	was
שיחה	conversatie
שיחה	gesprek
שיחה	oproep
שיחה	bellen
שיחה	bel
לאחר	na
לאחר	after
בין	bean
בין	boon
בין	boontje
בין	inter
בין	tussen
כל	allen
כל	alle
כל	allemaal
כל	alles
כל	elke
כי	want
כי	omdat
יותר	more
יותר	meer
ישראל	israël
ישראל	israel
אך	maar
עד	till
עד	tot
יש	joepie
שם	daar
שם	er
שם	naam
בית	beit
בית	thuis
בית	home
בית	huis
בית	startpagina
בית	huis
הם	ze
הם	zij
הייתה	was
אשר	asher
אשר	escher
אשר	usher
אשר	welke
אשר	bevestigen
אשר	bevestig
כמו	zoals
כמו	like
אחד	one
אחד	één
אחד	een
אחד	eén
שמאל	linkse
שמאל	linker
שמאל	links
קישורים	links
חיצוניים	extern
חיצוניים	uitwendig
חיצוניים	externe
הברית	alliance
הברית	verbond
הברית	bondgenootschap
הברית	alliantie
מספר	nummer
מספר	aantal
מספר	getal
בו	hem
בו	boe
בו	boo
היו	waren
רק	alleen
רק	enkel
רק	slechts
רק	gewoon
כאשר	wanneer
אותו	hem
בן	ben
בן	zoon
בן	son
שלו	zijn
שלו	its
שני	tweede
שני	shani
שני	twee
שני	two
שני	maandag
לו	lew
לו	lou
מה	wat
העולם	wereld
העיר	stad
העיר	stad
במהלך	tijdens
במהלך	gedurende
כן	ja
כן	ja
שנים	jaar
שנים	jaren
אף	neus
רבים	veel
רבים	velen
רבים	vele
רבים	meervoud
אבל	maar
בה	haar
אין	geen
אביב	aviv
אביב	voorjaar
אביב	lente
במאי	mogen
במאי	may
במאי	mei
במאי	mag
במאי	moge
במאי	directeur
במאי	director
במאי	regisseur
שנה	jaar
שנה	jaar
שנה	jaren
נולד	born
נולד	geboren
הערות	toelichting
הערות	aantekeningen
הערות	notities
הערות	noten
הערות	opmerkingen
הערות	commentaren
הערות	reacties
הערות	commentaar
חלק	deel
חלק	gedeelte
חלק	soepel
חלק	gladde
חלק	glad
לפני	voordat
לפני	vóór
אחת	one
אחת	één
אחת	een
אחת	eén
ביולי	juli
שוליים	marges
שוליים	fringe
שוליים	marge
באוקטובר	oktober
באוקטובר	october
באוקטובר	lgo
בשם	genoemd
בשם	genaamd
בשם	benoemde
אותה	haar
החל	begonnen
החל	begon
החל	beginnend
הרב	herb
הרב	kruiden
הרב	kruid
ארצות	landen
מן	manna
בינואר	januari
במרץ	maart
במרץ	marcheren
ראש	hoofd
ראש	head
ראש	rush
חיים	life
חיים	leven
חיים	chaim
חיים	haim
המאה	eeuw
בנובמבר	november
בדצמבר	december
לי	lee
תל	tel
בבית	thuis
בבית	home
בבית	huis
בבית	startpagina
ערך	waarde
בפברואר	februari
אלו	deze
זמן	tijd
אחר	overige
אחר	andere
אחר	ander
אחר	overig
בני	bennie
בני	benny
בני	zoon
בני	son
בעיקר	voornamelijk
בעיקר	hoofdzakelijk
בעיקר	voornamelijk
בעיקר	hoofdzakelijk
בעיקר	meestal
בעיקר	vooral
אתר	website
אתר	site
אתר	ether
ללא	zonder
שונים	verschillend
שונים	verschillende
שונים	anders
שונים	diverse
שונים	verschillende
רב	rav
אדם	persoon
אדם	person
אדם	adam
אדם	menselijk
אדם	menselijke
אדם	mens
אדם	man
כלל	regel
כלל	rule
עוד	more
עוד	meer
דבר	ding
דבר	thing
דבר	talk
דבר	praten
דבר	praat
דבר	spreek
דבר	spreken
אחרים	overige
אחרים	andere
אחרים	ander
אחרים	overig
אחרים	overige
אחרים	andere
אחרים	overigen
אחרים	anderen
ספר	boek
ספר	kapper
ספר	barber
ספר	vertel
ספר	tell
נגד	tegen
לה	haar
זכה	gewonnen
זכה	won
אחרי	na
אחרי	after
אולם	echter
הן	ze
הן	zij
יום	dag
יום	dagje
יום	hume
אלה	deze
אלה	ella
אלה	godin
כבר	al
כבר	reeds
כיום	momenteel
כיום	tegenwoordig
ירושלים	jeruzalem
המדינה	staat
המדינה	state
מקום	plaats
מאוד	zeer
יהודים	joodse
יהודים	jood
יהודים	joods
יהודים	joden
רבות	veel
רבות	velen
רבות	vele
כמה	enkele
כמה	sommigen
כמה	sommige
מטר	voeten
מטר	voetjes
מטר	meter
מטר	meters
מטר	meter
מטר	meter
מטר	meters
מטר	meter
דרך	via
דרך	manier
דרך	way
שנת	jaar
יכול	kan
יכול	kon
יכול	kan
יכול	kunt
