dead	surnud
brut	brutus
lang	lang
clans	klannid
tubs	torud
celebracions	pidustused
accidents	õnnetused
accidents	õnnetusi
entrant	starter
lloyd	lloyd
fix	fikseeritud
privilegi	privileeg
càlculs	arvutused
acompanyament	pad
montenegro	montenegro
descàrrega	allalaadimine
realista	realistlikud
realista	realistlik
ras	ras
angel	angel
angel	ingel
mercedes	mercedes
hondures	hondurase
malawi	malawi
primari	primaarne
primari	esmane
mobilitat	liikuvus
mobilitat	liikuvuse
crustacis	koorikloomad
crustacis	vähid
racó	nurk
racó	nurka
troia	trooja
troia	troy
erupció	purse
gats	kassid
homer	homer
perpendicular	risti
costaneres	ranniku
poderosa	võimas
sàhara	sahara
promotor	promootor
tabac	tubakas
pics	kuulid
pronunciat	väljendunud
pronunciat	hääldatakse
fiable	usaldusväärne
montpeller	montpellier
assassí	tapja
assassí	killer
assassí	mõrvar
eficiència	kasutegur
eficiència	tõhusus
eficiència	efektiivsus
sencera	terve
sencera	terved
sencera	tervik
sencera	tervelt
entesa	arusaamine
entesa	mõistmist
entesa	mõistmine
entesa	arusaam
stanford	stanfordi
stanford	stanford
info	info
virgili	virgil
classic	klassika
classic	klassikalised
classic	classic
classic	klassikaline
cràter	kraater
esquadró	eskadrill
suprema	ülim
franquícia	frantsiisi
declaracions	avaldused
mecànic	mehaanik
mecànic	mehaanilised
mecànic	mehaaniline
explorar	avastama
hereva	pärijanna
hereva	pärija
wei	wei
martell	martell
baker	pagar
baker	baker
turistes	turistid
calcària	lubjakivi
revela	paljastab
limitacions	piirangud
annals	annaalid
consola	konsool
consola	konsooli
partició	partitsiooni
postura	hoiak
tribunals	kohtud
cortés	cortés
descomposició	lagunemine
significativament	oluliselt
significativament	märkimisväärselt
conreus	põllukultuurid
conreus	kultuurid
respostes	vastused
respostes	vastused
respostes	vastuseid
respostes	vastused
conservadors	konservatiivid
mariners	meremehed
horari	päevakava
horari	ajakava
annexió	anneksioon
kurdistan	kurdistani
devoció	pühendumus
devoció	pühendumust
kent	kenti
kent	kent
portals	portaalid
mixta	segatud
mixta	sega
mixta	segunenud
mosaic	mosaiik
proa	vibu
proa	kummardus
desenes	kümned
atacant	ründamine
agnès	agnes
evans	evans
infeccions	infektsioonid
explotar	plahvatada
lliurement	vabalt
olivier	olivier
genèric	üldine
gendarmeria	sandarmeeria
vocació	kutsumus
successives	järjestikused
successives	järjestikuste
complement	plugin
slam	slam
graham	graham
prosperitat	heaolu
prosperitat	jõukus
tràcia	thrace
savi	tark
andes	andid
gutiérrez	gutiérrez
gutiérrez	gutierrez
belgrad	belgradi
ingredients	koostisosad
ingredients	koostisained
advocats	advokaadid
advocats	juristid
acadèmics	akadeemikud
mills	mills
fuga	fuuga
fuga	põgenemine
rom	rom
